ENSPMEP00000005516	ENSPMEG00000006892	Poecilia_mexicana
MGP_CAROLIEiJ_P0043035	MGP_CAROLIEiJ_G0021178	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0055332	MGP_PahariEiJ_G0023494	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000046320	ENSRNOG00000007436	Rattus_norvegicus
ENSMUGP00000031000	ENSMUGG00000025791	Meriones_unguiculatus
ENSPEMP00000011990	ENSPEMG00000012462	Peromyscus_maniculatus_bairdii
ENSMOCP00000004893	ENSMOCG00000004256	Microtus_ochrogaster
ENSCGRP00015016013	ENSCGRG00015012321	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001022385	ENSCGRG00001020943	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005582	ENSCGRG00000004089	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000001730	ENSMAUG00000001282	Mesocricetus_auratus
ENSNGAP00000008846	ENSNGAG00000011714	Nannospalax_galili
ENSJJAP00000008810	ENSJJAG00000012878	Jaculus_jaculus
ENSCLAP00000017019	ENSCLAG00000011679	Chinchilla_lanigera
ENSODEP00000018341	ENSODEG00000013519	Octodon_degus
ENSCPOP00000013484	ENSCPOG00000014962	Cavia_porcellus
ENSHGLP00000008706	ENSHGLG00000006274	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007218	ENSHGLG00100005414	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000005986	ENSFDAG00000014860	Fukomys_damarensis
ENSSTOP00000024651	ENSSTOG00000032383	Ictidomys_tridecemlineatus
ENSUPAP00010022547	ENSUPAG00010017883	Urocitellus_parryii
ENSSDAP00000011163	ENSSDAG00000010081	Spermophilus_dauricus
ENSMMMP00000010296	ENSMMMG00000009162	Marmota_marmota_marmota
ENSOPRP00000001209	ENSOPRG00000001321	Ochotona_princeps
ENSTBEP00000011623	ENSTBEG00000013411	Tupaia_belangeri
ENSUMAP00000031663	ENSUMAG00000022844	Ursus_maritimus
ENSUAMP00000016427	ENSUAMG00000013087	Ursus_americanus
ENSAMEP00000018920	ENSAMEG00000017912	Ailuropoda_melanoleuca
ENSMPUP00000015235	ENSMPUG00000015345	Mustela_putorius_furo
ENSNVIP00000029933	ENSNVIG00000023063	Neovison_vison
ENSCAFP00000046320	ENSCAFG00000019368	Canis_lupus_familiaris
ENSCAFP00020033586	ENSCAFG00020026074	Canis_lupus_dingo
ENSVVUP00000012312	ENSVVUG00000009076	Vulpes_vulpes
ENSPPRP00000007257	ENSPPRG00000002466	Panthera_pardus
ENSPTIP00000018808	ENSPTIG00000016806	Panthera_tigris_altaica
ENSFCAP00000049126	ENSFCAG00000026746	Felis_catus
ENSEASP00005007907	ENSEASG00005005750	Equus_asinus_asinus
ENSECAP00000016490	ENSECAG00000018994	Equus_caballus
ENSMLUP00000015353	ENSMLUG00000016843	Myotis_lucifugus
ENSPVAP00000004837	ENSPVAG00000005111	Pteropus_vampyrus
ENSTTRP00000007792	ENSTTRG00000008228	Tursiops_truncatus
ENSVPAP00000005531	ENSVPAG00000005958	Vicugna_pacos
ENSSSCP00000059174	ENSSSCG00000008055	Sus_scrofa_strain_reference
ENSOARP00000019845	ENSOARG00000018488	Ovis_aries
ENSCHIP00000026858	ENSCHIG00000023026	Capra_hircus
ENSBIXP00000000568	ENSBIXG00000029659	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005001395	ENSBIXG00005007896	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000019936	ENSBMUG00000015028	Bos_mutus
ENSBBBP00000027360	ENSBBBG00000023580	Bison_bison_bison
ENSLAFP00000013365	ENSLAFG00000015941	Loxodonta_africana
ENSPCAP00000000672	ENSPCAG00000000725	Procavia_capensis
ENSDNOP00000034471	ENSDNOG00000044152	Dasypus_novemcinctus
ENSPCIP00000041869	ENSPCIG00000030550	Phascolarctos_cinereus
ENSVURP00010009032	ENSVURG00010006992	Vombatus_ursinus
ENSSHAP00000017257	ENSSHAG00000014671	Sarcophilus_harrisii
ENSMEUP00000006198	ENSMEUG00000006777	Notamacropus_eugenii
ENSMODP00000027765	ENSMODG00000015432	Monodelphis_domestica
ENSXETP00000039359	ENSXETG00000019325	Xenopus_tropicalis
ENSCMIP00000015557	ENSCMIG00000007580	Callorhinchus_milii
ENSEBUP00000007493	ENSEBUG00000004894	Eptatretus_burgeri
