ENSBBBP00000000366	ENSBBBG00000001535	Bison_bison_bison
ENSCPRP00005006225	ENSCPRG00005004459	Crocodylus_porosus
ENSGAGP00000027011	ENSGAGG00000019652	Gopherus_agassizii
ENSCABP00000027063	ENSCABG00000019859	Chelonoidis_abingdonii
ENSCPBP00000021774	ENSCPBG00000015641	Chrysemys_picta_bellii
ENSPVIP00000018991	ENSPVIG00000014525	Pogona_vitticeps
ENSACAP00000000234	ENSACAG00000000249	Anolis_carolinensis
ENSNSUP00000017906	ENSNSUG00000013128	Notechis_scutatus
ENSSMRP00000004050	ENSSMRG00000003379	Salvator_merianae
ENSSPUP00000012169	ENSSPUG00000009342	Sphenodon_punctatus
ENSGAGP00000003851	ENSGAGG00000003140	Gopherus_agassizii
ENSSCAP00000020403	ENSSCAG00000014700	Serinus_canaria
ENSOANP00000012970	ENSOANG00000008167	Ornithorhynchus_anatinus
ENSLACP00000016982	ENSLACG00000014955	Latimeria_chalumnae
ENSLACP00000017373	ENSLACG00000015303	Latimeria_chalumnae
ENSXETP00000021340	ENSXETG00000006571	Xenopus_tropicalis
ENSECRP00000017522	ENSECRG00000011702	Erpetoichthys_calabaricus
ENSAMXP00000032755	ENSAMXG00000040459	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005028638	ENSAMXG00005014270	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000024677	ENSPNAG00000009347	Pygocentrus_nattereri
ENSEEEP00000023924	ENSEEEG00000011612	Electrophorus_electricus
ENSIPUP00000003805	ENSIPUG00000002688	Ictalurus_punctatus
ENSDARP00000062981	ENSDARG00000042904	Danio_rerio
ENSDCDP00000045224	ENSDCDG00000028559	Denticeps_clupeoides
ENSMAMP00000010888	ENSMAMG00000007377	Mastacembelus_armatus
ENSMALP00000001941	ENSMALG00000001460	Monopterus_albus
ENSATEP00000019077	ENSATEG00000013282	Anabas_testudineus
ENSSDUP00000027238	ENSSDUG00000019718	Seriola_dumerili
ENSSLDP00000025449	ENSSLDG00000019757	Seriola_lalandi_dorsalis
ENSLCAP00010012213	ENSLCAG00010005779	Lates_calcarifer
ENSLBEP00000018864	ENSLBEG00000014513	Labrus_bergylta
ENSMMOP00000019860	ENSMMOG00000015060	Mola_mola
ENSCGOP00000012120	ENSCGOG00000006004	Cottoperca_gobio
ENSLCRP00005018799	ENSLCRG00005007732	Larimichthys_crocea
ENSMZEP00005024180	ENSMZEG00005018088	Maylandia_zebra
ENSACLP00000030188	ENSACLG00000020458	Astatotilapia_calliptera
ENSPNYP00000029488	ENSPNYG00000022219	Pundamilia_nyererei
ENSHBUP00000011804	ENSHBUG00000000399	Haplochromis_burtoni
ENSNBRP00000025328	ENSNBRG00000019364	Neolamprologus_brichardi
ENSONIP00000016718	ENSONIG00000013292	Oreochromis_niloticus
ENSACIP00000011047	ENSACIG00000008588	Amphilophus_citrinellus
ENSPRNP00000047883	ENSPRNG00000022966	Parambassis_ranga
ENSSMAP00000027488	ENSSMAG00000016818	Scophthalmus_maximus
ENSCSEP00000027295	ENSCSEG00000017445	Cynoglossus_semilaevis
ENSTRUP00000049173	ENSTRUG00000001458	Takifugu_rubripes
ENSTNIP00000009156	ENSTNIG00000006390	Tetraodon_nigroviridis
ENSGACP00000011766	ENSGACG00000008910	Gasterosteus_aculeatus
ENSBSLP00000012449	ENSBSLG00000006344	Betta_splendens
ENSHCOP00000011160	ENSHCOG00000013931	Hippocampus_comes
ENSTNIP00000015246	ENSTNIG00000012279	Tetraodon_nigroviridis
ENSAPEP00000021834	ENSAPEG00000015580	Amphiprion_percula
ENSAOCP00000001571	ENSAOCG00000004599	Amphiprion_ocellaris
ENSAPOP00000008328	ENSAPOG00000010454	Acanthochromis_polyacanthus
ENSSPAP00000016665	ENSSPAG00000012585	Stegastes_partitus
ENSCVAP00000000749	ENSCVAG00000001690	Cyprinodon_variegatus
ENSFHEP00000000127	ENSFHEG00000023338	Fundulus_heteroclitus
ENSXMAP00000003275	ENSXMAG00000003269	Xiphophorus_maculatus
ENSXCOP00000005588	ENSXCOG00000004347	Xiphophorus_couchianus
ENSGAFP00000018519	ENSGAFG00000012529	Gambusia_affinis
ENSPFOP00000019659	ENSPFOG00000019537	Poecilia_formosa
ENSPMEP00000025808	ENSPMEG00000009037	Poecilia_mexicana
ENSPLAP00000019489	ENSPLAG00000001618	Poecilia_latipinna
ENSPREP00000007444	ENSPREG00000005040	Poecilia_reticulata
ENSKMAP00000011193	ENSKMAG00000008411	Kryptolebias_marmoratus
ENSORLP00000037109	ENSORLG00000013450	Oryzias_latipes_ASM223467v1
ENSORLP00015006512	ENSORLG00015007365	Oryzias_latipes_ASM223469v1
ENSORLP00020028868	ENSORLG00020012582	Oryzias_latipes_ASM223471v1
ENSOMEP00000006411	ENSOMEG00000007462	Oryzias_melastigma
ENSGWIP00000036465	ENSGWIG00000018785	Gouania_willdenowi
ENSPMGP00000023829	ENSPMGG00000019277	Periophthalmus_magnuspinnatus
ENSGMOP00000017142	ENSGMOG00000015999	Gadus_morhua
ENSHHUP00000077006	ENSHHUG00000045019	Hucho_hucho
ENSHHUP00000022107	ENSHHUG00000013852	Hucho_hucho
ENSELUP00000017396	ENSELUG00000017092	Esox_lucius
ENSAMXP00000034226	ENSAMXG00000033558	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005056777	ENSAMXG00005025176	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000000665	ENSPNAG00000007649	Pygocentrus_nattereri
ENSIPUP00000004858	ENSIPUG00000003395	Ictalurus_punctatus
ENSEEEP00000035517	ENSEEEG00000016913	Electrophorus_electricus
ENSDARP00000036177	ENSDARG00000023058	Danio_rerio
ENSCHAP00000021720	ENSCHAG00000010925	Clupea_harengus
ENSELUP00000019682	ENSELUG00000018978	Esox_lucius
ENSHHUP00000060571	ENSHHUG00000035905	Hucho_hucho
ENSHHUP00000086072	ENSHHUG00000049831	Hucho_hucho
ENSECRP00000009233	ENSECRG00000006192	Erpetoichthys_calabaricus
ENSEBUP00000025407	ENSEBUG00000015671	Eptatretus_burgeri
ENSEBUP00000010067	ENSEBUG00000006467	Eptatretus_burgeri
ENSCINP00000035316	ENSCING00000023214	Ciona_intestinalis
