ENSPCIP00000021629	ENSPCIG00000006302	Phascolarctos_cinereus	ENSPCIT00000026682
ENSVURP00010017812	ENSVURG00010013487	Vombatus_ursinus	ENSVURT00010020233
ENSMEUP00000002994	ENSMEUG00000003261	Notamacropus_eugenii	ENSMEUT00000003289
ENSMODP00000057888	ENSMODG00000016273	Monodelphis_domestica	ENSMODT00000053495
ENSSHAP00000020686	ENSSHAG00000017542	Sarcophilus_harrisii	ENSSHAT00000020851
ENSPTRP00000026830	ENSPTRG00000015590	Pan_troglodytes	ENSPTRT00000029076
ENSPPAP00000009903	ENSPPAG00000028177	Pan_paniscus	ENSPPAT00000032550
ENSP00000264382	ENSG00000090402	Homo_sapiens	ENST00000264382
ENSGGOP00000025059	ENSGGOG00000027385	Gorilla_gorilla
ENSBBBP00000001745	ENSBBBG00000010878	Bison_bison_bison
ENSTTRP00000012494	ENSTTRG00000013161	Tursiops_truncatus
ENSSSCP00000023767	ENSSSCG00000011735	Sus_scrofa_strain_reference
ENSVPAP00000008196	ENSVPAG00000008803	Vicugna_pacos
ENSUMAP00000033701	ENSUMAG00000024269	Ursus_maritimus
ENSUAMP00000004852	ENSUAMG00000000417	Ursus_americanus
ENSAMEP00000008261	ENSAMEG00000007629	Ailuropoda_melanoleuca
ENSMPUP00000009565	ENSMPUG00000009641	Mustela_putorius_furo
ENSNVIP00000009974	ENSNVIG00000007824	Neovison_vison
ENSCAFP00000021304	ENSCAFG00000014397	Canis_lupus_familiaris
ENSCAFP00020027013	ENSCAFG00020021188	Canis_lupus_dingo
ENSVVUP00000042188	ENSVVUG00000029971	Vulpes_vulpes
ENSPPRP00000028797	ENSPPRG00000021215	Panthera_pardus
ENSPTIP00000009818	ENSPTIG00000010753	Panthera_tigris_altaica
ENSFCAP00000021521	ENSFCAG00000021985	Felis_catus
ENSPVAP00000010934	ENSPVAG00000011598	Pteropus_vampyrus
ENSMLUP00000000825	ENSMLUG00000000881	Myotis_lucifugus
ENSSARP00000001770	ENSSARG00000001906	Sorex_araneus
ENSEEUP00000001558	ENSEEUG00000001695	Erinaceus_europaeus
ENSECAP00000019567	ENSECAG00000021256	Equus_caballus
ENSEASP00005029525	ENSEASG00005020052	Equus_asinus_asinus
ENSCHOP00000011389	ENSCHOG00000012820	Choloepus_hoffmanni
ENSDNOP00000015497	ENSDNOG00000019975	Dasypus_novemcinctus
ENSLAFP00000012050	ENSLAFG00000014390	Loxodonta_africana	ENSLAFT00000014391
ENSPCAP00000007846	ENSPCAG00000008204	Procavia_capensis	ENSPCAT00000008394
ENSETEP00000006250	ENSETEG00000007692	Echinops_telfairi	ENSETET00000007696
ENSOANP00000032555	ENSOANG00000028752	Ornithorhynchus_anatinus
ENSOANP00000023499	ENSOANG00000014928	Ornithorhynchus_anatinus
