ENSPMAP00000001011	ENSPMAG00000000905	Petromyzon_marinus	ENSPMAT00000001015
ENSEBUP00000016436	ENSEBUG00000010311	Eptatretus_burgeri	ENSEBUT00000017012
ENSSMAP00000009584	ENSSMAG00000005863	Scophthalmus_maximus
ENSDCDP00000032429	ENSDCDG00000021971	Denticeps_clupeoides	ENSDCDT00000041831
ENSSFOP00015004914	ENSSFOG00015003167	Scleropages_formosus
ENSPKIP00000032075	ENSPKIG00000012301	Paramormyrops_kingsleyae
ENSHHUP00000076178	ENSHHUG00000044594	Hucho_hucho
ENSHHUP00000076190	ENSHHUG00000044597	Hucho_hucho
ENSHHUP00000029681	ENSHHUG00000018847	Hucho_hucho
ENSELUP00000031122	ENSELUG00000008578	Esox_lucius
ENSLOCP00000015113	ENSLOCG00000012279	Lepisosteus_oculatus
ENSACAP00000003022	ENSACAG00000002943	Anolis_carolinensis
ENSPVIP00000003783	ENSPVIG00000003119	Pogona_vitticeps
ENSNSUP00000010375	ENSNSUG00000007874	Notechis_scutatus
ENSSMRP00000018403	ENSSMRG00000014318	Salvator_merianae
ENSSPUP00000002783	ENSSPUG00000002153	Sphenodon_punctatus
ENSARWP00000024594	ENSARWG00000016754	Apteryx_rowi
ENSAOWP00000009762	ENSAOWG00000006700	Apteryx_owenii
ENSAHAP00000024883	ENSAHAG00000017277	Apteryx_haastii
ENSDNVP00000012114	ENSDNVG00000008544	Dromaius_novaehollandiae
ENSNPEP00000002718	ENSNPEG00000002098	Nothoprocta_perdicaria
ENSTGUP00000000850	ENSTGUG00000000820	Taeniopygia_guttata
ENSLSDP00000022965	ENSLSDG00000016195	Lonchura_striata_domestica
ENSSCAP00000011110	ENSSCAG00000008382	Serinus_canaria
ENSJHYP00000008510	ENSJHYG00000006727	Junco_hyemalis
ENSZALP00000000280	ENSZALG00000000323	Zonotrichia_albicollis
ENSFALP00000007289	ENSFALG00000006971	Ficedula_albicollis
ENSCCEP00000014888	ENSCCEG00000014184	Cyanistes_caeruleus
ENSPMJP00000006608	ENSPMJG00000005524	Parus_major
ENSMVIP00005013892	ENSMVIG00005010044	Manacus_vitellinus
ENSLCOP00000022456	ENSLCOG00000015794	Lepidothrix_coronata
ENSMUNP00000008835	ENSMUNG00000006985	Melopsittacus_undulatus
ENSCPGP00000008103	ENSCPGG00000005767	Calidris_pygmaea
ENSCPUP00000028587	ENSCPUG00000019224	Calidris_pugnax
ENSAPLP00000013661	ENSAPLG00000013790	Anas_platyrhynchos_platyrhynchos
ENSAPLP00000029814	ENSAPLG00000026444	Anas_platyrhynchos_platyrhynchos
ENSABRP00000019434	ENSABRG00000016673	Anser_brachyrhynchus
ENSMGAP00000019726	ENSMGAG00000016591	Meleagris_gallopavo
ENSMGAP00000005428	ENSMGAG00000005510	Meleagris_gallopavo
ENSCJPP00005003054	ENSCJPG00005003301	Coturnix_japonica
ENSGALP00000010821	ENSGALG00000006703	Gallus_gallus
ENSNMEP00000008361	ENSNMEG00000008162	Numida_meleagris
ENSCPRP00005009109	ENSCPRG00005006486	Crocodylus_porosus
ENSCABP00000029279	ENSCABG00000021499	Chelonoidis_abingdonii
ENSGAGP00000025587	ENSGAGG00000018689	Gopherus_agassizii
ENSCPBP00000010959	ENSCPBG00000008398	Chrysemys_picta_bellii
ENSPSIP00000005853	ENSPSIG00000005442	Pelodiscus_sinensis
MGP_SPRETEiJ_P0035197	MGP_SPRETEiJ_G0019073	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000152412	ENSMUSG00000021149	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000029017	ENSMSIG00000024330	Mus_spicilegus
MGP_CAROLIEiJ_P0033642	MGP_CAROLIEiJ_G0018215	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0040240	MGP_PahariEiJ_G0019265	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000064860	ENSRNOG00000016217	Rattus_norvegicus
ENSMUGP00000032179	ENSMUGG00000026768	Meriones_unguiculatus
ENSPEMP00000015624	ENSPEMG00000015091	Peromyscus_maniculatus_bairdii
ENSPEMP00000011725	ENSPEMG00000012279	Peromyscus_maniculatus_bairdii
ENSMOCP00000002775	ENSMOCG00000002209	Microtus_ochrogaster
ENSCGRP00001012324	ENSCGRG00001013765	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015019368	ENSCGRG00015014863	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000016757	ENSCGRG00000012171	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000000722	ENSMAUG00000000571	Mesocricetus_auratus
ENSNGAP00000013923	ENSNGAG00000015364	Nannospalax_galili
ENSJJAP00000005044	ENSJJAG00000010021	Jaculus_jaculus
ENSDORP00000010230	ENSDORG00000010884	Dipodomys_ordii
ENSCCNP00000031473	ENSCCNG00000029984	Castor_canadensis
ENSMMMP00000014227	ENSMMMG00000012658	Marmota_marmota_marmota
ENSMMMP00000013907	ENSMMMG00000012389	Marmota_marmota_marmota
ENSSTOP00000009009	ENSSTOG00000010042	Ictidomys_tridecemlineatus
ENSUPAP00010025332	ENSUPAG00010020038	Urocitellus_parryii
ENSUPAP00010007572	ENSUPAG00010006091	Urocitellus_parryii
ENSSTOP00000024161	ENSSTOG00000023023	Ictidomys_tridecemlineatus
ENSSDAP00000015326	ENSSDAG00000013786	Spermophilus_dauricus
ENSODEP00000001214	ENSODEG00000000962	Octodon_degus
ENSODEP00000025828	ENSODEG00000019152	Octodon_degus
ENSCLAP00000016470	ENSCLAG00000011323	Chinchilla_lanigera
ENSHGLP00100024307	ENSHGLG00100017850	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000018263	ENSHGLG00000013071	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003885	ENSHGLG00100002964	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000014002	ENSFDAG00000000998	Fukomys_damarensis
ENSCPOP00000012373	ENSCPOG00000013736	Cavia_porcellus
ENSCAPP00000001224	ENSCAPG00000002134	Cavia_aperea
ENSOCUP00000012655	ENSOCUG00000016120	Oryctolagus_cuniculus
ENSOCUP00000003127	ENSOCUG00000014716	Oryctolagus_cuniculus
ENSOCUP00000040446	ENSOCUG00000036144	Oryctolagus_cuniculus
ENSOPRP00000007944	ENSOPRG00000008671	Ochotona_princeps
ENSMICP00000036687	ENSMICG00000013332	Microcebus_murinus
ENSPSMP00000011942	ENSPSMG00000008543	Prolemur_simus
ENSPCOP00000006844	ENSPCOG00000014602	Propithecus_coquereli
ENSPCOP00000006437	ENSPCOG00000014382	Propithecus_coquereli
ENSOGAP00000010690	ENSOGAG00000011941	Otolemur_garnettii
ENSTSYP00000004553	ENSTSYG00000004977	Carlito_syrichta
ENSTGEP00000025777	ENSTGEG00000020759	Theropithecus_gelada
ENSPANP00000019796	ENSPANG00000023543	Papio_anubis
ENSCATP00000000909	ENSCATG00000004303	Cercocebus_atys
ENSMLEP00000030851	ENSMLEG00000039605	Mandrillus_leucophaeus
ENSMNEP00000043367	ENSMNEG00000044366	Macaca_nemestrina
ENSMFAP00000040177	ENSMFAG00000046251	Macaca_fascicularis
ENSMMUP00000058354	ENSMMUG00000010813	Macaca_mulatta
ENSCSAP00000010232	ENSCSAG00000014097	Chlorocebus_sabaeus
ENSRROP00000013024	ENSRROG00000030798	Rhinopithecus_roxellana
ENSRBIP00000010034	ENSRBIG00000028875	Rhinopithecus_bieti
ENSPTEP00000019806	ENSPTEG00000021097	Piliocolobus_tephrosceles
ENSCANP00000004137	ENSCANG00000014168	Colobus_angolensis_palliatus
ENSPPAP00000038708	ENSPPAG00000042066	Pan_paniscus
ENSPTRP00000003778	ENSPTRG00000002236	Pan_troglodytes
ENSP00000354040	ENSG00000107937	Homo_sapiens
ENSGGOP00000013050	ENSGGOG00000013372	Gorilla_gorilla
ENSPPYP00000002356	ENSPPYG00000002037	Pongo_abelii
ENSNLEP00000041190	ENSNLEG00000013495	Nomascus_leucogenys
ENSSBOP00000023846	ENSSBOG00000028421	Saimiri_boliviensis_boliviensis
ENSCCAP00000007792	ENSCCAG00000021627	Cebus_capucinus_imitator
ENSCCAP00000024658	ENSCCAG00000030115	Cebus_capucinus_imitator
ENSCJAP00000015718	ENSCJAG00000008494	Callithrix_jacchus
ENSANAP00000022909	ENSANAG00000029209	Aotus_nancymaae
ENSANAP00000008566	ENSANAG00000022188	Aotus_nancymaae
ENSTBEP00000003147	ENSTBEG00000003613	Tupaia_belangeri
ENSSARP00000003091	ENSSARG00000003409	Sorex_araneus
ENSEEUP00000009044	ENSEEUG00000009889	Erinaceus_europaeus
ENSPVAP00000005564	ENSPVAG00000005882	Pteropus_vampyrus
ENSCAFP00020005254	ENSCAFG00020004307	Canis_lupus_dingo
ENSCAFP00000008276	ENSCAFG00000005536	Canis_lupus_familiaris
ENSVVUP00000011681	ENSVVUG00000008608	Vulpes_vulpes
ENSNVIP00000013032	ENSNVIG00000010288	Neovison_vison
ENSMPUP00000016117	ENSMPUG00000016221	Mustela_putorius_furo
ENSUMAP00000022057	ENSUMAG00000016138	Ursus_maritimus
ENSUAMP00000018413	ENSUAMG00000013191	Ursus_americanus
ENSAMEP00000001997	ENSAMEG00000001845	Ailuropoda_melanoleuca
ENSPTIP00000006740	ENSPTIG00000008569	Panthera_tigris_altaica
ENSPPRP00000018148	ENSPPRG00000009895	Panthera_pardus
ENSFCAP00000023628	ENSFCAG00000026213	Felis_catus
ENSOARP00000016149	ENSOARG00000015047	Ovis_aries
ENSCHIP00000019316	ENSCHIG00000018346	Capra_hircus
ENSBIXP00000014724	ENSBIXG00000019357	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005032259	ENSBIXG00005012740	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000019864	ENSBTAG00000014917	Bos_taurus
ENSBMUP00000004612	ENSBMUG00000003633	Bos_mutus
ENSBBBP00000013121	ENSBBBG00000005599	Bison_bison_bison
ENSSSCP00000024246	ENSSSCG00000028602	Sus_scrofa_strain_reference
ENSTTRP00000010589	ENSTTRG00000011163	Tursiops_truncatus
ENSMLUP00000019092	ENSMLUG00000028192	Myotis_lucifugus
ENSECAP00000002904	ENSECAG00000001700	Equus_caballus
ENSEASP00005028074	ENSEASG00005019082	Equus_asinus_asinus
ENSLAFP00000015575	ENSLAFG00000018578	Loxodonta_africana
ENSPCAP00000005796	ENSPCAG00000006152	Procavia_capensis
ENSETEP00000013666	ENSETEG00000016840	Echinops_telfairi
ENSCHOP00000011168	ENSCHOG00000012602	Choloepus_hoffmanni
ENSDNOP00000005243	ENSDNOG00000006746	Dasypus_novemcinctus
ENSVURP00010013363	ENSVURG00010010258	Vombatus_ursinus
ENSPCIP00000035273	ENSPCIG00000026082	Phascolarctos_cinereus
ENSMEUP00000014834	ENSMEUG00000016215	Notamacropus_eugenii
ENSSHAP00000017310	ENSSHAG00000014713	Sarcophilus_harrisii
ENSMODP00000033364	ENSMODG00000005978	Monodelphis_domestica
ENSOANP00000009717	ENSOANG00000006095	Ornithorhynchus_anatinus
ENSOANP00000009710	ENSOANG00000006094	Ornithorhynchus_anatinus
ENSLACP00000001622	ENSLACG00000001449	Latimeria_chalumnae
ENSECRP00000007457	ENSECRG00000004962	Erpetoichthys_calabaricus
ENSCMIP00000004703	ENSCMIG00000002767	Callorhinchus_milii
ENSXETP00000007103	ENSXETG00000007719	Xenopus_tropicalis
ENSMGAP00000013040	ENSMGAG00000012385	Meleagris_gallopavo
ENSSPAP00000019366	ENSSPAG00000014611	Stegastes_partitus
ENSCINP00000003955	ENSCING00000001957	Ciona_intestinalis
ENSCINP00000032811	ENSCING00000024248	Ciona_intestinalis
ENSCSAVP00000016666	ENSCSAVG00000009793	Ciona_savignyi
T07A9.9.2	WBGene00020297	Caenorhabditis_elegans_strain_N2
FBpp0289874	FBgn0028473	Drosophila_melanogaster
ENSBTAP00000066079	ENSBTAG00000054119	Bos_taurus
ENSPTEP00000003150	ENSPTEG00000003738	Piliocolobus_tephrosceles
ENSPTEP00000006957	ENSPTEG00000007956	Piliocolobus_tephrosceles
YPL093W_mRNA	YPL093W	Saccharomyces_cerevisiae_strain_S288C
