ENSFALP00000008683	ENSFALG00000008330	Ficedula_albicollis
ENSFCAP00000038809	ENSFCAG00000004159	Felis_catus
ENSELUP00000025880	ENSELUG00000024609	Esox_lucius
ENSACLP00000000098	ENSACLG00000000049	Astatotilapia_calliptera
ENSAPEP00000028523	ENSAPEG00000020235	Amphiprion_percula
ENSSMRP00000008005	ENSSMRG00000006415	Salvator_merianae	ENSSMRT00000009344
ENSSMAP00000005124	ENSSMAG00000003113	Scophthalmus_maximus
ENSHHUP00000002908	ENSHHUG00000001745	Hucho_hucho
ENSSDUP00000019574	ENSSDUG00000014251	Seriola_dumerili
ENSUAMP00000010036	ENSUAMG00000007588	Ursus_americanus
ENSPFOP00000021594	ENSPFOG00000015767	Poecilia_formosa
ENSBTAP00000050463	ENSBTAG00000053984	Bos_taurus
ENSANAP00000002233	ENSANAG00000017649	Aotus_nancymaae
ENSLAFP00000006381	ENSLAFG00000007594	Loxodonta_africana
ENSTTRP00000009943	ENSTTRG00000010480	Tursiops_truncatus
ENSCSAP00000013903	ENSCSAG00000017883	Chlorocebus_sabaeus
ENSHGLP00100020435	ENSHGLG00100015058	Heterocephalus_glaber_HetGla_1.0
ENSCCAP00000019143	ENSCCAG00000027401	Cebus_capucinus_imitator
ENSHHUP00000074567	ENSHHUG00000043710	Hucho_hucho
ENSCCAP00000000840	ENSCCAG00000004898	Cebus_capucinus_imitator
ENSSPAP00000016466	ENSSPAG00000012389	Stegastes_partitus
ENSSLDP00000029878	ENSSLDG00000023034	Seriola_lalandi_dorsalis
ENSDNOP00000004566	ENSDNOG00000005895	Dasypus_novemcinctus
ENSMNEP00000008488	ENSMNEG00000028724	Macaca_nemestrina
ENSMODP00000051932	ENSMODG00000009947	Monodelphis_domestica
ENSGALP00000069677	ENSGALG00000041263	Gallus_gallus	ENSGALT00000108313
ENSCANP00000005506	ENSCANG00000018654	Colobus_angolensis_palliatus
ENSLCRP00005024401	ENSLCRG00005009782	Larimichthys_crocea
ENSCMIP00000045573	ENSCMIG00000018777	Callorhinchus_milii
ENSGAFP00000030758	ENSGAFG00000020726	Gambusia_affinis
ENSTSYP00000009034	ENSTSYG00000009831	Carlito_syrichta
ENSPMGP00000014957	ENSPMGG00000012255	Periophthalmus_magnuspinnatus
ENSVVUP00000037195	ENSVVUG00000026606	Vulpes_vulpes
ENSAOCP00000006091	ENSAOCG00000009729	Amphiprion_ocellaris
ENSCPBP00000004131	ENSCPBG00000003355	Chrysemys_picta_bellii
ENSTGUP00000014538	ENSTGUG00000014146	Taeniopygia_guttata
ENSNMEP00000009518	ENSNMEG00000009196	Numida_meleagris	ENSNMET00000015190
ENSACIP00000030399	ENSACIG00000023526	Amphilophus_citrinellus
ENSBIXP00005036299	ENSBIXG00005017854	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMSIP00000012881	ENSMSIG00000011150	Mus_spicilegus
ENSMSIP00000025901	ENSMSIG00000021753	Mus_spicilegus
ENSAMXP00000012255	ENSAMXG00000011924	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSKMAP00000009699	ENSKMAG00000007285	Kryptolebias_marmoratus
ENSPNAP00000023790	ENSPNAG00000000892	Pygocentrus_nattereri
ENSDNVP00000018342	ENSDNVG00000012836	Dromaius_novaehollandiae	ENSDNVT00000022093
ENSAMXP00005003533	ENSAMXG00005002234	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSORLP00020012051	ENSORLG00020012987	Oryzias_latipes_ASM223471v1
ENSOGAP00000004748	ENSOGAG00000005305	Otolemur_garnettii
ENSCHAP00000018869	ENSCHAG00000009344	Clupea_harengus
ENSSCAP00000017157	ENSSCAG00000012477	Serinus_canaria	ENSSCAT00000019219
ENSHBUP00000000924	ENSHBUG00000002122	Haplochromis_burtoni
ENSSPAP00000010297	ENSSPAG00000007829	Stegastes_partitus
ENSHGLP00000005125	ENSHGLG00000003756	Heterocephalus_glaber_HetGla_female_1.0
ENSCGRP00015013414	ENSCGRG00015009502	Cricetulus_griseus_CriGri-PICR
ENSTRUP00000018822	ENSTRUG00000007595	Takifugu_rubripes
ENSJHYP00000020382	ENSJHYG00000015476	Junco_hyemalis
ENSEASP00005029170	ENSEASG00005019864	Equus_asinus_asinus
ENSPMGP00000022368	ENSPMGG00000018076	Periophthalmus_magnuspinnatus
ENSSHAP00000014787	ENSSHAG00000012623	Sarcophilus_harrisii
ENSSSCP00000032510	ENSSSCG00000033919	Sus_scrofa_strain_reference
ENSGWIP00000020525	ENSGWIG00000010684	Gouania_willdenowi
ENSCJAP00000033711	ENSCJAG00000018203	Callithrix_jacchus
ENSPSMP00000031732	ENSPSMG00000021995	Prolemur_simus
ENSLOCP00000010215	ENSLOCG00000008398	Lepisosteus_oculatus
ENSOANP00000024392	ENSOANG00000015492	Ornithorhynchus_anatinus
ENSZALP00000004134	ENSZALG00000003942	Zonotrichia_albicollis
ENSPSIP00000014119	ENSPSIG00000012672	Pelodiscus_sinensis
ENSEEUP00000006126	ENSEEUG00000006701	Erinaceus_europaeus
ENSTGUP00000012233	ENSTGUG00000011857	Taeniopygia_guttata
ENSPMJP00000020123	ENSPMJG00000015012	Parus_major
ENSEEEP00000012325	ENSEEEG00000006202	Electrophorus_electricus
ENSONIP00000006975	ENSONIG00000005549	Oreochromis_niloticus
ENSTNIP00000012816	ENSTNIG00000009924	Tetraodon_nigroviridis
ENSCHIP00000026404	ENSCHIG00000022767	Capra_hircus
ENSTGEP00000029334	ENSTGEG00000023578	Theropithecus_gelada
ENSHHUP00000068507	ENSHHUG00000040361	Hucho_hucho
ENSUPAP00010002016	ENSUPAG00010000839	Urocitellus_parryii
ENSAOCP00000004643	ENSAOCG00000008138	Amphiprion_ocellaris
ENSBIXP00000027140	ENSBIXG00000028718	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSVVUP00000037201	ENSVVUG00000026611	Vulpes_vulpes
ENSDORP00000021448	ENSDORG00000002991	Dipodomys_ordii
ENSCAFP00020027447	ENSCAFG00020021539	Canis_lupus_dingo
ENSCLAP00000009856	ENSCLAG00000006827	Chinchilla_lanigera
ENSNGAP00000011644	ENSNGAG00000013693	Nannospalax_galili
ENSPVAP00000006107	ENSPVAG00000006463	Pteropus_vampyrus
ENSFDAP00000013680	ENSFDAG00000000529	Fukomys_damarensis
ENSCGRP00001008217	ENSCGRG00001010497	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAMP00000021132	ENSMAMG00000014182	Mastacembelus_armatus
ENSPTEP00000022542	ENSPTEG00000023460	Piliocolobus_tephrosceles
ENSGWIP00000034928	ENSGWIG00000017320	Gouania_willdenowi
ENSPNYP00000017401	ENSPNYG00000013160	Pundamilia_nyererei
ENSOPRP00000010957	ENSOPRG00000012015	Ochotona_princeps
ENSXMAP00000008606	ENSXMAG00000008579	Xiphophorus_maculatus
ENSSARP00000005103	ENSSARG00000005592	Sorex_araneus
ENSHCOP00000021776	ENSHCOG00000008938	Hippocampus_comes
ENSPFOP00000016019	ENSPFOG00000015952	Poecilia_formosa
ENSSDAP00000008989	ENSSDAG00000007444	Spermophilus_dauricus
ENSHCOP00000021551	ENSHCOG00000008492	Hippocampus_comes
ENSPNAP00000014171	ENSPNAG00000020123	Pygocentrus_nattereri
ENSONIP00000015880	ENSONIG00000012617	Oreochromis_niloticus
ENSCSEP00000016511	ENSCSEG00000010608	Cynoglossus_semilaevis
ENSAMXP00005054011	ENSAMXG00005024085	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSGMOP00000006603	ENSGMOG00000006217	Gadus_morhua
ENSMZEP00005015456	ENSMZEG00005011599	Maylandia_zebra
ENSLCAP00010047451	ENSLCAG00010021957	Lates_calcarifer
ENSBMUP00000018054	ENSBMUG00000013658	Bos_mutus
ENSMLUP00000006026	ENSMLUG00000006596	Myotis_lucifugus
ENSDCDP00000041626	ENSDCDG00000027006	Denticeps_clupeoides
ENSCSAP00000013905	ENSCSAG00000017885	Chlorocebus_sabaeus
ENSMMMP00000025742	ENSMMMG00000022381	Marmota_marmota_marmota
ENSHHUP00000074583	ENSHHUG00000043761	Hucho_hucho
ENSOCUP00000030979	ENSOCUG00000017848	Oryctolagus_cuniculus
ENSCAFP00000065669	ENSCAFG00000006231	Canis_lupus_familiaris
ENSAHAP00000007815	ENSAHAG00000005819	Apteryx_haastii	ENSAHAT00000008703
ENSNPEP00000021559	ENSNPEG00000015878	Nothoprocta_perdicaria	ENSNPET00000022111
ENSMLUP00000022031	ENSMLUG00000027537	Myotis_lucifugus
ENSFHEP00000007471	ENSFHEG00000008646	Fundulus_heteroclitus
ENSPNYP00000015114	ENSPNYG00000011397	Pundamilia_nyererei
ENSCCEP00000011113	ENSCCEG00000010931	Cyanistes_caeruleus	ENSCCET00000017447
ENSPMEP00000021048	ENSPMEG00000000985	Poecilia_mexicana
ENSMLEP00000037318	ENSMLEG00000042752	Mandrillus_leucophaeus
ENSPFOP00000006480	ENSPFOG00000006204	Poecilia_formosa
ENSPCOP00000010924	ENSPCOG00000016947	Propithecus_coquereli
ENSMMOP00000020888	ENSMMOG00000015872	Mola_mola
ENSMPUP00000001840	ENSMPUG00000001856	Mustela_putorius_furo
ENSSMAP00000011138	ENSSMAG00000006855	Scophthalmus_maximus
ENSVURP00010025672	ENSVURG00010019643	Vombatus_ursinus
ENSGACP00000027182	ENSGACG00000020560	Gasterosteus_aculeatus
ENSAPEP00000014330	ENSAPEG00000010187	Amphiprion_percula
ENSBTAP00000053753	ENSBTAG00000038495	Bos_taurus
ENSCPGP00000025145	ENSCPGG00000017322	Calidris_pygmaea
ENSXETP00000021649	ENSXETG00000006200	Xenopus_tropicalis
ENSCSEP00000019130	ENSCSEG00000012243	Cynoglossus_semilaevis
ENSORLP00015032456	ENSORLG00015017341	Oryzias_latipes_ASM223469v1
ENSPRNP00000015991	ENSPRNG00000008530	Parambassis_ranga
ENSIPUP00000014253	ENSIPUG00000009722	Ictalurus_punctatus
ENSSFOP00015008414	ENSSFOG00015005506	Scleropages_formosus
ENSNBRP00000000616	ENSNBRG00000000522	Neolamprologus_brichardi
ENSMGAP00000015973	ENSMGAG00000015065	Meleagris_gallopavo	ENSMGAT00000016939
ENSAOWP00000008792	ENSAOWG00000006028	Apteryx_owenii	ENSAOWT00000009947
ENSAHAP00000007807	ENSAHAG00000005815	Apteryx_haastii	ENSAHAT00000008695
ENSABRP00000006664	ENSABRG00000006124	Anser_brachyrhynchus
ENSBSLP00000040177	ENSBSLG00000019205	Betta_splendens
ENSSBOP00000038405	ENSSBOG00000035278	Saimiri_boliviensis_boliviensis
ENSPNYP00000017420	ENSPNYG00000013191	Pundamilia_nyererei
ENSLACP00000016438	ENSLACG00000014484	Latimeria_chalumnae
ENSPANP00000033686	ENSPANG00000003398	Papio_anubis
ENSKMAP00000007141	ENSKMAG00000005395	Kryptolebias_marmoratus
ENSSHAP00000012359	ENSSHAG00000010588	Sarcophilus_harrisii
ENSECAP00000046467	ENSECAG00000007300	Equus_caballus
ENSMALP00000025828	ENSMALG00000017952	Monopterus_albus
ENSBSLP00000030411	ENSBSLG00000014920	Betta_splendens
MGP_PahariEiJ_P0068671	MGP_PahariEiJ_G0026442	Mus_pahari_strain_PAHARI_EIJ
ENSAPLP00000023255	ENSAPLG00000009916	Anas_platyrhynchos_platyrhynchos
ENSPPYP00000006009	ENSPPYG00000005275	Pongo_abelii
ENSELUP00000030991	ENSELUG00000008432	Esox_lucius
ENSMMOP00000013769	ENSMMOG00000010542	Mola_mola
ENSMEUP00000005794	ENSMEUG00000006352	Notamacropus_eugenii
ENSANAP00000005288	ENSANAG00000020745	Aotus_nancymaae
ENSMZEP00005032887	ENSMZEG00005024484	Maylandia_zebra
ENSRROP00000004785	ENSRROG00000019788	Rhinopithecus_roxellana
ENSPVIP00000018808	ENSPVIG00000014397	Pogona_vitticeps	ENSPVIT00000023386
ENSMVIP00005007415	ENSMVIG00005005558	Manacus_vitellinus	ENSMVIT00005008475
ENSSFOP00015001588	ENSSFOG00015001060	Scleropages_formosus
ENSRBIP00000006889	ENSRBIG00000027120	Rhinopithecus_bieti
ENSGGOP00000029318	ENSGGOG00000006447	Gorilla_gorilla
ENSACAP00000004172	ENSACAG00000004272	Anolis_carolinensis	ENSACAT00000004271
ENSSPUP00000014087	ENSSPUG00000010484	Sphenodon_punctatus
ENSGMOP00000001536	ENSGMOG00000001463	Gadus_morhua
ENSEEEP00000018887	ENSEEEG00000009198	Electrophorus_electricus
ENSPREP00000017013	ENSPREG00000011505	Poecilia_reticulata
ENSHHUP00000033499	ENSHHUG00000021124	Hucho_hucho
ENSPPRP00000022314	ENSPPRG00000012929	Panthera_pardus
ENSMAMP00000016032	ENSMAMG00000010852	Mastacembelus_armatus
ENSAPOP00000032741	ENSAPOG00000020909	Acanthochromis_polyacanthus
ENSP00000353846	ENSG00000133083	Homo_sapiens
ENSNSUP00000014650	ENSNSUG00000010851	Notechis_scutatus	ENSNSUT00000015596
ENSMUNP00000016084	ENSMUNG00000012375	Melopsittacus_undulatus
ENSCAPP00000001980	ENSCAPG00000004258	Cavia_aperea
ENSPRNP00000023139	ENSPRNG00000011453	Parambassis_ranga
ENSCPRP00005007607	ENSCPRG00005005403	Crocodylus_porosus
ENSOMEP00000001393	ENSOMEG00000002299	Oryzias_melastigma
ENSAMXP00000016352	ENSAMXG00000015867	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSCAP00000017105	ENSSCAG00000012335	Serinus_canaria
ENSMOCP00000005817	ENSMOCG00000005325	Microtus_ochrogaster
ENSECRP00000001322	ENSECRG00000000921	Erpetoichthys_calabaricus
ENSDARP00000131881	ENSDARG00000104664	Danio_rerio
ENSNBRP00000016949	ENSNBRG00000013069	Neolamprologus_brichardi
ENSXCOP00000013347	ENSXCOG00000010116	Xiphophorus_couchianus
ENSTNIP00000019361	ENSTNIG00000016267	Tetraodon_nigroviridis
ENSCPUP00000019158	ENSCPUG00000013215	Calidris_pugnax
ENSORLP00015033671	ENSORLG00015019199	Oryzias_latipes_ASM223469v1
ENSMVIP00005007384	ENSMVIG00005005543	Manacus_vitellinus
ENSVPAP00000006770	ENSVPAG00000007279	Vicugna_pacos
ENSARWP00000024064	ENSARWG00000016329	Apteryx_rowi	ENSARWT00000027273
ENSMUGP00000005319	ENSMUGG00000004089	Meriones_unguiculatus
ENSPKIP00000014642	ENSPKIG00000001591	Paramormyrops_kingsleyae
ENSPMEP00000024529	ENSPMEG00000006915	Poecilia_mexicana
ENSANAP00000033551	ENSANAG00000034415	Aotus_nancymaae
ENSORLP00000004903	ENSORLG00000003926	Oryzias_latipes_ASM223467v1
ENSCVAP00000009801	ENSCVAG00000011853	Cyprinodon_variegatus
ENSPTRP00000083255	ENSPTRG00000005778	Pan_troglodytes
ENSCGRP00000019037	ENSCGRG00000013862	Cricetulus_griseus_CriGri_1.0
ENSLCOP00000016457	ENSLCOG00000011731	Lepidothrix_coronata
ENSPEMP00000007098	ENSPEMG00000009104	Peromyscus_maniculatus_bairdii
ENSLBEP00000003571	ENSLBEG00000002704	Labrus_bergylta
ENSCGOP00000049079	ENSCGOG00000021775	Cottoperca_gobio
ENSORLP00000004580	ENSORLG00000003672	Oryzias_latipes_ASM223467v1
ENSFHEP00000000643	ENSFHEG00000001383	Fundulus_heteroclitus
ENSNSUP00000014648	ENSNSUG00000010849	Notechis_scutatus	ENSNSUT00000015594
ENSCCEP00000011381	ENSCCEG00000010932	Cyanistes_caeruleus
ENSARWP00000024097	ENSARWG00000016419	Apteryx_rowi	ENSARWT00000027307
MGP_SPRETEiJ_P0059990	MGP_SPRETEiJ_G0025936	Mus_spretus_strain_SPRET/EiJ
ENSCAFP00020027494	ENSCAFG00020021550	Canis_lupus_dingo
ENSORLP00020029574	ENSORLG00020013593	Oryzias_latipes_ASM223471v1
ENSMFAP00000014181	ENSMFAG00000030114	Macaca_fascicularis
ENSTBEP00000012277	ENSTBEG00000014161	Tupaia_belangeri
ENSJJAP00000013631	ENSJJAG00000016300	Jaculus_jaculus
ENSCHAP00000038003	ENSCHAG00000017838	Clupea_harengus
ENSSDUP00000016005	ENSSDUG00000011649	Seriola_dumerili
ENSMAUP00000018995	ENSMAUG00000017412	Mesocricetus_auratus
ENSPLAP00000030100	ENSPLAG00000020913	Poecilia_latipinna
ENSNLEP00000030022	ENSNLEG00000001363	Nomascus_leucogenys
ENSBMUP00000000959	ENSBMUG00000000808	Bos_mutus
MGP_CAROLIEiJ_P0057714	MGP_CAROLIEiJ_G0025001	Mus_caroli_strain_CAROLI_EIJ
ENSSLDP00000000174	ENSSLDG00000000109	Seriola_lalandi_dorsalis
