ENSGGOP00000014240	ENSGGOG00000014596	Gorilla_gorilla
ENSTTRP00000008886	ENSTTRG00000009374	Tursiops_truncatus
ENSZALP00000000788	ENSZALG00000000916	Zonotrichia_albicollis
ENSTBEP00000012484	ENSTBEG00000014394	Tupaia_belangeri
ENSPVIP00000000869	ENSPVIG00000000804	Pogona_vitticeps	ENSPVIT00000001131
ENSPTRP00000001206	ENSPTRG00000000693	Pan_troglodytes
ENSCPUP00000017235	ENSCPUG00000011886	Calidris_pugnax
ENSSSCP00000050676	ENSSSCG00000003901	Sus_scrofa_strain_reference
ENSAMEP00000014745	ENSAMEG00000013963	Ailuropoda_melanoleuca
ENSCATP00000039865	ENSCATG00000042523	Cercocebus_atys
ENSCJAP00000039354	ENSCJAG00000021138	Callithrix_jacchus
ENSXETP00000051118	ENSXETG00000018521	Xenopus_tropicalis
ENSPCIP00000039583	ENSPCIG00000029036	Phascolarctos_cinereus
ENSMSIP00000017673	ENSMSIG00000015049	Mus_spicilegus
ENSPTIP00000004325	ENSPTIG00000006853	Panthera_tigris_altaica
ENSCCEP00000014026	ENSCCEG00000013419	Cyanistes_caeruleus
ENSJJAP00000002800	ENSJJAG00000005088	Jaculus_jaculus
ENSNMEP00000025379	ENSNMEG00000021486	Numida_meleagris
ENSFCAP00000003188	ENSFCAG00000003454	Felis_catus
ENSCAFP00020018950	ENSCAFG00020015043	Canis_lupus_dingo
ENSACAP00000002032	ENSACAG00000002040	Anolis_carolinensis	ENSACAT00000002080
MGP_CAROLIEiJ_P0063724	MGP_CAROLIEiJ_G0026321	Mus_caroli_strain_CAROLI_EIJ
ENSAHAP00000021490	ENSAHAG00000015066	Apteryx_haastii
ENSECAP00000021343	ENSECAG00000023711	Equus_caballus
ENSMFAP00000039967	ENSMFAG00000046153	Macaca_fascicularis
ENSCHIP00000025588	ENSCHIG00000022289	Capra_hircus
ENSMODP00000002423	ENSMODG00000001986	Monodelphis_domestica
ENSBIXP00000023581	ENSBIXG00000005354	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSHGLP00000003468	ENSHGLG00000002561	Heterocephalus_glaber_HetGla_female_1.0
ENSMLUP00000004977	ENSMLUG00000005452	Myotis_lucifugus
ENSPANP00000038158	ENSPANG00000024429	Papio_anubis
ENSMPUP00000012688	ENSMPUG00000012783	Mustela_putorius_furo
MGP_PahariEiJ_P0078831	MGP_PahariEiJ_G0028653	Mus_pahari_strain_PAHARI_EIJ
ENSAOWP00000013318	ENSAOWG00000009036	Apteryx_owenii
ENSNLEP00000020025	ENSNLEG00000016464	Nomascus_leucogenys
ENSCPOP00000010246	ENSCPOG00000011399	Cavia_porcellus
ENSNSUP00000022224	ENSNSUG00000016160	Notechis_scutatus	ENSNSUT00000023638
ENSNGAP00000020025	ENSNGAG00000019634	Nannospalax_galili
ENSRBIP00000019379	ENSRBIG00000033681	Rhinopithecus_bieti
ENSHHUP00000019214	ENSHHUG00000012004	Hucho_hucho
ENSJHYP00000010874	ENSJHYG00000008499	Junco_hyemalis
ENSPEMP00000006773	ENSPEMG00000008896	Peromyscus_maniculatus_bairdii
ENSUAMP00000004098	ENSUAMG00000003759	Ursus_americanus
ENSMMUP00000071083	ENSMMUG00000002714	Macaca_mulatta
ENSEASP00005006616	ENSEASG00005004885	Equus_asinus_asinus
ENSCGRP00000017279	ENSCGRG00000012562	Cricetulus_griseus_CriGri_1.0
ENSMICP00000009648	ENSMICG00000010595	Microcebus_murinus
ENSARWP00000026597	ENSARWG00000017993	Apteryx_rowi
ENSSCAP00000003924	ENSSCAG00000003239	Serinus_canaria
ENSMMMP00000020897	ENSMMMG00000018402	Marmota_marmota_marmota
ENSODEP00000012570	ENSODEG00000009316	Octodon_degus
ENSOGAP00000003157	ENSOGAG00000003542	Otolemur_garnettii
ENSNVIP00000025440	ENSNVIG00000019691	Neovison_vison
ENSMNEP00000030646	ENSMNEG00000038745	Macaca_nemestrina
ENSUPAP00010025761	ENSUPAG00010020365	Urocitellus_parryii
ENSRNOP00000015961	ENSRNOG00000011019	Rattus_norvegicus
ENSNPEP00000020170	ENSNPEG00000015000	Nothoprocta_perdicaria
ENSOPRP00000009019	ENSOPRG00000009871	Ochotona_princeps
ENSBIXP00005031409	ENSBIXG00005011771	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000007545	ENSBBBG00000015607	Bison_bison_bison
ENSMGAP00000011135	ENSMGAG00000010684	Meleagris_gallopavo
ENSGAGP00000025614	ENSGAGG00000018708	Gopherus_agassizii	ENSGAGT00000029147
ENSPCAP00000004428	ENSPCAG00000004716	Procavia_capensis
ENSSPUP00000011435	ENSSPUG00000008773	Sphenodon_punctatus	ENSSPUT00000012193
ENSMEUP00000013016	ENSMEUG00000014256	Notamacropus_eugenii
ENSDNOP00000011389	ENSDNOG00000014693	Dasypus_novemcinctus
ENSCJPP00005011758	ENSCJPG00005010065	Coturnix_japonica
ENSMUGP00000012192	ENSMUGG00000010635	Meriones_unguiculatus
ENSPVAP00000006509	ENSPVAG00000006894	Pteropus_vampyrus
ENSCCNP00000027139	ENSCCNG00000026278	Castor_canadensis
ENSTGUP00000008598	ENSTGUG00000008323	Taeniopygia_guttata
ENSHGLP00100019068	ENSHGLG00100014063	Heterocephalus_glaber_HetGla_1.0
ENSVURP00010022707	ENSVURG00010017402	Vombatus_ursinus
ENSCPBP00000026332	ENSCPBG00000018704	Chrysemys_picta_bellii
ENSAPLP00000007568	ENSAPLG00000007898	Anas_platyrhynchos_platyrhynchos
ENSDORP00000014206	ENSDORG00000015089	Dipodomys_ordii
ENSMLEP00000032281	ENSMLEG00000040364	Mandrillus_leucophaeus
ENSCAFP00000006320	ENSCAFG00000004254	Canis_lupus_familiaris
ENSPPRP00000023061	ENSPPRG00000013369	Panthera_pardus
ENSLAFP00000000758	ENSLAFG00000000906	Loxodonta_africana
ENSMVIP00005016479	ENSMVIG00005011835	Manacus_vitellinus
ENSOANP00000026822	ENSOANG00000021081	Ornithorhynchus_anatinus
ENSCGRP00015031807	ENSCGRG00015023983	Cricetulus_griseus_CriGri-PICR
ENSPMJP00000026909	ENSPMJG00000019628	Parus_major
ENSPTEP00000040775	ENSPTEG00000037507	Piliocolobus_tephrosceles
ENSSHAP00000008984	ENSSHAG00000007780	Sarcophilus_harrisii
ENSFALP00000009821	ENSFALG00000009400	Ficedula_albicollis
ENSOCUP00000002986	ENSOCUG00000003441	Oryctolagus_cuniculus
ENSP00000243167	ENSG00000117480	Homo_sapiens
