ENSPMAP00000004863	ENSPMAG00000004427	Petromyzon_marinus	ENSPMAT00000004882
ENSEBUP00000009179	ENSEBUG00000005923	Eptatretus_burgeri	ENSEBUT00000009699
ENSZALP00000020169	ENSZALG00000015894	Zonotrichia_albicollis
ENSMODP00000052339	ENSMODG00000020774	Monodelphis_domestica
ENSOARP00000002800	ENSOARG00000002630	Ovis_aries
ENSCHIP00000022247	ENSCHIG00000020128	Capra_hircus
ENSBIXP00005015328	ENSBIXG00005019158	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000040301	ENSBIXG00000007932	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000059268	ENSBTAG00000018151	Bos_taurus
ENSBMUP00000005535	ENSBMUG00000004325	Bos_mutus
ENSBBBP00000026083	ENSBBBG00000005762	Bison_bison_bison
ENSTTRP00000004614	ENSTTRG00000004895	Tursiops_truncatus
ENSSSCP00000009849	ENSSSCG00000009236	Sus_scrofa_strain_reference
ENSVPAP00000010576	ENSVPAG00000011357	Vicugna_pacos
ENSECAP00000032367	ENSECAG00000020717	Equus_caballus
ENSEASP00005019332	ENSEASG00005013248	Equus_asinus_asinus
ENSPVAP00000006082	ENSPVAG00000006438	Pteropus_vampyrus
ENSMLUP00000015551	ENSMLUG00000017053	Myotis_lucifugus
ENSUAMP00000016154	ENSUAMG00000012816	Ursus_americanus
ENSUMAP00000011780	ENSUMAG00000008823	Ursus_maritimus
ENSAMEP00000005212	ENSAMEG00000004921	Ailuropoda_melanoleuca
ENSMPUP00000014574	ENSMPUG00000014683	Mustela_putorius_furo
ENSNVIP00000005113	ENSNVIG00000004072	Neovison_vison
ENSCAFP00020013054	ENSCAFG00020010495	Canis_lupus_dingo
ENSCAFP00000039284	ENSCAFG00000009108	Canis_lupus_familiaris
ENSVVUP00000021322	ENSVVUG00000015676	Vulpes_vulpes
ENSPTIP00000025745	ENSPTIG00000021394	Panthera_tigris_altaica
ENSPPRP00000018984	ENSPPRG00000010520	Panthera_pardus
ENSFCAP00000041137	ENSFCAG00000009921	Felis_catus
ENSCHOP00000000589	ENSCHOG00000000665	Choloepus_hoffmanni
ENSPPAP00000001159	ENSPPAG00000004520	Pan_paniscus
ENSPTRP00000038909	ENSPTRG00000016232	Pan_troglodytes
ENSP00000295488	ENSG00000163312	Homo_sapiens
ENSGGOP00000045597	ENSGGOG00000008598	Gorilla_gorilla
ENSPPYP00000016635	ENSPPYG00000014897	Pongo_abelii
ENSNLEP00000011098	ENSNLEG00000009088	Nomascus_leucogenys
ENSMFAP00000001276	ENSMFAG00000040731	Macaca_fascicularis
ENSMMUP00000020129	ENSMMUG00000015350	Macaca_mulatta
ENSMNEP00000030848	ENSMNEG00000038829	Macaca_nemestrina
ENSTGEP00000011162	ENSTGEG00000009137	Theropithecus_gelada
ENSPANP00000017366	ENSPANG00000005130	Papio_anubis
ENSMLEP00000021967	ENSMLEG00000035125	Mandrillus_leucophaeus
ENSCATP00000021476	ENSCATG00000034442	Cercocebus_atys
ENSCSAP00000000745	ENSCSAG00000004405	Chlorocebus_sabaeus
ENSRROP00000044329	ENSRROG00000045128	Rhinopithecus_roxellana
ENSRBIP00000035753	ENSRBIG00000041497	Rhinopithecus_bieti
ENSCANP00000000743	ENSCANG00000002407	Colobus_angolensis_palliatus
ENSPTEP00000018213	ENSPTEG00000019682	Piliocolobus_tephrosceles
ENSCCAP00000037868	ENSCCAG00000036773	Cebus_capucinus_imitator
ENSSBOP00000036354	ENSSBOG00000034314	Saimiri_boliviensis_boliviensis
ENSCJAP00000009660	ENSCJAG00000005247	Callithrix_jacchus
ENSANAP00000031587	ENSANAG00000033513	Aotus_nancymaae
ENSTSYP00000011850	ENSTSYG00000012900	Carlito_syrichta
ENSPCOP00000000443	ENSPCOG00000001114	Propithecus_coquereli
ENSMICP00000048942	ENSMICG00000026967	Microcebus_murinus
ENSPSMP00000025964	ENSPSMG00000018202	Prolemur_simus
ENSOGAP00000012714	ENSOGAG00000014188	Otolemur_garnettii
ENSTBEP00000010769	ENSTBEG00000012411	Tupaia_belangeri
ENSCCNP00000027448	ENSCCNG00000026442	Castor_canadensis	ENSCCNT00000034743
ENSDORP00000011989	ENSDORG00000012747	Dipodomys_ordii	ENSDORT00000012747
MGP_SPRETEiJ_P0071987	MGP_SPRETEiJ_G0028454	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0071987
ENSMSIP00000002037	ENSMSIG00000001906	Mus_spicilegus
ENSMUSP00000041599	ENSMUSG00000035266	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0069325	MGP_CAROLIEiJ_G0027457	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0032481	MGP_PahariEiJ_G0017235	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000002974	ENSRNOG00000002181	Rattus_norvegicus
ENSMUGP00000012811	ENSMUGG00000011117	Meriones_unguiculatus
ENSPEMP00000004895	ENSPEMG00000007325	Peromyscus_maniculatus_bairdii
ENSMOCP00000015048	ENSMOCG00000014354	Microtus_ochrogaster
ENSCGRP00000000333	ENSCGRG00000000309	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015026246	ENSCGRG00015019888	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001027448	ENSCGRG00001024451	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000000269	ENSMAUG00000000249	Mesocricetus_auratus
ENSNGAP00000010955	ENSNGAG00000013230	Nannospalax_galili
ENSHGLP00100021021	ENSHGLG00100015489	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000026910	ENSHGLG00000019137	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000010391	ENSFDAG00000018169	Fukomys_damarensis
ENSCLAP00000006720	ENSCLAG00000004733	Chinchilla_lanigera
ENSODEP00000011771	ENSODEG00000008738	Octodon_degus
ENSCPOP00000008242	ENSCPOG00000009180	Cavia_porcellus
ENSMMMP00000005257	ENSMMMG00000004782	Marmota_marmota_marmota
ENSMMMP00000005222	ENSMMMG00000004773	Marmota_marmota_marmota
ENSSTOP00000016037	ENSSTOG00000025285	Ictidomys_tridecemlineatus
ENSSDAP00000001962	ENSSDAG00000001882	Spermophilus_dauricus
ENSUPAP00010008874	ENSUPAG00010007182	Urocitellus_parryii
ENSOCUP00000011449	ENSOCUG00000013294	Oryctolagus_cuniculus
ENSOPRP00000003705	ENSOPRG00000003993	Ochotona_princeps
ENSDNOP00000026133	ENSDNOG00000045279	Dasypus_novemcinctus
ENSLAFP00000000887	ENSLAFG00000001056	Loxodonta_africana
ENSPCAP00000004598	ENSPCAG00000004842	Procavia_capensis
ENSETEP00000009912	ENSETEG00000012220	Echinops_telfairi
ENSEEUP00000007672	ENSEEUG00000008373	Erinaceus_europaeus
ENSSARP00000012601	ENSSARG00000013932	Sorex_araneus
ENSOANP00000003355	ENSOANG00000002113	Ornithorhynchus_anatinus
ENSXETP00000009865	ENSXETG00000011068	Xenopus_tropicalis
ENSLACP00000012306	ENSLACG00000010835	Latimeria_chalumnae
ENSCHAP00000060536	ENSCHAG00000027047	Clupea_harengus
ENSDCDP00000005172	ENSDCDG00000002448	Denticeps_clupeoides
ENSAMXP00005035029	ENSAMXG00005016821	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000012608	ENSAMXG00000012252	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000024695	ENSPNAG00000009397	Pygocentrus_nattereri
ENSEEEP00000030436	ENSEEEG00000014526	Electrophorus_electricus
ENSIPUP00000005487	ENSIPUG00000003800	Ictalurus_punctatus
ENSDARP00000104305	ENSDARG00000079818	Danio_rerio
ENSPMGP00000003476	ENSPMGG00000002986	Periophthalmus_magnuspinnatus
ENSHCOP00000010540	ENSHCOG00000013179	Hippocampus_comes
ENSCGOP00000043185	ENSCGOG00000019453	Cottoperca_gobio
ENSGACP00000001541	ENSGACG00000001186	Gasterosteus_aculeatus
ENSLBEP00000024945	ENSLBEG00000019017	Labrus_bergylta
ENSLBEP00000028934	ENSLBEG00000021886	Labrus_bergylta
ENSTRUP00000047762	ENSTRUG00000018644	Takifugu_rubripes
ENSTNIP00000008380	ENSTNIG00000005673	Tetraodon_nigroviridis
ENSMMOP00000014795	ENSMMOG00000011313	Mola_mola
ENSATEP00000034062	ENSATEG00000023420	Anabas_testudineus
ENSBSLP00000023992	ENSBSLG00000012143	Betta_splendens
ENSMAMP00000018322	ENSMAMG00000012364	Mastacembelus_armatus
ENSSDUP00000021516	ENSSDUG00000015665	Seriola_dumerili
ENSSLDP00000028634	ENSSLDG00000022133	Seriola_lalandi_dorsalis
ENSSLDP00000011654	ENSSLDG00000009263	Seriola_lalandi_dorsalis
ENSLCAP00010022468	ENSLCAG00010010535	Lates_calcarifer
ENSCSEP00000001046	ENSCSEG00000000724	Cynoglossus_semilaevis
ENSPFOP00000002183	ENSPFOG00000002091	Poecilia_formosa
ENSPLAP00000011982	ENSPLAG00000015199	Poecilia_latipinna
ENSPMEP00000012332	ENSPMEG00000014496	Poecilia_mexicana
ENSPREP00000018606	ENSPREG00000012605	Poecilia_reticulata
ENSXCOP00000021680	ENSXCOG00000016210	Xiphophorus_couchianus
ENSXMAP00000012584	ENSXMAG00000012563	Xiphophorus_maculatus
ENSGAFP00000011863	ENSGAFG00000008037	Gambusia_affinis
ENSFHEP00000030308	ENSFHEG00000015542	Fundulus_heteroclitus
ENSCVAP00000017083	ENSCVAG00000020159	Cyprinodon_variegatus
ENSORLP00015006039	ENSORLG00015006855	Oryzias_latipes_ASM223469v1
ENSORLP00000045595	ENSORLG00000022717	Oryzias_latipes_ASM223467v1
ENSOMEP00000004025	ENSOMEG00000004983	Oryzias_melastigma
ENSKMAP00000022183	ENSKMAG00000016486	Kryptolebias_marmoratus
ENSAPOP00000027918	ENSAPOG00000012769	Acanthochromis_polyacanthus
ENSAPOP00000028261	ENSAPOG00000013379	Acanthochromis_polyacanthus
ENSAPOP00000031623	ENSAPOG00000019033	Acanthochromis_polyacanthus
ENSAPEP00000032347	ENSAPEG00000022964	Amphiprion_percula
ENSAPEP00000033075	ENSAPEG00000023153	Amphiprion_percula
ENSAOCP00000010065	ENSAOCG00000014323	Amphiprion_ocellaris
ENSSPAP00000011493	ENSSPAG00000008705	Stegastes_partitus
ENSPRNP00000018052	ENSPRNG00000009509	Parambassis_ranga
ENSMZEP00005031210	ENSMZEG00005023270	Maylandia_zebra
ENSHBUP00000000784	ENSHBUG00000001997	Haplochromis_burtoni
ENSPNYP00000013989	ENSPNYG00000010575	Pundamilia_nyererei
ENSACLP00000015558	ENSACLG00000010558	Astatotilapia_calliptera
ENSONIP00000015776	ENSONIG00000012532	Oreochromis_niloticus
ENSACIP00000026119	ENSACIG00000020216	Amphilophus_citrinellus
ENSGMOP00000000024	ENSGMOG00000000020	Gadus_morhua
ENSHHUP00000066830	ENSHHUG00000039413	Hucho_hucho
ENSHHUP00000014089	ENSHHUG00000008709	Hucho_hucho
ENSELUP00000000495	ENSELUG00000002083	Esox_lucius
ENSPKIP00000004706	ENSPKIG00000021702	Paramormyrops_kingsleyae
ENSSFOP00015030391	ENSSFOG00015019460	Scleropages_formosus
ENSLOCP00000014891	ENSLOCG00000012099	Lepisosteus_oculatus
ENSECRP00000012527	ENSECRG00000008340	Erpetoichthys_calabaricus
ENSCMIP00000031770	ENSCMIG00000013556	Callorhinchus_milii
ENSCINP00000013050	ENSCING00000006332	Ciona_intestinalis
FBpp0076412	FBgn0002899	Drosophila_melanogaster
Y55B1AL.3a.1	WBGene00021905	Caenorhabditis_elegans_strain_N2
