ENSACLP00000030261	ENSACLG00000020505	Astatotilapia_calliptera
ENSCHIP00000021798	ENSCHIG00000020002	Capra_hircus
ENSSSCP00000034918	ENSSSCG00000004529	Sus_scrofa_strain_reference
ENSSMAP00000013302	ENSSMAG00000008171	Scophthalmus_maximus
ENSORLP00020028834	ENSORLG00020012522	Oryzias_latipes_ASM223471v1
ENSPMGP00000008012	ENSPMGG00000006630	Periophthalmus_magnuspinnatus
ENSMLEP00000004214	ENSMLEG00000018885	Mandrillus_leucophaeus
ENSSPUP00000023315	ENSSPUG00000017687	Sphenodon_punctatus
ENSPPYP00000010300	ENSPPYG00000009169	Pongo_abelii
ENSMLUP00000009124	ENSMLUG00000010010	Myotis_lucifugus
ENSVVUP00000020106	ENSVVUG00000014845	Vulpes_vulpes
ENSPCOP00000021093	ENSPCOG00000022543	Propithecus_coquereli
ENSAPEP00000017604	ENSAPEG00000012596	Amphiprion_percula
ENSCPOP00000030490	ENSCPOG00000037626	Cavia_porcellus
ENSNSUP00000017887	ENSNSUG00000013113	Notechis_scutatus
ENSOCUP00000025257	ENSOCUG00000026392	Oryctolagus_cuniculus
ENSMPUP00000008904	ENSMPUG00000008976	Mustela_putorius_furo
ENSCPBP00000036899	ENSCPBG00000025603	Chrysemys_picta_bellii
ENSMMMP00000005857	ENSMMMG00000005242	Marmota_marmota_marmota
FBpp0308676	FBgn0037554	Drosophila_melanogaster
ENSTGEP00000030775	ENSTGEG00000024676	Theropithecus_gelada
ENSMOCP00000021655	ENSMOCG00000018932	Microtus_ochrogaster
ENSORLP00000028870	ENSORLG00000024554	Oryzias_latipes_ASM223467v1
ENSMMOP00000023472	ENSMMOG00000017862	Mola_mola
ENSTNIP00000006730	ENSTNIG00000004113	Tetraodon_nigroviridis
ENSARWP00000022761	ENSARWG00000015521	Apteryx_rowi
ENSSHAP00000004957	ENSSHAG00000004343	Sarcophilus_harrisii
ENSSARP00000007807	ENSSARG00000008627	Sorex_araneus
ENSPKIP00000009522	ENSPKIG00000024605	Paramormyrops_kingsleyae
ENSOANP00000002855	ENSOANG00000001796	Ornithorhynchus_anatinus
ENSCGRP00001027521	ENSCGRG00001024509	Cricetulus_griseus_CHOK1GS_HDv1
ENSSFOP00015000908	ENSSFOG00015000697	Scleropages_formosus
ENSDCDP00000009676	ENSDCDG00000004880	Denticeps_clupeoides
ENSCGRP00015012871	ENSCGRG00015009836	Cricetulus_griseus_CriGri-PICR
ENSNLEP00000034315	ENSNLEG00000027146	Nomascus_leucogenys
ENSTSYP00000009806	ENSTSYG00000010692	Carlito_syrichta
ENSCCAP00000038378	ENSCCAG00000037034	Cebus_capucinus_imitator
ENSCSAP00000014125	ENSCSAG00000018108	Chlorocebus_sabaeus
ENSBIXP00000028929	ENSBIXG00000010351	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMUGP00000024980	ENSMUGG00000020813	Meriones_unguiculatus
ENSRROP00000023836	ENSRROG00000035744	Rhinopithecus_roxellana
ENSRNOP00000016189	ENSRNOG00000012111	Rattus_norvegicus
MGP_CAROLIEiJ_P0047088	MGP_CAROLIEiJ_G0022388	Mus_caroli_strain_CAROLI_EIJ
ENSPLAP00000003503	ENSPLAG00000004986	Poecilia_latipinna
ENSCGOP00000028917	ENSCGOG00000013538	Cottoperca_gobio
ENSCJAP00000003324	ENSCJAG00000001851	Callithrix_jacchus
ENSSDUP00000031056	ENSSDUG00000022341	Seriola_dumerili
ENSPSMP00000036096	ENSPSMG00000024832	Prolemur_simus
ENSMAMP00000008756	ENSMAMG00000005933	Mastacembelus_armatus
ENSKMAP00000010639	ENSKMAG00000007984	Kryptolebias_marmoratus
ENSCAFP00000000218	ENSCAFG00000000150	Canis_lupus_familiaris
ENSABRP00000024933	ENSABRG00000020917	Anser_brachyrhynchus
ENSEASP00005004606	ENSEASG00005003488	Equus_asinus_asinus
ENSPNYP00000023161	ENSPNYG00000017488	Pundamilia_nyererei
ENSANAP00000013769	ENSANAG00000024794	Aotus_nancymaae
ENSORLP00015023931	ENSORLG00015000911	Oryzias_latipes_ASM223469v1
ENSCANP00000032579	ENSCANG00000039949	Colobus_angolensis_palliatus
ENSPTEP00000013906	ENSPTEG00000015546	Piliocolobus_tephrosceles
ENSPSIP00000018194	ENSPSIG00000016138	Pelodiscus_sinensis
ENSAPLP00000018250	ENSAPLG00000010510	Anas_platyrhynchos_platyrhynchos
ENSLCAP00010036720	ENSLCAG00010017198	Lates_calcarifer
ENSGMOP00000019044	ENSGMOG00000017698	Gadus_morhua
ENSPTIP00000008094	ENSPTIG00000009520	Panthera_tigris_altaica
ENSUAMP00000019445	ENSUAMG00000015375	Ursus_americanus
ENSMUNP00000000631	ENSMUNG00000000598	Melopsittacus_undulatus
ENSGAFP00000024923	ENSGAFG00000016831	Gambusia_affinis
ENSPREP00000011156	ENSPREG00000007580	Poecilia_reticulata
ENSEEEP00000019510	ENSEEEG00000009569	Electrophorus_electricus
ENSAMEP00000018169	ENSAMEG00000017194	Ailuropoda_melanoleuca
ENSTRUP00000054065	ENSTRUG00000016759	Takifugu_rubripes
ENSAOWP00000012044	ENSAOWG00000008217	Apteryx_owenii
ENSMEUP00000011213	ENSMEUG00000012303	Notamacropus_eugenii
ENSPVIP00000006157	ENSPVIG00000005118	Pogona_vitticeps
ENSCSEP00000029614	ENSCSEG00000018977	Cynoglossus_semilaevis
ENSACAP00000000212	ENSACAG00000008756	Anolis_carolinensis
ENSLAFP00000011842	ENSLAFG00000014138	Loxodonta_africana
ENSP00000462664	ENSG00000101751	Homo_sapiens
ENSFDAP00000016430	ENSFDAG00000004957	Fukomys_damarensis
ENSBSLP00000021027	ENSBSLG00000010857	Betta_splendens
MGP_SPRETEiJ_P0049039	MGP_SPRETEiJ_G0023300	Mus_spretus_strain_SPRET/EiJ
ENSSMRP00000021213	ENSSMRG00000016509	Salvator_merianae
ENSAPOP00000003601	ENSAPOG00000005107	Acanthochromis_polyacanthus
ENSHCOP00000016621	ENSHCOG00000020397	Hippocampus_comes
ENSLOCP00000004010	ENSLOCG00000003386	Lepisosteus_oculatus
ENSMUSP00000112563	ENSMUSG00000038425	Mus_musculus_strain_reference_(CL57BL6)
ENSBMUP00000025254	ENSBMUG00000018943	Bos_mutus
ENSPTRP00000017055	ENSPTRG00000010034	Pan_troglodytes
ENSETEP00000007973	ENSETEG00000009814	Echinops_telfairi
ENSAOCP00000028449	ENSAOCG00000018067	Amphiprion_ocellaris
ENSBTAP00000012034	ENSBTAG00000009129	Bos_taurus
ENSBIXP00005041818	ENSBIXG00005024986	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMMUP00000041213	ENSMMUG00000010911	Macaca_mulatta
ENSCPUP00000017867	ENSCPUG00000012299	Calidris_pugnax
ENSCPUP00000017865	ENSCPUG00000012297	Calidris_pugnax
ENSMALP00000004960	ENSMALG00000003577	Monopterus_albus
ENSCLAP00000023240	ENSCLAG00000015942	Chinchilla_lanigera
ENSTTRP00000013886	ENSTTRG00000014645	Tursiops_truncatus
ENSPPRP00000009108	ENSPPRG00000003673	Panthera_pardus
ENSECAP00000003751	ENSECAG00000004436	Equus_caballus
ENSNBRP00000030470	ENSNBRG00000023176	Neolamprologus_brichardi
ENSIPUP00000034604	ENSIPUG00000023243	Ictalurus_punctatus
ENSFHEP00000022949	ENSFHEG00000003656	Fundulus_heteroclitus
ENSPFOP00000006117	ENSPFOG00000006165	Poecilia_formosa
ENSCHOP00000001731	ENSCHOG00000001963	Choloepus_hoffmanni
ENSEBUP00000007588	ENSEBUG00000004956	Eptatretus_burgeri
ENSTBEP00000009005	ENSTBEG00000010418	Tupaia_belangeri
ENSGACP00000018312	ENSGACG00000013865	Gasterosteus_aculeatus
ENSSPAP00000009975	ENSSPAG00000007606	Stegastes_partitus
ENSCHAP00000060568	ENSCHAG00000027083	Clupea_harengus
ENSECRP00000006126	ENSECRG00000004087	Erpetoichthys_calabaricus
ENSPRNP00000028786	ENSPRNG00000014352	Parambassis_ranga
MGP_PahariEiJ_P0039660	MGP_PahariEiJ_G0019116	Mus_pahari_strain_PAHARI_EIJ
ENSNGAP00000025191	ENSNGAG00000023223	Nannospalax_galili
ENSLACP00000017904	ENSLACG00000015774	Latimeria_chalumnae
ENSDARP00000041370	ENSDARG00000029250	Danio_rerio
