ENSNMEP00000001863	ENSNMEG00000002390	Numida_meleagris
ENSPMEP00000017207	ENSPMEG00000019986	Poecilia_mexicana
ENSPKIP00000018924	ENSPKIG00000004307	Paramormyrops_kingsleyae
ENSORLP00015009554	ENSORLG00015010344	Oryzias_latipes_ASM223469v1
ENSCGRP00001013220	ENSCGRG00001014419	Cricetulus_griseus_CHOK1GS_HDv1
ENSPCOP00000024292	ENSPCOG00000024336	Propithecus_coquereli
ENSVPAP00000009075	ENSVPAG00000009747	Vicugna_pacos
ENSGAFP00000031783	ENSGAFG00000021394	Gambusia_affinis
ENSATEP00000012066	ENSATEG00000008438	Anabas_testudineus
ENSMUSP00000129831	ENSMUSG00000021408	Mus_musculus_strain_reference_(CL57BL6)
ENSUAMP00000019468	ENSUAMG00000015400	Ursus_americanus
ENSPNAP00000021559	ENSPNAG00000006391	Pygocentrus_nattereri
ENSDARP00000014604	ENSDARG00000006677	Danio_rerio
ENSGMOP00000019617	ENSGMOG00000018226	Gadus_morhua
ENSACLP00000030354	ENSACLG00000020558	Astatotilapia_calliptera
ENSRNOP00000023962	ENSRNOG00000017787	Rattus_norvegicus
MGP_PahariEiJ_P0040683	MGP_PahariEiJ_G0019483	Mus_pahari_strain_PAHARI_EIJ
ENSAMEP00000015161	ENSAMEG00000014389	Ailuropoda_melanoleuca
ENSCGRP00015003524	ENSCGRG00015002791	Cricetulus_griseus_CriGri-PICR
ENSETEP00000012563	ENSETEG00000015497	Echinops_telfairi
ENSPPAP00000009086	ENSPPAG00000027763	Pan_paniscus
ENSCHOP00000005373	ENSCHOG00000006076	Choloepus_hoffmanni
ENSTGUP00000002243	ENSTGUG00000002170	Taeniopygia_guttata
ENSFDAP00000010376	ENSFDAG00000018152	Fukomys_damarensis
ENSPCIP00000048400	ENSPCIG00000022064	Phascolarctos_cinereus
ENSPLAP00000001098	ENSPLAG00000002068	Poecilia_latipinna
ENSMGAP00000018477	ENSMGAG00000004233	Meleagris_gallopavo
ENSSHAP00000016992	ENSSHAG00000014446	Sarcophilus_harrisii
ENSTGEP00000016797	ENSTGEG00000013583	Theropithecus_gelada
ENSMMUP00000011125	ENSMMUG00000008485	Macaca_mulatta
ENSSDUP00000027765	ENSSDUG00000020067	Seriola_dumerili
ENSEEUP00000003219	ENSEEUG00000003534	Erinaceus_europaeus
ENSMLEP00000006066	ENSMLEG00000025829	Mandrillus_leucophaeus
ENSGWIP00000007098	ENSGWIG00000004150	Gouania_willdenowi
ENSMVIP00005000370	ENSMVIG00005000314	Manacus_vitellinus
ENSCAFP00000013721	ENSCAFG00000009321	Canis_lupus_familiaris
ENSPSMP00000036226	ENSPSMG00000024918	Prolemur_simus
ENSABRP00000013250	ENSABRG00000011788	Anser_brachyrhynchus	ENSABRT00000018922
ENSCSEP00000015439	ENSCSEG00000009905	Cynoglossus_semilaevis
ENSLCAP00010020400	ENSLCAG00010009640	Lates_calcarifer
ENSZALP00000018053	ENSZALG00000014513	Zonotrichia_albicollis
ENSAPOP00000020355	ENSAPOG00000023904	Acanthochromis_polyacanthus
ENSPANP00000013518	ENSPANG00000024400	Papio_anubis
ENSHHUP00000015535	ENSHHUG00000009671	Hucho_hucho
ENSCVAP00000004942	ENSCVAG00000006262	Cyprinodon_variegatus
ENSOARP00000001620	ENSOARG00000001544	Ovis_aries
ENSPVIP00000030563	ENSPVIG00000022482	Pogona_vitticeps
ENSAPLP00000015290	ENSAPLG00000015420	Anas_platyrhynchos_platyrhynchos
ENSANAP00000031154	ENSANAG00000033311	Aotus_nancymaae
ENSFALP00000013667	ENSFALG00000013093	Ficedula_albicollis
ENSPNYP00000018582	ENSPNYG00000014044	Pundamilia_nyererei
ENSPCAP00000009632	ENSPCAG00000010334	Procavia_capensis
ENSPVAP00000003166	ENSPVAG00000003352	Pteropus_vampyrus
ENSPTIP00000000026	ENSPTIG00000000019	Panthera_tigris_altaica
ENSVURP00010006056	ENSVURG00010004694	Vombatus_ursinus
ENSMALP00000029252	ENSMALG00000020236	Monopterus_albus
ENSLSDP00000009720	ENSLSDG00000007192	Lonchura_striata_domestica
ENSEEEP00000051488	ENSEEEG00000024174	Electrophorus_electricus
ENSOGAP00000006701	ENSOGAG00000007491	Otolemur_garnettii
ENSORLP00020027426	ENSORLG00020010379	Oryzias_latipes_ASM223471v1
ENSACIP00000022385	ENSACIG00000017396	Amphilophus_citrinellus
ENSJHYP00000001707	ENSJHYG00000001457	Junco_hyemalis
MGP_CAROLIEiJ_P0034075	MGP_CAROLIEiJ_G0018416	Mus_caroli_strain_CAROLI_EIJ
ENSPRNP00000040632	ENSPRNG00000019963	Parambassis_ranga
ENSCPRP00005000581	ENSCPRG00005000470	Crocodylus_porosus
ENSBMUP00000013070	ENSBMUG00000009980	Bos_mutus
ENSCCEP00000002906	ENSCCEG00000003244	Cyanistes_caeruleus
ENSCGOP00000050947	ENSCGOG00000022577	Cottoperca_gobio
ENSMAMP00000021477	ENSMAMG00000014429	Mastacembelus_armatus
ENSECRP00000001563	ENSECRG00000001089	Erpetoichthys_calabaricus
ENSGGOP00000012277	ENSGGOG00000012589	Gorilla_gorilla
ENSGACP00000017178	ENSGACG00000012991	Gasterosteus_aculeatus
ENSLOCP00000016038	ENSLOCG00000013018	Lepisosteus_oculatus
ENSMLUP00000014728	ENSMLUG00000016163	Myotis_lucifugus
ENSMFAP00000032187	ENSMFAG00000037119	Macaca_fascicularis
ENSRBIP00000041343	ENSRBIG00000044016	Rhinopithecus_bieti
ENSMMOP00000024148	ENSMMOG00000018380	Mola_mola
ENSMODP00000010574	ENSMODG00000008505	Monodelphis_domestica
ENSPEMP00000015335	ENSPEMG00000014892	Peromyscus_maniculatus_bairdii
ENSHHUP00000037197	ENSHHUG00000023299	Hucho_hucho
ENSCPBP00000012035	ENSCPBG00000009112	Chrysemys_picta_bellii
ENSCJPP00005020944	ENSCJPG00005016788	Coturnix_japonica
ENSMAUP00000000704	ENSMAUG00000000557	Mesocricetus_auratus
ENSOCUP00000010138	ENSOCUG00000011791	Oryctolagus_cuniculus
ENSMPUP00000000449	ENSMPUG00000000454	Mustela_putorius_furo
ENSAPEP00000006542	ENSAPEG00000004703	Amphiprion_percula
ENSFCAP00000013566	ENSFCAG00000014625	Felis_catus
ENSRROP00000022822	ENSRROG00000035266	Rhinopithecus_roxellana
ENSMSIP00000003596	ENSMSIG00000003307	Mus_spicilegus
ENSUMAP00000025734	ENSUMAG00000018746	Ursus_maritimus
ENSPMJP00000025055	ENSPMJG00000018375	Parus_major
ENSCCNP00000002953	ENSCCNG00000003210	Castor_canadensis
ENSKMAP00000020156	ENSKMAG00000014984	Kryptolebias_marmoratus
ENSFHEP00000013323	ENSFHEG00000014819	Fundulus_heteroclitus
ENSMZEP00005033604	ENSMZEG00005025120	Maylandia_zebra
ENSJJAP00000010112	ENSJJAG00000013771	Jaculus_jaculus
ENSSARP00000001196	ENSSARG00000001311	Sorex_araneus
ENSDCDP00000033512	ENSDCDG00000022821	Denticeps_clupeoides
ENSCATP00000018108	ENSCATG00000032918	Cercocebus_atys
ENSOANP00000023545	ENSOANG00000014957	Ornithorhynchus_anatinus
ENSBIXP00005022332	ENSBIXG00005004294	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSGALP00000036418	ENSGALG00000012827	Gallus_gallus
ENSSMAP00000032902	ENSSMAG00000020150	Scophthalmus_maximus
ENSUPAP00010013038	ENSUPAG00010010546	Urocitellus_parryii
ENSELUP00000039203	ENSELUG00000019275	Esox_lucius
ENSTSYP00000010281	ENSTSYG00000011192	Carlito_syrichta
ENSHCOP00000028031	ENSHCOG00000020345	Hippocampus_comes
ENSSCAP00000002374	ENSSCAG00000002077	Serinus_canaria
ENSODEP00000010259	ENSODEG00000007668	Octodon_degus
ENSDORP00000009765	ENSDORG00000010392	Dipodomys_ordii
ENSBSLP00000012496	ENSBSLG00000006395	Betta_splendens
ENSMEUP00000004911	ENSMEUG00000005369	Notamacropus_eugenii
ENSSTOP00000001385	ENSSTOG00000001542	Ictidomys_tridecemlineatus
ENSCAFP00020000381	ENSCAFG00020000428	Canis_lupus_dingo
ENSMMMP00000015936	ENSMMMG00000014179	Marmota_marmota_marmota
ENSNVIP00000014752	ENSNVIG00000011579	Neovison_vison
ENSSSCP00000059220	ENSSSCG00000001009	Sus_scrofa_strain_reference
ENSSFOP00015021254	ENSSFOG00015013668	Scleropages_formosus
ENSTTRP00000005802	ENSTTRG00000006137	Tursiops_truncatus
ENSPPRP00000001555	ENSPPRG00000024036	Panthera_pardus
ENSSPUP00000022504	ENSSPUG00000017287	Sphenodon_punctatus
ENSGAGP00000008621	ENSGAGG00000006833	Gopherus_agassizii
ENSSMRP00000010393	ENSSMRG00000008251	Salvator_merianae
ENSBIXP00000002064	ENSBIXG00000008594	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCAPP00000008355	ENSCAPG00000010069	Cavia_aperea
ENSXETP00000011365	ENSXETG00000015913	Xenopus_tropicalis
ENSCPUP00000002204	ENSCPUG00000001682	Calidris_pugnax
ENSCMIP00000047893	ENSCMIG00000019607	Callorhinchus_milii
ENSSPAP00000006343	ENSSPAG00000004889	Stegastes_partitus
ENSP00000259808	ENSG00000137275	Homo_sapiens
ENSMUNP00000012267	ENSMUNG00000009649	Melopsittacus_undulatus
ENSAOCP00000013409	ENSAOCG00000001266	Amphiprion_ocellaris
ENSAMXP00000016880	ENSAMXG00000016394	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPTRP00000030180	ENSPTRG00000017672	Pan_troglodytes
ENSCPOP00000022121	ENSCPOG00000005195	Cavia_porcellus
ENSCJAP00000032651	ENSCJAG00000017707	Callithrix_jacchus
ENSONIP00000012112	ENSONIG00000009641	Oreochromis_niloticus
ENSLCOP00000008222	ENSLCOG00000006024	Lepidothrix_coronata
ENSTRUP00000029776	ENSTRUG00000011793	Takifugu_rubripes
ENSOMEP00000004240	ENSOMEG00000005184	Oryzias_melastigma
ENSAOWP00000017616	ENSAOWG00000012040	Apteryx_owenii	ENSAOWT00000019986
ENSNGAP00000007312	ENSNGAG00000010576	Nannospalax_galili
