ENSPMAP00000007023	ENSPMAG00000006376	Petromyzon_marinus	ENSPMAT00000007054
ENSEBUP00000023847	ENSEBUG00000014687	Eptatretus_burgeri	ENSEBUT00000024424
ENSTNIP00000005341	ENSTNIG00000002780	Tetraodon_nigroviridis
ENSACLP00000035402	ENSACLG00000023913	Astatotilapia_calliptera
ENSMZEP00005001437	ENSMZEG00005001145	Maylandia_zebra
ENSMZEP00005033845	ENSMZEG00005025311	Maylandia_zebra
ENSONIP00000013336	ENSONIG00000010608	Oreochromis_niloticus
ENSACIP00000024699	ENSACIG00000019164	Amphilophus_citrinellus
ENSAOCP00000014604	ENSAOCG00000019299	Amphiprion_ocellaris
ENSAPEP00000026540	ENSAPEG00000018688	Amphiprion_percula
ENSAPOP00000007766	ENSAPOG00000009826	Acanthochromis_polyacanthus
ENSSPAP00000007222	ENSSPAG00000005527	Stegastes_partitus
ENSSDUP00000000214	ENSSDUG00000000239	Seriola_dumerili
ENSSLDP00000010363	ENSSLDG00000008219	Seriola_lalandi_dorsalis
ENSCSEP00000033932	ENSCSEG00000021759	Cynoglossus_semilaevis
ENSMALP00000022340	ENSMALG00000015592	Monopterus_albus
ENSLCRP00005002053	ENSLCRG00005001040	Larimichthys_crocea
ENSMMOP00000024334	ENSMMOG00000018513	Mola_mola
ENSCGOP00000020609	ENSCGOG00000009736	Cottoperca_gobio
ENSLCAP00010049100	ENSLCAG00010022837	Lates_calcarifer
ENSATEP00000017228	ENSATEG00000011973	Anabas_testudineus
ENSPRNP00000031963	ENSPRNG00000016027	Parambassis_ranga
ENSGMOP00000011840	ENSGMOG00000011066	Gadus_morhua
ENSHHUP00000088499	ENSHHUG00000051131	Hucho_hucho
ENSELUP00000017458	ENSELUG00000017157	Esox_lucius
ENSIPUP00000010097	ENSIPUG00000006889	Ictalurus_punctatus
ENSEEEP00000045659	ENSEEEG00000021450	Electrophorus_electricus
ENSAMXP00000050595	ENSAMXG00000030237	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005047611	ENSAMXG00005021644	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000011696	ENSPNAG00000017368	Pygocentrus_nattereri
ENSDARP00000124096	ENSDARG00000025346	Danio_rerio
ENSDCDP00000027520	ENSDCDG00000020042	Denticeps_clupeoides
ENSSFOP00015000986	ENSSFOG00015000748	Scleropages_formosus
ENSPKIP00000013924	ENSPKIG00000001137	Paramormyrops_kingsleyae
ENSLOCP00000019610	ENSLOCG00000015928	Lepisosteus_oculatus
ENSECRP00000024343	ENSECRG00000016111	Erpetoichthys_calabaricus
ENSPCIP00000016144	ENSPCIG00000012500	Phascolarctos_cinereus	ENSPCIT00000019960
ENSVURP00010012350	ENSVURG00010009551	Vombatus_ursinus	ENSVURT00010014062
ENSMEUP00000009142	ENSMEUG00000010015	Notamacropus_eugenii	ENSMEUT00000010049
ENSSHAP00000015538	ENSSHAG00000013241	Sarcophilus_harrisii	ENSSHAT00000015666
ENSMODP00000019868	ENSMODG00000015922	Monodelphis_domestica	ENSMODT00000020223
ENSCCNP00000007577	ENSCCNG00000008067	Castor_canadensis	ENSCCNT00000010026
ENSDORP00000021352	ENSDORG00000012687	Dipodomys_ordii	ENSDORT00000030315
ENSNGAP00000015335	ENSNGAG00000016384	Nannospalax_galili	ENSNGAT00000020938
ENSNGAP00000025657	ENSNGAG00000023537	Nannospalax_galili	ENSNGAT00000031378
MGP_SPRETEiJ_P0033687	MGP_SPRETEiJ_G0018562	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000029481	ENSMSIG00000024735	Mus_spicilegus
ENSMUSP00000064226	ENSMUSG00000055917	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0032201	MGP_CAROLIEiJ_G0017720	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0082319	MGP_PahariEiJ_G0029477	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000067802	ENSRNOG00000045854	Rattus_norvegicus
ENSMUGP00000008354	ENSMUGG00000007478	Meriones_unguiculatus
ENSMUGP00000008244	ENSMUGG00000007156	Meriones_unguiculatus
ENSPEMP00000017924	ENSPEMG00000016665	Peromyscus_maniculatus_bairdii
ENSMOCP00000019091	ENSMOCG00000017178	Microtus_ochrogaster
ENSCGRP00000012325	ENSCGRG00000008982	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015016528	ENSCGRG00015012704	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001024934	ENSCGRG00001022696	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000007578	ENSMAUG00000009201	Mesocricetus_auratus
ENSODEP00000009241	ENSODEG00000006915	Octodon_degus
ENSCLAP00000008994	ENSCLAG00000006282	Chinchilla_lanigera
ENSCPOP00000030547	ENSCPOG00000024990	Cavia_porcellus
ENSHGLP00000023017	ENSHGLG00000016417	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100012806	ENSHGLG00100009483	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100014657	ENSHGLG00100010847	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000006924	ENSHGLG00000005055	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000019635	ENSFDAG00000009004	Fukomys_damarensis
ENSUPAP00010014258	ENSUPAG00010011439	Urocitellus_parryii
ENSSTOP00000003344	ENSSTOG00000003727	Ictidomys_tridecemlineatus
ENSSDAP00000017146	ENSSDAG00000015520	Spermophilus_dauricus
ENSSDAP00000019295	ENSSDAG00000017571	Spermophilus_dauricus
ENSMMMP00000015606	ENSMMMG00000013906	Marmota_marmota_marmota
ENSOCUP00000006911	ENSOCUG00000007998	Oryctolagus_cuniculus
ENSOPRP00000008138	ENSOPRG00000008888	Ochotona_princeps
ENSPTRP00000039224	ENSPTRG00000024152	Pan_troglodytes
ENSPPAP00000013352	ENSPPAG00000029852	Pan_paniscus
ENSP00000354501	ENSG00000198839	Homo_sapiens
ENSGGOP00000005473	ENSGGOG00000005587	Gorilla_gorilla
ENSPPYP00000023933	ENSPPYG00000017917	Pongo_abelii
ENSNLEP00000013692	ENSNLEG00000011240	Nomascus_leucogenys
ENSTGEP00000018829	ENSTGEG00000015159	Theropithecus_gelada
ENSPANP00000006103	ENSPANG00000012693	Papio_anubis
ENSCATP00000012348	ENSCATG00000030331	Cercocebus_atys
ENSMLEP00000026589	ENSMLEG00000037475	Mandrillus_leucophaeus
ENSMFAP00000007782	ENSMFAG00000035406	Macaca_fascicularis
ENSMMUP00000059541	ENSMMUG00000015965	Macaca_mulatta
ENSMNEP00000032519	ENSMNEG00000039581	Macaca_nemestrina
ENSCSAP00000007341	ENSCSAG00000011126	Chlorocebus_sabaeus
ENSRBIP00000017065	ENSRBIG00000032544	Rhinopithecus_bieti
ENSRROP00000037718	ENSRROG00000042269	Rhinopithecus_roxellana
ENSCANP00000030987	ENSCANG00000039145	Colobus_angolensis_palliatus
ENSPTEP00000020380	ENSPTEG00000021624	Piliocolobus_tephrosceles
ENSSBOP00000018844	ENSSBOG00000026035	Saimiri_boliviensis_boliviensis
ENSCCAP00000001678	ENSCCAG00000010585	Cebus_capucinus_imitator
ENSCJAP00000031124	ENSCJAG00000016891	Callithrix_jacchus
ENSCJAP00000057921	ENSCJAG00000022053	Callithrix_jacchus
ENSANAP00000010703	ENSANAG00000023318	Aotus_nancymaae
ENSTSYP00000001300	ENSTSYG00000001399	Carlito_syrichta
ENSPSMP00000013419	ENSPSMG00000009636	Prolemur_simus
ENSMICP00000012878	ENSMICG00000014129	Microcebus_murinus
ENSPCOP00000018645	ENSPCOG00000021226	Propithecus_coquereli
ENSOGAP00000004764	ENSOGAG00000005326	Otolemur_garnettii
ENSTBEP00000003588	ENSTBEG00000004140	Tupaia_belangeri
ENSJJAP00000022096	ENSJJAG00000022259	Jaculus_jaculus
ENSSBOP00000014746	ENSSBOG00000024115	Saimiri_boliviensis_boliviensis
ENSSBOP00000035908	ENSSBOG00000034100	Saimiri_boliviensis_boliviensis
ENSOARP00000002720	ENSOARG00000002557	Ovis_aries
ENSCHIP00000005174	ENSCHIG00000009269	Capra_hircus
ENSBIXP00000013467	ENSBIXG00000018402	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005030484	ENSBIXG00005010603	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000017348	ENSBTAG00000013050	Bos_taurus
ENSBMUP00000032656	ENSBMUG00000024369	Bos_mutus
ENSBBBP00000000023	ENSBBBG00000009202	Bison_bison_bison
ENSTTRP00000011062	ENSTTRG00000011667	Tursiops_truncatus
ENSSSCP00000063572	ENSSSCG00000025910	Sus_scrofa_strain_reference
ENSVPAP00000001950	ENSVPAG00000002112	Vicugna_pacos
ENSEEUP00000008089	ENSEEUG00000008866	Erinaceus_europaeus
ENSSARP00000012457	ENSSARG00000013792	Sorex_araneus
ENSCAFP00000004916	ENSCAFG00000003317	Canis_lupus_familiaris
ENSCAFP00020008813	ENSCAFG00020007148	Canis_lupus_dingo
ENSVVUP00000014795	ENSVVUG00000010862	Vulpes_vulpes
ENSNVIP00000012457	ENSNVIG00000009870	Neovison_vison
ENSMPUP00000007689	ENSMPUG00000007745	Mustela_putorius_furo
ENSUAMP00000004710	ENSUAMG00000004260	Ursus_americanus
ENSUMAP00000009331	ENSUMAG00000007049	Ursus_maritimus
ENSAMEP00000006006	ENSAMEG00000005673	Ailuropoda_melanoleuca
ENSPTIP00000014675	ENSPTIG00000014016	Panthera_tigris_altaica
ENSPPRP00000001345	ENSPPRG00000024189	Panthera_pardus
ENSPPRP00000016600	ENSPPRG00000008827	Panthera_pardus
ENSFCAP00000014033	ENSFCAG00000015127	Felis_catus
ENSECAP00000017591	ENSECAG00000019865	Equus_caballus
ENSEASP00005012582	ENSEASG00005008780	Equus_asinus_asinus
ENSCHOP00000001953	ENSCHOG00000002208	Choloepus_hoffmanni
ENSCHOP00000005877	ENSCHOG00000006650	Choloepus_hoffmanni
ENSDNOP00000008130	ENSDNOG00000010505	Dasypus_novemcinctus
ENSLAFP00000003344	ENSLAFG00000004008	Loxodonta_africana
ENSPCAP00000015168	ENSPCAG00000016198	Procavia_capensis
ENSPVAP00000012477	ENSPVAG00000013231	Pteropus_vampyrus
ENSMLUP00000002408	ENSMLUG00000002648	Myotis_lucifugus
ENSETEP00000004905	ENSETEG00000006045	Echinops_telfairi
ENSOANP00000007090	ENSOANG00000004478	Ornithorhynchus_anatinus
ENSACAP00000007022	ENSACAG00000007100	Anolis_carolinensis
ENSPVIP00000030783	ENSPVIG00000022636	Pogona_vitticeps
ENSNSUP00000018114	ENSNSUG00000013176	Notechis_scutatus
ENSSMRP00000016331	ENSSMRG00000012714	Salvator_merianae
ENSSPUP00000009293	ENSSPUG00000007219	Sphenodon_punctatus
ENSCPUP00000011933	ENSCPUG00000008453	Calidris_pugnax
ENSCPGP00000005328	ENSCPGG00000003864	Calidris_pygmaea
ENSMUNP00000020540	ENSMUNG00000015609	Melopsittacus_undulatus
ENSLSDP00000001657	ENSLSDG00000001300	Lonchura_striata_domestica
ENSTGUP00000005633	ENSTGUG00000005465	Taeniopygia_guttata
ENSSCAP00000018182	ENSSCAG00000012961	Serinus_canaria
ENSJHYP00000020729	ENSJHYG00000015688	Junco_hyemalis
ENSZALP00000008313	ENSZALG00000007252	Zonotrichia_albicollis
ENSFALP00000009896	ENSFALG00000009493	Ficedula_albicollis
ENSPMJP00000014105	ENSPMJG00000010696	Parus_major
ENSCCEP00000004991	ENSCCEG00000005477	Cyanistes_caeruleus
ENSMVIP00005009608	ENSMVIG00005007072	Manacus_vitellinus
ENSLCOP00000018151	ENSLCOG00000012828	Lepidothrix_coronata
ENSGALP00000015370	ENSGALG00000009454	Gallus_gallus
ENSCJPP00005016243	ENSCJPG00005013376	Coturnix_japonica
ENSMGAP00000009452	ENSMGAG00000009151	Meleagris_gallopavo
ENSNMEP00000011976	ENSNMEG00000010805	Numida_meleagris
ENSABRP00000006250	ENSABRG00000005765	Anser_brachyrhynchus
ENSAPLP00000013045	ENSAPLG00000013207	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000011658	ENSAOWG00000008003	Apteryx_owenii
ENSAHAP00000014146	ENSAHAG00000010183	Apteryx_haastii
ENSARWP00000012480	ENSARWG00000008632	Apteryx_rowi
ENSDNVP00000002328	ENSDNVG00000001664	Dromaius_novaehollandiae
ENSNPEP00000013227	ENSNPEG00000009879	Nothoprocta_perdicaria
ENSCPRP00005014024	ENSCPRG00005009870	Crocodylus_porosus
ENSCABP00000026403	ENSCABG00000019287	Chelonoidis_abingdonii
ENSGAGP00000001139	ENSGAGG00000000915	Gopherus_agassizii
ENSCPBP00000037991	ENSCPBG00000026314	Chrysemys_picta_bellii
ENSPSIP00000012298	ENSPSIG00000010933	Pelodiscus_sinensis
ENSXETP00000048017	ENSXETG00000018735	Xenopus_tropicalis
ENSLACP00000009221	ENSLACG00000008138	Latimeria_chalumnae
ENSCMIP00000030861	ENSCMIG00000013269	Callorhinchus_milii
ENSCSAVP00000007540	ENSCSAVG00000004503	Ciona_savignyi
ENSCSAVP00000007695	ENSCSAVG00000004604	Ciona_savignyi
ENSCINP00000001046	ENSCING00000000567	Ciona_intestinalis
F46B6.7.1	WBGene00009772	Caenorhabditis_elegans_strain_N2
FBpp0071893	FBgn0034814	Drosophila_melanogaster
