ENSRBIP00000029096	ENSRBIG00000038433	Rhinopithecus_bieti
ENSUMAP00000027266	ENSUMAG00000019807	Ursus_maritimus
ENSMALP00000010371	ENSMALG00000007386	Monopterus_albus
ENSCMIP00000021448	ENSCMIG00000009774	Callorhinchus_milii
ENSAPOP00000015805	ENSAPOG00000018860	Acanthochromis_polyacanthus
ENSDORP00000011159	ENSDORG00000011870	Dipodomys_ordii
ENSTGEP00000005204	ENSTGEG00000004332	Theropithecus_gelada
ENSFHEP00000008715	ENSFHEG00000009947	Fundulus_heteroclitus
ENSMEUP00000011204	ENSMEUG00000012300	Notamacropus_eugenii
ENSNGAP00000010453	ENSNGAG00000012882	Nannospalax_galili
ENSBIXP00000036043	ENSBIXG00000019375	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMUGP00000016368	ENSMUGG00000014032	Meriones_unguiculatus
ENSBIXP00005032509	ENSBIXG00005013054	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPMEP00000002999	ENSPMEG00000004083	Poecilia_mexicana
ENSAOWP00000000647	ENSAOWG00000000509	Apteryx_owenii	ENSAOWT00000000745
ENSFCAP00000056690	ENSFCAG00000005032	Felis_catus
ENSXCOP00000022761	ENSXCOG00000017004	Xiphophorus_couchianus
ENSELUP00000041739	ENSELUG00000022726	Esox_lucius
YIL134W_mRNA	YIL134W	Saccharomyces_cerevisiae_strain_S288C
ENSHCOP00000024739	ENSHCOG00000014320	Hippocampus_comes
ENSNVIP00000001651	ENSNVIG00000001350	Neovison_vison
ENSCSAVP00000004712	ENSCSAVG00000002806	Ciona_savignyi
ENSCINP00000020243	ENSCING00000010123	Ciona_intestinalis
ENSZALP00000014629	ENSZALG00000012131	Zonotrichia_albicollis
ENSGMOP00000006146	ENSGMOG00000005773	Gadus_morhua
ENSMFAP00000043801	ENSMFAG00000039281	Macaca_fascicularis
ENSCHAP00000039950	ENSCHAG00000018728	Clupea_harengus
ENSEEEP00000006233	ENSEEEG00000003328	Electrophorus_electricus
ENSMUSP00000022908	ENSMUSG00000022299	Mus_musculus_strain_reference_(CL57BL6)
ENSBMUP00000034990	ENSBMUG00000026044	Bos_mutus
ENSXETP00000001011	ENSXETG00000001866	Xenopus_tropicalis
ENSDNVP00000007400	ENSDNVG00000005281	Dromaius_novaehollandiae	ENSDNVT00000008959
ENSPKIP00000040528	ENSPKIG00000017451	Paramormyrops_kingsleyae
ENSPCOP00000000033	ENSPCOG00000000056	Propithecus_coquereli
ENSCAFP00000054515	ENSCAFG00000028968	Canis_lupus_familiaris
ENSPEMP00000000505	ENSPEMG00000000366	Peromyscus_maniculatus_bairdii
ENSPSIP00000007187	ENSPSIG00000006617	Pelodiscus_sinensis
ENSNSUP00000016830	ENSNSUG00000012403	Notechis_scutatus	ENSNSUT00000017924
ENSPLAP00000027384	ENSPLAG00000015953	Poecilia_latipinna
ENSRROP00000038403	ENSRROG00000042582	Rhinopithecus_roxellana
ENSMOCP00000015474	ENSMOCG00000014663	Microtus_ochrogaster
