ENSCAFP00020000343	ENSCAFG00020000388	Canis_lupus_dingo
ENSPPYP00000006129	ENSPPYG00000005382	Pongo_abelii
ENSNLEP00000004743	ENSNLEG00000003910	Nomascus_leucogenys
ENSMLEP00000023230	ENSMLEG00000035815	Mandrillus_leucophaeus
ENSTGEP00000007044	ENSTGEG00000005766	Theropithecus_gelada
ENSPANP00000007887	ENSPANG00000015000	Papio_anubis
ENSCSAP00000013713	ENSCSAG00000017689	Chlorocebus_sabaeus
ENSCATP00000027009	ENSCATG00000036890	Cercocebus_atys
ENSMFAP00000030677	ENSMFAG00000042459	Macaca_fascicularis
ENSMNEP00000022048	ENSMNEG00000034685	Macaca_nemestrina
ENSCANP00000030993	ENSCANG00000039095	Colobus_angolensis_palliatus
ENSMMUP00000074578	ENSMMUG00000009421	Macaca_mulatta
ENSPTEP00000033031	ENSPTEG00000031629	Piliocolobus_tephrosceles
ENSCCAP00000035146	ENSCCAG00000035502	Cebus_capucinus_imitator
ENSSBOP00000019288	ENSSBOG00000026224	Saimiri_boliviensis_boliviensis
ENSANAP00000021423	ENSANAG00000028501	Aotus_nancymaae
ENSRBIP00000028471	ENSRBIG00000038124	Rhinopithecus_bieti
ENSRROP00000011509	ENSRROG00000030094	Rhinopithecus_roxellana
ENSPPAP00000012108	ENSPPAG00000029242	Pan_paniscus
ENSCJAP00000071057	ENSCJAG00000049478	Callithrix_jacchus
ENSOGAP00000004778	ENSOGAG00000005337	Otolemur_garnettii
ENSPEMP00000030490	ENSPEMG00000025502	Peromyscus_maniculatus_bairdii
ENSECAP00000026546	ENSECAG00000000232	Equus_caballus
ENSMLUP00000014589	ENSMLUG00000016015	Myotis_lucifugus
ENSBIXP00000001665	ENSBIXG00000008223	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000067503	ENSBTAG00000008053	Bos_taurus
ENSVPAP00000008587	ENSVPAG00000009223	Vicugna_pacos
ENSPCOP00000024318	ENSPCOG00000024351	Propithecus_coquereli
ENSMICP00000042785	ENSMICG00000044312	Microcebus_murinus
ENSPSMP00000022384	ENSPSMG00000015814	Prolemur_simus
ENSTSYP00000000852	ENSTSYG00000000923	Carlito_syrichta
ENSUAMP00000022915	ENSUAMG00000017959	Ursus_americanus
ENSUMAP00000026011	ENSUMAG00000018709	Ursus_maritimus
ENSAMEP00000012555	ENSAMEG00000011922	Ailuropoda_melanoleuca
ENSNVIP00000015649	ENSNVIG00000012301	Neovison_vison
ENSMPUP00000017893	ENSMPUG00000018004	Mustela_putorius_furo
ENSPPRP00000011458	ENSPPRG00000005308	Panthera_pardus
ENSPTIP00000001839	ENSPTIG00000004680	Panthera_tigris_altaica
ENSFCAP00000003411	ENSFCAG00000003701	Felis_catus
ENSBMUP00000009088	ENSBMUG00000007080	Bos_mutus
ENSBIXP00005037751	ENSBIXG00005019675	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000007340	ENSBBBG00000015408	Bison_bison_bison
ENSCHIP00000026179	ENSCHIG00000022622	Capra_hircus
ENSOARP00000009598	ENSOARG00000008939	Ovis_aries
ENSSSCP00000060645	ENSSSCG00000040538	Sus_scrofa_strain_reference
ENSTTRP00000011350	ENSTTRG00000011970	Tursiops_truncatus
ENSEASP00005025475	ENSEASG00005017347	Equus_asinus_asinus
ENSPVAP00000009762	ENSPVAG00000010357	Pteropus_vampyrus
ENSEEUP00000000068	ENSEEUG00000000078	Erinaceus_europaeus
ENSLAFP00000014260	ENSLAFG00000017011	Loxodonta_africana
ENSPCAP00000009355	ENSPCAG00000010027	Procavia_capensis
ENSETEP00000010062	ENSETEG00000012411	Echinops_telfairi
ENSJJAP00000017088	ENSJJAG00000018746	Jaculus_jaculus
ENSDNOP00000005310	ENSDNOG00000006832	Dasypus_novemcinctus
ENSCHOP00000009268	ENSCHOG00000010470	Choloepus_hoffmanni
ENSSHAP00000015319	ENSSHAG00000013058	Sarcophilus_harrisii	ENSSHAT00000015446
ENSMODP00000045465	ENSMODG00000010528	Monodelphis_domestica	ENSMODT00000081251
ENSVURP00010023240	ENSVURG00010017803	Vombatus_ursinus	ENSVURT00010026445
ENSPCIP00000052387	ENSPCIG00000028314	Phascolarctos_cinereus	ENSPCIT00000058710
ENSMEUP00000014479	ENSMEUG00000015851	Notamacropus_eugenii	ENSMEUT00000015896
ENSOANP00000024464	ENSOANG00000015529	Ornithorhynchus_anatinus
ENSAOWP00000015629	ENSAOWG00000010630	Apteryx_owenii
ENSAHAP00000020310	ENSAHAG00000014288	Apteryx_haastii
ENSARWP00000017148	ENSARWG00000011806	Apteryx_rowi
ENSDNVP00000019712	ENSDNVG00000013796	Dromaius_novaehollandiae
ENSNPEP00000007833	ENSNPEG00000005869	Nothoprocta_perdicaria
ENSCCEP00000010290	ENSCCEG00000010277	Cyanistes_caeruleus
ENSPMJP00000020031	ENSPMJG00000014958	Parus_major
ENSTGUP00000012441	ENSTGUG00000012075	Taeniopygia_guttata
ENSLSDP00000016220	ENSLSDG00000011691	Lonchura_striata_domestica
ENSJHYP00000021277	ENSJHYG00000016103	Junco_hyemalis
ENSZALP00000003802	ENSZALG00000003685	Zonotrichia_albicollis
ENSSCAP00000017875	ENSSCAG00000012968	Serinus_canaria
ENSFALP00000008844	ENSFALG00000008473	Ficedula_albicollis
ENSMVIP00005011395	ENSMVIG00005008356	Manacus_vitellinus
ENSLCOP00000010133	ENSLCOG00000007371	Lepidothrix_coronata
ENSMUNP00000016152	ENSMUNG00000012424	Melopsittacus_undulatus
ENSCPGP00000027356	ENSCPGG00000018846	Calidris_pygmaea
ENSCPUP00000018978	ENSCPUG00000013067	Calidris_pugnax
ENSABRP00000006038	ENSABRG00000005602	Anser_brachyrhynchus
ENSAPLP00000006976	ENSAPLG00000007335	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000018229	ENSMGAG00000015028	Meleagris_gallopavo
ENSCJPP00005025202	ENSCJPG00005019808	Coturnix_japonica
ENSGALP00000027438	ENSGALG00000017019	Gallus_gallus
ENSNMEP00000007522	ENSNMEG00000007526	Numida_meleagris
ENSCPRP00005003452	ENSCPRG00005002480	Crocodylus_porosus
ENSGAGP00000002037	ENSGAGG00000001637	Gopherus_agassizii
ENSCABP00000012997	ENSCABG00000009736	Chelonoidis_abingdonii
ENSCPBP00000011708	ENSCPBG00000008895	Chrysemys_picta_bellii
ENSPSIP00000003729	ENSPSIG00000003537	Pelodiscus_sinensis
ENSPVIP00000002228	ENSPVIG00000001930	Pogona_vitticeps
ENSACAP00000011885	ENSACAG00000011999	Anolis_carolinensis
ENSNSUP00000004080	ENSNSUG00000003252	Notechis_scutatus
ENSSMRP00000006991	ENSSMRG00000005657	Salvator_merianae
ENSSPUP00000008556	ENSSPUG00000006638	Sphenodon_punctatus
ENSXETP00000037068	ENSXETG00000013093	Xenopus_tropicalis
ENSAMXP00005004374	ENSAMXG00005002609	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000044882	ENSAMXG00000013520	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000023443	ENSPNAG00000008009	Pygocentrus_nattereri
ENSEEEP00000022892	ENSEEEG00000011109	Electrophorus_electricus
ENSIPUP00000003177	ENSIPUG00000002256	Ictalurus_punctatus
ENSDARP00000059208	ENSDARG00000040453	Danio_rerio
ENSDCDP00000009549	ENSDCDG00000004779	Denticeps_clupeoides
ENSCHAP00000001633	ENSCHAG00000001113	Clupea_harengus
ENSSPAP00000012434	ENSSPAG00000009429	Stegastes_partitus
ENSPRNP00000026814	ENSPRNG00000013457	Parambassis_ranga
ENSACLP00000031046	ENSACLG00000021015	Astatotilapia_calliptera
ENSMZEP00005025037	ENSMZEG00005018694	Maylandia_zebra
ENSHBUP00000001090	ENSHBUG00000000970	Haplochromis_burtoni
ENSPNYP00000016551	ENSPNYG00000012527	Pundamilia_nyererei
ENSONIP00000021528	ENSONIG00000017074	Oreochromis_niloticus
ENSACIP00000028151	ENSACIG00000021811	Amphilophus_citrinellus
ENSKMAP00000006343	ENSKMAG00000004788	Kryptolebias_marmoratus
ENSAOCP00000025333	ENSAOCG00000012836	Amphiprion_ocellaris
ENSAPEP00000002594	ENSAPEG00000001871	Amphiprion_percula
ENSAPOP00000000754	ENSAPOG00000001981	Acanthochromis_polyacanthus
ENSGACP00000000323	ENSGACG00000000255	Gasterosteus_aculeatus
ENSLCRP00005049842	ENSLCRG00005018750	Larimichthys_crocea
ENSCSEP00000009117	ENSCSEG00000005842	Cynoglossus_semilaevis
ENSMAMP00000028953	ENSMAMG00000019471	Mastacembelus_armatus
ENSATEP00000006115	ENSATEG00000004266	Anabas_testudineus
ENSTRUP00000033638	ENSTRUG00000013216	Takifugu_rubripes
ENSTNIP00000018785	ENSTNIG00000015710	Tetraodon_nigroviridis
ENSMMOP00000025946	ENSMMOG00000019679	Mola_mola
ENSCGOP00000006035	ENSCGOG00000002845	Cottoperca_gobio
ENSMALP00000002198	ENSMALG00000001606	Monopterus_albus
ENSSDUP00000015480	ENSSDUG00000011278	Seriola_dumerili
ENSSLDP00000010091	ENSSLDG00000008038	Seriola_lalandi_dorsalis
ENSLCAP00010039449	ENSLCAG00010018425	Lates_calcarifer
ENSSMAP00000009133	ENSSMAG00000005603	Scophthalmus_maximus
ENSBSLP00000012133	ENSBSLG00000006174	Betta_splendens
ENSLBEP00000008962	ENSLBEG00000006918	Labrus_bergylta
ENSPFOP00000015975	ENSPFOG00000015858	Poecilia_formosa
ENSPMEP00000002100	ENSPMEG00000003154	Poecilia_mexicana
ENSPLAP00000024490	ENSPLAG00000010720	Poecilia_latipinna
ENSPREP00000005248	ENSPREG00000003639	Poecilia_reticulata
ENSXMAP00000022939	ENSXMAG00000001056	Xiphophorus_maculatus
ENSXCOP00000024797	ENSXCOG00000018517	Xiphophorus_couchianus
ENSGAFP00000005812	ENSGAFG00000003933	Gambusia_affinis
ENSCVAP00000018540	ENSCVAG00000021846	Cyprinodon_variegatus
ENSFHEP00000013762	ENSFHEG00000015317	Fundulus_heteroclitus
ENSORLP00000036762	ENSORLG00000010184	Oryzias_latipes_ASM223467v1
ENSORLP00020031335	ENSORLG00020016321	Oryzias_latipes_ASM223471v1
ENSORLP00015018004	ENSORLG00015019064	Oryzias_latipes_ASM223469v1
ENSOMEP00000014613	ENSOMEG00000016135	Oryzias_melastigma
ENSGWIP00000019376	ENSGWIG00000010606	Gouania_willdenowi
ENSPMGP00000024927	ENSPMGG00000019947	Periophthalmus_magnuspinnatus
ENSHCOP00000000908	ENSHCOG00000001785	Hippocampus_comes
ENSGMOP00000009917	ENSGMOG00000009280	Gadus_morhua
ENSHHUP00000051887	ENSHHUG00000031113	Hucho_hucho
ENSHHUP00000002681	ENSHHUG00000001699	Hucho_hucho
ENSELUP00000007794	ENSELUG00000008542	Esox_lucius
ENSSFOP00015004509	ENSSFOG00015002927	Scleropages_formosus
ENSPKIP00000002447	ENSPKIG00000020320	Paramormyrops_kingsleyae
ENSLOCP00000012682	ENSLOCG00000010340	Lepisosteus_oculatus
ENSECRP00000008834	ENSECRG00000005931	Erpetoichthys_calabaricus
ENSCMIP00000012607	ENSCMIG00000006385	Callorhinchus_milii
ENSEBUP00000000364	ENSEBUG00000000544	Eptatretus_burgeri
