ENSPMAP00000008905	ENSPMAG00000008081	Petromyzon_marinus	ENSPMAT00000008944
ENSEBUP00000021269	ENSEBUG00000013142	Eptatretus_burgeri	ENSEBUT00000021845
ENSPCOP00000006310	ENSPCOG00000014298	Propithecus_coquereli
ENSFCAP00000019701	ENSFCAG00000022845	Felis_catus
ENSECAP00000005209	ENSECAG00000006773	Equus_caballus
ENSEASP00005033031	ENSEASG00005022598	Equus_asinus_asinus
ENSEEUP00000014171	ENSEEUG00000015517	Erinaceus_europaeus
ENSSSCP00000020547	ENSSSCG00000027516	Sus_scrofa_strain_reference
ENSVPAP00000008995	ENSVPAG00000009663	Vicugna_pacos
ENSBIXP00005026474	ENSBIXG00005005349	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000040825	ENSBIXG00000024966	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000025636	ENSBMUG00000019215	Bos_mutus
ENSBTAP00000049799	ENSBTAG00000038620	Bos_taurus
ENSBBBP00000008923	ENSBBBG00000016992	Bison_bison_bison
ENSOARP00000000334	ENSOARG00000000339	Ovis_aries
ENSCHIP00000028403	ENSCHIG00000023936	Capra_hircus
ENSTTRP00000016117	ENSTTRG00000017000	Tursiops_truncatus
ENSMLUP00000012572	ENSMLUG00000013807	Myotis_lucifugus
ENSHGLP00000011283	ENSHGLG00000008097	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100006239	ENSHGLG00100004690	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000005774	ENSFDAG00000014692	Fukomys_damarensis
ENSCLAP00000005171	ENSCLAG00000003669	Chinchilla_lanigera
ENSODEP00000012586	ENSODEG00000009325	Octodon_degus
ENSCAPP00000006128	ENSCAPG00000008317	Cavia_aperea
ENSCPOP00000009226	ENSCPOG00000010275	Cavia_porcellus
ENSSTOP00000001102	ENSSTOG00000001233	Ictidomys_tridecemlineatus
ENSMMMP00000027116	ENSMMMG00000023697	Marmota_marmota_marmota
ENSSDAP00000013259	ENSSDAG00000011959	Spermophilus_dauricus
ENSCCNP00000032486	ENSCCNG00000030811	Castor_canadensis
ENSDORP00000022028	ENSDORG00000013676	Dipodomys_ordii
ENSPEMP00000025971	ENSPEMG00000022223	Peromyscus_maniculatus_bairdii
ENSMOCP00000019615	ENSMOCG00000017545	Microtus_ochrogaster
ENSMUSP00000049834	ENSMUSG00000041777	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0054388	MGP_SPRETEiJ_G0024580	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000008049	ENSMSIG00000007130	Mus_spicilegus
MGP_CAROLIEiJ_P0052307	MGP_CAROLIEiJ_G0023657	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0063302	MGP_PahariEiJ_G0025109	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000060978	ENSRNOG00000018719	Rattus_norvegicus
ENSCGRP00015001254	ENSCGRG00015001090	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001014707	ENSCGRG00001015518	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000021594	ENSCGRG00000015674	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000021743	ENSMAUG00000019383	Mesocricetus_auratus
ENSMUGP00000031831	ENSMUGG00000026457	Meriones_unguiculatus
ENSNGAP00000025009	ENSNGAG00000023091	Nannospalax_galili
ENSJJAP00000006092	ENSJJAG00000010849	Jaculus_jaculus
ENSTBEP00000011092	ENSTBEG00000012818	Tupaia_belangeri
ENSTBEP00000003750	ENSTBEG00000004324	Tupaia_belangeri
ENSLAFP00000008575	ENSLAFG00000010236	Loxodonta_africana
ENSPCAP00000011956	ENSPCAG00000012790	Procavia_capensis
ENSOARP00000006986	ENSOARG00000006529	Ovis_aries
ENSVURP00010025299	ENSVURG00010019374	Vombatus_ursinus
ENSPCIP00000047854	ENSPCIG00000027338	Phascolarctos_cinereus
ENSMEUP00000011701	ENSMEUG00000012823	Notamacropus_eugenii
ENSMODP00000052965	ENSMODG00000037714	Monodelphis_domestica
ENSSHAP00000018461	ENSSHAG00000015674	Sarcophilus_harrisii
ENSOANP00000013704	ENSOANG00000008602	Ornithorhynchus_anatinus
ENSABRP00000001203	ENSABRG00000001225	Anser_brachyrhynchus
ENSAPLP00000007776	ENSAPLG00000008087	Anas_platyrhynchos_platyrhynchos
ENSGALP00000023047	ENSGALG00000014276	Gallus_gallus
ENSCJPP00005022217	ENSCJPG00005017750	Coturnix_japonica
ENSMGAP00000010159	ENSMGAG00000009813	Meleagris_gallopavo
ENSNMEP00000026365	ENSNMEG00000022247	Numida_meleagris
ENSPMJP00000025344	ENSPMJG00000018569	Parus_major
ENSCCEP00000026949	ENSCCEG00000023570	Cyanistes_caeruleus
ENSFALP00000003127	ENSFALG00000002994	Ficedula_albicollis
ENSTGUP00000015058	ENSTGUG00000014693	Taeniopygia_guttata
ENSTGUP00000009027	ENSTGUG00000008746	Taeniopygia_guttata
ENSLSDP00000015169	ENSLSDG00000010942	Lonchura_striata_domestica
ENSSCAP00000022298	ENSSCAG00000016033	Serinus_canaria
ENSZALP00000022797	ENSZALG00000017682	Zonotrichia_albicollis
ENSJHYP00000016793	ENSJHYG00000012804	Junco_hyemalis
ENSMVIP00005005458	ENSMVIG00005004178	Manacus_vitellinus
ENSMVIP00005002247	ENSMVIG00005001776	Manacus_vitellinus
ENSLCOP00000023282	ENSLCOG00000016333	Lepidothrix_coronata
ENSCPGP00000025077	ENSCPGG00000017274	Calidris_pygmaea
ENSCPUP00000006575	ENSCPUG00000004777	Calidris_pugnax
ENSDNVP00000025221	ENSDNVG00000017538	Dromaius_novaehollandiae
ENSNPEP00000020289	ENSNPEG00000015080	Nothoprocta_perdicaria
ENSAOWP00000027889	ENSAOWG00000018787	Apteryx_owenii
ENSAHAP00000010535	ENSAHAG00000007642	Apteryx_haastii
ENSARWP00000007486	ENSARWG00000005223	Apteryx_rowi
ENSCPRP00005019942	ENSCPRG00005013911	Crocodylus_porosus
ENSACAP00000005407	ENSACAG00000005518	Anolis_carolinensis
ENSPVIP00000015613	ENSPVIG00000012033	Pogona_vitticeps
ENSNSUP00000015535	ENSNSUG00000011459	Notechis_scutatus
ENSSMRP00000023447	ENSSMRG00000018195	Salvator_merianae
ENSSPUP00000003178	ENSSPUG00000002452	Sphenodon_punctatus
ENSGAGP00000020476	ENSGAGG00000015086	Gopherus_agassizii
ENSCABP00000007788	ENSCABG00000005871	Chelonoidis_abingdonii
ENSCPBP00000004848	ENSCPBG00000003892	Chrysemys_picta_bellii
ENSPSIP00000019823	ENSPSIG00000017557	Pelodiscus_sinensis
ENSMUNP00000010056	ENSMUNG00000007958	Melopsittacus_undulatus
ENSLACP00000005518	ENSLACG00000004904	Latimeria_chalumnae
ENSXETP00000033653	ENSXETG00000015957	Xenopus_tropicalis
ENSPKIP00000019177	ENSPKIG00000004454	Paramormyrops_kingsleyae
ENSSFOP00015028660	ENSSFOG00015018411	Scleropages_formosus
ENSAMXP00005040583	ENSAMXG00005019042	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000034232	ENSAMXG00000035213	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000014875	ENSPNAG00000020838	Pygocentrus_nattereri
ENSEEEP00000009671	ENSEEEG00000004928	Electrophorus_electricus
ENSIPUP00000029791	ENSIPUG00000020130	Ictalurus_punctatus
ENSDARP00000145783	ENSDARG00000099733	Danio_rerio
ENSDCDP00000058584	ENSDCDG00000033993	Denticeps_clupeoides
ENSAOCP00000008535	ENSAOCG00000012561	Amphiprion_ocellaris
ENSAPEP00000031150	ENSAPEG00000022133	Amphiprion_percula
ENSAPOP00000013060	ENSAPOG00000015805	Acanthochromis_polyacanthus
ENSSPAP00000000482	ENSSPAG00000000400	Stegastes_partitus
ENSPRNP00000004879	ENSPRNG00000002752	Parambassis_ranga
ENSACLP00000013884	ENSACLG00000009479	Astatotilapia_calliptera
ENSMZEP00005006440	ENSMZEG00005004982	Maylandia_zebra
ENSPNYP00000010473	ENSPNYG00000007957	Pundamilia_nyererei
ENSHBUP00000017431	ENSHBUG00000019451	Haplochromis_burtoni
ENSONIP00000010877	ENSONIG00000008652	Oreochromis_niloticus
ENSNBRP00000015064	ENSNBRG00000011656	Neolamprologus_brichardi
ENSACIP00000000739	ENSACIG00000000633	Amphilophus_citrinellus
ENSCVAP00000015849	ENSCVAG00000018732	Cyprinodon_variegatus
ENSFHEP00000004350	ENSFHEG00000005291	Fundulus_heteroclitus
ENSXMAP00000023901	ENSXMAG00000024439	Xiphophorus_maculatus
ENSXCOP00000025678	ENSXCOG00000019184	Xiphophorus_couchianus
ENSGAFP00000005582	ENSGAFG00000003810	Gambusia_affinis
ENSPFOP00000013532	ENSPFOG00000013476	Poecilia_formosa
ENSPLAP00000014256	ENSPLAG00000017906	Poecilia_latipinna
ENSPREP00000007598	ENSPREG00000005205	Poecilia_reticulata
ENSKMAP00000021048	ENSKMAG00000015637	Kryptolebias_marmoratus
ENSORLP00015014231	ENSORLG00015015178	Oryzias_latipes_ASM223469v1
ENSORLP00020020145	ENSORLG00020021137	Oryzias_latipes_ASM223471v1
ENSORLP00000021877	ENSORLG00000017496	Oryzias_latipes_ASM223467v1
ENSOMEP00000024097	ENSOMEG00000004511	Oryzias_melastigma
ENSCGOP00000027301	ENSCGOG00000012769	Cottoperca_gobio
ENSLCRP00005048857	ENSLCRG00005018460	Larimichthys_crocea
ENSMAMP00000008826	ENSMAMG00000005971	Mastacembelus_armatus
ENSSMAP00000024474	ENSSMAG00000014954	Scophthalmus_maximus
ENSCSEP00000008656	ENSCSEG00000005531	Cynoglossus_semilaevis
ENSMMOP00000001984	ENSMMOG00000001654	Mola_mola
ENSBSLP00000010841	ENSBSLG00000005674	Betta_splendens
ENSGACP00000006261	ENSGACG00000004749	Gasterosteus_aculeatus
ENSTRUP00000053294	ENSTRUG00000017600	Takifugu_rubripes
ENSSDUP00000029808	ENSSDUG00000021504	Seriola_dumerili
ENSSLDP00000023890	ENSSLDG00000018620	Seriola_lalandi_dorsalis
ENSLCAP00010034014	ENSLCAG00010015983	Lates_calcarifer
ENSMALP00000013078	ENSMALG00000009255	Monopterus_albus
ENSATEP00000022668	ENSATEG00000015707	Anabas_testudineus
ENSGWIP00000035553	ENSGWIG00000018333	Gouania_willdenowi
ENSHCOP00000022504	ENSHCOG00000010261	Hippocampus_comes
ENSGMOP00000004847	ENSGMOG00000004548	Gadus_morhua
ENSELUP00000023739	ENSELUG00000022576	Esox_lucius
ENSHHUP00000017171	ENSHHUG00000010692	Hucho_hucho
ENSHHUP00000055481	ENSHHUG00000033179	Hucho_hucho
ENSLBEP00000021081	ENSLBEG00000016214	Labrus_bergylta
ENSLOCP00000008937	ENSLOCG00000007371	Lepisosteus_oculatus
ENSECRP00000013407	ENSECRG00000008941	Erpetoichthys_calabaricus
ENSCMIP00000029246	ENSCMIG00000012674	Callorhinchus_milii
ENSCINP00000022954	ENSCING00000012247	Ciona_intestinalis
FBpp0074834	FBgn0036827	Drosophila_melanogaster
F55F8.4.2	WBGene00018892	Caenorhabditis_elegans_strain_N2
