ENSCVAP00000008396	ENSCVAG00000010203	Cyprinodon_variegatus
ENSPFOP00000006161	ENSPFOG00000006152	Poecilia_formosa
ENSZALP00000002551	ENSZALG00000002691	Zonotrichia_albicollis
ENSCCEP00000010254	ENSCCEG00000010250	Cyanistes_caeruleus
ENSCPRP00005020573	ENSCPRG00005014291	Crocodylus_porosus
ENSLCRP00005003214	ENSLCRG00005001600	Larimichthys_crocea
ENSMNEP00000034596	ENSMNEG00000040488	Macaca_nemestrina
ENSCJAP00000024829	ENSCJAG00000013501	Callithrix_jacchus
ENSOANP00000020000	ENSOANG00000012646	Ornithorhynchus_anatinus
ENSSCAP00000012149	ENSSCAG00000009073	Serinus_canaria
ENSAMXP00000047956	ENSAMXG00000017731	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSARWP00000020669	ENSARWG00000014134	Apteryx_rowi
ENSNLEP00000003982	ENSNLEG00000003279	Nomascus_leucogenys
ENSPMJP00000026964	ENSPMJG00000019657	Parus_major
ENSCHAP00000038392	ENSCHAG00000018015	Clupea_harengus
ENSABRP00000013472	ENSABRG00000011959	Anser_brachyrhynchus
ENSPNAP00000002546	ENSPNAG00000001241	Pygocentrus_nattereri
ENSBSLP00000019106	ENSBSLG00000009960	Betta_splendens
ENSTTRP00000015475	ENSTTRG00000016327	Tursiops_truncatus
ENSHGLP00000014334	ENSHGLG00000010257	Heterocephalus_glaber_HetGla_female_1.0
ENSPREP00000032063	ENSPREG00000021649	Poecilia_reticulata
ENSMAMP00000012803	ENSMAMG00000008101	Mastacembelus_armatus
ENSSHAP00000019319	ENSSHAG00000016407	Sarcophilus_harrisii
ENSPANP00000019906	ENSPANG00000023297	Papio_anubis
ENSJJAP00000010806	ENSJJAG00000014298	Jaculus_jaculus
ENSDNOP00000012897	ENSDNOG00000016640	Dasypus_novemcinctus
ENSLOCP00000006694	ENSLOCG00000005548	Lepisosteus_oculatus
ENSMPUP00000013913	ENSMPUG00000014019	Mustela_putorius_furo
ENSRBIP00000005596	ENSRBIG00000024572	Rhinopithecus_bieti
ENSETEP00000003976	ENSETEG00000004869	Echinops_telfairi
ENSPPYP00000009130	ENSPPYG00000008120	Pongo_abelii
ENSHGLP00100026182	ENSHGLG00100019210	Heterocephalus_glaber_HetGla_1.0
ENSCHIP00000011654	ENSCHIG00000013728	Capra_hircus
ENSTSYP00000022828	ENSTSYG00000036991	Carlito_syrichta
ENSMLUP00000015198	ENSMLUG00000016676	Myotis_lucifugus	ENSMLUT00000016677
ENSUPAP00010024128	ENSUPAG00010019144	Urocitellus_parryii
ENSCMIP00000032264	ENSCMIG00000013784	Callorhinchus_milii
ENSNMEP00000018474	ENSNMEG00000016065	Numida_meleagris
ENSACLP00000031621	ENSACLG00000021439	Astatotilapia_calliptera
ENSMMOP00000015434	ENSMMOG00000011557	Mola_mola
ENSMAUP00000008561	ENSMAUG00000009942	Mesocricetus_auratus
ENSAMEP00000004583	ENSAMEG00000004336	Ailuropoda_melanoleuca
ENSCGRP00001000083	ENSCGRG00001000096	Cricetulus_griseus_CHOK1GS_HDv1
ENSONIP00000010312	ENSONIG00000008191	Oreochromis_niloticus
ENSPCOP00000025095	ENSPCOG00000024768	Propithecus_coquereli
ENSECRP00000013227	ENSECRG00000008808	Erpetoichthys_calabaricus
ENSCATP00000017537	ENSCATG00000032650	Cercocebus_atys
ENSGMOP00000002504	ENSGMOG00000002364	Gadus_morhua
ENSMICP00000033048	ENSMICG00000038723	Microcebus_murinus
ENSGWIP00000038801	ENSGWIG00000019793	Gouania_willdenowi
ENSMALP00000004219	ENSMALG00000002884	Monopterus_albus
ENSCAPP00000011028	ENSCAPG00000012164	Cavia_aperea
ENSAMXP00005037176	ENSAMXG00005017700	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCPGP00000008212	ENSCPGG00000005845	Calidris_pygmaea
ENSAPOP00000008289	ENSAPOG00000010432	Acanthochromis_polyacanthus
ENSCPOP00000002557	ENSCPOG00000002812	Cavia_porcellus
ENSPKIP00000011735	ENSPKIG00000018704	Paramormyrops_kingsleyae
ENSMUNP00000018223	ENSMUNG00000013944	Melopsittacus_undulatus
ENSDCDP00000006255	ENSDCDG00000003223	Denticeps_clupeoides
ENSMGAP00000010740	ENSMGAG00000010343	Meleagris_gallopavo
ENSGACP00000011441	ENSGACG00000008658	Gasterosteus_aculeatus
ENSHHUP00000034783	ENSHHUG00000021897	Hucho_hucho
ENSPVIP00000023219	ENSPVIG00000017541	Pogona_vitticeps
ENSAHAP00000020744	ENSAHAG00000014571	Apteryx_haastii
ENSP00000225387	ENSG00000108255	Homo_sapiens
ENSCPBP00000028484	ENSCPBG00000020117	Chrysemys_picta_bellii
ENSPTEP00000034458	ENSPTEG00000032695	Piliocolobus_tephrosceles
ENSCAFP00020014378	ENSCAFG00020011603	Canis_lupus_dingo
ENSLCOP00000012027	ENSLCOG00000008720	Lepidothrix_coronata
ENSLCAP00010026496	ENSLCAG00010012391	Lates_calcarifer
ENSMEUP00000001671	ENSMEUG00000001824	Notamacropus_eugenii	ENSMEUT00000001833
ENSDNVP00000021468	ENSDNVG00000015019	Dromaius_novaehollandiae
ENSFCAP00000011586	ENSFCAG00000012488	Felis_catus
ENSMFAP00000006043	ENSMFAG00000002646	Macaca_fascicularis
ENSAOWP00000011200	ENSAOWG00000007703	Apteryx_owenii
ENSHHUP00000051933	ENSHHUG00000031248	Hucho_hucho
ENSDORP00000025388	ENSDORG00000001761	Dipodomys_ordii
ENSPLAP00000016836	ENSPLAG00000000773	Poecilia_latipinna
ENSCCNP00000029920	ENSCCNG00000028708	Castor_canadensis
ENSSMRP00000000385	ENSSMRG00000000357	Salvator_merianae
ENSUMAP00000014623	ENSUMAG00000010754	Ursus_maritimus
ENSRNOP00000011608	ENSRNOG00000008700	Rattus_norvegicus
