ENSACIP00000010116	ENSACIG00000007931	Amphilophus_citrinellus
ENSCSAP00000006235	ENSCSAG00000010004	Chlorocebus_sabaeus
ENSMMUP00000043456	ENSMMUG00000012560	Macaca_mulatta
ENSMNEP00000041678	ENSMNEG00000043652	Macaca_nemestrina
ENSMFAP00000034761	ENSMFAG00000003855	Macaca_fascicularis
ENSTGEP00000014667	ENSTGEG00000011908	Theropithecus_gelada
ENSPANP00000027587	ENSPANG00000008812	Papio_anubis
ENSCATP00000035366	ENSCATG00000040547	Cercocebus_atys
ENSMLEP00000033217	ENSMLEG00000040780	Mandrillus_leucophaeus
ENSPTEP00000030941	ENSPTEG00000030016	Piliocolobus_tephrosceles
ENSCANP00000024726	ENSCANG00000035764	Colobus_angolensis_palliatus
ENSRROP00000007497	ENSRROG00000027586	Rhinopithecus_roxellana
ENSRBIP00000043635	ENSRBIG00000044974	Rhinopithecus_bieti
ENSPTRP00000066884	ENSPTRG00000051216	Pan_troglodytes
ENSP00000500443	ENSG00000132297	Homo_sapiens
ENSPPAP00000032845	ENSPPAG00000039282	Pan_paniscus
ENSGGOP00000051895	ENSGGOG00000036405	Gorilla_gorilla
ENSNLEP00000031885	ENSNLEG00000034486	Nomascus_leucogenys
ENSSBOP00000017802	ENSSBOG00000025546	Saimiri_boliviensis_boliviensis
ENSCCAP00000036589	ENSCCAG00000036215	Cebus_capucinus_imitator
ENSCJAP00000051981	ENSCJAG00000036496	Callithrix_jacchus
ENSANAP00000039815	ENSANAG00000037286	Aotus_nancymaae
ENSTSYP00000026308	ENSTSYG00000027392	Carlito_syrichta
ENSPCOP00000000406	ENSPCOG00000001046	Propithecus_coquereli
ENSPSMP00000005159	ENSPSMG00000003990	Prolemur_simus
ENSMICP00000018952	ENSMICG00000003609	Microcebus_murinus
ENSOGAP00000011518	ENSOGAG00000012848	Otolemur_garnettii
ENSUPAP00010008597	ENSUPAG00010006905	Urocitellus_parryii
ENSSDAP00000026983	ENSSDAG00000024457	Spermophilus_dauricus
ENSSTOP00000017496	ENSSTOG00000011122	Ictidomys_tridecemlineatus
ENSMMMP00000004168	ENSMMMG00000003755	Marmota_marmota_marmota
ENSCLAP00000002069	ENSCLAG00000001503	Chinchilla_lanigera
ENSODEP00000000591	ENSODEG00000000496	Octodon_degus
ENSCAPP00000007320	ENSCAPG00000009277	Cavia_aperea
ENSHGLP00100004577	ENSHGLG00100003458	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000020880	ENSHGLG00000014927	Heterocephalus_glaber_HetGla_female_1.0
ENSCGRP00001001190	ENSCGRG00001000905	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015002329	ENSCGRG00015001882	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000000023	ENSMAUG00000000046	Mesocricetus_auratus
ENSMOCP00000011985	ENSMOCG00000012232	Microtus_ochrogaster
ENSPEMP00000002150	ENSPEMG00000002102	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0040146	MGP_SPRETEiJ_G0020742	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000013641	ENSMSIG00000011782	Mus_spicilegus
ENSMUSP00000098149	ENSMUSG00000072511	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0038358	MGP_CAROLIEiJ_G0019844	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0041721	MGP_PahariEiJ_G0019849	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000075330	ENSRNOG00000054588	Rattus_norvegicus
ENSMUGP00000027444	ENSMUGG00000022807	Meriones_unguiculatus
ENSNGAP00000013817	ENSNGAG00000015288	Nannospalax_galili
ENSJJAP00000006011	ENSJJAG00000010797	Jaculus_jaculus
ENSDORP00000021390	ENSDORG00000027098	Dipodomys_ordii
ENSEEUP00000007424	ENSEEUG00000008152	Erinaceus_europaeus
ENSSARP00000007683	ENSSARG00000008472	Sorex_araneus
ENSTBEP00000012033	ENSTBEG00000013887	Tupaia_belangeri
ENSETEP00000016262	ENSETEG00000020022	Echinops_telfairi
ENSXETP00000048401	ENSXETG00000017452	Xenopus_tropicalis
ENSLACP00000011733	ENSLACG00000010330	Latimeria_chalumnae
