ENSATEP00000001710	ENSATEG00000000981	Anabas_testudineus
ENSAOCP00000002776	ENSAOCG00000005970	Amphiprion_ocellaris
ENSCHAP00000037327	ENSCHAG00000015864	Clupea_harengus	ENSCHAT00000040403
ENSXCOP00000020743	ENSXCOG00000015547	Xiphophorus_couchianus
ENSCVAP00000003880	ENSCVAG00000005175	Cyprinodon_variegatus
ENSHBUP00000028722	ENSHBUG00000012729	Haplochromis_burtoni
ENSAMXP00000029167	ENSAMXG00000017413	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000030301
ENSPNAP00000033741	ENSPNAG00000003725	Pygocentrus_nattereri
ENSHBUP00000029275	ENSHBUG00000013585	Haplochromis_burtoni
ENSACIP00000000703	ENSACIG00000000567	Amphilophus_citrinellus
ENSORLP00020014799	ENSORLG00020015837	Oryzias_latipes_ASM223471v1
ENSHCOP00000009996	ENSHCOG00000012558	Hippocampus_comes
ENSKMAP00000021086	ENSKMAG00000015633	Kryptolebias_marmoratus
ENSPNYP00000012477	ENSPNYG00000009432	Pundamilia_nyererei
ENSXCOP00000012275	ENSXCOG00000009284	Xiphophorus_couchianus
ENSMZEP00005021510	ENSMZEG00005016141	Maylandia_zebra
ENSIPUP00000033412	ENSIPUG00000022441	Ictalurus_punctatus
ENSXCOP00000010809	ENSXCOG00000008161	Xiphophorus_couchianus
ENSMAMP00000007395	ENSMAMG00000005016	Mastacembelus_armatus
ENSPLAP00000007367	ENSPLAG00000009708	Poecilia_latipinna
ENSXMAP00000040463	ENSXMAG00000006088	Xiphophorus_maculatus
ENSPFOP00000012247	ENSPFOG00000011810	Poecilia_formosa
ENSHCOP00000009931	ENSHCOG00000000754	Hippocampus_comes
ENSONIP00000016485	ENSONIG00000013105	Oreochromis_niloticus
ENSSPAP00000030447	ENSSPAG00000022858	Stegastes_partitus
ENSPNYP00000012407	ENSPNYG00000009415	Pundamilia_nyererei
ENSONIP00000023964	ENSONIG00000019033	Oreochromis_niloticus
ENSPNYP00000012569	ENSPNYG00000009494	Pundamilia_nyererei
ENSXMAP00000007456	ENSXMAG00000007429	Xiphophorus_maculatus
ENSGMOP00000005458	ENSGMOG00000005136	Gadus_morhua
ENSEEEP00000032950	ENSEEEG00000015689	Electrophorus_electricus	ENSEEET00000033342
ENSCVAP00000032252	ENSCVAG00000022168	Cyprinodon_variegatus
ENSPLAP00000027301	ENSPLAG00000015828	Poecilia_latipinna
ENSHBUP00000011046	ENSHBUG00000012663	Haplochromis_burtoni
ENSSDUP00000028336	ENSSDUG00000020398	Seriola_dumerili
ENSDCDP00000007002	ENSDCDG00000003708	Denticeps_clupeoides	ENSDCDT00000007812
ENSORLP00000034650	ENSORLG00000029850	Oryzias_latipes_ASM223467v1
ENSSPAP00000030435	ENSSPAG00000022855	Stegastes_partitus
ENSMMOP00000027938	ENSMMOG00000021125	Mola_mola
ENSGWIP00000051676	ENSGWIG00000025000	Gouania_willdenowi
ENSDARP00000149538	ENSDARG00000104450	Danio_rerio
ENSAPEP00000006262	ENSAPEG00000004460	Amphiprion_percula
ENSFHEP00000029927	ENSFHEG00000014923	Fundulus_heteroclitus
ENSCGOP00000015057	ENSCGOG00000007238	Cottoperca_gobio
ENSOMEP00000033779	ENSOMEG00000019984	Oryzias_melastigma
ENSGAFP00000011586	ENSGAFG00000007865	Gambusia_affinis
ENSNBRP00000014353	ENSNBRG00000011038	Neolamprologus_brichardi
ENSPMGP00000005857	ENSPMGG00000004936	Periophthalmus_magnuspinnatus
ENSEEEP00000032947	ENSEEEG00000015687	Electrophorus_electricus	ENSEEET00000033339
ENSORLP00015021428	ENSORLG00015022636	Oryzias_latipes_ASM223469v1
ENSMZEP00005021483	ENSMZEG00005016123	Maylandia_zebra
ENSPMEP00000026344	ENSPMEG00000010050	Poecilia_mexicana
ENSNBRP00000014501	ENSNBRG00000011168	Neolamprologus_brichardi
ENSPFOP00000026965	ENSPFOG00000002009	Poecilia_formosa
ENSKMAP00000020897	ENSKMAG00000015490	Kryptolebias_marmoratus
ENSAPOP00000024553	ENSAPOG00000007035	Acanthochromis_polyacanthus
ENSPREP00000002131	ENSPREG00000001498	Poecilia_reticulata
ENSCVAP00000018864	ENSCVAG00000022190	Cyprinodon_variegatus
ENSCVAP00000022420	ENSCVAG00000005116	Cyprinodon_variegatus
ENSTRUP00000011127	ENSTRUG00000004684	Takifugu_rubripes
ENSLCAP00010007703	ENSLCAG00010003578	Lates_calcarifer
ENSPKIP00000030924	ENSPKIG00000011588	Paramormyrops_kingsleyae
ENSELUP00000019056	ENSELUG00000000790	Esox_lucius
ENSACIP00000000869	ENSACIG00000000635	Amphilophus_citrinellus
ENSMALP00000008684	ENSMALG00000006186	Monopterus_albus
ENSGACP00000024102	ENSGACG00000018227	Gasterosteus_aculeatus
ENSHHUP00000038833	ENSHHUG00000024100	Hucho_hucho
ENSGAFP00000005616	ENSGAFG00000003772	Gambusia_affinis
ENSAMXP00005056975	ENSAMXG00005025043	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSOMEP00000018377	ENSOMEG00000020109	Oryzias_melastigma
ENSSMAP00000027829	ENSSMAG00000016949	Scophthalmus_maximus
ENSPREP00000001126	ENSPREG00000000810	Poecilia_reticulata
