ENSEEEP00000040621	ENSEEEG00000019247	Electrophorus_electricus
ENSSSCP00000071194	ENSSSCG00000013299	Sus_scrofa_strain_reference
ENSVPAP00000003289	ENSVPAG00000003547	Vicugna_pacos
ENSUMAP00000024799	ENSUMAG00000018044	Ursus_maritimus
ENSUAMP00000009631	ENSUAMG00000007988	Ursus_americanus
ENSAMEP00000008422	ENSAMEG00000008004	Ailuropoda_melanoleuca
ENSMPUP00000011587	ENSMPUG00000011681	Mustela_putorius_furo
ENSNVIP00000014489	ENSNVIG00000011384	Neovison_vison
ENSCAFP00020006898	ENSCAFG00020005596	Canis_lupus_dingo
ENSCAFP00000043546	ENSCAFG00000006910	Canis_lupus_familiaris
ENSVVUP00000009674	ENSVVUG00000007155	Vulpes_vulpes
ENSPPRP00000006290	ENSPPRG00000001755	Panthera_pardus
ENSPTIP00000012587	ENSPTIG00000012600	Panthera_tigris_altaica
ENSFCAP00000002355	ENSFCAG00000002557	Felis_catus
ENSECAP00000050796	ENSECAG00000006357	Equus_caballus
ENSEASP00005029766	ENSEASG00005020236	Equus_asinus_asinus
ENSSARP00000006895	ENSSARG00000007612	Sorex_araneus
ENSEEUP00000006646	ENSEEUG00000007308	Erinaceus_europaeus
ENSPCOP00000000348	ENSPCOG00000000871	Propithecus_coquereli
ENSMICP00000003367	ENSMICG00000003696	Microcebus_murinus
ENSPSMP00000037543	ENSPSMG00000025789	Prolemur_simus
ENSOGAP00000014008	ENSOGAG00000015637	Otolemur_garnettii
ENSGGOP00000020273	ENSGGOG00000022940	Gorilla_gorilla
ENSP00000379133	ENSG00000149089	Homo_sapiens
ENSPPAP00000022166	ENSPPAG00000034280	Pan_paniscus
ENSPPAP00000018283	ENSPPAG00000032267	Pan_paniscus
ENSPTRP00000006079	ENSPTRG00000003499	Pan_troglodytes
ENSPPYP00000003860	ENSPPYG00000003361	Pongo_abelii
ENSNLEP00000030645	ENSNLEG00000028265	Nomascus_leucogenys
ENSRROP00000043701	ENSRROG00000044872	Rhinopithecus_roxellana
ENSRBIP00000007290	ENSRBIG00000027526	Rhinopithecus_bieti
ENSPTEP00000026734	ENSPTEG00000026729	Piliocolobus_tephrosceles
ENSCANP00000024970	ENSCANG00000035906	Colobus_angolensis_palliatus
ENSMMUP00000008497	ENSMMUG00000006447	Macaca_mulatta
ENSMFAP00000016489	ENSMFAG00000031416	Macaca_fascicularis
ENSMNEP00000028290	ENSMNEG00000037577	Macaca_nemestrina
ENSTGEP00000004289	ENSTGEG00000003595	Theropithecus_gelada
ENSMLEP00000029489	ENSMLEG00000038938	Mandrillus_leucophaeus
ENSPANP00000011734	ENSPANG00000020888	Papio_anubis
ENSCSAP00000001736	ENSCSAG00000005426	Chlorocebus_sabaeus
ENSCATP00000017464	ENSCATG00000032616	Cercocebus_atys
ENSCCAP00000032316	ENSCCAG00000034199	Cebus_capucinus_imitator
ENSCJAP00000072479	ENSCJAG00000065396	Callithrix_jacchus
ENSSBOP00000021946	ENSSBOG00000027533	Saimiri_boliviensis_boliviensis
ENSANAP00000042316	ENSANAG00000038438	Aotus_nancymaae
ENSOCUP00000023363	ENSOCUG00000021141	Oryctolagus_cuniculus
ENSOPRP00000002843	ENSOPRG00000003085	Ochotona_princeps
ENSCPOP00000002804	ENSCPOG00000003097	Cavia_porcellus
ENSCAPP00000001401	ENSCAPG00000002670	Cavia_aperea
ENSCLAP00000021467	ENSCLAG00000014703	Chinchilla_lanigera
ENSODEP00000022576	ENSODEG00000016570	Octodon_degus
ENSODEP00000005160	ENSODEG00000003909	Octodon_degus
ENSHGLP00100024232	ENSHGLG00100017789	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000016566	ENSHGLG00000011839	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000002180	ENSFDAG00000011954	Fukomys_damarensis
ENSUPAP00010000043	ENSUPAG00010000057	Urocitellus_parryii
ENSSTOP00000003932	ENSSTOG00000004390	Ictidomys_tridecemlineatus
ENSSDAP00000024798	ENSSDAG00000022547	Spermophilus_dauricus
ENSMMMP00000011491	ENSMMMG00000010262	Marmota_marmota_marmota
ENSCCNP00000019727	ENSCCNG00000019800	Castor_canadensis
ENSDORP00000005939	ENSDORG00000006346	Dipodomys_ordii
ENSPEMP00000011614	ENSPEMG00000012212	Peromyscus_maniculatus_bairdii
ENSMOCP00000016489	ENSMOCG00000015378	Microtus_ochrogaster
ENSCGRP00001020213	ENSCGRG00001019435	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000013865	ENSCGRG00000010046	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015014128	ENSCGRG00015010857	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000002129	ENSMAUG00000001671	Mesocricetus_auratus
MGP_SPRETEiJ_P0055459	MGP_SPRETEiJ_G0024923	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000006938	ENSMSIG00000006147	Mus_spicilegus
ENSMUSP00000011055	ENSMUSG00000010911	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0053373	MGP_CAROLIEiJ_G0024013	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0064347	MGP_PahariEiJ_G0025449	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000009797	ENSRNOG00000007446	Rattus_norvegicus
ENSMUGP00000022061	ENSMUGG00000018526	Meriones_unguiculatus
ENSNGAP00000023967	ENSNGAG00000022366	Nannospalax_galili
ENSJJAP00000006365	ENSJJAG00000011063	Jaculus_jaculus
ENSJJAP00000000236	ENSJJAG00000000223	Jaculus_jaculus
ENSJJAP00000020560	ENSJJAG00000021196	Jaculus_jaculus
ENSTSYP00000002639	ENSTSYG00000002872	Carlito_syrichta
ENSPCAP00000007414	ENSPCAG00000007945	Procavia_capensis
ENSETEP00000013599	ENSETEG00000016758	Echinops_telfairi
ENSLAFP00000011430	ENSLAFG00000013662	Loxodonta_africana
ENSCHOP00000003532	ENSCHOG00000003994	Choloepus_hoffmanni
ENSDNOP00000006391	ENSDNOG00000008263	Dasypus_novemcinctus
ENSOANP00000011768	ENSOANG00000007394	Ornithorhynchus_anatinus
ENSOANP00000017162	ENSOANG00000010832	Ornithorhynchus_anatinus
ENSTGUP00000010381	ENSTGUG00000010056	Taeniopygia_guttata
ENSLSDP00000022219	ENSLSDG00000015698	Lonchura_striata_domestica
ENSSCAP00000004574	ENSSCAG00000003723	Serinus_canaria
ENSJHYP00000014847	ENSJHYG00000011481	Junco_hyemalis
ENSZALP00000016802	ENSZALG00000013608	Zonotrichia_albicollis
ENSPMJP00000012992	ENSPMJG00000009947	Parus_major
ENSCCEP00000000018	ENSCCEG00000000027	Cyanistes_caeruleus
ENSFALP00000013098	ENSFALG00000012543	Ficedula_albicollis
ENSLCOP00000018481	ENSLCOG00000013066	Lepidothrix_coronata
ENSMVIP00005010427	ENSMVIG00005007656	Manacus_vitellinus
ENSMUNP00000005748	ENSMUNG00000004690	Melopsittacus_undulatus
ENSMGAP00000010676	ENSMGAG00000010290	Meleagris_gallopavo
ENSCJPP00005018957	ENSCJPG00005015417	Coturnix_japonica
ENSGALP00000054200	ENSGALG00000031286	Gallus_gallus
ENSNMEP00000009598	ENSNMEG00000009245	Numida_meleagris
ENSABRP00000020910	ENSABRG00000017800	Anser_brachyrhynchus
ENSAPLP00000018793	ENSAPLG00000011642	Anas_platyrhynchos_platyrhynchos
ENSCPUP00000028764	ENSCPUG00000019332	Calidris_pugnax
ENSCPGP00000009557	ENSCPGG00000006796	Calidris_pygmaea
ENSAOWP00000011511	ENSAOWG00000007916	Apteryx_owenii
ENSARWP00000008275	ENSARWG00000005801	Apteryx_rowi
ENSAHAP00000026233	ENSAHAG00000018289	Apteryx_haastii
ENSDNVP00000012026	ENSDNVG00000008487	Dromaius_novaehollandiae
ENSNPEP00000015491	ENSNPEG00000011574	Nothoprocta_perdicaria
ENSCPRP00005015696	ENSCPRG00005010986	Crocodylus_porosus
ENSPVIP00000010280	ENSPVIG00000008155	Pogona_vitticeps
ENSACAP00000012772	ENSACAG00000013004	Anolis_carolinensis
ENSNSUP00000012310	ENSNSUG00000009235	Notechis_scutatus
ENSSMRP00000005314	ENSSMRG00000004332	Salvator_merianae
ENSGAGP00000014394	ENSGAGG00000010941	Gopherus_agassizii
ENSCABP00000029754	ENSCABG00000021833	Chelonoidis_abingdonii
ENSCPBP00000017058	ENSCPBG00000012530	Chrysemys_picta_bellii
ENSPSIP00000009951	ENSPSIG00000008991	Pelodiscus_sinensis
ENSSPUP00000024737	ENSSPUG00000018960	Sphenodon_punctatus
ENSXETP00000036076	ENSXETG00000013713	Xenopus_tropicalis
ENSLACP00000011333	ENSLACG00000009971	Latimeria_chalumnae
ENSCMIP00000011168	ENSCMIG00000005820	Callorhinchus_milii
ENSEBUP00000021903	ENSEBUG00000013518	Eptatretus_burgeri
ENSCINP00000010850	ENSCING00000005279	Ciona_intestinalis
FBpp0304097	FBgn0030518	Drosophila_melanogaster	FBtr0331708
ZC373.5.1	WBGene00013870	Caenorhabditis_elegans_strain_N2	ZC373.5.1
YJR024C_mRNA	YJR024C	Saccharomyces_cerevisiae_strain_S288C
