ENSPMEP00000013287	ENSPMEG00000015591	Poecilia_mexicana
ENSPSIP00000016168	ENSPSIG00000014422	Pelodiscus_sinensis
ENSCAPP00000004007	ENSCAPG00000006646	Cavia_aperea
ENSRROP00000037900	ENSRROG00000042366	Rhinopithecus_roxellana
ENSSDUP00000002241	ENSSDUG00000001727	Seriola_dumerili
ENSUMAP00000013879	ENSUMAG00000010218	Ursus_maritimus
ENSSDAP00000022042	ENSSDAG00000020046	Spermophilus_dauricus
ENSDNOP00000034003	ENSDNOG00000049523	Dasypus_novemcinctus
ENSEASP00005026316	ENSEASG00005017959	Equus_asinus_asinus
ENSMZEP00005018948	ENSMZEG00005014214	Maylandia_zebra
ENSVVUP00000034011	ENSVVUG00000024567	Vulpes_vulpes
ENSPPYP00000004183	ENSPPYG00000003660	Pongo_abelii
ENSAPEP00000022560	ENSAPEG00000016058	Amphiprion_percula
ENSMPUP00000009669	ENSMPUG00000009744	Mustela_putorius_furo
ENSECAP00000005580	ENSECAG00000007476	Equus_caballus
ENSMAMP00000010707	ENSMAMG00000007236	Mastacembelus_armatus
ENSSSCP00000015744	ENSSSCG00000014825	Sus_scrofa_strain_reference
ENSSPAP00000016215	ENSSPAG00000012220	Stegastes_partitus
ENSPFOP00000028971	ENSPFOG00000023157	Poecilia_formosa
ENSNMEP00000002850	ENSNMEG00000003465	Numida_meleagris
ENSSCAP00000019210	ENSSCAG00000013871	Serinus_canaria
ENSLACP00000014475	ENSLACG00000012738	Latimeria_chalumnae
ENSNVIP00000028126	ENSNVIG00000021738	Neovison_vison
ENSCVAP00000023595	ENSCVAG00000007042	Cyprinodon_variegatus
ENSSFOP00015003425	ENSSFOG00015002242	Scleropages_formosus
ENSBBBP00000002481	ENSBBBG00000002129	Bison_bison_bison
ENSEEUP00000012415	ENSEEUG00000013631	Erinaceus_europaeus
ENSODEP00000009485	ENSODEG00000007100	Octodon_degus
ENSBSLP00000025292	ENSBSLG00000012728	Betta_splendens
ENSCJPP00005006871	ENSCJPG00005006338	Coturnix_japonica
ENSAMXP00000033255	ENSAMXG00000033275	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSOGAP00000000668	ENSOGAG00000000748	Otolemur_garnettii
ENSLBEP00000024704	ENSLBEG00000018895	Labrus_bergylta
ENSGWIP00000043125	ENSGWIG00000021565	Gouania_willdenowi
ENSBIXP00000011766	ENSBIXG00000016965	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSHCOP00000012554	ENSHCOG00000000433	Hippocampus_comes
ENSUPAP00010004430	ENSUPAG00010003600	Urocitellus_parryii
ENSPRNP00000008938	ENSPRNG00000005278	Parambassis_ranga
ENSUAMP00000007399	ENSUAMG00000006415	Ursus_americanus
ENSXETP00000002002	ENSXETG00000006180	Xenopus_tropicalis
ENSCSAP00000000426	ENSCSAG00000004070	Chlorocebus_sabaeus
ENSAPOP00000011804	ENSAPOG00000014409	Acanthochromis_polyacanthus
ENSMALP00000029054	ENSMALG00000020104	Monopterus_albus
ENSSARP00000005501	ENSSARG00000006041	Sorex_araneus
ENSCJAP00000071113	ENSCJAG00000015934	Callithrix_jacchus
ENSHHUP00000064844	ENSHHUG00000038304	Hucho_hucho
ENSPCAP00000015439	ENSPCAG00000016509	Procavia_capensis
ENSPREP00000031054	ENSPREG00000021034	Poecilia_reticulata
ENSMFAP00000019769	ENSMFAG00000032863	Macaca_fascicularis
ENSMOCP00000002232	ENSMOCG00000001751	Microtus_ochrogaster
ENSCPUP00000001587	ENSCPUG00000001236	Calidris_pugnax
ENSFDAP00000021692	ENSFDAG00000007525	Fukomys_damarensis
ENSACIP00000004743	ENSACIG00000003712	Amphilophus_citrinellus
ENSHBUP00000012973	ENSHBUG00000014706	Haplochromis_burtoni
ENSDCDP00000051429	ENSDCDG00000031237	Denticeps_clupeoides
ENSPCOP00000006176	ENSPCOG00000014211	Propithecus_coquereli
ENSPVAP00000008366	ENSPVAG00000008864	Pteropus_vampyrus
ENSP00000064780	ENSG00000054967	Homo_sapiens
ENSBIXP00005043584	ENSBIXG00005004708	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSETEP00000012888	ENSETEG00000015890	Echinops_telfairi
ENSFHEP00000002969	ENSFHEG00000003792	Fundulus_heteroclitus
ENSMMMP00000012387	ENSMMMG00000011086	Marmota_marmota_marmota
ENSHHUP00000006860	ENSHHUG00000004233	Hucho_hucho
ENSCPRP00005025274	ENSCPRG00005017525	Crocodylus_porosus
ENSNBRP00000018088	ENSNBRG00000013945	Neolamprologus_brichardi
ENSCAFP00000057215	ENSCAFG00000005605	Canis_lupus_familiaris
ENSVURP00010029722	ENSVURG00010022716	Vombatus_ursinus
ENSOARP00000008229	ENSOARG00000007675	Ovis_aries
ENSVURP00010029720	ENSVURG00010022715	Vombatus_ursinus
ENSATEP00000011924	ENSATEG00000008345	Anabas_testudineus
ENSBMUP00000025607	ENSBMUG00000019196	Bos_mutus
ENSCGOP00000008673	ENSCGOG00000004490	Cottoperca_gobio
ENSUMAP00000013884	ENSUMAG00000010221	Ursus_maritimus
ENSLCAP00010001415	ENSLCAG00010000838	Lates_calcarifer
ENSSMRP00000008497	ENSSMRG00000006804	Salvator_merianae
ENSIPUP00000007998	ENSIPUG00000005497	Ictalurus_punctatus
ENSPLAP00000020470	ENSPLAG00000003406	Poecilia_latipinna
ENSCPOP00000018654	ENSCPOG00000024433	Cavia_porcellus
ENSBTAP00000021927	ENSBTAG00000016494	Bos_taurus
ENSEEEP00000049905	ENSEEEG00000023462	Electrophorus_electricus
ENSHGLP00000008274	ENSHGLG00000005986	Heterocephalus_glaber_HetGla_female_1.0
ENSCATP00000032262	ENSCATG00000039204	Cercocebus_atys
ENSCCNP00000018478	ENSCCNG00000018712	Castor_canadensis
ENSPFOP00000002262	ENSPFOG00000002385	Poecilia_formosa
ENSMSIP00000033646	ENSMSIG00000028128	Mus_spicilegus
ENSGMOP00000011643	ENSGMOG00000010887	Gadus_morhua
ENSFCAP00000033597	ENSFCAG00000002869	Felis_catus
ENSSLDP00000004879	ENSSLDG00000003888	Seriola_lalandi_dorsalis
ENSTGUP00000013875	ENSTGUG00000013475	Taeniopygia_guttata
ENSMICP00000015243	ENSMICG00000016731	Microcebus_murinus
ENSSBOP00000021355	ENSSBOG00000027236	Saimiri_boliviensis_boliviensis
ENSPTEP00000021771	ENSPTEG00000022774	Piliocolobus_tephrosceles
ENSOMEP00000020578	ENSOMEG00000022444	Oryzias_melastigma
ENSCGRP00001025379	ENSCGRG00001022996	Cricetulus_griseus_CHOK1GS_HDv1
ENSMUSP00000008462	ENSMUSG00000008318	Mus_musculus_strain_reference_(CL57BL6)
ENSPSMP00000013078	ENSPSMG00000009387	Prolemur_simus
ENSCPGP00000026965	ENSCPGG00000018563	Calidris_pygmaea
ENSOCUP00000037135	ENSOCUG00000025119	Oryctolagus_cuniculus
ENSAPLP00000032685	ENSAPLG00000023650	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000017383	ENSMGAG00000016655	Meleagris_gallopavo
ENSXMAP00000037173	ENSXMAG00000026997	Xiphophorus_maculatus
ENSGAFP00000014435	ENSGAFG00000009761	Gambusia_affinis
ENSPCIP00000042083	ENSPCIG00000021800	Phascolarctos_cinereus
ENSTNIP00000013193	ENSTNIG00000010290	Tetraodon_nigroviridis
ENSPMGP00000014594	ENSPMGG00000011962	Periophthalmus_magnuspinnatus
MGP_PahariEiJ_P0017780	MGP_PahariEiJ_G0013276	Mus_pahari_strain_PAHARI_EIJ
ENSPNAP00000013034	ENSPNAG00000018870	Pygocentrus_nattereri
ENSPANP00000004857	ENSPANG00000000123	Papio_anubis
ENSCHAP00000005388	ENSCHAG00000003472	Clupea_harengus
ENSPMJP00000001711	ENSPMJG00000001399	Parus_major
ENSPPRP00000023305	ENSPPRG00000013581	Panthera_pardus
ENSACLP00000033367	ENSACLG00000022621	Astatotilapia_calliptera
ENSMMOP00000015001	ENSMMOG00000011460	Mola_mola
ENSNLEP00000020788	ENSNLEG00000017122	Nomascus_leucogenys
ENSGACP00000010877	ENSGACG00000008224	Gasterosteus_aculeatus
ENSMODP00000009461	ENSMODG00000007624	Monodelphis_domestica
ENSCMIP00000043678	ENSCMIG00000018106	Callorhinchus_milii
ENSHGLP00100023364	ENSHGLG00100017170	Heterocephalus_glaber_HetGla_1.0
ENSAMEP00000018271	ENSAMEG00000017300	Ailuropoda_melanoleuca
ENSORLP00015021635	ENSORLG00015023291	Oryzias_latipes_ASM223469v1
ENSGALP00000068836	ENSGALG00000049427	Gallus_gallus
ENSNGAP00000019051	ENSNGAG00000018994	Nannospalax_galili
ENSECRP00000001839	ENSECRG00000001268	Erpetoichthys_calabaricus
ENSLCRP00005048164	ENSLCRG00005018213	Larimichthys_crocea
ENSMNEP00000034029	ENSMNEG00000040208	Macaca_nemestrina
ENSSHAP00000008530	ENSSHAG00000007388	Sarcophilus_harrisii
ENSPKIP00000008743	ENSPKIG00000024107	Paramormyrops_kingsleyae
ENSANAP00000003553	ENSANAG00000019742	Aotus_nancymaae
ENSMMUP00000047016	ENSMMUG00000003140	Macaca_mulatta
ENSPNYP00000020176	ENSPNYG00000015256	Pundamilia_nyererei
ENSMAUP00000015259	ENSMAUG00000014770	Mesocricetus_auratus
ENSLOCP00000007573	ENSLOCG00000006269	Lepisosteus_oculatus
MGP_SPRETEiJ_P0084313	MGP_SPRETEiJ_G0031165	Mus_spretus_strain_SPRET/EiJ
ENSRBIP00000004307	ENSRBIG00000019893	Rhinopithecus_bieti
ENSJJAP00000024402	ENSJJAG00000023874	Jaculus_jaculus
ENSAOCP00000028308	ENSAOCG00000017835	Amphiprion_ocellaris
ENSOPRP00000008370	ENSOPRG00000009144	Ochotona_princeps
ENSMLUP00000011697	ENSMLUG00000012852	Myotis_lucifugus
ENSVURP00010029716	ENSVURG00010022711	Vombatus_ursinus
MGP_CAROLIEiJ_P0080943	MGP_CAROLIEiJ_G0030054	Mus_caroli_strain_CAROLI_EIJ
ENSPEMP00000028182	ENSPEMG00000023784	Peromyscus_maniculatus_bairdii
ENSVURP00010029718	ENSVURG00010022713	Vombatus_ursinus
