ENSVURP00010009659	ENSVURG00010007484	Vombatus_ursinus	ENSVURT00010010962
ENSPCIP00000041475	ENSPCIG00000030312	Phascolarctos_cinereus	ENSPCIT00000051083
ENSMEUP00000007000	ENSMEUG00000007669	Notamacropus_eugenii	ENSMEUT00000007690
ENSMODP00000003770	ENSMODG00000003092	Monodelphis_domestica	ENSMODT00000003854
MGP_SPRETEiJ_P0050411	MGP_SPRETEiJ_G0023751	Mus_spretus_strain_SPRET/EiJ
ENSBIXP00005035420	ENSBIXG00005002669	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000016450	ENSBIXG00000003821	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000015757	ENSBTAG00000011874	Bos_taurus
ENSBMUP00000012097	ENSBMUG00000009272	Bos_mutus
ENSBBBP00000023407	ENSBBBG00000017966	Bison_bison_bison
ENSOARP00000014021	ENSOARG00000013093	Ovis_aries
ENSCHIP00000023493	ENSCHIG00000021046	Capra_hircus
ENSTTRP00000009092	ENSTTRG00000009598	Tursiops_truncatus
ENSSSCP00000032845	ENSSSCG00000037125	Sus_scrofa_strain_reference
ENSVPAP00000003260	ENSVPAG00000003518	Vicugna_pacos
ENSEASP00005013803	ENSEASG00005009625	Equus_asinus_asinus
ENSECAP00000007938	ENSECAG00000010049	Equus_caballus
ENSMPUP00000009577	ENSMPUG00000009653	Mustela_putorius_furo
ENSNVIP00000011971	ENSNVIG00000009508	Neovison_vison
ENSUMAP00000027915	ENSUMAG00000020280	Ursus_maritimus
ENSUAMP00000036657	ENSUAMG00000027771	Ursus_americanus
ENSAMEP00000008497	ENSAMEG00000008083	Ailuropoda_melanoleuca
ENSCAFP00020034309	ENSCAFG00020026616	Canis_lupus_dingo
ENSCAFP00000002832	ENSCAFG00000001927	Canis_lupus_familiaris
ENSVVUP00000005521	ENSVVUG00000004338	Vulpes_vulpes
ENSPPRP00000012243	ENSPPRG00000005826	Panthera_pardus
ENSPTIP00000013990	ENSPTIG00000013552	Panthera_tigris_altaica
ENSFCAP00000007460	ENSFCAG00000008053	Felis_catus
ENSSARP00000010862	ENSSARG00000012038	Sorex_araneus
ENSCHOP00000006510	ENSCHOG00000007356	Choloepus_hoffmanni
ENSDNOP00000008533	ENSDNOG00000011016	Dasypus_novemcinctus
ENSLAFP00000024737	ENSLAFG00000015792	Loxodonta_africana
ENSETEP00000004299	ENSETEG00000005286	Echinops_telfairi
ENSOANP00000032007	ENSOANG00000028420	Ornithorhynchus_anatinus
ENSLCOP00000001043	ENSLCOG00000000864	Lepidothrix_coronata
ENSMVIP00005020091	ENSMVIG00005014217	Manacus_vitellinus
ENSSCAP00000005302	ENSSCAG00000004252	Serinus_canaria
ENSLSDP00000019975	ENSLSDG00000014173	Lonchura_striata_domestica
ENSPMJP00000021807	ENSPMJG00000016188	Parus_major
ENSCCEP00000017667	ENSCCEG00000016309	Cyanistes_caeruleus
ENSFALP00000010760	ENSFALG00000010316	Ficedula_albicollis
ENSZALP00000020623	ENSZALG00000016207	Zonotrichia_albicollis
ENSCPUP00000016586	ENSCPUG00000011464	Calidris_pugnax
ENSCPGP00000008227	ENSCPGG00000005869	Calidris_pygmaea
ENSMUNP00000021031	ENSMUNG00000015939	Melopsittacus_undulatus
ENSCJPP00005001988	ENSCJPG00005002105	Coturnix_japonica
ENSGALP00000072972	ENSGALG00000049973	Gallus_gallus
ENSNMEP00000009984	ENSNMEG00000009539	Numida_meleagris
ENSABRP00000012332	ENSABRG00000011071	Anser_brachyrhynchus
ENSAPLP00000010715	ENSAPLG00000010990	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000027401	ENSAHAG00000019075	Apteryx_haastii
ENSAOWP00000014032	ENSAOWG00000009563	Apteryx_owenii
ENSARWP00000003056	ENSARWG00000002301	Apteryx_rowi
ENSDNVP00000009572	ENSDNVG00000006771	Dromaius_novaehollandiae
ENSCPRP00005007759	ENSCPRG00005005520	Crocodylus_porosus
ENSCABP00000030720	ENSCABG00000022462	Chelonoidis_abingdonii
ENSGAGP00000011811	ENSGAGG00000009105	Gopherus_agassizii
ENSCPBP00000036511	ENSCPBG00000025354	Chrysemys_picta_bellii
ENSPVIP00000013445	ENSPVIG00000010419	Pogona_vitticeps
ENSNSUP00000025014	ENSNSUG00000018038	Notechis_scutatus
ENSSMRP00000020644	ENSSMRG00000016059	Salvator_merianae
ENSACAP00000022833	ENSACAG00000029180	Anolis_carolinensis
ENSXETP00000038336	ENSXETG00000016903	Xenopus_tropicalis
ENSLACP00000022345	ENSLACG00000022133	Latimeria_chalumnae
ENSHHUP00000002381	ENSHHUG00000001527	Hucho_hucho
ENSCHAP00000055756	ENSCHAG00000025238	Clupea_harengus
