ENSCPRP00005026576	ENSCPRG00005018451	Crocodylus_porosus
ENSPMGP00000028235	ENSPMGG00000022733	Periophthalmus_magnuspinnatus
ENSHGLP00100010550	ENSHGLG00100007841	Heterocephalus_glaber_HetGla_1.0
ENSORLP00000016242	ENSORLG00000012961	Oryzias_latipes_ASM223467v1
ENSHGLP00000025151	ENSHGLG00000017917	Heterocephalus_glaber_HetGla_female_1.0
ENSTTRP00000000080	ENSTTRG00000000088	Tursiops_truncatus
ENSCHIP00000015456	ENSCHIG00000016090	Capra_hircus
ENSORLP00015030703	ENSORLG00015014539	Oryzias_latipes_ASM223469v1
ENSHGLP00100022340	ENSHGLG00100016435	Heterocephalus_glaber_HetGla_1.0
ENSBBBP00000005960	ENSBBBG00000014613	Bison_bison_bison
ENSRBIP00000004873	ENSRBIG00000022114	Rhinopithecus_bieti
ENSMALP00000007122	ENSMALG00000005059	Monopterus_albus	ENSMALT00000007269
ENSCJAP00000062517	ENSCJAG00000046659	Callithrix_jacchus
ENSMLUP00000013829	ENSMLUG00000015181	Myotis_lucifugus
ENSGAGP00000036532	ENSGAGG00000025903	Gopherus_agassizii
ENSPNAP00000025317	ENSPNAG00000010348	Pygocentrus_nattereri
ENSPANP00000027134	ENSPANG00000025523	Papio_anubis
ENSVVUP00000000554	ENSVVUG00000000516	Vulpes_vulpes
ENSPCOP00000027282	ENSPCOG00000026112	Propithecus_coquereli
ENSMGAP00000012181	ENSMGAG00000011623	Meleagris_gallopavo
ENSLOCP00000003325	ENSLOCG00000002803	Lepisosteus_oculatus
ENSTBEP00000009261	ENSTBEG00000010687	Tupaia_belangeri
ENSNLEP00000041663	ENSNLEG00000002256	Nomascus_leucogenys
ENSPREP00000011846	ENSPREG00000008055	Poecilia_reticulata
ENSAOCP00000027023	ENSAOCG00000015656	Amphiprion_ocellaris	ENSAOCT00000030216
ENSMICP00000030268	ENSMICG00000027857	Microcebus_murinus
ENSNVIP00000028049	ENSNVIG00000021639	Neovison_vison
ENSTRUP00000057357	ENSTRUG00000014598	Takifugu_rubripes	ENSTRUT00000051579
ENSAOWP00000005159	ENSAOWG00000003563	Apteryx_owenii
ENSVURP00010028147	ENSVURG00010021556	Vombatus_ursinus
ENSSBOP00000015575	ENSSBOG00000024495	Saimiri_boliviensis_boliviensis
ENSCPGP00000022060	ENSCPGG00000015335	Calidris_pygmaea
ENSORLP00020005780	ENSORLG00020006620	Oryzias_latipes_ASM223471v1
ENSSTOP00000025658	ENSSTOG00000034917	Ictidomys_tridecemlineatus
ENSCCAP00000021525	ENSCCAG00000028562	Cebus_capucinus_imitator
ENSCMIP00000002532	ENSCMIG00000001501	Callorhinchus_milii
ENSONIP00000003288	ENSONIG00000002626	Oreochromis_niloticus	ENSONIT00000003289
ENSKMAP00000009387	ENSKMAG00000006984	Kryptolebias_marmoratus	ENSKMAT00000009528
ENSNMEP00000020438	ENSNMEG00000017540	Numida_meleagris
ENSUPAP00010020911	ENSUPAG00010016290	Urocitellus_parryii
ENSELUP00000027655	ENSELUG00000003983	Esox_lucius
ENSXMAP00000041498	ENSXMAG00000023623	Xiphophorus_maculatus
ENSODEP00000007690	ENSODEG00000005732	Octodon_degus
ENSOCUP00000033733	ENSOCUG00000008247	Oryctolagus_cuniculus
ENSMUNP00000007800	ENSMUNG00000006237	Melopsittacus_undulatus
ENSCPUP00000023588	ENSCPUG00000016016	Calidris_pugnax
ENSSSCP00000068381	ENSSSCG00000006156	Sus_scrofa_strain_reference
ENSEEEP00000031544	ENSEEEG00000015090	Electrophorus_electricus
