ENSRROP00000008074	ENSRROG00000028414	Rhinopithecus_roxellana
ENSCPRP00005010603	ENSCPRG00005007569	Crocodylus_porosus
ENSGAGP00000022610	ENSGAGG00000016577	Gopherus_agassizii
ENSCABP00000004082	ENSCABG00000003070	Chelonoidis_abingdonii
ENSCPBP00000025880	ENSCPBG00000018381	Chrysemys_picta_bellii
ENSPSIP00000004690	ENSPSIG00000004391	Pelodiscus_sinensis
ENSACAP00000017899	ENSACAG00000020975	Anolis_carolinensis
ENSACAP00000022977	ENSACAG00000028952	Anolis_carolinensis
ENSPVIP00000027528	ENSPVIG00000020454	Pogona_vitticeps
ENSNSUP00000026202	ENSNSUG00000018825	Notechis_scutatus
ENSSPUP00000020591	ENSSPUG00000015823	Sphenodon_punctatus
ENSXETP00000011419	ENSXETG00000015840	Xenopus_tropicalis
ENSLACP00000004476	ENSLACG00000003983	Latimeria_chalumnae
ENSDCDP00000058071	ENSDCDG00000033799	Denticeps_clupeoides
ENSCHAP00000029795	ENSCHAG00000014320	Clupea_harengus
ENSATEP00000004755	ENSATEG00000003367	Anabas_testudineus
ENSBSLP00000048650	ENSBSLG00000023190	Betta_splendens
ENSMALP00000012892	ENSMALG00000009135	Monopterus_albus
ENSSDUP00000016708	ENSSDUG00000012207	Seriola_dumerili
ENSSLDP00000015948	ENSSLDG00000012670	Seriola_lalandi_dorsalis
ENSLCAP00010033865	ENSLCAG00010015918	Lates_calcarifer
ENSSMAP00000033432	ENSSMAG00000020463	Scophthalmus_maximus
ENSCGOP00000013147	ENSCGOG00000006431	Cottoperca_gobio
ENSGACP00000009453	ENSGACG00000007140	Gasterosteus_aculeatus
ENSLCRP00005051576	ENSLCRG00005019425	Larimichthys_crocea
ENSLBEP00000014505	ENSLBEG00000011295	Labrus_bergylta
ENSMMOP00000004709	ENSMMOG00000003767	Mola_mola
ENSAOCP00000006859	ENSAOCG00000010551	Amphiprion_ocellaris
ENSAPEP00000028097	ENSAPEG00000019942	Amphiprion_percula
ENSAPOP00000022782	ENSAPOG00000004187	Acanthochromis_polyacanthus
ENSSPAP00000002860	ENSSPAG00000002185	Stegastes_partitus
ENSPRNP00000022309	ENSPRNG00000011440	Parambassis_ranga
ENSACLP00000005653	ENSACLG00000003814	Astatotilapia_calliptera
ENSMZEP00005014654	ENSMZEG00005011024	Maylandia_zebra
ENSHBUP00000024502	ENSHBUG00000005954	Haplochromis_burtoni
ENSPNYP00000013901	ENSPNYG00000010528	Pundamilia_nyererei
ENSNBRP00000002827	ENSNBRG00000002274	Neolamprologus_brichardi
ENSONIP00000006971	ENSONIG00000005546	Oreochromis_niloticus
ENSACIP00000016533	ENSACIG00000012874	Amphilophus_citrinellus
ENSGWIP00000051512	ENSGWIG00000024959	Gouania_willdenowi
ENSPMGP00000019221	ENSPMGG00000015618	Periophthalmus_magnuspinnatus
ENSCSEP00000002671	ENSCSEG00000001775	Cynoglossus_semilaevis
ENSGMOP00000009780	ENSGMOG00000009147	Gadus_morhua
ENSHHUP00000079938	ENSHHUG00000046567	Hucho_hucho
ENSHHUP00000004311	ENSHHUG00000002695	Hucho_hucho
ENSHHUP00000079949	ENSHHUG00000046575	Hucho_hucho
ENSELUP00000007746	ENSELUG00000008503	Esox_lucius
ENSPKIP00000009404	ENSPKIG00000024528	Paramormyrops_kingsleyae
ENSSFOP00015002771	ENSSFOG00015001829	Scleropages_formosus
ENSECRP00000015402	ENSECRG00000010278	Erpetoichthys_calabaricus
