ENSPREP00000006911	ENSPREG00000004765	Poecilia_reticulata
ENSAPEP00000022119	ENSAPEG00000015757	Amphiprion_percula
ENSNLEP00000027631	ENSNLEG00000029593	Nomascus_leucogenys
ENSAMXP00005009721	ENSAMXG00005005499	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCSEP00000027441	ENSCSEG00000017532	Cynoglossus_semilaevis
ENSXMAP00000031938	ENSXMAG00000024566	Xiphophorus_maculatus
ENSPEMP00000001951	ENSPEMG00000001855	Peromyscus_maniculatus_bairdii
ENSTGEP00000021830	ENSTGEG00000017631	Theropithecus_gelada
ENSRROP00000014814	ENSRROG00000031604	Rhinopithecus_roxellana
MGP_SPRETEiJ_P0033384	MGP_SPRETEiJ_G0018458	Mus_spretus_strain_SPRET/EiJ
ENSMUGP00000008976	ENSMUGG00000008023	Meriones_unguiculatus
ENSSCAP00000018297	ENSSCAG00000013242	Serinus_canaria
ENSSMAP00000027120	ENSSMAG00000016588	Scophthalmus_maximus
ENSNBRP00000025108	ENSNBRG00000019181	Neolamprologus_brichardi
ENSSARP00000013063	ENSSARG00000014442	Sorex_araneus
ENSSDUP00000027074	ENSSDUG00000019614	Seriola_dumerili
ENSCPUP00000006188	ENSCPUG00000004521	Calidris_pugnax
ENSBBBP00000011547	ENSBBBG00000005250	Bison_bison_bison
ENSLSDP00000000154	ENSLSDG00000000158	Lonchura_striata_domestica
ENSMGAP00000014842	ENSMGAG00000014029	Meleagris_gallopavo
ENSVURP00010031096	ENSVURG00010023780	Vombatus_ursinus
ENSMOCP00000000156	ENSMOCG00000000146	Microtus_ochrogaster
ENSZALP00000013766	ENSZALG00000011453	Zonotrichia_albicollis
ENSCSAVP00000017612	ENSCSAVG00000010365	Ciona_savignyi
ENSXCOP00000005616	ENSXCOG00000004377	Xiphophorus_couchianus
ENSXCOP00000005617	ENSXCOG00000004378	Xiphophorus_couchianus
ENSOCUP00000018757	ENSOCUG00000027255	Oryctolagus_cuniculus
ENSLBEP00000019134	ENSLBEG00000014695	Labrus_bergylta
ENSCGRP00001020587	ENSCGRG00001019699	Cricetulus_griseus_CHOK1GS_HDv1
ENSMICP00000017118	ENSMICG00000026479	Microcebus_murinus
ENSCATP00000000478	ENSCATG00000002261	Cercocebus_atys
ENSJHYP00000002507	ENSJHYG00000001947	Junco_hyemalis
ENSAMXP00005009755	ENSAMXG00005005515	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPMAP00000009090	ENSPMAG00000008254	Petromyzon_marinus
ENSCMIP00000020687	ENSCMIG00000009510	Callorhinchus_milii
ENSFCAP00000012592	ENSFCAG00000013581	Felis_catus
ENSCABP00000002011	ENSCABG00000001600	Chelonoidis_abingdonii
ENSMLEP00000025640	ENSMLEG00000037009	Mandrillus_leucophaeus
ENSPCAP00000011997	ENSPCAG00000012835	Procavia_capensis
ENSBTAP00000041132	ENSBTAG00000020059	Bos_taurus
ENSSMRP00000029602	ENSSMRG00000022756	Salvator_merianae	ENSSMRT00000034547
ENSCCAP00000026666	ENSCCAG00000031121	Cebus_capucinus_imitator
ENSUMAP00000032475	ENSUMAG00000023394	Ursus_maritimus
ENSMMOP00000019902	ENSMMOG00000015111	Mola_mola
ENSCJAP00000013676	ENSCJAG00000007327	Callithrix_jacchus
ENSCHIP00000011906	ENSCHIG00000013888	Capra_hircus
ENSMMOP00000019906	ENSMMOG00000015112	Mola_mola
ENSAPOP00000000265	ENSAPOG00000001451	Acanthochromis_polyacanthus
ENSPNAP00000032606	ENSPNAG00000006815	Pygocentrus_nattereri
ENSCGOP00000012357	ENSCGOG00000006080	Cottoperca_gobio
ENSCINP00000017669	ENSCING00000008651	Ciona_intestinalis
ENSFHEP00000021240	ENSFHEG00000023320	Fundulus_heteroclitus
ENSPVIP00000006538	ENSPVIG00000005419	Pogona_vitticeps	ENSPVIT00000008451
ENSRBIP00000020275	ENSRBIG00000034123	Rhinopithecus_bieti
ENSACLP00000029931	ENSACLG00000020249	Astatotilapia_calliptera
ENSECRP00000004953	ENSECRG00000003354	Erpetoichthys_calabaricus
ENSMALP00000002161	ENSMALG00000001621	Monopterus_albus
ENSPNYP00000029339	ENSPNYG00000022108	Pundamilia_nyererei
ENSPSIP00000013301	ENSPSIG00000011938	Pelodiscus_sinensis
ENSCSEP00000027456	ENSCSEG00000017535	Cynoglossus_semilaevis
ENSPVAP00000014772	ENSPVAG00000015665	Pteropus_vampyrus
ENSPFOP00000019667	ENSPFOG00000019545	Poecilia_formosa
ENSEEUP00000004437	ENSEEUG00000004845	Erinaceus_europaeus
ENSTGUP00000013512	ENSTGUG00000013117	Taeniopygia_guttata
ENSCAFP00000005583	ENSCAFG00000003748	Canis_lupus_familiaris
ENSLOCP00000021319	ENSLOCG00000017237	Lepisosteus_oculatus
ENSPMEP00000007297	ENSPMEG00000000658	Poecilia_mexicana
ENSPMJP00000016516	ENSPMJG00000012479	Parus_major	ENSPMJT00000021620
ENSPPRP00000028645	ENSPPRG00000020921	Panthera_pardus
ENSHHUP00000019058	ENSHHUG00000011880	Hucho_hucho
ENSLAFP00000017820	ENSLAFG00000023255	Loxodonta_africana
ENSSPAP00000004515	ENSSPAG00000003484	Stegastes_partitus
ENSSSCP00000042691	ENSSSCG00000008613	Sus_scrofa_strain_reference
ENSMFAP00000004771	ENSMFAG00000002080	Macaca_fascicularis
ENSMEUP00000014909	ENSMEUG00000016284	Notamacropus_eugenii
ENSCVAP00000000721	ENSCVAG00000001660	Cyprinodon_variegatus
ENSCPBP00000018202	ENSCPBG00000013299	Chrysemys_picta_bellii
ENSCLAP00000012840	ENSCLAG00000008865	Chinchilla_lanigera
MGP_PahariEiJ_P0082031	MGP_PahariEiJ_G0029372	Mus_pahari_strain_PAHARI_EIJ
ENSNVIP00000017279	ENSNVIG00000013515	Neovison_vison
ENSSHAP00000004356	ENSSHAG00000003835	Sarcophilus_harrisii
ENSPPYP00000014100	ENSPPYG00000012629	Pongo_abelii
ENSAOCP00000030546	ENSAOCG00000021598	Amphiprion_ocellaris
ENSODEP00000013748	ENSODEG00000010156	Octodon_degus
ENSGMOP00000015283	ENSGMOG00000014295	Gadus_morhua
ENSMVIP00005003591	ENSMVIG00005002806	Manacus_vitellinus
ENSPNYP00000029325	ENSPNYG00000022097	Pundamilia_nyererei
ENSDNVP00000015293	ENSDNVG00000010763	Dromaius_novaehollandiae	ENSDNVT00000018374
ENSCPRP00005007578	ENSCPRG00005005337	Crocodylus_porosus
ENSCPGP00000023533	ENSCPGG00000016283	Calidris_pygmaea
ENSAHAP00000011366	ENSAHAG00000008231	Apteryx_haastii	ENSAHAT00000012581
ENSDORP00000010107	ENSDORG00000010754	Dipodomys_ordii
ENSACAP00000001496	ENSACAG00000001607	Anolis_carolinensis	ENSACAT00000001532
ENSLBEP00000019089	ENSLBEG00000014667	Labrus_bergylta
ENSACIP00000010680	ENSACIG00000008354	Amphilophus_citrinellus
MGP_CAROLIEiJ_P0031917	MGP_CAROLIEiJ_G0017616	Mus_caroli_strain_CAROLI_EIJ
ENSAPEP00000022159	ENSAPEG00000015777	Amphiprion_percula
ENSCSAP00000004194	ENSCSAG00000007952	Chlorocebus_sabaeus
ENSEASP00005013415	ENSEASG00005009361	Equus_asinus_asinus
ENSORLP00000043857	ENSORLG00000024497	Oryzias_latipes_ASM223467v1
ENSHGLP00000021621	ENSHGLG00000015449	Heterocephalus_glaber_HetGla_female_1.0
ENSPMGP00000023767	ENSPMGG00000019226	Periophthalmus_magnuspinnatus
ENSCAFP00020033550	ENSCAFG00020026045	Canis_lupus_dingo
ENSCHOP00000007637	ENSCHOG00000008614	Choloepus_hoffmanni
ENSDNOP00000027122	ENSDNOG00000036480	Dasypus_novemcinctus
ENSARWP00000021810	ENSARWG00000014878	Apteryx_rowi	ENSARWT00000024722
ENSOANP00000032317	ENSOANG00000032088	Ornithorhynchus_anatinus
ENSGAGP00000031589	ENSGAGG00000022686	Gopherus_agassizii
ENSBSLP00000010296	ENSBSLG00000005284	Betta_splendens
ENSETEP00000012408	ENSETEG00000015308	Echinops_telfairi
ENSACIP00000010706	ENSACIG00000008370	Amphilophus_citrinellus
ENSPKIP00000022856	ENSPKIG00000006705	Paramormyrops_kingsleyae
ENSSDUP00000027057	ENSSDUG00000019601	Seriola_dumerili
ENSRNOP00000006470	ENSRNOG00000004667	Rattus_norvegicus
ENSTSYP00000003398	ENSTSYG00000003676	Carlito_syrichta
ENSSBOP00000029427	ENSSBOG00000031046	Saimiri_boliviensis_boliviensis
ENSPTIP00000004852	ENSPTIG00000007224	Panthera_tigris_altaica
ENSOARP00000017944	ENSOARG00000016702	Ovis_aries
ENSMMMP00000025461	ENSMMMG00000022304	Marmota_marmota_marmota
ENSPRNP00000041665	ENSPRNG00000020416	Parambassis_ranga
ENSMUNP00000018601	ENSMUNG00000014218	Melopsittacus_undulatus
ENSTTRP00000015081	ENSTTRG00000015915	Tursiops_truncatus
ENSAMEP00000002810	ENSAMEG00000002666	Ailuropoda_melanoleuca
ENSCGRP00015001815	ENSCGRG00015001485	Cricetulus_griseus_CriGri-PICR
ENSCAFP00020033549	ENSCAFG00020026044	Canis_lupus_dingo
ENSONIP00000016739	ENSONIG00000013310	Oreochromis_niloticus
ENSAPOP00000020364	ENSAPOG00000023920	Acanthochromis_polyacanthus
ENSAPLP00000008274	ENSAPLG00000008596	Anas_platyrhynchos_platyrhynchos
ENSATEP00000018686	ENSATEG00000012996	Anabas_testudineus
ENSGALP00000026521	ENSGALG00000016468	Gallus_gallus
ENSUPAP00010011773	ENSUPAG00010009557	Urocitellus_parryii
ENSMPUP00000013548	ENSMPUG00000013651	Mustela_putorius_furo
ENSHBUP00000012590	ENSHBUG00000000416	Haplochromis_burtoni
ENSKMAP00000011601	ENSKMAG00000008741	Kryptolebias_marmoratus
ENSMZEP00005024143	ENSMZEG00005018061	Maylandia_zebra
ENSMMUP00000079816	ENSMMUG00000012058	Macaca_mulatta
ENSCPOP00000023506	ENSCPOG00000033894	Cavia_porcellus
ENSPLAP00000031249	ENSPLAG00000023090	Poecilia_latipinna
ENSORLP00015024154	ENSORLG00015004540	Oryzias_latipes_ASM223469v1
ENSAMXP00000001764	ENSAMXG00000001704	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMLUP00000006920	ENSMLUG00000007576	Myotis_lucifugus
ENSCAPP00000013840	ENSCAPG00000014371	Cavia_aperea
ENSXETP00000029581	ENSXETG00000007477	Xenopus_tropicalis
ENSPCIP00000040214	ENSPCIG00000029438	Phascolarctos_cinereus
ENSCJPP00005013146	ENSCJPG00005011117	Coturnix_japonica
ENSSTOP00000012517	ENSSTOG00000013963	Ictidomys_tridecemlineatus
ENSLCRP00005018836	ENSLCRG00005007739	Larimichthys_crocea
ENSSDAP00000023246	ENSSDAG00000021180	Spermophilus_dauricus
ENSSFOP00015030543	ENSSFOG00015019591	Scleropages_formosus
ENSCVAP00000020350	ENSCVAG00000001658	Cyprinodon_variegatus
ENSNSUP00000004733	ENSNSUG00000003777	Notechis_scutatus	ENSNSUT00000005092
ENSSPUP00000003090	ENSSPUG00000002388	Sphenodon_punctatus	ENSSPUT00000003281
ENSKMAP00000011592	ENSKMAG00000008718	Kryptolebias_marmoratus
ENSLACP00000016629	ENSLACG00000014653	Latimeria_chalumnae
ENSTNIP00000015239	ENSTNIG00000012272	Tetraodon_nigroviridis
ENSGGOP00000043284	ENSGGOG00000012157	Gorilla_gorilla
ENSMSIP00000003779	ENSMSIG00000003465	Mus_spicilegus
ENSDCDP00000044091	ENSDCDG00000028069	Denticeps_clupeoides
ENSMAMP00000011012	ENSMAMG00000007461	Mastacembelus_armatus
ENSPTEP00000020697	ENSPTEG00000021898	Piliocolobus_tephrosceles
ENSFALP00000001895	ENSFALG00000001821	Ficedula_albicollis	ENSFALT00000001906
ENSPMEP00000007262	ENSPMEG00000008895	Poecilia_mexicana
FBpp0076879	FBgn0263831	Drosophila_melanogaster
ENSNMEP00000005231	ENSNMEG00000005488	Numida_meleagris
