ENSCINP00000034573	ENSCING00000017912	Ciona_intestinalis	ENSCINT00000032517
ENSCSAVP00000018703	ENSCSAVG00000010990	Ciona_savignyi	ENSCSAVT00000018908
ENSTBEP00000014773	ENSTBEG00000017006	Tupaia_belangeri
ENSBIXP00000032677	ENSBIXG00000015328	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000008795	ENSBMUG00000006845	Bos_mutus
ENSBTAP00000013031	ENSBTAG00000009885	Bos_taurus
ENSBBBP00000020004	ENSBBBG00000013539	Bison_bison_bison
ENSOARP00000014239	ENSOARG00000013289	Ovis_aries
ENSOARP00000007738	ENSOARG00000007219	Ovis_aries
ENSCHIP00000024093	ENSCHIG00000021422	Capra_hircus
ENSTTRP00000001575	ENSTTRG00000001670	Tursiops_truncatus
ENSPCOP00000025261	ENSPCOG00000024851	Propithecus_coquereli
ENSPCOP00000008928	ENSPCOG00000015781	Propithecus_coquereli
ENSPSMP00000014174	ENSPSMG00000010174	Prolemur_simus
ENSOGAP00000006136	ENSOGAG00000006859	Otolemur_garnettii
ENSPTRP00000016156	ENSPTRG00000009516	Pan_troglodytes
ENSPPAP00000023238	ENSPPAG00000034803	Pan_paniscus
ENSGGOP00000016455	ENSGGOG00000016865	Gorilla_gorilla
ENSP00000258975	ENSG00000136463	Homo_sapiens
ENSPPYP00000009576	ENSPPYG00000008526	Pongo_abelii
ENSNLEP00000037044	ENSNLEG00000030032	Nomascus_leucogenys
ENSPTEP00000007969	ENSPTEG00000009044	Piliocolobus_tephrosceles
ENSCANP00000037947	ENSCANG00000042658	Colobus_angolensis_palliatus
ENSRROP00000015072	ENSRROG00000031721	Rhinopithecus_roxellana
ENSRBIP00000015210	ENSRBIG00000031704	Rhinopithecus_bieti
ENSMFAP00000020167	ENSMFAG00000033066	Macaca_fascicularis
ENSMMUP00000069336	ENSMMUG00000050954	Macaca_mulatta
ENSMNEP00000026494	ENSMNEG00000036691	Macaca_nemestrina
ENSMLEP00000025581	ENSMLEG00000036984	Mandrillus_leucophaeus
ENSCATP00000006397	ENSCATG00000020037	Cercocebus_atys
ENSPANP00000020914	ENSPANG00000021017	Papio_anubis
ENSTGEP00000027191	ENSTGEG00000021950	Theropithecus_gelada
ENSCSAP00000000235	ENSCSAG00000003871	Chlorocebus_sabaeus
ENSCCAP00000038430	ENSCCAG00000037057	Cebus_capucinus_imitator
ENSSBOP00000005055	ENSSBOG00000019259	Saimiri_boliviensis_boliviensis
ENSCJAP00000036683	ENSCJAG00000019741	Callithrix_jacchus
ENSANAP00000024603	ENSANAG00000030026	Aotus_nancymaae
ENSCCNP00000009981	ENSCCNG00000010498	Castor_canadensis
ENSDORP00000012565	ENSDORG00000013365	Dipodomys_ordii
MGP_SPRETEiJ_P0031961	MGP_SPRETEiJ_G0018152	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000030189	ENSMSIG00000025311	Mus_spicilegus
ENSMUSP00000002048	ENSMUSG00000001983	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0030518	MGP_CAROLIEiJ_G0017309	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0037237	MGP_PahariEiJ_G0018438	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000061257	ENSRNOG00000008405	Rattus_norvegicus
ENSMUGP00000021372	ENSMUGG00000017985	Meriones_unguiculatus
ENSCGRP00000005180	ENSCGRG00000003795	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001018812	ENSCGRG00001018450	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015029998	ENSCGRG00015022564	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000011801	ENSMAUG00000012290	Mesocricetus_auratus
ENSPEMP00000014452	ENSPEMG00000014249	Peromyscus_maniculatus_bairdii
ENSMOCP00000017880	ENSMOCG00000016337	Microtus_ochrogaster
ENSNGAP00000025980	ENSNGAG00000023763	Nannospalax_galili
ENSJJAP00000006747	ENSJJAG00000011326	Jaculus_jaculus
ENSHGLP00100004921	ENSHGLG00100003730	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000026630	ENSHGLG00000018941	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000009507	ENSFDAG00000017495	Fukomys_damarensis
ENSCLAP00000005674	ENSCLAG00000004025	Chinchilla_lanigera
ENSODEP00000011435	ENSODEG00000008506	Octodon_degus
ENSCPOP00000013510	ENSCPOG00000014989	Cavia_porcellus
ENSCAPP00000013327	ENSCAPG00000013981	Cavia_aperea
ENSSTOP00000008452	ENSSTOG00000009424	Ictidomys_tridecemlineatus
ENSUPAP00010000981	ENSUPAG00010000849	Urocitellus_parryii
ENSSDAP00000010583	ENSSDAG00000009593	Spermophilus_dauricus
ENSMMMP00000011036	ENSMMMG00000009841	Marmota_marmota_marmota
ENSLAFP00000008544	ENSLAFG00000010199	Loxodonta_africana
ENSPCAP00000002074	ENSPCAG00000002242	Procavia_capensis
ENSETEP00000014007	ENSETEG00000017251	Echinops_telfairi
ENSDNOP00000032274	ENSDNOG00000048728	Dasypus_novemcinctus
ENSOPRP00000013573	ENSOPRG00000014864	Ochotona_princeps
ENSTSYP00000029158	ENSTSYG00000012190	Carlito_syrichta
ENSSARP00000007441	ENSSARG00000008233	Sorex_araneus
ENSEEUP00000000011	ENSEEUG00000000014	Erinaceus_europaeus
ENSVURP00010012716	ENSVURG00010009755	Vombatus_ursinus
ENSPCIP00000044223	ENSPCIG00000019382	Phascolarctos_cinereus
ENSMEUP00000008399	ENSMEUG00000009201	Notamacropus_eugenii
ENSMODP00000012507	ENSMODG00000009990	Monodelphis_domestica
ENSOANP00000033196	ENSOANG00000029720	Ornithorhynchus_anatinus
ENSLACP00000013792	ENSLACG00000012142	Latimeria_chalumnae
ENSXETP00000005472	ENSXETG00000009857	Xenopus_tropicalis
ENSCMIP00000011584	ENSCMIG00000006001	Callorhinchus_milii
ENSIPUP00000029594	ENSIPUG00000020014	Ictalurus_punctatus
ENSEEEP00000048456	ENSEEEG00000022806	Electrophorus_electricus
ENSAMXP00000048924	ENSAMXG00000000255	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005035730	ENSAMXG00005017130	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000024757	ENSPNAG00000009464	Pygocentrus_nattereri
ENSDARP00000117391	ENSDARG00000062943	Danio_rerio
ENSDARP00000140986	ENSDARG00000100552	Danio_rerio
ENSDCDP00000011326	ENSDCDG00000005619	Denticeps_clupeoides
ENSCHAP00000019302	ENSCHAG00000009893	Clupea_harengus
ENSBSLP00000012120	ENSBSLG00000006171	Betta_splendens
ENSATEP00000028958	ENSATEG00000019980	Anabas_testudineus
ENSGACP00000009416	ENSGACG00000007104	Gasterosteus_aculeatus
ENSCVAP00000022583	ENSCVAG00000005360	Cyprinodon_variegatus
ENSFHEP00000026404	ENSFHEG00000009201	Fundulus_heteroclitus
ENSPFOP00000007995	ENSPFOG00000008051	Poecilia_formosa
ENSPMEP00000016045	ENSPMEG00000018648	Poecilia_mexicana
ENSPLAP00000016393	ENSPLAG00000020520	Poecilia_latipinna
ENSPREP00000034017	ENSPREG00000023042	Poecilia_reticulata
ENSXCOP00000001085	ENSXCOG00000000890	Xiphophorus_couchianus
ENSXMAP00000029236	ENSXMAG00000029575	Xiphophorus_maculatus
ENSGAFP00000028599	ENSGAFG00000019333	Gambusia_affinis
ENSKMAP00000028528	ENSKMAG00000021152	Kryptolebias_marmoratus
ENSORLP00015030913	ENSORLG00015014814	Oryzias_latipes_ASM223469v1
ENSORLP00000007105	ENSORLG00000005652	Oryzias_latipes_ASM223467v1
ENSORLP00020031652	ENSORLG00020016791	Oryzias_latipes_ASM223471v1
ENSOMEP00000020144	ENSOMEG00000021984	Oryzias_melastigma
ENSAOCP00000002932	ENSAOCG00000006109	Amphiprion_ocellaris
ENSAPEP00000018201	ENSAPEG00000013022	Amphiprion_percula
ENSAPOP00000033789	ENSAPOG00000022562	Acanthochromis_polyacanthus
ENSSPAP00000019719	ENSSPAG00000014875	Stegastes_partitus
ENSPRNP00000033277	ENSPRNG00000016807	Parambassis_ranga
ENSNBRP00000014253	ENSNBRG00000011026	Neolamprologus_brichardi
ENSONIP00000014572	ENSONIG00000011570	Oreochromis_niloticus
ENSACLP00000015465	ENSACLG00000010544	Astatotilapia_calliptera
ENSPNYP00000023550	ENSPNYG00000017801	Pundamilia_nyererei
ENSHBUP00000004884	ENSHBUG00000006221	Haplochromis_burtoni
ENSMZEP00005019288	ENSMZEG00005014480	Maylandia_zebra
ENSACIP00000018025	ENSACIG00000014052	Amphilophus_citrinellus
ENSGWIP00000049928	ENSGWIG00000024337	Gouania_willdenowi
ENSSLDP00000023338	ENSSLDG00000018233	Seriola_lalandi_dorsalis
ENSSDUP00000031832	ENSSDUG00000022880	Seriola_dumerili
ENSSMAP00000029124	ENSSMAG00000017848	Scophthalmus_maximus
ENSLCAP00010030652	ENSLCAG00010014413	Lates_calcarifer
ENSCGOP00000017762	ENSCGOG00000008518	Cottoperca_gobio
ENSLCRP00005042737	ENSLCRG00005016394	Larimichthys_crocea
ENSLBEP00000028757	ENSLBEG00000021786	Labrus_bergylta
ENSMMOP00000001481	ENSMMOG00000001242	Mola_mola
ENSMAMP00000020349	ENSMAMG00000013684	Mastacembelus_armatus
ENSTRUP00000009609	ENSTRUG00000004051	Takifugu_rubripes
ENSTNIP00000022117	ENSTNIG00000018930	Tetraodon_nigroviridis
ENSHCOP00000026338	ENSHCOG00000017185	Hippocampus_comes
ENSMALP00000010593	ENSMALG00000007560	Monopterus_albus
ENSPMGP00000017381	ENSPMGG00000014222	Periophthalmus_magnuspinnatus
ENSCSEP00000014371	ENSCSEG00000009255	Cynoglossus_semilaevis
ENSGMOP00000020810	ENSGMOG00000019357	Gadus_morhua
ENSHHUP00000033161	ENSHHUG00000020976	Hucho_hucho
ENSELUP00000024925	ENSELUG00000023640	Esox_lucius
ENSPKIP00000016522	ENSPKIG00000002814	Paramormyrops_kingsleyae
ENSSFOP00015021656	ENSSFOG00015013916	Scleropages_formosus
ENSLOCP00000014432	ENSLOCG00000011738	Lepisosteus_oculatus
ENSECRP00000018039	ENSECRG00000012062	Erpetoichthys_calabaricus
ENSPMAP00000010850	ENSPMAG00000009873	Petromyzon_marinus
ENSEBUP00000024460	ENSEBUG00000015081	Eptatretus_burgeri
YGR021W_mRNA	YGR021W	Saccharomyces_cerevisiae_strain_S288C
