ENSECRP00000032085	ENSECRG00000021749	Erpetoichthys_calabaricus
ENSPSMP00000000100	ENSPSMG00000000109	Prolemur_simus
ENSPCOP00000009010	ENSPCOG00000015836	Propithecus_coquereli
ENSMICP00000016739	ENSMICG00000037512	Microcebus_murinus
ENSOGAP00000019006	ENSOGAG00000032408	Otolemur_garnettii
ENSDNOP00000030649	ENSDNOG00000047332	Dasypus_novemcinctus
ENSLAFP00000019839	ENSLAFG00000026040	Loxodonta_africana
ENSVURP00010008031	ENSVURG00010006210	Vombatus_ursinus	ENSVURT00010009102
ENSPCIP00000004695	ENSPCIG00000003882	Phascolarctos_cinereus	ENSPCIT00000005871
ENSMODP00000057505	ENSMODG00000047556	Monodelphis_domestica	ENSMODT00000081271
ENSLCOP00000021760	ENSLCOG00000015364	Lepidothrix_coronata
ENSMVIP00005007988	ENSMVIG00005005999	Manacus_vitellinus
ENSMUNP00000018845	ENSMUNG00000014429	Melopsittacus_undulatus
ENSCPGP00000027822	ENSCPGG00000019186	Calidris_pygmaea
ENSCPUP00000018833	ENSCPUG00000012937	Calidris_pugnax
ENSAPLP00000029332	ENSAPLG00000024733	Anas_platyrhynchos_platyrhynchos
ENSABRP00000021604	ENSABRG00000018314	Anser_brachyrhynchus
ENSGALP00000072394	ENSGALG00000020975	Gallus_gallus
ENSCJPP00005017900	ENSCJPG00005014544	Coturnix_japonica
ENSNMEP00000026971	ENSNMEG00000022619	Numida_meleagris
ENSLSDP00000004406	ENSLSDG00000003423	Lonchura_striata_domestica
ENSTGUP00000009520	ENSTGUG00000009241	Taeniopygia_guttata
ENSFALP00000008025	ENSFALG00000007691	Ficedula_albicollis
ENSPMJP00000023492	ENSPMJG00000017346	Parus_major
ENSCCEP00000023885	ENSCCEG00000021289	Cyanistes_caeruleus
ENSSCAP00000005298	ENSSCAG00000004244	Serinus_canaria
ENSJHYP00000017993	ENSJHYG00000013718	Junco_hyemalis
ENSZALP00000016859	ENSZALG00000013654	Zonotrichia_albicollis
ENSNPEP00000008490	ENSNPEG00000006365	Nothoprocta_perdicaria
ENSCPRP00005008928	ENSCPRG00005006368	Crocodylus_porosus
ENSAOWP00000013715	ENSAOWG00000009367	Apteryx_owenii
ENSARWP00000009341	ENSARWG00000006521	Apteryx_rowi
ENSAHAP00000000264	ENSAHAG00000000275	Apteryx_haastii
ENSGAGP00000023478	ENSGAGG00000017215	Gopherus_agassizii
ENSCABP00000029160	ENSCABG00000021407	Chelonoidis_abingdonii
ENSCPBP00000017238	ENSCPBG00000012646	Chrysemys_picta_bellii
ENSACAP00000023376	ENSACAG00000029312	Anolis_carolinensis
ENSNSUP00000027528	ENSNSUG00000019684	Notechis_scutatus
ENSSMRP00000023271	ENSSMRG00000018079	Salvator_merianae
ENSLACP00000021108	ENSLACG00000018545	Latimeria_chalumnae
ENSHHUP00000054543	ENSHHUG00000032710	Hucho_hucho
ENSELUP00000024497	ENSELUG00000023245	Esox_lucius
ENSSFOP00015023239	ENSSFOG00015014956	Scleropages_formosus
ENSSFOP00015008236	ENSSFOG00015005404	Scleropages_formosus
ENSPKIP00000007873	ENSPKIG00000023607	Paramormyrops_kingsleyae
ENSHHUP00000040398	ENSHHUG00000025007	Hucho_hucho
ENSELUP00000024482	ENSELUG00000023251	Esox_lucius
ENSSDUP00000001258	ENSSDUG00000001006	Seriola_dumerili
ENSSLDP00000021515	ENSSLDG00000016808	Seriola_lalandi_dorsalis
ENSLCAP00010044887	ENSLCAG00010020864	Lates_calcarifer
ENSAPEP00000009643	ENSAPEG00000006941	Amphiprion_percula
ENSAOCP00000005474	ENSAOCG00000008989	Amphiprion_ocellaris
ENSAPOP00000019841	ENSAPOG00000023344	Acanthochromis_polyacanthus
ENSSPAP00000018670	ENSSPAG00000014101	Stegastes_partitus
ENSPRNP00000046983	ENSPRNG00000022633	Parambassis_ranga
ENSACLP00000000203	ENSACLG00000000168	Astatotilapia_calliptera
ENSHBUP00000028211	ENSHBUG00000011852	Haplochromis_burtoni
ENSMZEP00005000327	ENSMZEG00005000356	Maylandia_zebra
ENSPNYP00000003220	ENSPNYG00000002496	Pundamilia_nyererei
ENSONIP00000014089	ENSONIG00000011194	Oreochromis_niloticus
ENSACIP00000023397	ENSACIG00000018170	Amphilophus_citrinellus
ENSPMGP00000000535	ENSPMGG00000000503	Periophthalmus_magnuspinnatus
ENSCGOP00000014151	ENSCGOG00000006928	Cottoperca_gobio
ENSCHAP00000042257	ENSCHAG00000019714	Clupea_harengus
ENSDCDP00000015294	ENSDCDG00000012033	Denticeps_clupeoides
ENSAMXP00000048452	ENSAMXG00000031722	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005006191	ENSAMXG00005003713	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000020704	ENSPNAG00000006214	Pygocentrus_nattereri
ENSEEEP00000050743	ENSEEEG00000023842	Electrophorus_electricus
ENSIPUP00000002737	ENSIPUG00000001967	Ictalurus_punctatus
ENSDARP00000145423	ENSDARG00000116896	Danio_rerio
ENSCHAP00000012451	ENSCHAG00000006947	Clupea_harengus
ENSDCDP00000036355	ENSDCDG00000024157	Denticeps_clupeoides
ENSACLP00000016503	ENSACLG00000011261	Astatotilapia_calliptera
ENSHBUP00000019698	ENSHBUG00000021902	Haplochromis_burtoni
ENSPNYP00000005634	ENSPNYG00000004363	Pundamilia_nyererei
ENSMZEP00005036040	ENSMZEG00005026890	Maylandia_zebra
ENSNBRP00000023549	ENSNBRG00000018041	Neolamprologus_brichardi
ENSONIP00000024492	ENSONIG00000019456	Oreochromis_niloticus
ENSACIP00000023117	ENSACIG00000017955	Amphilophus_citrinellus
ENSBSLP00000009318	ENSBSLG00000004546	Betta_splendens
ENSSDUP00000031575	ENSSDUG00000022689	Seriola_dumerili
ENSSLDP00000023975	ENSSLDG00000018695	Seriola_lalandi_dorsalis
ENSLCAP00010015103	ENSLCAG00010007152	Lates_calcarifer
ENSSMAP00000015004	ENSSMAG00000009203	Scophthalmus_maximus
ENSCSEP00000009115	ENSCSEG00000005854	Cynoglossus_semilaevis
ENSAPEP00000004472	ENSAPEG00000003228	Amphiprion_percula
ENSAOCP00000019996	ENSAOCG00000003794	Amphiprion_ocellaris
ENSAPOP00000022143	ENSAPOG00000003139	Acanthochromis_polyacanthus
ENSSPAP00000017343	ENSSPAG00000013081	Stegastes_partitus
ENSPRNP00000017360	ENSPRNG00000009224	Parambassis_ranga
ENSCVAP00000014782	ENSCVAG00000017471	Cyprinodon_variegatus
ENSFHEP00000022868	ENSFHEG00000003515	Fundulus_heteroclitus
ENSXCOP00000023567	ENSXCOG00000017603	Xiphophorus_couchianus
ENSXMAP00000018269	ENSXMAG00000018233	Xiphophorus_maculatus
ENSGAFP00000031982	ENSGAFG00000021521	Gambusia_affinis
ENSPFOP00000008398	ENSPFOG00000008458	Poecilia_formosa
ENSPLAP00000009583	ENSPLAG00000012372	Poecilia_latipinna
ENSPMEP00000005584	ENSPMEG00000006972	Poecilia_mexicana
ENSPREP00000031572	ENSPREG00000021384	Poecilia_reticulata
ENSKMAP00000026775	ENSKMAG00000019864	Kryptolebias_marmoratus
ENSORLP00020026040	ENSORLG00020008285	Oryzias_latipes_ASM223471v1
ENSORLP00000045085	ENSORLG00000025337	Oryzias_latipes_ASM223467v1
ENSORLP00015003224	ENSORLG00015003951	Oryzias_latipes_ASM223469v1
ENSOMEP00000022641	ENSOMEG00000002287	Oryzias_melastigma
ENSGWIP00000008715	ENSGWIG00000005208	Gouania_willdenowi
ENSMAMP00000027455	ENSMAMG00000018463	Mastacembelus_armatus
ENSMALP00000001982	ENSMALG00000001477	Monopterus_albus
ENSATEP00000034601	ENSATEG00000023774	Anabas_testudineus
ENSLCRP00005044823	ENSLCRG00005017163	Larimichthys_crocea
ENSLBEP00000001714	ENSLBEG00000001363	Labrus_bergylta
ENSCGOP00000011855	ENSCGOG00000005892	Cottoperca_gobio
ENSPMGP00000009337	ENSPMGG00000007739	Periophthalmus_magnuspinnatus
ENSGMOP00000019196	ENSGMOG00000017865	Gadus_morhua
ENSPKIP00000038806	ENSPKIG00000016443	Paramormyrops_kingsleyae
ENSLOCP00000001737	ENSLOCG00000001525	Lepisosteus_oculatus
ENSCMIP00000019795	ENSCMIG00000009210	Callorhinchus_milii
