ENSMICP00000044809	ENSMICG00000033175	Microcebus_murinus
ENSCPGP00000006990	ENSCPGG00000005017	Calidris_pygmaea
ENSMZEP00005028457	ENSMZEG00005021217	Maylandia_zebra
ENSMMUP00000074832	ENSMMUG00000042926	Macaca_mulatta
ENSPCOP00000015156	ENSPCOG00000019297	Propithecus_coquereli
ENSOGAP00000014825	ENSOGAG00000016566	Otolemur_garnettii
ENSVURP00010024233	ENSVURG00010018570	Vombatus_ursinus
ENSPTEP00000010844	ENSPTEG00000012231	Piliocolobus_tephrosceles
ENSAOCP00000004484	ENSAOCG00000007910	Amphiprion_ocellaris
ENSMAMP00000016475	ENSMAMG00000011152	Mastacembelus_armatus
ENSCANP00000024801	ENSCANG00000035797	Colobus_angolensis_palliatus
ENSNPEP00000009035	ENSNPEG00000006789	Nothoprocta_perdicaria
ENSHGLP00000002860	ENSHGLG00000002141	Heterocephalus_glaber_HetGla_female_1.0
ENSRROP00000041159	ENSRROG00000043789	Rhinopithecus_roxellana
ENSPVAP00000015896	ENSPVAG00000016852	Pteropus_vampyrus
ENSSBOP00000015988	ENSSBOG00000024700	Saimiri_boliviensis_boliviensis
ENSGWIP00000008624	ENSGWIG00000005142	Gouania_willdenowi
ENSFHEP00000002095	ENSFHEG00000002881	Fundulus_heteroclitus
ENSTSYP00000025946	ENSTSYG00000032175	Carlito_syrichta
ENSSFOP00015014298	ENSSFOG00015009218	Scleropages_formosus	ENSSFOT00015014470
ENSAMXP00005049163	ENSAMXG00005022426	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSOARP00000003916	ENSOARG00000003674	Ovis_aries
ENSCGRP00015011597	ENSCGRG00015008911	Cricetulus_griseus_CriGri-PICR
ENSATEP00000018773	ENSATEG00000013066	Anabas_testudineus
ENSGAGP00000010863	ENSGAGG00000008445	Gopherus_agassizii
ENSNMEP00000024674	ENSNMEG00000020923	Numida_meleagris
ENSLCRP00005021456	ENSLCRG00005008700	Larimichthys_crocea
ENSANAP00000018794	ENSANAG00000027213	Aotus_nancymaae
ENSCGOP00000036418	ENSCGOG00000016817	Cottoperca_gobio
ENSONIP00000008826	ENSONIG00000006999	Oreochromis_niloticus
ENSDORP00000015878	ENSDORG00000024355	Dipodomys_ordii
ENSNSUP00000029037	ENSNSUG00000020602	Notechis_scutatus
ENSVURP00010025513	ENSVURG00010019523	Vombatus_ursinus
ENSECAP00000044793	ENSECAG00000001468	Equus_caballus
ENSCGRP00015023756	ENSCGRG00015018098	Cricetulus_griseus_CriGri-PICR
ENSVVUP00000016495	ENSVVUG00000012145	Vulpes_vulpes
ENSOCUP00000016231	ENSOCUG00000027170	Oryctolagus_cuniculus
ENSTTRP00000015412	ENSTTRG00000016258	Tursiops_truncatus
ENSSCAP00000023329	ENSSCAG00000016737	Serinus_canaria
ENSNGAP00000011562	ENSNGAG00000013672	Nannospalax_galili
ENSPCIP00000023490	ENSPCIG00000017791	Phascolarctos_cinereus
ENSBSLP00000002886	ENSBSLG00000001628	Betta_splendens
ENSSHAP00000006132	ENSSHAG00000005336	Sarcophilus_harrisii
ENSLOCP00000018376	ENSLOCG00000014923	Lepisosteus_oculatus
ENSJJAP00000007000	ENSJJAG00000011515	Jaculus_jaculus
ENSCPBP00000001301	ENSCPBG00000001068	Chrysemys_picta_bellii
YGR078C_mRNA	YGR078C	Saccharomyces_cerevisiae_strain_S288C
ENSOANP00000002020	ENSOANG00000001269	Ornithorhynchus_anatinus
ENSNVIP00000014792	ENSNVIG00000011591	Neovison_vison
ENSDORP00000017554	ENSDORG00000023387	Dipodomys_ordii
ENSANAP00000021275	ENSANAG00000028436	Aotus_nancymaae
ENSMMOP00000019229	ENSMMOG00000014552	Mola_mola
ENSRROP00000031425	ENSRROG00000039413	Rhinopithecus_roxellana
ENSCHAP00000024791	ENSCHAG00000012118	Clupea_harengus
ENSACLP00000033880	ENSACLG00000022908	Astatotilapia_calliptera
ENSLBEP00000029889	ENSLBEG00000022604	Labrus_bergylta
ENSCGRP00001004206	ENSCGRG00001005285	Cricetulus_griseus_CHOK1GS_HDv1
ENSGMOP00000009045	ENSGMOG00000008449	Gadus_morhua
ENSPMEP00000025177	ENSPMEG00000007982	Poecilia_mexicana
ENSACAP00000011526	ENSACAG00000011753	Anolis_carolinensis
ENSPNYP00000025520	ENSPNYG00000019264	Pundamilia_nyererei
ENSPTRP00000074899	ENSPTRG00000044736	Pan_troglodytes
ENSPEMP00000003348	ENSPEMG00000004677	Peromyscus_maniculatus_bairdii
ENSSBOP00000000169	ENSSBOG00000000429	Saimiri_boliviensis_boliviensis
ENSPLAP00000028724	ENSPLAG00000018355	Poecilia_latipinna
ENSIPUP00000030435	ENSIPUG00000020555	Ictalurus_punctatus
ENSCJPP00005021541	ENSCJPG00005017231	Coturnix_japonica
ENSCGRP00001011142	ENSCGRG00001012855	Cricetulus_griseus_CHOK1GS_HDv1
ENSCAFP00000029046	ENSCAFG00000019639	Canis_lupus_familiaris
ENSPVIP00000006629	ENSPVIG00000005483	Pogona_vitticeps
ENSLCAP00010025563	ENSLCAG00010011947	Lates_calcarifer
ENSMSIP00000018848	ENSMSIG00000016065	Mus_spicilegus
ENSHBUP00000011908	ENSHBUG00000013644	Haplochromis_burtoni
ENSAPLP00000014365	ENSAPLG00000014527	Anas_platyrhynchos_platyrhynchos
ENSTGUP00000004139	ENSTGUG00000004011	Taeniopygia_guttata
ENSCCEP00000023541	ENSCCEG00000021052	Cyanistes_caeruleus
ENSAPOP00000029259	ENSAPOG00000015010	Acanthochromis_polyacanthus
ENSDNOP00000030360	ENSDNOG00000044322	Dasypus_novemcinctus
MGP_SPRETEiJ_P0095776	MGP_SPRETEiJ_G0034359	Mus_spretus_strain_SPRET/EiJ
ENSJJAP00000009798	ENSJJAG00000013568	Jaculus_jaculus
ENSLACP00000012568	ENSLACG00000011072	Latimeria_chalumnae
ENSACLP00000040969	ENSACLG00000027595	Astatotilapia_calliptera
ENSSPUP00000000640	ENSSPUG00000000558	Sphenodon_punctatus
ENSVVUP00000028271	ENSVVUG00000020703	Vulpes_vulpes
ENSCAFP00020010716	ENSCAFG00020008675	Canis_lupus_dingo
ENSCSAP00000002801	ENSCSAG00000006524	Chlorocebus_sabaeus
ENSSHAP00000021666	ENSSHAG00000018348	Sarcophilus_harrisii
FBpp0309728	FBgn0034651	Drosophila_melanogaster	FBtr0342957
ENSTGEP00000017227	ENSTGEG00000013919	Theropithecus_gelada
ENSUMAP00000023879	ENSUMAG00000017374	Ursus_maritimus
ENSPPRP00000026595	ENSPPRG00000017482	Panthera_pardus
ENSMAUP00000012264	ENSMAUG00000012627	Mesocricetus_auratus
ENSCLAP00000000102	ENSCLAG00000000117	Chinchilla_lanigera
ENSAMXP00000038412	ENSAMXG00000030215	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSBOP00000011622	ENSSBOG00000022626	Saimiri_boliviensis_boliviensis
ENSSTOP00000005969	ENSSTOG00000006684	Ictidomys_tridecemlineatus
ENSDNOP00000018590	ENSDNOG00000034956	Dasypus_novemcinctus
ENSSLDP00000011385	ENSSLDG00000009049	Seriola_lalandi_dorsalis
ENSCCAP00000010115	ENSCCAG00000022791	Cebus_capucinus_imitator
ENSGGOP00000025619	ENSGGOG00000027061	Gorilla_gorilla
ENSDARP00000111810	ENSDARG00000030241	Danio_rerio
ENSAMEP00000009532	ENSAMEG00000009058	Ailuropoda_melanoleuca
ENSPMJP00000015037	ENSPMJG00000011405	Parus_major
ENSHHUP00000009645	ENSHHUG00000005880	Hucho_hucho
ENSKMAP00000021815	ENSKMAG00000016209	Kryptolebias_marmoratus
ENSPRNP00000016725	ENSPRNG00000008928	Parambassis_ranga
ENSPTRP00000038725	ENSPTRG00000022460	Pan_troglodytes
ENSPPAP00000025780	ENSPPAG00000036017	Pan_paniscus
ENSNBRP00000023751	ENSNBRG00000018132	Neolamprologus_brichardi
ENSPCAP00000003040	ENSPCAG00000003262	Procavia_capensis
ENSODEP00000002994	ENSODEG00000002297	Octodon_degus
ENSACLP00000040750	ENSACLG00000027427	Astatotilapia_calliptera
ENSZALP00000000165	ENSZALG00000000197	Zonotrichia_albicollis
ENSTSYP00000021672	ENSTSYG00000028758	Carlito_syrichta
ENSMEUP00000012309	ENSMEUG00000013498	Notamacropus_eugenii
ENSSFOP00015028662	ENSSFOG00015018395	Scleropages_formosus
ENSAOWP00000001481	ENSAOWG00000001064	Apteryx_owenii
FBpp0081882	FBgn0264694	Drosophila_melanogaster	FBtr0082406
ENSCHIP00000020852	ENSCHIG00000019363	Capra_hircus
ENSMNEP00000003759	ENSMNEG00000017547	Macaca_nemestrina
ENSPFOP00000004524	ENSPFOG00000004590	Poecilia_formosa
ENSETEP00000014338	ENSETEG00000017655	Echinops_telfairi
ENSSPAP00000014480	ENSSPAG00000010934	Stegastes_partitus
ENSOCUP00000014988	ENSOCUG00000017448	Oryctolagus_cuniculus
ENSSDUP00000019302	ENSSDUG00000014065	Seriola_dumerili
ENSLCOP00000021900	ENSLCOG00000015471	Lepidothrix_coronata
ENSCGRP00015026238	ENSCGRG00015019901	Cricetulus_griseus_CriGri-PICR
ENSLSDP00000001276	ENSLSDG00000001001	Lonchura_striata_domestica
ENSJHYP00000017335	ENSJHYG00000013254	Junco_hyemalis
ENSFCAP00000018893	ENSFCAG00000022037	Felis_catus
ENSPNAP00000028031	ENSPNAG00000002851	Pygocentrus_nattereri
ENSTSYP00000021374	ENSTSYG00000002205	Carlito_syrichta
ENSECRP00000017919	ENSECRG00000011967	Erpetoichthys_calabaricus
ENSCCNP00000004078	ENSCCNG00000004290	Castor_canadensis
ENSCPRP00005012618	ENSCPRG00005008958	Crocodylus_porosus
ENSMFAP00000017904	ENSMFAG00000032032	Macaca_fascicularis
ENSMALP00000018230	ENSMALG00000012706	Monopterus_albus
ENSCSEP00000027944	ENSCSEG00000017854	Cynoglossus_semilaevis
ENSHHUP00000039704	ENSHHUG00000024626	Hucho_hucho
ENSEEEP00000010666	ENSEEEG00000005402	Electrophorus_electricus
ENSORLP00015035613	ENSORLG00015022305	Oryzias_latipes_ASM223469v1
ENSXCOP00000008926	ENSXCOG00000006805	Xiphophorus_couchianus
ENSMOCP00000013744	ENSMOCG00000013440	Microtus_ochrogaster
ENSDORP00000026244	ENSDORG00000024775	Dipodomys_ordii
ENSFDAP00000007098	ENSFDAG00000015688	Fukomys_damarensis
ENSMLEP00000004879	ENSMLEG00000022030	Mandrillus_leucophaeus
ENSSMRP00000020594	ENSSMRG00000016025	Salvator_merianae
ENSCMIP00000009664	ENSCMIG00000005102	Callorhinchus_milii
ENSJJAP00000023099	ENSJJAG00000022969	Jaculus_jaculus
T06G6.9.1	WBGene00006889	Caenorhabditis_elegans_strain_N2	T06G6.9.1
ENSPSIP00000010408	ENSPSIG00000009427	Pelodiscus_sinensis
ENSCSAP00000017870	ENSCSAG00000000121	Chlorocebus_sabaeus
ENSCVAP00000028650	ENSCVAG00000015845	Cyprinodon_variegatus
ENSPANP00000044098	ENSPANG00000029954	Papio_anubis
ENSMMUP00000019779	ENSMMUG00000015095	Macaca_mulatta
ENSPCIP00000040066	ENSPCIG00000029334	Phascolarctos_cinereus
ENSAHAP00000018848	ENSAHAG00000013352	Apteryx_haastii
ENSBIXP00005005264	ENSBIXG00005011035	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSHGLP00100011209	ENSHGLG00100008326	Heterocephalus_glaber_HetGla_1.0
ENSLACP00000018328	ENSLACG00000016144	Latimeria_chalumnae
ENSODEP00000000609	ENSODEG00000000509	Octodon_degus
ENSNLEP00000017635	ENSNLEG00000014475	Nomascus_leucogenys
ENSHGLP00000001298	ENSHGLG00000001012	Heterocephalus_glaber_HetGla_female_1.0
ENSSDAP00000027395	ENSSDAG00000024823	Spermophilus_dauricus
ENSPREP00000014106	ENSPREG00000009585	Poecilia_reticulata
ENSOMEP00000032422	ENSOMEG00000017845	Oryzias_melastigma
ENSGACP00000002532	ENSGACG00000001945	Gasterosteus_aculeatus
ENSCGRP00000006840	ENSCGRG00000004984	Cricetulus_griseus_CriGri_1.0
ENSVPAP00000009527	ENSVPAG00000010239	Vicugna_pacos
ENSCINP00000018884	ENSCING00000009294	Ciona_intestinalis
ENSAPEP00000022730	ENSAPEG00000016200	Amphiprion_percula
ENSARWP00000010107	ENSARWG00000007035	Apteryx_rowi
ENSORLP00020024094	ENSORLG00020005290	Oryzias_latipes_ASM223471v1
ENSSPAP00000014512	ENSSPAG00000010977	Stegastes_partitus
ENSSHAP00000003198	ENSSHAG00000002823	Sarcophilus_harrisii
ENSGALP00000013653	ENSGALG00000008389	Gallus_gallus
ENSBTAP00000022946	ENSBTAG00000017265	Bos_taurus
ENSMLUP00000014034	ENSMLUG00000015396	Myotis_lucifugus
ENSTRUP00000007946	ENSTRUG00000003390	Takifugu_rubripes
ENSMMMP00000027859	ENSMMMG00000024309	Marmota_marmota_marmota
ENSRBIP00000022842	ENSRBIG00000035358	Rhinopithecus_bieti
ENSMVIP00005007468	ENSMVIG00005005591	Manacus_vitellinus
ENSPTEP00000029593	ENSPTEG00000028980	Piliocolobus_tephrosceles
ENSLAFP00000025874	ENSLAFG00000016507	Loxodonta_africana
ENSXETP00000006815	ENSXETG00000008570	Xenopus_tropicalis
ENSGAFP00000010205	ENSGAFG00000006930	Gambusia_affinis
ENSPMGP00000028674	ENSPMGG00000023083	Periophthalmus_magnuspinnatus
