ENSCPRP00005003506	ENSCPRG00005002566	Crocodylus_porosus
ENSSDAP00000005235	ENSSDAG00000004892	Spermophilus_dauricus
ENSSTOP00000006937	ENSSTOG00000007760	Ictidomys_tridecemlineatus
ENSMMMP00000009458	ENSMMMG00000008447	Marmota_marmota_marmota
ENSODEP00000025372	ENSODEG00000018611	Octodon_degus
ENSODEP00000000852	ENSODEG00000000692	Octodon_degus
ENSCLAP00000010802	ENSCLAG00000007453	Chinchilla_lanigera
ENSCPOP00000030521	ENSCPOG00000037254	Cavia_porcellus
ENSCAPP00000008502	ENSCAPG00000010194	Cavia_aperea
ENSHGLP00000022799	ENSHGLG00000016261	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026178	ENSHGLG00100019206	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100015095	ENSHGLG00100011169	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000010391	ENSHGLG00000007459	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000028146	ENSHGLG00000020322	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100027491	ENSHGLG00100020583	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000007708	ENSFDAG00000016137	Fukomys_damarensis
ENSMSIP00000017695	ENSMSIG00000015105	Mus_spicilegus
ENSMUSP00000054745	ENSMUSG00000049969	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0063836	MGP_SPRETEiJ_G0026750	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0061409	MGP_CAROLIEiJ_G0025802	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0057080	MGP_PahariEiJ_G0023925	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000032124	ENSRNOG00000026662	Rattus_norvegicus
ENSMUGP00000002270	ENSMUGG00000002142	Meriones_unguiculatus
ENSPEMP00000014027	ENSPEMG00000013943	Peromyscus_maniculatus_bairdii
ENSMOCP00000003459	ENSMOCG00000002768	Microtus_ochrogaster
ENSCGRP00001004614	ENSCGRG00001005895	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000024638	ENSMAUG00000021429	Mesocricetus_auratus
ENSNGAP00000017408	ENSNGAG00000017849	Nannospalax_galili
ENSJJAP00000007574	ENSJJAG00000011954	Jaculus_jaculus
ENSDORP00000024678	ENSDORG00000027911	Dipodomys_ordii
ENSOPRP00000006475	ENSOPRG00000007083	Ochotona_princeps
ENSTBEP00000015067	ENSTBEG00000017340	Tupaia_belangeri
ENSMLUP00000011116	ENSMLUG00000012204	Myotis_lucifugus
ENSPVAP00000005358	ENSPVAG00000005668	Pteropus_vampyrus
ENSEEUP00000014405	ENSEEUG00000015778	Erinaceus_europaeus
ENSECAP00000039671	ENSECAG00000028275	Equus_caballus
ENSEASP00005004405	ENSEASG00005003325	Equus_asinus_asinus
ENSBTAP00000026087	ENSBTAG00000019581	Bos_taurus
ENSBMUP00000002986	ENSBMUG00000002369	Bos_mutus
ENSBIXP00005004512	ENSBIXG00005010404	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000036349	ENSBIXG00000019808	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000007946	ENSBBBG00000015951	Bison_bison_bison
ENSCHIP00000004969	ENSCHIG00000009121	Capra_hircus
ENSOARP00000015756	ENSOARG00000014688	Ovis_aries
ENSSSCP00000046950	ENSSSCG00000039549	Sus_scrofa_strain_reference
ENSTTRP00000010048	ENSTTRG00000010600	Tursiops_truncatus
ENSVPAP00000006109	ENSVPAG00000006578	Vicugna_pacos
ENSUAMP00000003765	ENSUAMG00000003469	Ursus_americanus
ENSUMAP00000022798	ENSUMAG00000016646	Ursus_maritimus
ENSAMEP00000021311	ENSAMEG00000020257	Ailuropoda_melanoleuca
ENSVVUP00000004025	ENSVVUG00000003164	Vulpes_vulpes
ENSCAFP00020012085	ENSCAFG00020009723	Canis_lupus_dingo
ENSNVIP00000002105	ENSNVIG00000001710	Neovison_vison
ENSMPUP00000018515	ENSMPUG00000018634	Mustela_putorius_furo
ENSPPRP00000026079	ENSPPRG00000016578	Panthera_pardus
ENSPTIP00000008054	ENSPTIG00000009526	Panthera_tigris_altaica
ENSFCAP00000018440	ENSFCAG00000025029	Felis_catus
ENSCHOP00000007035	ENSCHOG00000007956	Choloepus_hoffmanni
ENSDNOP00000010214	ENSDNOG00000013180	Dasypus_novemcinctus
ENSLAFP00000025612	ENSLAFG00000021700	Loxodonta_africana
ENSPCAP00000010417	ENSPCAG00000011231	Procavia_capensis
ENSMEUP00000003782	ENSMEUG00000004164	Notamacropus_eugenii
ENSPCIP00000038579	ENSPCIG00000028368	Phascolarctos_cinereus
ENSSHAP00000001001	ENSSHAG00000000896	Sarcophilus_harrisii
ENSMODP00000008663	ENSMODG00000006988	Monodelphis_domestica
ENSSARP00000008056	ENSSARG00000008918	Sorex_araneus
ENSXETP00000005894	ENSXETG00000009483	Xenopus_tropicalis
ENSLACP00000009813	ENSLACG00000008653	Latimeria_chalumnae
ENSSFOP00015018278	ENSSFOG00015011740	Scleropages_formosus	ENSSFOT00015018488
ENSPKIP00000014251	ENSPKIG00000001385	Paramormyrops_kingsleyae	ENSPKIT00000038690
ENSCHAP00000034596	ENSCHAG00000016451	Clupea_harengus
ENSDCDP00000010196	ENSDCDG00000005069	Denticeps_clupeoides
ENSEEEP00000049044	ENSEEEG00000023044	Electrophorus_electricus
ENSIPUP00000031016	ENSIPUG00000020922	Ictalurus_punctatus
ENSAMXP00005004844	ENSAMXG00005003050	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000027004	ENSAMXG00000026299	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000033746	ENSPNAG00000022588	Pygocentrus_nattereri
ENSDARP00000038743	ENSDARG00000021141	Danio_rerio
ENSPFOP00000020530	ENSPFOG00000020404	Poecilia_formosa
ENSPMEP00000015553	ENSPMEG00000018101	Poecilia_mexicana
ENSPLAP00000021719	ENSPLAG00000005689	Poecilia_latipinna
ENSPREP00000027274	ENSPREG00000018446	Poecilia_reticulata
ENSXCOP00000005732	ENSXCOG00000004466	Xiphophorus_couchianus
ENSXMAP00000019586	ENSXMAG00000019540	Xiphophorus_maculatus
ENSGAFP00000032154	ENSGAFG00000021646	Gambusia_affinis
ENSCVAP00000016865	ENSCVAG00000000512	Cyprinodon_variegatus
ENSFHEP00000013196	ENSFHEG00000014706	Fundulus_heteroclitus
ENSKMAP00000022125	ENSKMAG00000016431	Kryptolebias_marmoratus
ENSGWIP00000037103	ENSGWIG00000019068	Gouania_willdenowi
ENSCSEP00000000958	ENSCSEG00000000674	Cynoglossus_semilaevis
ENSLCRP00005050826	ENSLCRG00005019171	Larimichthys_crocea
ENSCGOP00000003065	ENSCGOG00000001614	Cottoperca_gobio
ENSSLDP00000002919	ENSSLDG00000002323	Seriola_lalandi_dorsalis
ENSSDUP00000020466	ENSSDUG00000014896	Seriola_dumerili
ENSLCAP00010019672	ENSLCAG00010009296	Lates_calcarifer
ENSSMAP00000029169	ENSSMAG00000017869	Scophthalmus_maximus
ENSGACP00000023448	ENSGACG00000017748	Gasterosteus_aculeatus
ENSLBEP00000024099	ENSLBEG00000018475	Labrus_bergylta
ENSMAMP00000027710	ENSMAMG00000018640	Mastacembelus_armatus
ENSAPEP00000004587	ENSAPEG00000003323	Amphiprion_percula
ENSAOCP00000006400	ENSAOCG00000010033	Amphiprion_ocellaris
ENSAPOP00000004335	ENSAPOG00000005948	Acanthochromis_polyacanthus
ENSSPAP00000003432	ENSSPAG00000002641	Stegastes_partitus
ENSPRNP00000006447	ENSPRNG00000003883	Parambassis_ranga
ENSORLP00000019262	ENSORLG00000015388	Oryzias_latipes_ASM223467v1
ENSORLP00020016174	ENSORLG00020017215	Oryzias_latipes_ASM223471v1
ENSORLP00015001695	ENSORLG00015000041	Oryzias_latipes_ASM223469v1
ENSOMEP00000020022	ENSOMEG00000021847	Oryzias_melastigma
ENSATEP00000029134	ENSATEG00000020094	Anabas_testudineus
ENSBSLP00000036306	ENSBSLG00000017752	Betta_splendens
ENSMALP00000007834	ENSMALG00000005585	Monopterus_albus
ENSMZEP00005011877	ENSMZEG00005008897	Maylandia_zebra
ENSACLP00000004158	ENSACLG00000002794	Astatotilapia_calliptera
ENSPNYP00000020438	ENSPNYG00000015469	Pundamilia_nyererei
ENSHBUP00000015098	ENSHBUG00000017005	Haplochromis_burtoni
ENSNBRP00000015474	ENSNBRG00000011981	Neolamprologus_brichardi
ENSONIP00000026260	ENSONIG00000020957	Oreochromis_niloticus
ENSACIP00000002335	ENSACIG00000001900	Amphilophus_citrinellus
ENSMMOP00000003853	ENSMMOG00000003086	Mola_mola
ENSTRUP00000018013	ENSTRUG00000007306	Takifugu_rubripes
ENSTNIP00000000024	ENSTNIG00000001194	Tetraodon_nigroviridis
ENSPMGP00000021835	ENSPMGG00000017687	Periophthalmus_magnuspinnatus
ENSHCOP00000020209	ENSHCOG00000006103	Hippocampus_comes
ENSHHUP00000050662	ENSHHUG00000030566	Hucho_hucho
ENSHHUP00000023919	ENSHHUG00000015014	Hucho_hucho
ENSELUP00000009084	ENSELUG00000009656	Esox_lucius
ENSLOCP00000022438	ENSLOCG00000018337	Lepisosteus_oculatus
ENSECRP00000031749	ENSECRG00000021506	Erpetoichthys_calabaricus
ENSCMIP00000006257	ENSCMIG00000003600	Callorhinchus_milii
ENSEBUP00000017677	ENSEBUG00000011048	Eptatretus_burgeri
ENSPMAP00000005422	ENSPMAG00000004943	Petromyzon_marinus
ENSCSAVP00000011589	ENSCSAVG00000006798	Ciona_savignyi
ENSCINP00000007285	ENSCING00000003542	Ciona_intestinalis
FBpp0308661	FBgn0025381	Drosophila_melanogaster
ZK632.12.1	WBGene00014019	Caenorhabditis_elegans_strain_N2
