ENSPFOP00000001819	ENSPFOG00000001751	Poecilia_formosa
ENSJJAP00000012544	ENSJJAG00000015548	Jaculus_jaculus
ENSACAP00000010983	ENSACAG00000011142	Anolis_carolinensis
ENSACIP00000021952	ENSACIG00000016769	Amphilophus_citrinellus
ENSVURP00010016783	ENSVURG00010012856	Vombatus_ursinus
ENSBMUP00000021311	ENSBMUG00000016017	Bos_mutus
ENSSSCP00000067530	ENSSSCG00000003776	Sus_scrofa_strain_reference
ENSGMOP00000002527	ENSGMOG00000002386	Gadus_morhua
ENSAMXP00005008606	ENSAMXG00005004541	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNSUP00000009987	ENSNSUG00000007609	Notechis_scutatus
ENSHGLP00000021264	ENSHGLG00000015192	Heterocephalus_glaber_HetGla_female_1.0
ENSCGRP00001013936	ENSCGRG00001014947	Cricetulus_griseus_CHOK1GS_HDv1
ENSBSLP00000049474	ENSBSLG00000023474	Betta_splendens
ENSODEP00000000868	ENSODEG00000000701	Octodon_degus
ENSNBRP00000020146	ENSNBRG00000015514	Neolamprologus_brichardi
ENSPMJP00000004441	ENSPMJG00000003835	Parus_major
ENSCGRP00000009478	ENSCGRG00000006925	Cricetulus_griseus_CriGri_1.0
ENSLBEP00000000826	ENSLBEG00000000648	Labrus_bergylta
ENSSLDP00000008947	ENSSLDG00000007081	Seriola_lalandi_dorsalis
ENSSDAP00000005071	ENSSDAG00000004740	Spermophilus_dauricus
ENSAMXP00000048276	ENSAMXG00000006276	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDCDP00000056386	ENSDCDG00000033069	Denticeps_clupeoides
ENSUMAP00000008347	ENSUMAG00000006369	Ursus_maritimus
ENSPREP00000027231	ENSPREG00000018349	Poecilia_reticulata
ENSRNOP00000013238	ENSRNOG00000009845	Rattus_norvegicus
ENSATEP00000026330	ENSATEG00000018222	Anabas_testudineus
ENSSDUP00000009468	ENSSDUG00000006946	Seriola_dumerili
ENSARWP00000016420	ENSARWG00000011305	Apteryx_rowi
