ENSCINP00000001600	ENSCING00000000878	Ciona_intestinalis
ENSMODP00000044523	ENSMODG00000046314	Monodelphis_domestica
ENSOANP00000018881	ENSOANG00000011912	Ornithorhynchus_anatinus
ENSXETP00000003855	ENSXETG00000004442	Xenopus_tropicalis	ENSXETT00000013638
ENSLACP00000018348	ENSLACG00000016160	Latimeria_chalumnae
ENSCMIP00000032556	ENSCMIG00000013918	Callorhinchus_milii
ENSPMAP00000003547	ENSPMAG00000003256	Petromyzon_marinus
ENSEBUP00000011901	ENSEBUG00000007616	Eptatretus_burgeri
FBpp0077345	FBgn0031504	Drosophila_melanogaster
FBpp0085407	FBgn0039970	Drosophila_melanogaster
YGR147C_mRNA	YGR147C	Saccharomyces_cerevisiae_strain_S288C
