ENSMAMP00000002158	ENSMAMG00000001522	Mastacembelus_armatus
ENSPTEP00000021659	ENSPTEG00000022665	Piliocolobus_tephrosceles
ENSRROP00000035767	ENSRROG00000041359	Rhinopithecus_roxellana
ENSRBIP00000017452	ENSRBIG00000032722	Rhinopithecus_bieti
ENSMMUP00000002598	ENSMMUG00000001943	Macaca_mulatta
ENSMNEP00000008529	ENSMNEG00000028748	Macaca_nemestrina
ENSMFAP00000019984	ENSMFAG00000032955	Macaca_fascicularis
ENSTGEP00000004249	ENSTGEG00000003552	Theropithecus_gelada
ENSPANP00000003928	ENSPANG00000023889	Papio_anubis
ENSMLEP00000025829	ENSMLEG00000037109	Mandrillus_leucophaeus
ENSCATP00000012791	ENSCATG00000030534	Cercocebus_atys
ENSCSAP00000003125	ENSCSAG00000006883	Chlorocebus_sabaeus
ENSSBOP00000009514	ENSSBOG00000021613	Saimiri_boliviensis_boliviensis
ENSCCAP00000025931	ENSCCAG00000030750	Cebus_capucinus_imitator
ENSCJAP00000017262	ENSCJAG00000009359	Callithrix_jacchus
ENSANAP00000014638	ENSANAG00000025209	Aotus_nancymaae
ENSTSYP00000012793	ENSTSYG00000013932	Carlito_syrichta
ENSMICP00000051391	ENSMICG00000049492	Microcebus_murinus
ENSMICP00000039297	ENSMICG00000030676	Microcebus_murinus
ENSPCOP00000023664	ENSPCOG00000023974	Propithecus_coquereli
ENSOGAP00000012379	ENSOGAG00000013816	Otolemur_garnettii
ENSTBEP00000003804	ENSTBEG00000004376	Tupaia_belangeri
ENSODEP00000007289	ENSODEG00000005444	Octodon_degus
ENSCLAP00000015362	ENSCLAG00000010574	Chinchilla_lanigera
ENSCAPP00000015904	ENSCAPG00000015913	Cavia_aperea
ENSCPOP00000032645	ENSCPOG00000031676	Cavia_porcellus
ENSHGLP00100024980	ENSHGLG00100018334	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000022663	ENSHGLG00000016163	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000009243	ENSFDAG00000017294	Fukomys_damarensis
ENSSTOP00000000266	ENSSTOG00000000297	Ictidomys_tridecemlineatus
ENSUPAP00010024898	ENSUPAG00010019710	Urocitellus_parryii
ENSSDAP00000013499	ENSSDAG00000012132	Spermophilus_dauricus
ENSMMMP00000012140	ENSMMMG00000010807	Marmota_marmota_marmota
ENSMSIP00000004867	ENSMSIG00000004426	Mus_spicilegus
MGP_SPRETEiJ_P0043546	MGP_SPRETEiJ_G0021660	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000036739	ENSMUSG00000036292	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0041669	MGP_CAROLIEiJ_G0020761	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0029051	MGP_PahariEiJ_G0016461	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000069253	ENSRNOG00000053406	Rattus_norvegicus
ENSMUGP00000003431	ENSMUGG00000003200	Meriones_unguiculatus
ENSMUGP00000003896	ENSMUGG00000003575	Meriones_unguiculatus
ENSCGRP00001005374	ENSCGRG00001007059	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000015024	ENSCGRG00000010889	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015020398	ENSCGRG00015015477	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000015332	ENSMAUG00000014828	Mesocricetus_auratus
ENSMOCP00000018602	ENSMOCG00000016847	Microtus_ochrogaster
ENSPEMP00000010546	ENSPEMG00000011495	Peromyscus_maniculatus_bairdii
ENSNGAP00000019786	ENSNGAG00000019482	Nannospalax_galili
ENSJJAP00000002932	ENSJJAG00000005414	Jaculus_jaculus
ENSCCNP00000010853	ENSCCNG00000011243	Castor_canadensis
ENSDORP00000004023	ENSDORG00000004305	Dipodomys_ordii
ENSOCUP00000013242	ENSOCUG00000015407	Oryctolagus_cuniculus
ENSOPRP00000013102	ENSOPRG00000014342	Ochotona_princeps
ENSMLUP00000019393	ENSMLUG00000030288	Myotis_lucifugus
ENSSARP00000005878	ENSSARG00000006460	Sorex_araneus
ENSCHIP00000017064	ENSCHIG00000017003	Capra_hircus
ENSOARP00000020961	ENSOARG00000019513	Ovis_aries
ENSBIXP00005033056	ENSBIXG00005013734	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000038045	ENSBIXG00000021768	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000006545	ENSBTAG00000004971	Bos_taurus
ENSBMUP00000020952	ENSBMUG00000015773	Bos_mutus
ENSBBBP00000008223	ENSBBBG00000016223	Bison_bison_bison
ENSTTRP00000000164	ENSTTRG00000000177	Tursiops_truncatus
ENSSSCP00000012695	ENSSSCG00000011915	Sus_scrofa_strain_reference
ENSVPAP00000011129	ENSVPAG00000011959	Vicugna_pacos
ENSEEUP00000004616	ENSEEUG00000005031	Erinaceus_europaeus
ENSUMAP00000000412	ENSUMAG00000000169	Ursus_maritimus
ENSUAMP00000011351	ENSUAMG00000009244	Ursus_americanus
ENSAMEP00000005609	ENSAMEG00000005286	Ailuropoda_melanoleuca
ENSMPUP00000000282	ENSMPUG00000000284	Mustela_putorius_furo
ENSNVIP00000017827	ENSNVIG00000013951	Neovison_vison
ENSCAFP00000015810	ENSCAFG00000010735	Canis_lupus_familiaris
ENSCAFP00020008668	ENSCAFG00020006990	Canis_lupus_dingo
ENSVVUP00000030337	ENSVVUG00000022122	Vulpes_vulpes
ENSPPRP00000012215	ENSPPRG00000005834	Panthera_pardus
ENSPTIP00000024817	ENSPTIG00000020780	Panthera_tigris_altaica
ENSFCAP00000018763	ENSFCAG00000025912	Felis_catus
ENSPVAP00000008035	ENSPVAG00000008508	Pteropus_vampyrus
ENSMLUP00000003945	ENSMLUG00000004324	Myotis_lucifugus
ENSECAP00000015727	ENSECAG00000018023	Equus_caballus
ENSEASP00005017946	ENSEASG00005012377	Equus_asinus_asinus
ENSLAFP00000011890	ENSLAFG00000014197	Loxodonta_africana
ENSPCAP00000010450	ENSPCAG00000011142	Procavia_capensis
ENSETEP00000008047	ENSETEG00000009906	Echinops_telfairi
ENSCHOP00000007371	ENSCHOG00000008332	Choloepus_hoffmanni
ENSDNOP00000002748	ENSDNOG00000003554	Dasypus_novemcinctus
ENSOANP00000007681	ENSOANG00000004847	Ornithorhynchus_anatinus
ENSXETP00000023619	ENSXETG00000004980	Xenopus_tropicalis
ENSLACP00000005578	ENSLACG00000004958	Latimeria_chalumnae
ENSCMIP00000033333	ENSCMIG00000014225	Callorhinchus_milii
