ENSOANP00000026603	ENSOANG00000020909	Ornithorhynchus_anatinus	ENSOANT00000030405
ENSOANP00000015164	ENSOANG00000009551	Ornithorhynchus_anatinus	ENSOANT00000015167
ENSCHOP00000008163	ENSCHOG00000009229	Choloepus_hoffmanni	ENSCHOT00000009251
ENSDNOP00000009984	ENSDNOG00000012879	Dasypus_novemcinctus	ENSDNOT00000012872
ENSGGOP00000005579	ENSGGOG00000005700	Gorilla_gorilla	ENSGGOT00000005724
ENSP00000298527	ENSG00000165682	Homo_sapiens	ENST00000298527
ENSPPAP00000019385	ENSPPAG00000032879	Pan_paniscus	ENSPPAT00000042146
ENSPTRP00000007972	ENSPTRG00000004664	Pan_troglodytes	ENSPTRT00000008628
ENSPPYP00000004862	ENSPPYG00000004263	Pongo_abelii	ENSPPYT00000005053
ENSNLEP00000003756	ENSNLEG00000003077	Nomascus_leucogenys	ENSNLET00000003942
ENSRBIP00000020501	ENSRBIG00000034234	Rhinopithecus_bieti	ENSRBIT00000044383
ENSRROP00000037865	ENSRROG00000042348	Rhinopithecus_roxellana	ENSRROT00000062337
ENSPTEP00000007073	ENSPTEG00000008074	Piliocolobus_tephrosceles	ENSPTET00000010831
ENSCANP00000013460	ENSCANG00000030148	Colobus_angolensis_palliatus
ENSFCAP00000003980	ENSFCAG00000004314	Felis_catus
ENSMLUP00000010620	ENSMLUG00000011657	Myotis_lucifugus
ENSEEUP00000003359	ENSEEUG00000003706	Erinaceus_europaeus
ENSLAFP00000010105	ENSLAFG00000012090	Loxodonta_africana
ENSETEP00000013448	ENSETEG00000016576	Echinops_telfairi
ENSPCIP00000020083	ENSPCIG00000015305	Phascolarctos_cinereus
ENSVURP00010009710	ENSVURG00010007520	Vombatus_ursinus
ENSMEUP00000002747	ENSMEUG00000003005	Notamacropus_eugenii
ENSMODP00000052138	ENSMODG00000045061	Monodelphis_domestica
ENSSHAP00000009857	ENSSHAG00000008536	Sarcophilus_harrisii
