ENSPMAP00000005654	ENSPMAG00000005139	Petromyzon_marinus	ENSPMAT00000005678
ENSEBUP00000011972	ENSEBUG00000007650	Eptatretus_burgeri	ENSEBUT00000012548
ENSPMAP00000000225	ENSPMAG00000000201	Petromyzon_marinus	ENSPMAT00000000225
ENSMICP00000035346	ENSMICG00000012001	Microcebus_murinus	ENSMICT00000052795
ENSPSMP00000000783	ENSPSMG00000000569	Prolemur_simus	ENSPSMT00000000890
ENSPCOP00000031248	ENSPCOG00000028383	Propithecus_coquereli	ENSPCOT00000042202
ENSOGAP00000004423	ENSOGAG00000004952	Otolemur_garnettii
ENSCGRP00001016575	ENSCGRG00001016835	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000000695	ENSCGRG00000000577	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015003678	ENSCGRG00015002841	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000018199	ENSMAUG00000016836	Mesocricetus_auratus
ENSMOCP00000014681	ENSMOCG00000014097	Microtus_ochrogaster
ENSPEMP00000002429	ENSPEMG00000002538	Peromyscus_maniculatus_bairdii
ENSNGAP00000021471	ENSNGAG00000020615	Nannospalax_galili
ENSJJAP00000018396	ENSJJAG00000019671	Jaculus_jaculus
ENSJJAP00000011446	ENSJJAG00000014767	Jaculus_jaculus
ENSODEP00000006135	ENSODEG00000004607	Octodon_degus
ENSCLAP00000016554	ENSCLAG00000011382	Chinchilla_lanigera
ENSCPOP00000026012	ENSCPOG00000027042	Cavia_porcellus
ENSCAPP00000001060	ENSCAPG00000001620	Cavia_aperea
ENSHGLP00100001007	ENSHGLG00100000810	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000008053	ENSHGLG00000005833	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000003087	ENSFDAG00000012640	Fukomys_damarensis
ENSSDAP00000000662	ENSSDAG00000000626	Spermophilus_dauricus
ENSUPAP00010010057	ENSUPAG00010008109	Urocitellus_parryii
ENSSTOP00000016126	ENSSTOG00000021805	Ictidomys_tridecemlineatus
ENSMMMP00000010808	ENSMMMG00000009584	Marmota_marmota_marmota
ENSOCUP00000010436	ENSOCUG00000012126	Oryctolagus_cuniculus
ENSOPRP00000011946	ENSOPRG00000013079	Ochotona_princeps
ENSOARP00000003748	ENSOARG00000003504	Ovis_aries
ENSCHIP00000019254	ENSCHIG00000018310	Capra_hircus
ENSBIXP00005003782	ENSBIXG00005009939	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000015817	ENSBIXG00000020199	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000069261	ENSBTAG00000026962	Bos_taurus
ENSBMUP00000033151	ENSBMUG00000024756	Bos_mutus
ENSBBBP00000003366	ENSBBBG00000012410	Bison_bison_bison
ENSTTRP00000015935	ENSTTRG00000016808	Tursiops_truncatus
ENSVPAP00000003944	ENSVPAG00000004244	Vicugna_pacos
ENSSSCP00000071218	ENSSSCG00000000466	Sus_scrofa_strain_reference
ENSECAP00000016204	ENSECAG00000018336	Equus_caballus
ENSEASP00005010916	ENSEASG00005007701	Equus_asinus_asinus
ENSPVAP00000007753	ENSPVAG00000008199	Pteropus_vampyrus
ENSMLUP00000019746	ENSMLUG00000009664	Myotis_lucifugus
ENSUMAP00000028068	ENSUMAG00000020382	Ursus_maritimus
ENSUAMP00000021827	ENSUAMG00000017168	Ursus_americanus
ENSAMEP00000019141	ENSAMEG00000018109	Ailuropoda_melanoleuca
ENSMPUP00000017417	ENSMPUG00000017529	Mustela_putorius_furo
ENSNVIP00000010776	ENSNVIG00000008471	Neovison_vison
ENSCAFP00000000504	ENSCAFG00000000352	Canis_lupus_familiaris
ENSCAFP00020024846	ENSCAFG00020019527	Canis_lupus_dingo
ENSVVUP00000020386	ENSVVUG00000015001	Vulpes_vulpes
ENSPPRP00000011815	ENSPPRG00000005552	Panthera_pardus
ENSPTIP00000026766	ENSPTIG00000022072	Panthera_tigris_altaica
ENSFCAP00000011468	ENSFCAG00000012360	Felis_catus
ENSEEUP00000008899	ENSEEUG00000009700	Erinaceus_europaeus
ENSSARP00000005280	ENSSARG00000005789	Sorex_araneus
ENSLAFP00000023752	ENSLAFG00000009829	Loxodonta_africana
ENSPCAP00000001536	ENSPCAG00000001574	Procavia_capensis
ENSETEP00000002446	ENSETEG00000002981	Echinops_telfairi
ENSCHOP00000000254	ENSCHOG00000000288	Choloepus_hoffmanni
ENSTSYP00000008115	ENSTSYG00000008852	Carlito_syrichta
ENSVURP00010031685	ENSVURG00010024217	Vombatus_ursinus	ENSVURT00010036086
ENSPCIP00000040561	ENSPCIG00000029686	Phascolarctos_cinereus	ENSPCIT00000049960
ENSMEUP00000014658	ENSMEUG00000016032	Notamacropus_eugenii	ENSMEUT00000016086
ENSSHAP00000008122	ENSSHAG00000007043	Sarcophilus_harrisii	ENSSHAT00000008189
ENSOANP00000017324	ENSOANG00000010932	Ornithorhynchus_anatinus
ENSAOWP00000008440	ENSAOWG00000005807	Apteryx_owenii
ENSAHAP00000019721	ENSAHAG00000013930	Apteryx_haastii
ENSARWP00000004477	ENSARWG00000003269	Apteryx_rowi
ENSDNVP00000011902	ENSDNVG00000008398	Dromaius_novaehollandiae
ENSNPEP00000014148	ENSNPEG00000010582	Nothoprocta_perdicaria
ENSGALP00000015971	ENSGALG00000009835	Gallus_gallus
ENSCJPP00005019384	ENSCJPG00005015714	Coturnix_japonica
ENSMGAP00000010599	ENSMGAG00000010208	Meleagris_gallopavo
ENSNMEP00000013466	ENSNMEG00000012283	Numida_meleagris
ENSAPLP00000029197	ENSAPLG00000008073	Anas_platyrhynchos_platyrhynchos
ENSABRP00000008459	ENSABRG00000007604	Anser_brachyrhynchus
ENSLSDP00000022809	ENSLSDG00000016101	Lonchura_striata_domestica
ENSTGUP00000006654	ENSTGUG00000006459	Taeniopygia_guttata
ENSSCAP00000003239	ENSSCAG00000002741	Serinus_canaria
ENSJHYP00000007596	ENSJHYG00000005291	Junco_hyemalis
ENSZALP00000011567	ENSZALG00000009754	Zonotrichia_albicollis
ENSFALP00000010365	ENSFALG00000009938	Ficedula_albicollis
ENSPMJP00000016675	ENSPMJG00000012592	Parus_major
ENSCCEP00000009763	ENSCCEG00000009880	Cyanistes_caeruleus
ENSMVIP00005006587	ENSMVIG00005004989	Manacus_vitellinus
ENSLCOP00000020586	ENSLCOG00000014568	Lepidothrix_coronata
ENSCPGP00000011875	ENSCPGG00000008469	Calidris_pygmaea
ENSCPUP00000006578	ENSCPUG00000004778	Calidris_pugnax
ENSMUNP00000001445	ENSMUNG00000001228	Melopsittacus_undulatus
ENSCPRP00005010693	ENSCPRG00005007647	Crocodylus_porosus
ENSGAGP00000031945	ENSGAGG00000022917	Gopherus_agassizii
ENSCABP00000014858	ENSCABG00000010680	Chelonoidis_abingdonii
ENSCPBP00000001263	ENSCPBG00000001003	Chrysemys_picta_bellii
ENSPSIP00000008199	ENSPSIG00000007346	Pelodiscus_sinensis
ENSPVIP00000005888	ENSPVIG00000004814	Pogona_vitticeps
ENSACAP00000003112	ENSACAG00000003154	Anolis_carolinensis
ENSNSUP00000007065	ENSNSUG00000005054	Notechis_scutatus
ENSSMRP00000020696	ENSSMRG00000016099	Salvator_merianae
ENSSPUP00000012787	ENSSPUG00000009837	Sphenodon_punctatus
ENSXETP00000012672	ENSXETG00000014030	Xenopus_tropicalis
ENSLACP00000016294	ENSLACG00000014355	Latimeria_chalumnae
ENSPKIP00000015152	ENSPKIG00000001935	Paramormyrops_kingsleyae
ENSSFOP00015001252	ENSSFOG00015000827	Scleropages_formosus
ENSTRUP00000055627	ENSTRUG00000022741	Takifugu_rubripes
ENSPMGP00000020591	ENSPMGG00000016668	Periophthalmus_magnuspinnatus
ENSSPAP00000005959	ENSSPAG00000004617	Stegastes_partitus
ENSFHEP00000008417	ENSFHEG00000009648	Fundulus_heteroclitus
ENSCVAP00000031281	ENSCVAG00000020453	Cyprinodon_variegatus
ENSPFOP00000002905	ENSPFOG00000002834	Poecilia_formosa
ENSPLAP00000014076	ENSPLAG00000017684	Poecilia_latipinna
ENSPMEP00000004936	ENSPMEG00000006259	Poecilia_mexicana
ENSPREP00000027409	ENSPREG00000018505	Poecilia_reticulata
ENSXMAP00000002856	ENSXMAG00000002827	Xiphophorus_maculatus
ENSXCOP00000015817	ENSXCOG00000011945	Xiphophorus_couchianus
ENSGAFP00000006130	ENSGAFG00000004150	Gambusia_affinis
ENSKMAP00000025856	ENSKMAG00000019126	Kryptolebias_marmoratus
ENSORLP00000024949	ENSORLG00000020105	Oryzias_latipes_ASM223467v1
ENSORLP00015002317	ENSORLG00015003002	Oryzias_latipes_ASM223469v1
ENSORLP00020002987	ENSORLG00020003770	Oryzias_latipes_ASM223471v1
ENSOMEP00000034581	ENSOMEG00000021300	Oryzias_melastigma
ENSGWIP00000030105	ENSGWIG00000015675	Gouania_willdenowi
ENSTNIP00000005033	ENSTNIG00000002483	Tetraodon_nigroviridis
ENSGACP00000000759	ENSGACG00000000589	Gasterosteus_aculeatus
ENSHCOP00000020365	ENSHCOG00000006415	Hippocampus_comes
ENSLCRP00005033758	ENSLCRG00005013248	Larimichthys_crocea
ENSCGOP00000040570	ENSCGOG00000018489	Cottoperca_gobio
ENSMAMP00000030716	ENSMAMG00000020690	Mastacembelus_armatus
ENSSDUP00000017182	ENSSDUG00000012514	Seriola_dumerili
ENSSLDP00000025072	ENSSLDG00000019497	Seriola_lalandi_dorsalis
ENSLCAP00010044932	ENSLCAG00010020874	Lates_calcarifer
ENSPRNP00000041682	ENSPRNG00000020426	Parambassis_ranga
ENSSMAP00000008467	ENSSMAG00000005164	Scophthalmus_maximus
ENSCSEP00000006163	ENSCSEG00000003973	Cynoglossus_semilaevis
ENSAPEP00000034759	ENSAPEG00000024660	Amphiprion_percula
ENSAPEP00000034810	ENSAPEG00000024714	Amphiprion_percula
ENSAOCP00000002566	ENSAOCG00000005711	Amphiprion_ocellaris
ENSAPOP00000000184	ENSAPOG00000001362	Acanthochromis_polyacanthus
ENSLBEP00000000229	ENSLBEG00000000178	Labrus_bergylta
ENSATEP00000001052	ENSATEG00000000675	Anabas_testudineus
ENSACLP00000012349	ENSACLG00000008404	Astatotilapia_calliptera
ENSMZEP00005025400	ENSMZEG00005018955	Maylandia_zebra
ENSPNYP00000030177	ENSPNYG00000022747	Pundamilia_nyererei
ENSHBUP00000033590	ENSHBUG00000020681	Haplochromis_burtoni
ENSNBRP00000022385	ENSNBRG00000017136	Neolamprologus_brichardi
ENSONIP00000009418	ENSONIG00000007471	Oreochromis_niloticus
ENSACIP00000011606	ENSACIG00000009016	Amphilophus_citrinellus
ENSMMOP00000007664	ENSMMOG00000005960	Mola_mola
ENSMALP00000010602	ENSMALG00000007523	Monopterus_albus
ENSBSLP00000003701	ENSBSLG00000001958	Betta_splendens
ENSGMOP00000020301	ENSGMOG00000018888	Gadus_morhua
ENSELUP00000008676	ENSELUG00000009337	Esox_lucius
ENSCHAP00000006090	ENSCHAG00000003782	Clupea_harengus
ENSDCDP00000057194	ENSDCDG00000033451	Denticeps_clupeoides
ENSIPUP00000022685	ENSIPUG00000015271	Ictalurus_punctatus
ENSEEEP00000003184	ENSEEEG00000000992	Electrophorus_electricus
ENSAMXP00005027296	ENSAMXG00005012683	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000013936	ENSAMXG00000013542	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000002767	ENSPNAG00000009140	Pygocentrus_nattereri
ENSDARP00000138742	ENSDARG00000099652	Danio_rerio
ENSLOCP00000020399	ENSLOCG00000016512	Lepisosteus_oculatus
ENSECRP00000011680	ENSECRG00000007727	Erpetoichthys_calabaricus
ENSCMIP00000018664	ENSCMIG00000008640	Callorhinchus_milii
ENSCINP00000024224	ENSCING00000013139	Ciona_intestinalis
ENSCINP00000024232	ENSCING00000013145	Ciona_intestinalis
ENSCSAVP00000002822	ENSCSAVG00000001681	Ciona_savignyi
C49H3.10b.1	WBGene00002080	Caenorhabditis_elegans_strain_N2
YKL205W_mRNA	YKL205W	Saccharomyces_cerevisiae_strain_S288C
