ENSNSUP00000011210	ENSNSUG00000008466	Notechis_scutatus	ENSNSUT00000011950
ENSXMAP00000001445	ENSXMAG00000001425	Xiphophorus_maculatus
ENSPPYP00000006329	ENSPPYG00000005560	Pongo_abelii
ENSOARP00000021248	ENSOARG00000019785	Ovis_aries
ENSFCAP00000003545	ENSFCAG00000003844	Felis_catus
ENSCANP00000027207	ENSCANG00000037021	Colobus_angolensis_palliatus
ENSAPOP00000028316	ENSAPOG00000013446	Acanthochromis_polyacanthus
ENSSPUP00000001544	ENSSPUG00000001207	Sphenodon_punctatus	ENSSPUT00000001632
ENSCINP00000002615	ENSCING00000020430	Ciona_intestinalis
ENSPMGP00000023114	ENSPMGG00000018706	Periophthalmus_magnuspinnatus
ENSMFAP00000008404	ENSMFAG00000001282	Macaca_fascicularis
ENSHGLP00100015377	ENSHGLG00100011365	Heterocephalus_glaber_HetGla_1.0
ENSJJAP00000000261	ENSJJAG00000000234	Jaculus_jaculus
ENSCVAP00000023815	ENSCVAG00000007455	Cyprinodon_variegatus
MGP_CAROLIEiJ_P0036466	MGP_CAROLIEiJ_G0019202	Mus_caroli_strain_CAROLI_EIJ
ENSORLP00000009054	ENSORLG00000007218	Oryzias_latipes_ASM223467v1
ENSPMEP00000030184	ENSPMEG00000016410	Poecilia_mexicana
ENSMMOP00000016695	ENSMMOG00000012721	Mola_mola
ENSCCNP00000027571	ENSCCNG00000026639	Castor_canadensis
ENSCPBP00000012332	ENSCPBG00000009319	Chrysemys_picta_bellii
ENSMICP00000008561	ENSMICG00000009403	Microcebus_murinus
ENSGACP00000025434	ENSGACG00000019234	Gasterosteus_aculeatus
ENSBMUP00000017301	ENSBMUG00000013074	Bos_mutus
ENSUAMP00000018424	ENSUAMG00000014597	Ursus_americanus
ENSDCDP00000040280	ENSDCDG00000026526	Denticeps_clupeoides
ENSPPAP00000028436	ENSPPAG00000037251	Pan_paniscus
ENSCGRP00001011475	ENSCGRG00001013106	Cricetulus_griseus_CHOK1GS_HDv1
ENSHHUP00000002204	ENSHHUG00000001433	Hucho_hucho
ENSSBOP00000026017	ENSSBOG00000029461	Saimiri_boliviensis_boliviensis
ENSLAFP00000002072	ENSLAFG00000002482	Loxodonta_africana
ENSGAGP00000022285	ENSGAGG00000016369	Gopherus_agassizii	ENSGAGT00000025397
ENSATEP00000001684	ENSATEG00000001222	Anabas_testudineus
ENSRROP00000022931	ENSRROG00000035322	Rhinopithecus_roxellana
ENSCJAP00000018371	ENSCJAG00000009975	Callithrix_jacchus
ENSRNOP00000011741	ENSRNOG00000008850	Rattus_norvegicus
ENSODEP00000002745	ENSODEG00000002121	Octodon_degus
ENSTRUP00000039367	ENSTRUG00000015399	Takifugu_rubripes
ENSOCUP00000004632	ENSOCUG00000005343	Oryctolagus_cuniculus
ENSEASP00005025594	ENSEASG00005017444	Equus_asinus_asinus
ENSPSMP00000029360	ENSPSMG00000020386	Prolemur_simus
ENSCAFP00020017892	ENSCAFG00020014333	Canis_lupus_dingo
ENSSMAP00000010191	ENSSMAG00000006280	Scophthalmus_maximus
ENSMLUP00000013935	ENSMLUG00000015292	Myotis_lucifugus
ENSCGOP00000024098	ENSCGOG00000011444	Cottoperca_gobio
ENSGAGP00000006692	ENSGAGG00000005397	Gopherus_agassizii	ENSGAGT00000007770
ENSCPOP00000008090	ENSCPOG00000009008	Cavia_porcellus
ENSMAUP00000020771	ENSMAUG00000018717	Mesocricetus_auratus
ENSNLEP00000012916	ENSNLEG00000010573	Nomascus_leucogenys
ENSCSAVP00000006458	ENSCSAVG00000003869	Ciona_savignyi
ENSELUP00000025836	ENSELUG00000024492	Esox_lucius
ENSSDUP00000008360	ENSSDUG00000006134	Seriola_dumerili
ENSMOCP00000002562	ENSMOCG00000002006	Microtus_ochrogaster
MGP_SPRETEiJ_P0038184	MGP_SPRETEiJ_G0020094	Mus_spretus_strain_SPRET/EiJ
ENSBIXP00000018126	ENSBIXG00000022013	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSMRP00000008263	ENSSMRG00000006620	Salvator_merianae	ENSSMRT00000009643
ENSPSIP00000012053	ENSPSIG00000010813	Pelodiscus_sinensis
MGP_PahariEiJ_P0084584	MGP_PahariEiJ_G0030225	Mus_pahari_strain_PAHARI_EIJ
ENSUPAP00010010178	ENSUPAG00010008220	Urocitellus_parryii
ENSVPAP00000005491	ENSVPAG00000005914	Vicugna_pacos
ENSPNAP00000005735	ENSPNAG00000001978	Pygocentrus_nattereri
ENSEEEP00000042087	ENSEEEG00000019880	Electrophorus_electricus
ENSEEUP00000008044	ENSEEUG00000008840	Erinaceus_europaeus
ENSCATP00000018691	ENSCATG00000033166	Cercocebus_atys
ENSACAP00000008489	ENSACAG00000008636	Anolis_carolinensis	ENSACAT00000008671
ENSMODP00000008980	ENSMODG00000007245	Monodelphis_domestica
ENSPTRP00000068929	ENSPTRG00000006086	Pan_troglodytes
ENSGGOP00000000363	ENSGGOG00000000370	Gorilla_gorilla
ENSAOCP00000007069	ENSAOCG00000010776	Amphiprion_ocellaris
ENSONIP00000011729	ENSONIG00000009332	Oreochromis_niloticus
ENSSPAP00000017867	ENSSPAG00000013476	Stegastes_partitus
ENSSDAP00000011294	ENSSDAG00000010192	Spermophilus_dauricus
ENSHBUP00000017656	ENSHBUG00000019709	Haplochromis_burtoni
ENSPNYP00000028615	ENSPNYG00000021540	Pundamilia_nyererei
ENSECRP00000007126	ENSECRG00000004750	Erpetoichthys_calabaricus
ENSPTEP00000014560	ENSPTEG00000016255	Piliocolobus_tephrosceles
