ENSPVAP00000007173	ENSPVAG00000007593	Pteropus_vampyrus	ENSPVAT00000007597
ENSEEUP00000013579	ENSEEUG00000014861	Erinaceus_europaeus	ENSEEUT00000014879
ENSPPAP00000032788	ENSPPAG00000039253	Pan_paniscus
ENSGMOP00000006279	ENSGMOG00000005886	Gadus_morhua
ENSHHUP00000023148	ENSHHUG00000014516	Hucho_hucho
ENSHHUP00000059745	ENSHHUG00000035464	Hucho_hucho
ENSELUP00000022828	ENSELUG00000021770	Esox_lucius
ENSDCDP00000061763	ENSDCDG00000035153	Denticeps_clupeoides
ENSLOCP00000000308	ENSLOCG00000000279	Lepisosteus_oculatus
ENSECRP00000014973	ENSECRG00000009981	Erpetoichthys_calabaricus
ENSCMIP00000003045	ENSCMIG00000001795	Callorhinchus_milii
ENSPMAP00000000081	ENSPMAG00000000074	Petromyzon_marinus
ENSEBUP00000017218	ENSEBUG00000010764	Eptatretus_burgeri
