ENSMMMP00000004929	ENSMMMG00000004506	Marmota_marmota_marmota
ENSGALP00000006792	ENSGALG00000004279	Gallus_gallus
ENSSSCP00000065821	ENSSSCG00000007569	Sus_scrofa_strain_reference
ENSOARP00000005438	ENSOARG00000005071	Ovis_aries
ENSODEP00000016916	ENSODEG00000012470	Octodon_degus
ENSBBBP00000008085	ENSBBBG00000016081	Bison_bison_bison
ENSMUNP00000005601	ENSMUNG00000004587	Melopsittacus_undulatus	ENSMUNT00000006491
ENSSBOP00000029648	ENSSBOG00000031134	Saimiri_boliviensis_boliviensis
ENSMFAP00000018899	ENSMFAG00000032493	Macaca_fascicularis
ENSMGAP00000002365	ENSMGAG00000002754	Meleagris_gallopavo
ENSPMJP00000023526	ENSPMJG00000017370	Parus_major	ENSPMJT00000030548
ENSBIXP00005014609	ENSBIXG00005003005	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOGAP00000022034	ENSOGAG00000030992	Otolemur_garnettii
ENSMNEP00000014854	ENSMNEG00000031563	Macaca_nemestrina
ENSTSYP00000024946	ENSTSYG00000029451	Carlito_syrichta
ENSCAPP00000001744	ENSCAPG00000003679	Cavia_aperea
ENSXETP00000005198	ENSXETG00000010042	Xenopus_tropicalis
ENSTSYP00000023228	ENSTSYG00000037535	Carlito_syrichta
ENSCAFP00000039993	ENSCAFG00000016403	Canis_lupus_familiaris
ENSDARP00000049686	ENSDARG00000033382	Danio_rerio
ENSPTRP00000074634	ENSPTRG00000051414	Pan_troglodytes
ENSEASP00005031096	ENSEASG00005021177	Equus_asinus_asinus
ENSPTRP00000070432	ENSPTRG00000045710	Pan_troglodytes
ENSAHAP00000013437	ENSAHAG00000009664	Apteryx_haastii	ENSAHAT00000014894
ENSMVIP00005003020	ENSMVIG00005002360	Manacus_vitellinus	ENSMVIT00005003454
ENSCCEP00000025469	ENSCCEG00000022479	Cyanistes_caeruleus	ENSCCET00000037990
ENSARWP00000026060	ENSARWG00000017695	Apteryx_rowi	ENSARWT00000029492
ENSANAP00000009284	ENSANAG00000022642	Aotus_nancymaae
ENSRNOP00000001686	ENSRNOG00000001251	Rattus_norvegicus
ENSMICP00000021614	ENSMICG00000033746	Microcebus_murinus
ENSSTOP00000020219	ENSSTOG00000022574	Ictidomys_tridecemlineatus
ENSAMXP00005032074	ENSAMXG00005015673	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCHAP00000060433	ENSCHAG00000027032	Clupea_harengus
ENSCGRP00000015786	ENSCGRG00000011450	Cricetulus_griseus_CriGri_1.0
ENSLSDP00000001387	ENSLSDG00000001092	Lonchura_striata_domestica
ENSVVUP00000007130	ENSVVUG00000005430	Vulpes_vulpes
ENSPNAP00000015595	ENSPNAG00000021643	Pygocentrus_nattereri
ENSSFOP00015008877	ENSSFOG00015005785	Scleropages_formosus
ENSCJPP00005017337	ENSCJPG00005014174	Coturnix_japonica
ENSCGRP00001023574	ENSCGRG00001021767	Cricetulus_griseus_CHOK1GS_HDv1
ENSUAMP00000000720	ENSUAMG00000000709	Ursus_americanus
ENSMUGP00000030350	ENSMUGG00000025205	Meriones_unguiculatus
ENSMAUP00000004995	ENSMAUG00000006756	Mesocricetus_auratus
ENSPEMP00000026670	ENSPEMG00000022703	Peromyscus_maniculatus_bairdii
ENSPTIP00000012863	ENSPTIG00000012787	Panthera_tigris_altaica
ENSPSMP00000030109	ENSPSMG00000020889	Prolemur_simus
ENSPCIP00000012672	ENSPCIG00000010088	Phascolarctos_cinereus
ENSSDAP00000017481	ENSSDAG00000015886	Spermophilus_dauricus
ENSNPEP00000001936	ENSNPEG00000001501	Nothoprocta_perdicaria	ENSNPET00000001975
ENSMOCP00000017823	ENSMOCG00000016296	Microtus_ochrogaster
ENSCLAP00000007938	ENSCLAG00000005569	Chinchilla_lanigera
ENSNGAP00000015180	ENSNGAG00000016279	Nannospalax_galili
ENSAPLP00000001839	ENSAPLG00000002408	Anas_platyrhynchos_platyrhynchos
ENSBIXP00000008218	ENSBIXG00000014093	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMUSP00000039263	ENSMUSG00000036586	Mus_musculus_strain_reference_(CL57BL6)
ENSPCOP00000016509	ENSPCOG00000020021	Propithecus_coquereli
ENSFCAP00000023161	ENSFCAG00000022239	Felis_catus
ENSMODP00000043135	ENSMODG00000037660	Monodelphis_domestica
ENSDNVP00000015087	ENSDNVG00000010620	Dromaius_novaehollandiae	ENSDNVT00000018136
ENSTGUP00000008379	ENSTGUG00000008132	Taeniopygia_guttata
ENSDORP00000017497	ENSDORG00000025501	Dipodomys_ordii
ENSHGLP00000021016	ENSHGLG00000015019	Heterocephalus_glaber_HetGla_female_1.0
ENSIPUP00000027149	ENSIPUG00000018379	Ictalurus_punctatus
ENSTGEP00000004551	ENSTGEG00000003811	Theropithecus_gelada
ENSOANP00000006845	ENSOANG00000004316	Ornithorhynchus_anatinus
ENSCANP00000035605	ENSCANG00000041502	Colobus_angolensis_palliatus
