ENSSSCP00000045760	ENSSSCG00000005967	Sus_scrofa_strain_reference
ENSLBEP00000010336	ENSLBEG00000008011	Labrus_bergylta
ENSNMEP00000008822	ENSNMEG00000008591	Numida_meleagris
ENSOCUP00000003032	ENSOCUG00000003500	Oryctolagus_cuniculus
ENSONIP00000026054	ENSONIG00000020749	Oreochromis_niloticus
ENSPNYP00000014784	ENSPNYG00000011211	Pundamilia_nyererei
ENSKMAP00000007066	ENSKMAG00000005326	Kryptolebias_marmoratus
ENSCPUP00000012479	ENSCPUG00000008841	Calidris_pugnax
ENSUAMP00000019876	ENSUAMG00000015715	Ursus_americanus
ENSCPRP00005013843	ENSCPRG00005009758	Crocodylus_porosus
ENSMAMP00000035811	ENSMAMG00000024055	Mastacembelus_armatus
ENSRROP00000007938	ENSRROG00000028277	Rhinopithecus_roxellana
ENSMFAP00000001886	ENSMFAG00000033576	Macaca_fascicularis
ENSBBBP00000012276	ENSBBBG00000020091	Bison_bison_bison
ENSAMXP00005026600	ENSAMXG00005013394	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSOMEP00000031252	ENSOMEG00000015996	Oryzias_melastigma
ENSCPBP00000029194	ENSCPBG00000020586	Chrysemys_picta_bellii
ENSCLAP00000025431	ENSCLAG00000017512	Chinchilla_lanigera
ENSDORP00000024985	ENSDORG00000016473	Dipodomys_ordii
ENSMLEP00000006981	ENSMLEG00000027434	Mandrillus_leucophaeus
ENSCHAP00000014246	ENSCHAG00000007738	Clupea_harengus
ENSCVAP00000031344	ENSCVAG00000020535	Cyprinodon_variegatus
MGP_CAROLIEiJ_P0038299	MGP_CAROLIEiJ_G0019831	Mus_caroli_strain_CAROLI_EIJ
ENSNSUP00000005715	ENSNSUG00000004608	Notechis_scutatus
ENSMPUP00000001315	ENSMPUG00000001326	Mustela_putorius_furo
ENSLCRP00005054317	ENSLCRG00005020317	Larimichthys_crocea
ENSPMGP00000002121	ENSPMGG00000001900	Periophthalmus_magnuspinnatus
ENSMMMP00000002325	ENSMMMG00000002132	Marmota_marmota_marmota
ENSORLP00015029749	ENSORLG00015013069	Oryzias_latipes_ASM223469v1
ENSCHAP00000030540	ENSCHAG00000014642	Clupea_harengus
ENSDCDP00000022184	ENSDCDG00000017124	Denticeps_clupeoides
ENSSTOP00000017824	ENSSTOG00000025274	Ictidomys_tridecemlineatus
ENSONIP00000026151	ENSONIG00000020847	Oreochromis_niloticus
ENSGGOP00000051965	ENSGGOG00000042455	Gorilla_gorilla
ENSTBEP00000007540	ENSTBEG00000008713	Tupaia_belangeri
ENSNBRP00000015318	ENSNBRG00000011869	Neolamprologus_brichardi
ENSABRP00000004631	ENSABRG00000004276	Anser_brachyrhynchus
ENSXETP00000053937	ENSXETG00000019336	Xenopus_tropicalis
ENSGWIP00000009007	ENSGWIG00000005379	Gouania_willdenowi
ENSPPYP00000021179	ENSPPYG00000018876	Pongo_abelii
ENSLACP00000003667	ENSLACG00000003266	Latimeria_chalumnae
ENSEEUP00000010791	ENSEEUG00000011852	Erinaceus_europaeus
ENSMAUP00000005251	ENSMAUG00000007229	Mesocricetus_auratus
ENSHBUP00000002372	ENSHBUG00000003578	Haplochromis_burtoni
ENSNLEP00000039389	ENSNLEG00000029787	Nomascus_leucogenys
ENSSPAP00000029079	ENSSPAG00000021878	Stegastes_partitus
ENSDCDP00000035654	ENSDCDG00000023893	Denticeps_clupeoides
ENSPTIP00000003144	ENSPTIG00000005990	Panthera_tigris_altaica
ENSSDAP00000019770	ENSSDAG00000018025	Spermophilus_dauricus
ENSHCOP00000010365	ENSHCOG00000012980	Hippocampus_comes
ENSCMIP00000036568	ENSCMIG00000015450	Callorhinchus_milii
ENSPREP00000018720	ENSPREG00000012681	Poecilia_reticulata
ENSPKIP00000037086	ENSPKIG00000015418	Paramormyrops_kingsleyae
ENSCJPP00005006443	ENSCJPG00005006030	Coturnix_japonica
ENSP00000302578	ENSG00000168672	Homo_sapiens	ENST00000304916
ENSPCOP00000001169	ENSPCOG00000003738	Propithecus_coquereli	ENSPCOT00000004162
ENSMMOP00000010688	ENSMMOG00000008245	Mola_mola
ENSCSEP00000028666	ENSCSEG00000018347	Cynoglossus_semilaevis
ENSCCNP00000018364	ENSCCNG00000018620	Castor_canadensis
ENSEEEP00000017998	ENSEEEG00000008869	Electrophorus_electricus
ENSORLP00000007087	ENSORLG00000005640	Oryzias_latipes_ASM223467v1
ENSLCOP00000006111	ENSLCOG00000004526	Lepidothrix_coronata
ENSOMEP00000009692	ENSOMEG00000010918	Oryzias_melastigma
ENSHHUP00000083716	ENSHHUG00000048558	Hucho_hucho
ENSACIP00000026337	ENSACIG00000020420	Amphilophus_citrinellus
ENSXETP00000011350	ENSXETG00000015955	Xenopus_tropicalis
ENSCGRP00001012311	ENSCGRG00001013758	Cricetulus_griseus_CHOK1GS_HDv1
ENSGAFP00000000213	ENSGAFG00000000155	Gambusia_affinis
ENSACAP00000010161	ENSACAG00000010363	Anolis_carolinensis
ENSEBUP00000014519	ENSEBUG00000009156	Eptatretus_burgeri	ENSEBUT00000015095
ENSCCEP00000008332	ENSCCEG00000008611	Cyanistes_caeruleus
ENSJHYP00000012235	ENSJHYG00000009555	Junco_hyemalis
ENSEBUP00000010479	ENSEBUG00000006742	Eptatretus_burgeri	ENSEBUT00000011023
ENSAPLP00000001459	ENSAPLG00000002038	Anas_platyrhynchos_platyrhynchos
ENSBIXP00000011565	ENSBIXG00000016793	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSGAGP00000033460	ENSGAGG00000023838	Gopherus_agassizii
ENSSFOP00015005916	ENSSFOG00015003839	Scleropages_formosus
ENSJJAP00000005990	ENSJJAG00000010787	Jaculus_jaculus
ENSSMRP00000001165	ENSSMRG00000001019	Salvator_merianae
ENSCANP00000001925	ENSCANG00000007248	Colobus_angolensis_palliatus
ENSXMAP00000008671	ENSXMAG00000008654	Xiphophorus_maculatus
ENSGWIP00000009167	ENSGWIG00000005458	Gouania_willdenowi
ENSLOCP00000022443	ENSLOCG00000018342	Lepisosteus_oculatus
ENSODEP00000026074	ENSODEG00000019440	Octodon_degus
ENSPKIP00000022078	ENSPKIG00000006223	Paramormyrops_kingsleyae
ENSPMEP00000029683	ENSPMEG00000015600	Poecilia_mexicana
ENSCGOP00000053870	ENSCGOG00000023615	Cottoperca_gobio
ENSPVIP00000000886	ENSPVIG00000000823	Pogona_vitticeps
ENSAPEP00000024010	ENSAPEG00000017075	Amphiprion_percula
ENSSPUP00000009299	ENSSPUG00000007231	Sphenodon_punctatus
ENSHCOP00000015519	ENSHCOG00000019141	Hippocampus_comes
ENSPANP00000017484	ENSPANG00000010401	Papio_anubis
ENSORLP00015003845	ENSORLG00015004599	Oryzias_latipes_ASM223469v1
ENSPLAP00000023842	ENSPLAG00000009496	Poecilia_latipinna
ENSLSDP00000000820	ENSLSDG00000000658	Lonchura_striata_domestica
ENSPRNP00000050303	ENSPRNG00000023932	Parambassis_ranga
ENSIPUP00000018892	ENSIPUG00000012820	Ictalurus_punctatus
ENSPREP00000009911	ENSPREG00000006753	Poecilia_reticulata
ENSARWP00000009021	ENSARWG00000006303	Apteryx_rowi
ENSCPOP00000028182	ENSCPOG00000037883	Cavia_porcellus
ENSCHIP00000005292	ENSCHIG00000009416	Capra_hircus
ENSAPEP00000018349	ENSAPEG00000013116	Amphiprion_percula
ENSTRUP00000013903	ENSTRUG00000005723	Takifugu_rubripes
ENSACLP00000028412	ENSACLG00000019280	Astatotilapia_calliptera
ENSAOCP00000015653	ENSAOCG00000001511	Amphiprion_ocellaris
ENSSBOP00000002245	ENSSBOG00000011855	Saimiri_boliviensis_boliviensis
ENSRBIP00000007428	ENSRBIG00000027614	Rhinopithecus_bieti
ENSHBUP00000010862	ENSHBUG00000012428	Haplochromis_burtoni
ENSORLP00020034596	ENSORLG00020021140	Oryzias_latipes_ASM223471v1
ENSUPAP00010010651	ENSUPAG00010008630	Urocitellus_parryii
ENSLCAP00010037013	ENSLCAG00010017319	Lates_calcarifer
ENSPFOP00000020985	ENSPFOG00000020863	Poecilia_formosa
ENSDNOP00000003925	ENSDNOG00000005070	Dasypus_novemcinctus
ENSATEP00000035421	ENSATEG00000024344	Anabas_testudineus
ENSHGLP00100027182	ENSHGLG00100020216	Heterocephalus_glaber_HetGla_1.0
ENSMZEP00005007612	ENSMZEG00005005824	Maylandia_zebra
ENSMUGP00000005031	ENSMUGG00000004640	Meriones_unguiculatus
ENSNBRP00000013639	ENSNBRG00000010567	Neolamprologus_brichardi
ENSLAFP00000006224	ENSLAFG00000007398	Loxodonta_africana
ENSNPEP00000009658	ENSNPEG00000007251	Nothoprocta_perdicaria
ENSXCOP00000021761	ENSXCOG00000016264	Xiphophorus_couchianus
ENSLCAP00010013165	ENSLCAG00010006232	Lates_calcarifer
ENSFALP00000015010	ENSFALG00000014396	Ficedula_albicollis
ENSBTAP00000044908	ENSBTAG00000026172	Bos_taurus
ENSSFOP00015012353	ENSSFOG00015007977	Scleropages_formosus
ENSPEMP00000022002	ENSPEMG00000019492	Peromyscus_maniculatus_bairdii
ENSCCAP00000005271	ENSCCAG00000020357	Cebus_capucinus_imitator
ENSOARP00000008744	ENSOARG00000008153	Ovis_aries
ENSZALP00000018071	ENSZALG00000014523	Zonotrichia_albicollis
ENSMSIP00000017215	ENSMSIG00000014714	Mus_spicilegus
ENSAOWP00000019262	ENSAOWG00000013095	Apteryx_owenii
ENSMUSP00000098200	ENSMUSG00000072568	Mus_musculus_strain_reference_(CL57BL6)
ENSPMAP00000011101	ENSPMAG00000010120	Petromyzon_marinus	ENSPMAT00000011147
ENSBSLP00000020859	ENSBSLG00000010697	Betta_splendens
ENSSMAP00000010046	ENSSMAG00000006176	Scophthalmus_maximus
ENSACIP00000014935	ENSACIG00000011620	Amphilophus_citrinellus
ENSAPOP00000008880	ENSAPOG00000011098	Acanthochromis_polyacanthus
ENSCSEP00000014392	ENSCSEG00000009266	Cynoglossus_semilaevis
ENSOANP00000012892	ENSOANG00000008110	Ornithorhynchus_anatinus
ENSGACP00000008194	ENSGACG00000006198	Gasterosteus_aculeatus
ENSTNIP00000000359	ENSTNIG00000001207	Tetraodon_nigroviridis
ENSBSLP00000051561	ENSBSLG00000024389	Betta_splendens
ENSCJAP00000023112	ENSCJAG00000012629	Callithrix_jacchus
ENSFHEP00000029247	ENSFHEG00000013840	Fundulus_heteroclitus
ENSMMUP00000057587	ENSMMUG00000047109	Macaca_mulatta
ENSKMAP00000028432	ENSKMAG00000021076	Kryptolebias_marmoratus
ENSPNAP00000005800	ENSPNAG00000011922	Pygocentrus_nattereri
ENSVVUP00000023076	ENSVVUG00000016910	Vulpes_vulpes
ENSEASP00005032723	ENSEASG00005022361	Equus_asinus_asinus
ENSNVIP00000001644	ENSNVIG00000001351	Neovison_vison
ENSMALP00000029381	ENSMALG00000020323	Monopterus_albus
ENSPSIP00000009161	ENSPSIG00000008347	Pelodiscus_sinensis
ENSTTRP00000013474	ENSTTRG00000014209	Tursiops_truncatus
ENSHHUP00000007034	ENSHHUG00000004348	Hucho_hucho
ENSCGOP00000004119	ENSCGOG00000002176	Cottoperca_gobio
ENSCPGP00000007254	ENSCPGG00000005197	Calidris_pygmaea
ENSSHAP00000010546	ENSSHAG00000009105	Sarcophilus_harrisii
ENSACLP00000026263	ENSACLG00000017847	Astatotilapia_calliptera
ENSCSAP00000018151	ENSCSAG00000018618	Chlorocebus_sabaeus
ENSXMAP00000020379	ENSXMAG00000020332	Xiphophorus_maculatus
ENSFCAP00000026799	ENSFCAG00000035569	Felis_catus
ENSTGUP00000012876	ENSTGUG00000012512	Taeniopygia_guttata
ENSDNVP00000011087	ENSDNVG00000007839	Dromaius_novaehollandiae
ENSSDUP00000013782	ENSSDUG00000010026	Seriola_dumerili
ENSSLDP00000018700	ENSSLDG00000014702	Seriola_lalandi_dorsalis
ENSAPOP00000016774	ENSAPOG00000019900	Acanthochromis_polyacanthus
ENSCGRP00015007911	ENSCGRG00015006180	Cricetulus_griseus_CriGri-PICR
ENSECRP00000024233	ENSECRG00000016410	Erpetoichthys_calabaricus
ENSLBEP00000005016	ENSLBEG00000003871	Labrus_bergylta
ENSFHEP00000003182	ENSFHEG00000004023	Fundulus_heteroclitus
ENSOGAP00000018945	ENSOGAG00000032355	Otolemur_garnettii	ENSOGAT00000029387
ENSPFOP00000020192	ENSPFOG00000020066	Poecilia_formosa
ENSPFOP00000020191	ENSPFOG00000020065	Poecilia_formosa
ENSDARP00000043038	ENSDARG00000032859	Danio_rerio
ENSPSMP00000030618	ENSPSMG00000021262	Prolemur_simus	ENSPSMT00000035331
ENSANAP00000002829	ENSANAG00000019242	Aotus_nancymaae
ENSSPAP00000020525	ENSSPAG00000015483	Stegastes_partitus
ENSSMAP00000014709	ENSSMAG00000009009	Scophthalmus_maximus
ENSSCAP00000009956	ENSSCAG00000007590	Serinus_canaria
ENSMNEP00000004147	ENSMNEG00000019279	Macaca_nemestrina
ENSMAMP00000018847	ENSMAMG00000012706	Mastacembelus_armatus
ENSAHAP00000028088	ENSAHAG00000019515	Apteryx_haastii
ENSRNOP00000006279	ENSRNOG00000004744	Rattus_norvegicus
ENSPLAP00000005169	ENSPLAG00000007011	Poecilia_latipinna
ENSXCOP00000026933	ENSXCOG00000020117	Xiphophorus_couchianus
ENSPPRP00000027821	ENSPPRG00000019550	Panthera_pardus
ENSCATP00000005974	ENSCATG00000018947	Cercocebus_atys
ENSEEEP00000034250	ENSEEEG00000016312	Electrophorus_electricus
ENSMICP00000042733	ENSMICG00000043304	Microcebus_murinus	ENSMICT00000063172
ENSMODP00000034150	ENSMODG00000024442	Monodelphis_domestica
ENSPTRP00000090520	ENSPTRG00000043511	Pan_troglodytes	ENSPTRT00000081127
ENSTRUP00000019259	ENSTRUG00000007744	Takifugu_rubripes
ENSECAP00000031244	ENSECAG00000021976	Equus_caballus
ENSCGRP00000025553	ENSCGRG00000018533	Cricetulus_griseus_CriGri_1.0
ENSBMUP00000035908	ENSBMUG00000026673	Bos_mutus
ENSAMXP00005030866	ENSAMXG00005015132	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNGAP00000019453	ENSNGAG00000019272	Nannospalax_galili
