MGP_SPRETEiJ_P0059596	MGP_SPRETEiJ_G0025866	Mus_spretus_strain_SPRET/EiJ
ENSSPAP00000014902	ENSSPAG00000011206	Stegastes_partitus
ENSHGLP00000020496	ENSHGLG00000014650	Heterocephalus_glaber_HetGla_female_1.0
ENSOMEP00000028400	ENSOMEG00000011470	Oryzias_melastigma
ENSXCOP00000010832	ENSXCOG00000008181	Xiphophorus_couchianus
ENSPPAP00000026102	ENSPPAG00000036167	Pan_paniscus
ENSLCAP00010047294	ENSLCAG00010021918	Lates_calcarifer
ENSHBUP00000023636	ENSHBUG00000000956	Haplochromis_burtoni
ENSPCOP00000016649	ENSPCOG00000020095	Propithecus_coquereli
ENSGACP00000008115	ENSGACG00000006125	Gasterosteus_aculeatus
ENSXETP00000024164	ENSXETG00000009487	Xenopus_tropicalis
ENSMSIP00000032617	ENSMSIG00000027328	Mus_spicilegus
ENSAPOP00000012543	ENSAPOG00000015283	Acanthochromis_polyacanthus
ENSCAFP00000017309	ENSCAFG00000011749	Canis_lupus_familiaris
ENSFDAP00000019376	ENSFDAG00000009183	Fukomys_damarensis
ENSCGRP00015035446	ENSCGRG00015026612	Cricetulus_griseus_CriGri-PICR
ENSSDUP00000022596	ENSSDUG00000016424	Seriola_dumerili
ENSPNYP00000018867	ENSPNYG00000014255	Pundamilia_nyererei
ENSGAFP00000015782	ENSGAFG00000010643	Gambusia_affinis
ENSNLEP00000007300	ENSNLEG00000005989	Nomascus_leucogenys
ENSAOCP00000013540	ENSAOCG00000018137	Amphiprion_ocellaris
ENSNGAP00000001698	ENSNGAG00000001216	Nannospalax_galili
ENSMPUP00000002344	ENSMPUG00000002371	Mustela_putorius_furo
ENSNSUP00000025071	ENSNSUG00000018067	Notechis_scutatus
ENSCJPP00005017432	ENSCJPG00005014225	Coturnix_japonica
ENSORLP00015023507	ENSORLG00015003526	Oryzias_latipes_ASM223469v1
ENSMGAP00000009831	ENSMGAG00000009494	Meleagris_gallopavo
ENSCLAP00000020687	ENSCLAG00000014174	Chinchilla_lanigera
ENSZALP00000006614	ENSZALG00000005995	Zonotrichia_albicollis
ENSCSEP00000030458	ENSCSEG00000019501	Cynoglossus_semilaevis
ENSPLAP00000031038	ENSPLAG00000022735	Poecilia_latipinna
ENSPREP00000033480	ENSPREG00000022680	Poecilia_reticulata
ENSVPAP00000010750	ENSVPAG00000011551	Vicugna_pacos
ENSLCOP00000020228	ENSLCOG00000014343	Lepidothrix_coronata
ENSACLP00000038741	ENSACLG00000026110	Astatotilapia_calliptera
ENSCVAP00000027665	ENSCVAG00000014160	Cyprinodon_variegatus
ENSSLDP00000023731	ENSSLDG00000018498	Seriola_lalandi_dorsalis
ENSPSIP00000019793	ENSPSIG00000017510	Pelodiscus_sinensis
ENSMUGP00000015383	ENSMUGG00000013253	Meriones_unguiculatus
ENSEEUP00000010280	ENSEEUG00000011233	Erinaceus_europaeus
ENSAHAP00000007451	ENSAHAG00000005148	Apteryx_haastii
ENSDARP00000132399	ENSDARG00000102538	Danio_rerio
ENSOGAP00000000594	ENSOGAG00000000659	Otolemur_garnettii
ENSLACP00000020618	ENSLACG00000018119	Latimeria_chalumnae
ENSCAPP00000011175	ENSCAPG00000012269	Cavia_aperea
ENSHCOP00000008255	ENSHCOG00000010503	Hippocampus_comes
ENSMLUP00000011169	ENSMLUG00000012257	Myotis_lucifugus
ENSMVIP00005000966	ENSMVIG00005000780	Manacus_vitellinus
ENSPANP00000011639	ENSPANG00000006870	Papio_anubis
ENSBIXP00000020846	ENSBIXG00000024086	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSAPLP00000008709	ENSAPLG00000008989	Anas_platyrhynchos_platyrhynchos
ENSSCAP00000017411	ENSSCAG00000012658	Serinus_canaria
ENSETEP00000006815	ENSETEG00000008384	Echinops_telfairi
ENSCMIP00000033121	ENSCMIG00000014137	Callorhinchus_milii
ENSPMGP00000000146	ENSPMGG00000000155	Periophthalmus_magnuspinnatus
ENSCINP00000007911	ENSCING00000019260	Ciona_intestinalis
ENSCATP00000028915	ENSCATG00000037699	Cercocebus_atys
ENSUPAP00010028498	ENSUPAG00010022499	Urocitellus_parryii
ENSPCAP00000003026	ENSPCAG00000003195	Procavia_capensis
ENSCINP00000007919	ENSCING00000020099	Ciona_intestinalis
ENSCSAP00000009393	ENSCSAG00000013226	Chlorocebus_sabaeus
ENSPTIP00000021357	ENSPTIG00000018514	Panthera_tigris_altaica
ENSCPBP00000000625	ENSCPBG00000000534	Chrysemys_picta_bellii
ENSMMOP00000001880	ENSMMOG00000001579	Mola_mola
ENSATEP00000032497	ENSATEG00000022375	Anabas_testudineus
ENSAPEP00000020581	ENSAPEG00000014712	Amphiprion_percula
ENSTRUP00000008068	ENSTRUG00000003436	Takifugu_rubripes
ENSFALP00000008616	ENSFALG00000008252	Ficedula_albicollis
ENSTSYP00000011573	ENSTSYG00000012606	Carlito_syrichta
ENSMALP00000028553	ENSMALG00000019767	Monopterus_albus
ENSMMUP00000049685	ENSMMUG00000010553	Macaca_mulatta
ENSORLP00020024315	ENSORLG00020005680	Oryzias_latipes_ASM223471v1
ENSEBUP00000001909	ENSEBUG00000001560	Eptatretus_burgeri
ENSMMMP00000003258	ENSMMMG00000002969	Marmota_marmota_marmota
ENSCGOP00000013990	ENSCGOG00000004793	Cottoperca_gobio
ENSUAMP00000010705	ENSUAMG00000008378	Ursus_americanus
ENSOANP00000017829	ENSOANG00000011253	Ornithorhynchus_anatinus
ENSVURP00010015445	ENSVURG00010011829	Vombatus_ursinus
ENSPSMP00000003258	ENSPSMG00000002503	Prolemur_simus
ENSSDAP00000024399	ENSSDAG00000022005	Spermophilus_dauricus
ENSLSDP00000026003	ENSLSDG00000018140	Lonchura_striata_domestica
ENSSSCP00000053701	ENSSSCG00000025942	Sus_scrofa_strain_reference
ENSANAP00000020918	ENSANAG00000028235	Aotus_nancymaae
ENSMOCP00000004454	ENSMOCG00000003671	Microtus_ochrogaster
ENSDCDP00000063354	ENSDCDG00000035532	Denticeps_clupeoides
