ENSNGAP00000001352	ENSNGAG00000001010	Nannospalax_galili
ENSLCRP00005065439	ENSLCRG00005023850	Larimichthys_crocea
ENSSFOP00015020461	ENSSFOG00015013099	Scleropages_formosus
ENSRBIP00000000188	ENSRBIG00000001068	Rhinopithecus_bieti
ENSMUNP00000002700	ENSMUNG00000002355	Melopsittacus_undulatus
ENSGACP00000026408	ENSGACG00000019989	Gasterosteus_aculeatus
ENSSPUP00000000433	ENSSPUG00000000409	Sphenodon_punctatus
ENSBBBP00000015665	ENSBBBG00000023502	Bison_bison_bison
ENSSTOP00000016495	ENSSTOG00000020110	Ictidomys_tridecemlineatus
ENSMPUP00000007072	ENSMPUG00000007129	Mustela_putorius_furo
ENSCAPP00000012374	ENSCAPG00000013258	Cavia_aperea
ENSFDAP00000016567	ENSFDAG00000005163	Fukomys_damarensis
ENSCHAP00000022594	ENSCHAG00000011280	Clupea_harengus
ENSXMAP00000011689	ENSXMAG00000011656	Xiphophorus_maculatus
ENSSDUP00000025315	ENSSDUG00000018377	Seriola_dumerili
ENSACAP00000001781	ENSACAG00000001869	Anolis_carolinensis
ENSMFAP00000030309	ENSMFAG00000042332	Macaca_fascicularis
ENSSMRP00000005580	ENSSMRG00000004526	Salvator_merianae
ENSFCAP00000006169	ENSFCAG00000006639	Felis_catus
ENSBIXP00005041673	ENSBIXG00005024881	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSXCOP00000007508	ENSXCOG00000005795	Xiphophorus_couchianus
ENSLOCP00000005970	ENSLOCG00000004964	Lepisosteus_oculatus
ENSCGRP00015026583	ENSCGRG00015020152	Cricetulus_griseus_CriGri-PICR
ENSPTIP00000006801	ENSPTIG00000008583	Panthera_tigris_altaica
ENSPNAP00000008331	ENSPNAG00000013953	Pygocentrus_nattereri
ENSHGLP00000002761	ENSHGLG00000002077	Heterocephalus_glaber_HetGla_female_1.0
MGP_SPRETEiJ_P0038404	MGP_SPRETEiJ_G0020149	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0084798	MGP_PahariEiJ_G0030278	Mus_pahari_strain_PAHARI_EIJ
ENSDNOP00000028868	ENSDNOG00000046709	Dasypus_novemcinctus
ENSACLP00000015682	ENSACLG00000010683	Astatotilapia_calliptera
ENSNBRP00000015963	ENSNBRG00000012342	Neolamprologus_brichardi
ENSDARP00000004325	ENSDARG00000016594	Danio_rerio
ENSBSLP00000030362	ENSBSLG00000014997	Betta_splendens
ENSRROP00000043399	ENSRROG00000044756	Rhinopithecus_roxellana
ENSMALP00000004353	ENSMALG00000003159	Monopterus_albus
ENSAPOP00000022163	ENSAPOG00000003073	Acanthochromis_polyacanthus
ENSTSYP00000016639	ENSTSYG00000012825	Carlito_syrichta
ENSHHUP00000005917	ENSHHUG00000003654	Hucho_hucho
ENSOMEP00000005027	ENSOMEG00000006063	Oryzias_melastigma
ENSCGRP00000017813	ENSCGRG00000012954	Cricetulus_griseus_CriGri_1.0
ENSPCAP00000012654	ENSPCAG00000013564	Procavia_capensis
ENSPEMP00000017102	ENSPEMG00000016122	Peromyscus_maniculatus_bairdii
ENSPCOP00000010737	ENSPCOG00000016850	Propithecus_coquereli
ENSRBIP00000009554	ENSRBIG00000028589	Rhinopithecus_bieti
ENSMLUP00000011768	ENSMLUG00000012934	Myotis_lucifugus
ENSMZEP00005038166	ENSMZEG00005028543	Maylandia_zebra
ENSMSIP00000019189	ENSMSIG00000016328	Mus_spicilegus
ENSEASP00005016878	ENSEASG00005011698	Equus_asinus_asinus
ENSGGOP00000043986	ENSGGOG00000007504	Gorilla_gorilla
ENSMLEP00000040505	ENSMLEG00000044268	Mandrillus_leucophaeus
ENSBTAP00000058014	ENSBTAG00000012723	Bos_taurus
ENSMUSP00000022784	ENSMUSG00000022177	Mus_musculus_strain_reference_(CL57BL6)
ENSCATP00000037478	ENSCATG00000041460	Cercocebus_atys
ENSMUGP00000012607	ENSMUGG00000010924	Meriones_unguiculatus
ENSPSMP00000008484	ENSPSMG00000006188	Prolemur_simus
ENSODEP00000002207	ENSODEG00000001722	Octodon_degus
ENSUMAP00000019178	ENSUMAG00000014089	Ursus_maritimus
ENSGMOP00000012099	ENSGMOG00000011311	Gadus_morhua
ENSMODP00000006386	ENSMODG00000005185	Monodelphis_domestica
ENSCPBP00000037670	ENSCPBG00000026090	Chrysemys_picta_bellii
ENSCAFP00020009477	ENSCAFG00020007681	Canis_lupus_dingo
ENSLBEP00000001362	ENSLBEG00000001087	Labrus_bergylta
ENSAMEP00000007828	ENSAMEG00000007432	Ailuropoda_melanoleuca
ENSAMXP00005012171	ENSAMXG00005006593	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSORLP00000014354	ENSORLG00000011463	Oryzias_latipes_ASM223467v1
ENSPPAP00000034661	ENSPPAG00000040161	Pan_paniscus
ENSKMAP00000019601	ENSKMAG00000014595	Kryptolebias_marmoratus
ENSJJAP00000014265	ENSJJAG00000016771	Jaculus_jaculus
ENSMICP00000033601	ENSMICG00000030177	Microcebus_murinus
ENSECAP00000005384	ENSECAG00000007197	Equus_caballus
ENSPPYP00000006423	ENSPPYG00000005651	Pongo_abelii
ENSCGRP00001027800	ENSCGRG00001024703	Cricetulus_griseus_CHOK1GS_HDv1
ENSRNOP00000016401	ENSRNOG00000039284	Rattus_norvegicus
ENSVVUP00000027012	ENSVVUG00000019820	Vulpes_vulpes
ENSPMAP00000010363	ENSPMAG00000009424	Petromyzon_marinus
ENSCINP00000027935	ENSCING00000015959	Ciona_intestinalis
ENSBIXP00000039277	ENSBIXG00000004573	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPNYP00000024657	ENSPNYG00000018601	Pundamilia_nyererei
ENSLACP00000014535	ENSLACG00000012792	Latimeria_chalumnae
MGP_CAROLIEiJ_P0036682	MGP_CAROLIEiJ_G0019259	Mus_caroli_strain_CAROLI_EIJ
ENSPVIP00000019121	ENSPVIG00000014610	Pogona_vitticeps
ENSPMGP00000006498	ENSPMGG00000005454	Periophthalmus_magnuspinnatus
ENSCABP00000016597	ENSCABG00000012336	Chelonoidis_abingdonii
ENSTBEP00000007618	ENSTBEG00000008798	Tupaia_belangeri
ENSMMOP00000016031	ENSMMOG00000012231	Mola_mola
ENSETEP00000014557	ENSETEG00000017917	Echinops_telfairi
ENSCATP00000000197	ENSCATG00000000704	Cercocebus_atys
ENSOGAP00000000526	ENSOGAG00000000586	Otolemur_garnettii
ENSXETP00000027813	ENSXETG00000008834	Xenopus_tropicalis
ENSCCAP00000031625	ENSCCAG00000033831	Cebus_capucinus_imitator
ENSCINP00000029404	ENSCING00000017324	Ciona_intestinalis
ENSEEUP00000012138	ENSEEUG00000013326	Erinaceus_europaeus	ENSEEUT00000013318
ENSPMEP00000034877	ENSPMEG00000024240	Poecilia_mexicana
ENSSBOP00000013348	ENSSBOG00000023415	Saimiri_boliviensis_boliviensis
ENSSLDP00000021872	ENSSLDG00000017077	Seriola_lalandi_dorsalis
ENSMOCP00000005828	ENSMOCG00000005352	Microtus_ochrogaster
ENSCPOP00000003011	ENSCPOG00000003331	Cavia_porcellus
ENSP00000450856	ENSG00000259132	Homo_sapiens
ENSCVAP00000006763	ENSCVAG00000008427	Cyprinodon_variegatus
ENSP00000206474	ENSG00000092036	Homo_sapiens
ENSMZEP00005010314	ENSMZEG00005007782	Maylandia_zebra
ENSORLP00015030240	ENSORLG00015013824	Oryzias_latipes_ASM223469v1
ENSSDAP00000008711	ENSSDAG00000007929	Spermophilus_dauricus
ENSUAMP00000010389	ENSUAMG00000008545	Ursus_americanus
