ENSMMUP00000074113	ENSMMUG00000056054	Macaca_mulatta
ENSCGOP00000029385	ENSCGOG00000013723	Cottoperca_gobio
ENSLBEP00000007348	ENSLBEG00000005690	Labrus_bergylta
ENSLCRP00005052104	ENSLCRG00005019599	Larimichthys_crocea
ENSMMOP00000003613	ENSMMOG00000002893	Mola_mola
ENSSDUP00000023532	ENSSDUG00000017116	Seriola_dumerili
ENSSLDP00000020464	ENSSLDG00000016011	Seriola_lalandi_dorsalis
ENSSMAP00000028933	ENSSMAG00000017725	Scophthalmus_maximus
ENSLCAP00010043657	ENSLCAG00010020341	Lates_calcarifer
ENSAOCP00000012391	ENSAOCG00000016829	Amphiprion_ocellaris
ENSAPEP00000013821	ENSAPEG00000009861	Amphiprion_percula
ENSSPAP00000009897	ENSSPAG00000007543	Stegastes_partitus
ENSAPOP00000010464	ENSAPOG00000012915	Acanthochromis_polyacanthus
ENSPRNP00000024895	ENSPRNG00000012657	Parambassis_ranga
ENSFHEP00000022205	ENSFHEG00000002425	Fundulus_heteroclitus
ENSCVAP00000023179	ENSCVAG00000006322	Cyprinodon_variegatus
ENSPMEP00000002632	ENSPMEG00000003686	Poecilia_mexicana
ENSPLAP00000018633	ENSPLAG00000023320	Poecilia_latipinna
ENSPREP00000022799	ENSPREG00000015399	Poecilia_reticulata
ENSXMAP00000036127	ENSXMAG00000027093	Xiphophorus_maculatus
ENSPFOP00000009410	ENSPFOG00000009453	Poecilia_formosa
ENSXCOP00000001994	ENSXCOG00000001583	Xiphophorus_couchianus
ENSGAFP00000024830	ENSGAFG00000016758	Gambusia_affinis
ENSKMAP00000005527	ENSKMAG00000004208	Kryptolebias_marmoratus
ENSORLP00020033191	ENSORLG00020019071	Oryzias_latipes_ASM223471v1
ENSORLP00015016123	ENSORLG00015017086	Oryzias_latipes_ASM223469v1
ENSORLP00000026476	ENSORLG00000025026	Oryzias_latipes_ASM223467v1
ENSOMEP00000016955	ENSOMEG00000018623	Oryzias_melastigma
ENSHCOP00000020784	ENSHCOG00000000222	Hippocampus_comes
ENSPMGP00000005989	ENSPMGG00000005035	Periophthalmus_magnuspinnatus
ENSPKIP00000025418	ENSPKIG00000008304	Paramormyrops_kingsleyae
ENSSFOP00015008946	ENSSFOG00015005836	Scleropages_formosus
ENSLOCP00000001508	ENSLOCG00000001327	Lepisosteus_oculatus
ENSECRP00000015572	ENSECRG00000010392	Erpetoichthys_calabaricus
ENSCMIP00000004497	ENSCMIG00000002683	Callorhinchus_milii
