ENSEEUP00000010466	ENSEEUG00000011471	Erinaceus_europaeus
ENSFDAP00000008308	ENSFDAG00000016599	Fukomys_damarensis
ENSCLAP00000017389	ENSCLAG00000011944	Chinchilla_lanigera
ENSODEP00000002918	ENSODEG00000002238	Octodon_degus
ENSSTOP00000006563	ENSSTOG00000007352	Ictidomys_tridecemlineatus
ENSUPAP00010007015	ENSUPAG00010005544	Urocitellus_parryii
ENSMMMP00000017256	ENSMMMG00000015327	Marmota_marmota_marmota
ENSSDAP00000016959	ENSSDAG00000015241	Spermophilus_dauricus
ENSCCNP00000010659	ENSCCNG00000010964	Castor_canadensis
ENSDORP00000005511	ENSDORG00000005886	Dipodomys_ordii
ENSCGRP00001006597	ENSCGRG00001008939	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000012735	ENSCGRG00000009259	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015022252	ENSCGRG00015016956	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000023513	ENSMAUG00000020643	Mesocricetus_auratus
ENSMOCP00000009638	ENSMOCG00000009828	Microtus_ochrogaster
ENSPEMP00000012551	ENSPEMG00000012855	Peromyscus_maniculatus_bairdii
ENSMUSP00000083385	ENSMUSG00000066800	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000015075	ENSMSIG00000012955	Mus_spicilegus
MGP_SPRETEiJ_P0021492	MGP_SPRETEiJ_G0015520	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0020427	MGP_CAROLIEiJ_G0014713	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0075708	MGP_PahariEiJ_G0027949	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000032975	ENSRNOG00000027017	Rattus_norvegicus
ENSMUGP00000003441	ENSMUGG00000003206	Meriones_unguiculatus
ENSNGAP00000017148	ENSNGAG00000017663	Nannospalax_galili
ENSJJAP00000009854	ENSJJAG00000013606	Jaculus_jaculus
ENSUMAP00000022564	ENSUMAG00000016510	Ursus_maritimus	ENSUMAT00000026749
ENSUAMP00000035837	ENSUAMG00000027188	Ursus_americanus	ENSUAMT00000039897
ENSAMEP00000008178	ENSAMEG00000007756	Ailuropoda_melanoleuca	ENSAMET00000008519
ENSMPUP00000011431	ENSMPUG00000011522	Mustela_putorius_furo
ENSNVIP00000019317	ENSNVIG00000015132	Neovison_vison
ENSCAFP00000019342	ENSCAFG00000013121	Canis_lupus_familiaris
ENSCAFP00020018699	ENSCAFG00020014858	Canis_lupus_dingo
ENSVVUP00000012036	ENSVVUG00000008895	Vulpes_vulpes
ENSPPRP00000009459	ENSPPRG00000003895	Panthera_pardus
ENSPTIP00000019156	ENSPTIG00000017036	Panthera_tigris_altaica
ENSFCAP00000025413	ENSFCAG00000024554	Felis_catus
ENSEASP00005009227	ENSEASG00005006600	Equus_asinus_asinus
ENSECAP00000012986	ENSECAG00000015188	Equus_caballus
ENSOARP00000020380	ENSOARG00000018978	Ovis_aries
ENSCHIP00000024287	ENSCHIG00000021530	Capra_hircus
ENSBIXP00005044348	ENSBIXG00005028181	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000008587	ENSBIXG00000014389	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000041757	ENSBTAG00000009091	Bos_taurus
ENSBMUP00000036253	ENSBMUG00000026922	Bos_mutus
ENSBBBP00000026373	ENSBBBG00000005821	Bison_bison_bison
ENSTTRP00000007218	ENSTTRG00000007635	Tursiops_truncatus
ENSSSCP00000053969	ENSSSCG00000015549	Sus_scrofa_strain_reference
ENSMLUP00000009209	ENSMLUG00000010098	Myotis_lucifugus
ENSPVAP00000009843	ENSPVAG00000010445	Pteropus_vampyrus
ENSGGOP00000019722	ENSGGOG00000023414	Gorilla_gorilla
ENSP00000356530	ENSG00000135828	Homo_sapiens
ENSPPAP00000012730	ENSPPAG00000029542	Pan_paniscus
ENSPTRP00000002931	ENSPTRG00000001755	Pan_troglodytes
ENSPPYP00000000495	ENSPPYG00000000435	Pongo_abelii
ENSNLEP00000021881	ENSNLEG00000018010	Nomascus_leucogenys
ENSCANP00000035139	ENSCANG00000041251	Colobus_angolensis_palliatus
ENSPTEP00000002920	ENSPTEG00000003448	Piliocolobus_tephrosceles
ENSRBIP00000043078	ENSRBIG00000044741	Rhinopithecus_bieti
ENSRROP00000024343	ENSRROG00000035978	Rhinopithecus_roxellana
ENSMMUP00000007448	ENSMMUG00000005634	Macaca_mulatta
ENSMFAP00000027096	ENSMFAG00000044965	Macaca_fascicularis
ENSMNEP00000017492	ENSMNEG00000032732	Macaca_nemestrina
ENSMLEP00000026344	ENSMLEG00000037368	Mandrillus_leucophaeus
ENSPANP00000010115	ENSPANG00000016769	Papio_anubis
ENSTGEP00000032974	ENSTGEG00000026348	Theropithecus_gelada
ENSCATP00000031362	ENSCATG00000038808	Cercocebus_atys
ENSCSAP00000008696	ENSCSAG00000012514	Chlorocebus_sabaeus
ENSCCAP00000028953	ENSCCAG00000032500	Cebus_capucinus_imitator
ENSSBOP00000036914	ENSSBOG00000034574	Saimiri_boliviensis_boliviensis
ENSCJAP00000047869	ENSCJAG00000004725	Callithrix_jacchus
ENSANAP00000037085	ENSANAG00000036044	Aotus_nancymaae
ENSTSYP00000021052	ENSTSYG00000000281	Carlito_syrichta
ENSPCOP00000005765	ENSPCOG00000013879	Propithecus_coquereli
ENSPSMP00000003199	ENSPSMG00000002613	Prolemur_simus
ENSMICP00000028396	ENSMICG00000026907	Microcebus_murinus
ENSOGAP00000002339	ENSOGAG00000002612	Otolemur_garnettii
ENSDNOP00000013730	ENSDNOG00000017705	Dasypus_novemcinctus
ENSSARP00000002797	ENSSARG00000003101	Sorex_araneus
ENSMODP00000008461	ENSMODG00000006829	Monodelphis_domestica
ENSPSIP00000008875	ENSPSIG00000008045	Pelodiscus_sinensis
ENSLACP00000000894	ENSLACG00000000804	Latimeria_chalumnae
ENSCMIP00000008019	ENSCMIG00000004322	Callorhinchus_milii
