ENSCAFP00000027411	ENSCAFG00000018574	Canis_lupus_familiaris
ENSVPAP00000005794	ENSVPAG00000006247	Vicugna_pacos
ENSONIP00000005480	ENSONIG00000004348	Oreochromis_niloticus
ENSMLUP00000021367	ENSMLUG00000028256	Myotis_lucifugus
ENSVURP00010005604	ENSVURG00010004362	Vombatus_ursinus
ENSMAMP00000019752	ENSMAMG00000012993	Mastacembelus_armatus
ENSPCAP00000005345	ENSPCAG00000005402	Procavia_capensis
ENSXMAP00000011671	ENSXMAG00000011604	Xiphophorus_maculatus
ENSMFAP00000030613	ENSMFAG00000042215	Macaca_fascicularis
ENSCHAP00000043503	ENSCHAG00000018329	Clupea_harengus
FBpp0070922	FBgn0029899	Drosophila_melanogaster	FBtr0070961
ENSCAFP00020004203	ENSCAFG00020002284	Canis_lupus_dingo
ENSTGUP00000014473	ENSTGUG00000014082	Taeniopygia_guttata
ENSSTOP00000008218	ENSSTOG00000009134	Ictidomys_tridecemlineatus
ENSAOWP00000013353	ENSAOWG00000008595	Apteryx_owenii
ENSMLUP00000012446	ENSMLUG00000013656	Myotis_lucifugus
ENSTBEP00000005106	ENSTBEG00000005854	Tupaia_belangeri
ENSPEMP00000005223	ENSPEMG00000007626	Peromyscus_maniculatus_bairdii
ENSTRUP00000038623	ENSTRUG00000015122	Takifugu_rubripes
ENSPVAP00000005797	ENSPVAG00000006132	Pteropus_vampyrus
ENSHGLP00000003902	ENSHGLG00000002878	Heterocephalus_glaber_HetGla_female_1.0
ENSNLEP00000018305	ENSNLEG00000015055	Nomascus_leucogenys
ENSSDAP00000015038	ENSSDAG00000013515	Spermophilus_dauricus
ENSAPEP00000007135	ENSAPEG00000004792	Amphiprion_percula
MGP_CAROLIEiJ_P0091284	MGP_CAROLIEiJ_G0033023	Mus_caroli_strain_CAROLI_EIJ
ENSTNIP00000014749	ENSTNIG00000011794	Tetraodon_nigroviridis
ENSGGOP00000036168	ENSGGOG00000000486	Gorilla_gorilla
ENSEEEP00000012202	ENSEEEG00000005252	Electrophorus_electricus
ENSPNAP00000014340	ENSPNAG00000020593	Pygocentrus_nattereri
ENSLCOP00000022442	ENSLCOG00000015761	Lepidothrix_coronata
ENSHGLP00100012545	ENSHGLG00100009292	Heterocephalus_glaber_HetGla_1.0
ENSRROP00000036350	ENSRROG00000041515	Rhinopithecus_roxellana
ENSDARP00000097404	ENSDARG00000037503	Danio_rerio
ENSSPUP00000016660	ENSSPUG00000012889	Sphenodon_punctatus
ENSCGRP00001014723	ENSCGRG00001015509	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000009769	ENSMOCG00000009946	Microtus_ochrogaster
ENSVURP00010022122	ENSVURG00010014528	Vombatus_ursinus
ENSMLUP00000022491	ENSMLUG00000027559	Myotis_lucifugus
ENSHGLP00100000160	ENSHGLG00100000141	Heterocephalus_glaber_HetGla_1.0
ENSMMMP00000007078	ENSMMMG00000006302	Marmota_marmota_marmota
ENSJHYP00000019105	ENSJHYG00000013614	Junco_hyemalis
ENSCANP00000023823	ENSCANG00000035077	Colobus_angolensis_palliatus
ENSLBEP00000003956	ENSLBEG00000003049	Labrus_bergylta
ENSMSIP00000029208	ENSMSIG00000024519	Mus_spicilegus
ENSPMJP00000015010	ENSPMJG00000011391	Parus_major
ENSMODP00000018742	ENSMODG00000014984	Monodelphis_domestica
ENSPPAP00000036415	ENSPPAG00000040720	Pan_paniscus
ENSOANP00000006440	ENSOANG00000004054	Ornithorhynchus_anatinus
YNL139C_mRNA	YNL139C	Saccharomyces_cerevisiae_strain_S288C
ENSCPOP00000026591	ENSCPOG00000038670	Cavia_porcellus
ENSCPBP00000019794	ENSCPBG00000012863	Chrysemys_picta_bellii
ENSACAP00000011448	ENSACAG00000011585	Anolis_carolinensis
ENSSARP00000005298	ENSSARG00000005799	Sorex_araneus
ENSMMUP00000004994	ENSMMUG00000003745	Macaca_mulatta
ENSGALP00000055540	ENSGALG00000008507	Gallus_gallus
MGP_SPRETEiJ_P0095040	MGP_SPRETEiJ_G0034181	Mus_spretus_strain_SPRET/EiJ
ENSHCOP00000020304	ENSHCOG00000006276	Hippocampus_comes
ENSVVUP00000040423	ENSVVUG00000028282	Vulpes_vulpes
ENSDNVP00000014422	ENSDNVG00000010144	Dromaius_novaehollandiae
ENSMAUP00000002711	ENSMAUG00000002356	Mesocricetus_auratus
ENSBMUP00000023512	ENSBMUG00000017618	Bos_mutus
ENSHGLP00100015701	ENSHGLG00100011595	Heterocephalus_glaber_HetGla_1.0
ENSCPRP00005006924	ENSCPRG00005004266	Crocodylus_porosus
ENSMUSP00000130629	ENSMUSG00000079065	Mus_musculus_strain_reference_(CL57BL6)
FBpp0290874	FBgn0031390	Drosophila_melanogaster	FBtr0301660
ENSCGRP00001007385	ENSCGRG00001009811	Cricetulus_griseus_CHOK1GS_HDv1
ENSORLP00020001467	ENSORLG00020002321	Oryzias_latipes_ASM223471v1
ENSORLP00015025519	ENSORLG00015000665	Oryzias_latipes_ASM223469v1
ENSLCRP00005042176	ENSLCRG00005015759	Larimichthys_crocea
ENSUPAP00010008026	ENSUPAG00010006443	Urocitellus_parryii
ENSLOCP00000017918	ENSLOCG00000014546	Lepisosteus_oculatus
ENSPTIP00000004642	ENSPTIG00000006983	Panthera_tigris_altaica
ENSAMEP00000015674	ENSAMEG00000014841	Ailuropoda_melanoleuca
ENSECRP00000016143	ENSECRG00000010772	Erpetoichthys_calabaricus
ENSBMUP00000030753	ENSBMUG00000022954	Bos_mutus
ENSCCNP00000022259	ENSCCNG00000021797	Castor_canadensis
ENSCSAP00000014344	ENSCSAG00000018332	Chlorocebus_sabaeus
ENSGAGP00000034300	ENSGAGG00000024263	Gopherus_agassizii
ENSAPOP00000002011	ENSAPOG00000003459	Acanthochromis_polyacanthus
ENSPEMP00000010003	ENSPEMG00000011125	Peromyscus_maniculatus_bairdii
ENSSFOP00015015795	ENSSFOG00015010127	Scleropages_formosus
ENSBBBP00000015195	ENSBBBG00000006038	Bison_bison_bison
ENSCGRP00015019136	ENSCGRG00015014602	Cricetulus_griseus_CriGri-PICR
ENSSDUP00000017524	ENSSDUG00000012815	Seriola_dumerili
ENSPPYP00000023166	ENSPPYG00000020695	Pongo_abelii
ENSDCDP00000062411	ENSDCDG00000035348	Denticeps_clupeoides
ENSHBUP00000022960	ENSHBUG00000003516	Haplochromis_burtoni
ENSANAP00000032860	ENSANAG00000034037	Aotus_nancymaae
ENSCJAP00000070282	ENSCJAG00000016157	Callithrix_jacchus
ENSLAFP00000002617	ENSLAFG00000003146	Loxodonta_africana
ENSRNOP00000074749	ENSRNOG00000007315	Rattus_norvegicus
ENSARWP00000014783	ENSARWG00000009440	Apteryx_rowi
ENSMUNP00000018068	ENSMUNG00000013826	Melopsittacus_undulatus
ENSPMEP00000022186	ENSPMEG00000002951	Poecilia_mexicana
ENSGACP00000026919	ENSGACG00000020367	Gasterosteus_aculeatus
ENSPANP00000047325	ENSPANG00000004038	Papio_anubis
ENSCMIP00000037219	ENSCMIG00000015619	Callorhinchus_milii
ENSPSMP00000032841	ENSPSMG00000022681	Prolemur_simus
ENSCHIP00000018253	ENSCHIG00000017733	Capra_hircus
ENSFDAP00000009107	ENSFDAG00000017237	Fukomys_damarensis
ENSMSIP00000005737	ENSMSIG00000005173	Mus_spicilegus
ENSSHAP00000018837	ENSSHAG00000015987	Sarcophilus_harrisii
ENSBIXP00005004116	ENSBIXG00005010090	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSRBIP00000041617	ENSRBIG00000044129	Rhinopithecus_bieti
ENSCABP00000008984	ENSCABG00000005870	Chelonoidis_abingdonii
ENSANAP00000008981	ENSANAG00000022505	Aotus_nancymaae
ENSOARP00000014657	ENSOARG00000013665	Ovis_aries
ENSFHEP00000000896	ENSFHEG00000001695	Fundulus_heteroclitus
ENSAMXP00000014590	ENSAMXG00000014184	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000014590
ENSCGRP00000001265	ENSCGRG00000000980	Cricetulus_griseus_CriGri_1.0
ENSXCOP00000008204	ENSXCOG00000006301	Xiphophorus_couchianus
ENSMGAP00000007526	ENSMGAG00000007345	Meleagris_gallopavo
ENSFALP00000001579	ENSFALG00000001519	Ficedula_albicollis
ENSTTRP00000002590	ENSTTRG00000002762	Tursiops_truncatus
ENSCGRP00015016299	ENSCGRG00015012546	Cricetulus_griseus_CriGri-PICR
ENSXETP00000046266	ENSXETG00000018136	Xenopus_tropicalis
ENSNGAP00000007748	ENSNGAG00000010936	Nannospalax_galili
ENSUAMP00000014215	ENSUAMG00000008780	Ursus_americanus
ENSPNYP00000026478	ENSPNYG00000019622	Pundamilia_nyererei
ENSCINP00000015138	ENSCING00000007364	Ciona_intestinalis	ENSCINT00000015138
ENSCSAVP00000013511	ENSCSAVG00000007923	Ciona_savignyi
ENSGMOP00000000084	ENSGMOG00000000069	Gadus_morhua
ENSPSIP00000017258	ENSPSIG00000015352	Pelodiscus_sinensis
ENSMPUP00000001345	ENSMPUG00000001357	Mustela_putorius_furo
ENSNVIP00000029915	ENSNVIG00000023027	Neovison_vison
ENSBTAP00000011040	ENSBTAG00000008388	Bos_taurus
ENSNSUP00000013353	ENSNSUG00000009069	Notechis_scutatus
ENSOMEP00000003088	ENSOMEG00000004006	Oryzias_melastigma
ENSPFOP00000019679	ENSPFOG00000019556	Poecilia_formosa
ENSMMOP00000021477	ENSMMOG00000016313	Mola_mola
ENSNMEP00000000304	ENSNMEG00000000439	Numida_meleagris
ENSTGUP00000003816	ENSTGUG00000003682	Taeniopygia_guttata
ENSODEP00000003226	ENSODEG00000002478	Octodon_degus
ENSPCIP00000009383	ENSPCIG00000007574	Phascolarctos_cinereus
ENSOCUP00000030129	ENSOCUG00000005996	Oryctolagus_cuniculus
ENSP00000245838	ENSG00000125676	Homo_sapiens
ENSBIXP00000023078	ENSBIXG00000025660	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPREP00000032098	ENSPREG00000021746	Poecilia_reticulata
ENSMEUP00000003250	ENSMEUG00000003533	Notamacropus_eugenii
ENSLCAP00010053514	ENSLCAG00010024835	Lates_calcarifer
ENSORLP00000010907	ENSORLG00000008692	Oryzias_latipes_ASM223467v1
ENSPLAP00000021714	ENSPLAG00000005761	Poecilia_latipinna
ENSSFOP00015007329	ENSSFOG00015004767	Scleropages_formosus
MGP_CAROLIEiJ_P0069436	MGP_CAROLIEiJ_G0027482	Mus_caroli_strain_CAROLI_EIJ
ENSCHIP00000031529	ENSCHIG00000025851	Capra_hircus
ENSCGOP00000027972	ENSCGOG00000011769	Cottoperca_gobio
C16A3.8.1	WBGene00015813	Caenorhabditis_elegans_strain_N2	C16A3.8.1
ENSMNEP00000019932	ENSMNEG00000033627	Macaca_nemestrina
ENSHHUP00000057220	ENSHHUG00000034075	Hucho_hucho
ENSMVIP00005007798	ENSMVIG00005005845	Manacus_vitellinus
ENSDORP00000026871	ENSDORG00000027353	Dipodomys_ordii
ENSRNOP00000058376	ENSRNOG00000042340	Rattus_norvegicus
ENSNGAP00000015139	ENSNGAG00000016184	Nannospalax_galili
ENSSMAP00000027113	ENSSMAG00000016574	Scophthalmus_maximus
ENSCJPP00005023756	ENSCJPG00005018783	Coturnix_japonica
ENSECAP00000008662	ENSECAG00000010431	Equus_caballus
ENSTBEP00000003799	ENSTBEG00000004420	Tupaia_belangeri
ENSMLUP00000021380	ENSMLUG00000026072	Myotis_lucifugus
ENSCLAP00000003699	ENSCLAG00000002641	Chinchilla_lanigera
ENSDNOP00000009708	ENSDNOG00000012487	Dasypus_novemcinctus
ENSLSDP00000006563	ENSLSDG00000004576	Lonchura_striata_domestica
ENSMZEP00005021112	ENSMZEG00005015842	Maylandia_zebra
ENSATEP00000018844	ENSATEG00000013110	Anabas_testudineus
ENSAOCP00000025441	ENSAOCG00000013305	Amphiprion_ocellaris
ENSHGLP00000005775	ENSHGLG00000004222	Heterocephalus_glaber_HetGla_female_1.0
ENSCSEP00000031182	ENSCSEG00000019946	Cynoglossus_semilaevis
ENSCGRP00000001615	ENSCGRG00000001226	Cricetulus_griseus_CriGri_1.0
ENSACIP00000019370	ENSACIG00000015022	Amphilophus_citrinellus
ENSBSLP00000015644	ENSBSLG00000007877	Betta_splendens
ENSJJAP00000014978	ENSJJAG00000017282	Jaculus_jaculus
ENSTGEP00000026483	ENSTGEG00000021308	Theropithecus_gelada
ENSCPUP00000002514	ENSCPUG00000001933	Calidris_pugnax
ENSSSCP00000054101	ENSSSCG00000012639	Sus_scrofa_strain_reference
ENSETEP00000013122	ENSETEG00000016183	Echinops_telfairi
ENSPMAP00000007993	ENSPMAG00000007219	Petromyzon_marinus
ENSMICP00000017085	ENSMICG00000011840	Microcebus_murinus
ENSCATP00000001280	ENSCATG00000003183	Cercocebus_atys
ENSSPAP00000031466	ENSSPAG00000023593	Stegastes_partitus
ENSIPUP00000023907	ENSIPUG00000015876	Ictalurus_punctatus
ENSPVIP00000033599	ENSPVIG00000024566	Pogona_vitticeps
ENSPPRP00000002776	ENSPPRG00000023137	Panthera_pardus
ENSCPGP00000015138	ENSCPGG00000010688	Calidris_pygmaea
ENSHHUP00000009979	ENSHHUG00000005781	Hucho_hucho
ENSFCAP00000033082	ENSFCAG00000008301	Felis_catus
ENSMUGP00000018372	ENSMUGG00000015572	Meriones_unguiculatus
ENSMUGP00000029403	ENSMUGG00000024397	Meriones_unguiculatus
ENSPRNP00000054070	ENSPRNG00000025155	Parambassis_ranga
ENSCCAP00000009086	ENSCCAG00000021906	Cebus_capucinus_imitator
ENSSLDP00000020211	ENSSLDG00000015816	Seriola_lalandi_dorsalis
ENSELUP00000006936	ENSELUG00000007778	Esox_lucius
MGP_SPRETEiJ_P0072102	MGP_SPRETEiJ_G0028479	Mus_spretus_strain_SPRET/EiJ
