ENSMUSP00000047284	ENSMUSG00000034833	Mus_musculus_strain_reference_(CL57BL6)
ENSSHAP00000008093	ENSSHAG00000007020	Sarcophilus_harrisii
ENSCANP00000016092	ENSCANG00000031483	Colobus_angolensis_palliatus
ENSUPAP00010029450	ENSUPAG00010023186	Urocitellus_parryii
ENSAOWP00000005035	ENSAOWG00000003477	Apteryx_owenii
ENSUPAP00010029451	ENSUPAG00010023187	Urocitellus_parryii
ENSLACP00000016465	ENSLACG00000014507	Latimeria_chalumnae
ENSSPUP00000012841	ENSSPUG00000009908	Sphenodon_punctatus	ENSSPUT00000013700
ENSPPRP00000008284	ENSPPRG00000003150	Panthera_pardus
ENSSTOP00000022294	ENSSTOG00000026493	Ictidomys_tridecemlineatus
ENSAMXP00005014848	ENSAMXG00005007896	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPSIP00000013167	ENSPSIG00000011821	Pelodiscus_sinensis
ENSPMEP00000025051	ENSPMEG00000007772	Poecilia_mexicana
ENSNVIP00000018642	ENSNVIG00000014615	Neovison_vison
ENSEEUP00000009648	ENSEEUG00000010603	Erinaceus_europaeus
ENSMSIP00000007225	ENSMSIG00000006337	Mus_spicilegus
ENSMZEP00005009008	ENSMZEG00005006827	Maylandia_zebra
ENSSSCP00000041518	ENSSSCG00000000299	Sus_scrofa_strain_reference
ENSECAP00000005781	ENSECAG00000007656	Equus_caballus
ENSTSYP00000009245	ENSTSYG00000010083	Carlito_syrichta
ENSMLEP00000029981	ENSMLEG00000039181	Mandrillus_leucophaeus
ENSOGAP00000008661	ENSOGAG00000009688	Otolemur_garnettii
ENSBMUP00000024583	ENSBMUG00000018473	Bos_mutus
ENSJHYP00000021007	ENSJHYG00000015884	Junco_hyemalis
ENSMPUP00000005469	ENSMPUG00000005511	Mustela_putorius_furo
ENSOANP00000019281	ENSOANG00000012177	Ornithorhynchus_anatinus
ENSP00000400892	ENSG00000135426	Homo_sapiens
ENSLCRP00005045362	ENSLCRG00005017346	Larimichthys_crocea
ENSPEMP00000028381	ENSPEMG00000023928	Peromyscus_maniculatus_bairdii
ENSCPGP00000003182	ENSCPGG00000002342	Calidris_pygmaea
ENSBIXP00000025979	ENSBIXG00000028071	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOMEP00000033100	ENSOMEG00000018881	Oryzias_melastigma
ENSGGOP00000002386	ENSGGOG00000002425	Gorilla_gorilla
ENSSDAP00000021259	ENSSDAG00000019347	Spermophilus_dauricus
ENSAMXP00000045056	ENSAMXG00000016692	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMEP00000004208	ENSAMEG00000003989	Ailuropoda_melanoleuca
ENSPTEP00000037294	ENSPTEG00000034896	Piliocolobus_tephrosceles
ENSMICP00000037538	ENSMICG00000038700	Microcebus_murinus
ENSACIP00000021697	ENSACIG00000016857	Amphilophus_citrinellus
ENSTGEP00000013772	ENSTGEG00000011172	Theropithecus_gelada
ENSSBOP00000025648	ENSSBOG00000029292	Saimiri_boliviensis_boliviensis
ENSPVIP00000033256	ENSPVIG00000024323	Pogona_vitticeps	ENSPVIT00000040709
ENSBIXP00005035737	ENSBIXG00005016988	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSDNVP00000001918	ENSDNVG00000001383	Dromaius_novaehollandiae
ENSFHEP00000030656	ENSFHEG00000016108	Fundulus_heteroclitus
ENSSLDP00000002283	ENSSLDG00000001873	Seriola_lalandi_dorsalis
ENSHGLP00000000149	ENSHGLG00000000168	Heterocephalus_glaber_HetGla_female_1.0
ENSUMAP00000015409	ENSUMAG00000011308	Ursus_maritimus
ENSCMIP00000044232	ENSCMIG00000018320	Callorhinchus_milii
ENSCJPP00005025596	ENSCJPG00005020085	Coturnix_japonica
ENSCABP00000029509	ENSCABG00000021649	Chelonoidis_abingdonii
ENSMOCP00000011728	ENSMOCG00000011978	Microtus_ochrogaster
ENSCCAP00000011354	ENSCCAG00000023429	Cebus_capucinus_imitator
ENSCPRP00005006250	ENSCPRG00005004475	Crocodylus_porosus
ENSPRNP00000016773	ENSPRNG00000008945	Parambassis_ranga
ENSAHAP00000024870	ENSAHAG00000017348	Apteryx_haastii
ENSTRUP00000052795	ENSTRUG00000025281	Takifugu_rubripes
ENSODEP00000020205	ENSODEG00000014898	Octodon_degus
ENSRROP00000027660	ENSRROG00000037625	Rhinopithecus_roxellana
ENSNGAP00000000017	ENSNGAG00000000016	Nannospalax_galili
ENSPSMP00000005105	ENSPSMG00000003962	Prolemur_simus
ENSTTRP00000015197	ENSTTRG00000016035	Tursiops_truncatus
ENSHHUP00000091141	ENSHHUG00000052590	Hucho_hucho
ENSRBIP00000031498	ENSRBIG00000039584	Rhinopithecus_bieti
ENSOPRP00000009492	ENSOPRG00000010404	Ochotona_princeps
ENSCHIP00000006548	ENSCHIG00000010350	Capra_hircus
ENSPNAP00000004749	ENSPNAG00000011137	Pygocentrus_nattereri
ENSOARP00000012613	ENSOARG00000011771	Ovis_aries
ENSCPUP00000007065	ENSCPUG00000005099	Calidris_pugnax
ENSELUP00000032686	ENSELUG00000010666	Esox_lucius
ENSKMAP00000016242	ENSKMAG00000012119	Kryptolebias_marmoratus
ENSCSEP00000016513	ENSCSEG00000010620	Cynoglossus_semilaevis
ENSGMOP00000001354	ENSGMOG00000001306	Gadus_morhua
ENSJJAP00000015134	ENSJJAG00000017390	Jaculus_jaculus
ENSORLP00020016732	ENSORLG00020017797	Oryzias_latipes_ASM223471v1
ENSPCAP00000002616	ENSPCAG00000002801	Procavia_capensis
ENSLOCP00000006929	ENSLOCG00000005735	Lepisosteus_oculatus
ENSMMOP00000013522	ENSMMOG00000010376	Mola_mola
ENSMUGP00000027208	ENSMUGG00000022655	Meriones_unguiculatus
ENSPANP00000011428	ENSPANG00000007982	Papio_anubis
ENSMUNP00000009512	ENSMUNG00000007514	Melopsittacus_undulatus
ENSMFAP00000035244	ENSMFAG00000040218	Macaca_fascicularis
ENSORLP00015012431	ENSORLG00015013289	Oryzias_latipes_ASM223469v1
ENSLSDP00000001793	ENSLSDG00000001416	Lonchura_striata_domestica
ENSOCUP00000046862	ENSOCUG00000005603	Oryctolagus_cuniculus
ENSECRP00000007380	ENSECRG00000004927	Erpetoichthys_calabaricus
ENSAOCP00000002120	ENSAOCG00000005211	Amphiprion_ocellaris
ENSARWP00000026843	ENSARWG00000018146	Apteryx_rowi
ENSTNIP00000002905	ENSTNIG00000001325	Tetraodon_nigroviridis
ENSIPUP00000035358	ENSIPUG00000023710	Ictalurus_punctatus
ENSHHUP00000002062	ENSHHUG00000001338	Hucho_hucho
ENSPVAP00000008818	ENSPVAG00000009355	Pteropus_vampyrus
ENSFCAP00000012318	ENSFCAG00000013282	Felis_catus
ENSSMAP00000020881	ENSSMAG00000012798	Scophthalmus_maximus
ENSMEUP00000003907	ENSMEUG00000004290	Notamacropus_eugenii
MGP_CAROLIEiJ_P0025272	MGP_CAROLIEiJ_G0016003	Mus_caroli_strain_CAROLI_EIJ
ENSSMRP00000001929	ENSSMRG00000001676	Salvator_merianae	ENSSMRT00000002310
ENSMMMP00000004409	ENSMMMG00000004009	Marmota_marmota_marmota
ENSCPOP00000002644	ENSCPOG00000002912	Cavia_porcellus
ENSCGRP00001000024	ENSCGRG00001000048	Cricetulus_griseus_CHOK1GS_HDv1
ENSXMAP00000029968	ENSXMAG00000028667	Xiphophorus_maculatus
ENSMAMP00000015187	ENSMAMG00000010311	Mastacembelus_armatus
ENSPTIP00000003049	ENSPTIG00000005862	Panthera_tigris_altaica
ENSATEP00000036400	ENSATEG00000025011	Anabas_testudineus
ENSCGRP00000022704	ENSCGRG00000016448	Cricetulus_griseus_CriGri_1.0
ENSPLAP00000014043	ENSPLAG00000017648	Poecilia_latipinna
ENSAPEP00000011705	ENSAPEG00000008368	Amphiprion_percula
ENSDCDP00000055802	ENSDCDG00000032921	Denticeps_clupeoides
ENSHCOP00000000254	ENSHCOG00000001023	Hippocampus_comes
ENSGWIP00000053870	ENSGWIG00000025843	Gouania_willdenowi
ENSDARP00000129230	ENSDARG00000053311	Danio_rerio
ENSLCAP00010036314	ENSLCAG00010017018	Lates_calcarifer
ENSMNEP00000037218	ENSMNEG00000041682	Macaca_nemestrina
ENSCHAP00000033045	ENSCHAG00000015761	Clupea_harengus
MGP_SPRETEiJ_P0026586	MGP_SPRETEiJ_G0016841	Mus_spretus_strain_SPRET/EiJ
ENSCGOP00000006723	ENSCGOG00000003488	Cottoperca_gobio
ENSDNOP00000012971	ENSDNOG00000016743	Dasypus_novemcinctus
ENSACAP00000014621	ENSACAG00000014903	Anolis_carolinensis	ENSACAT00000014917
ENSCAFP00000039157	ENSCAFG00000006349	Canis_lupus_familiaris
ENSHBUP00000016654	ENSHBUG00000018625	Haplochromis_burtoni
ENSORLP00000041127	ENSORLG00000005202	Oryzias_latipes_ASM223467v1
ENSGALP00000057704	ENSGALG00000037826	Gallus_gallus
ENSVURP00010010806	ENSVURG00010008346	Vombatus_ursinus
ENSLAFP00000012040	ENSLAFG00000014383	Loxodonta_africana
ENSETEP00000003301	ENSETEG00000004028	Echinops_telfairi
ENSACLP00000027239	ENSACLG00000018522	Astatotilapia_calliptera
ENSCATP00000003139	ENSCATG00000012622	Cercocebus_atys
ENSCJAP00000035489	ENSCJAG00000019103	Callithrix_jacchus
ENSPPAP00000030093	ENSPPAG00000038042	Pan_paniscus
ENSCAPP00000004810	ENSCAPG00000007273	Cavia_aperea
ENSANAP00000040265	ENSANAG00000037498	Aotus_nancymaae
ENSCHOP00000010457	ENSCHOG00000011838	Choloepus_hoffmanni
ENSBBBP00000027558	ENSBBBG00000008314	Bison_bison_bison
ENSGACP00000008820	ENSGACG00000006657	Gasterosteus_aculeatus
ENSMMUP00000056944	ENSMMUG00000016203	Macaca_mulatta
ENSUAMP00000003868	ENSUAMG00000003572	Ursus_americanus
ENSVVUP00000032637	ENSVVUG00000023659	Vulpes_vulpes
ENSPFOP00000007519	ENSPFOG00000007616	Poecilia_formosa
ENSMAUP00000014727	ENSMAUG00000014405	Mesocricetus_auratus
ENSNLEP00000021383	ENSNLEG00000017620	Nomascus_leucogenys
ENSMLUP00000004938	ENSMLUG00000005407	Myotis_lucifugus
ENSBTAP00000006753	ENSBTAG00000005120	Bos_taurus
ENSBSLP00000053353	ENSBSLG00000025126	Betta_splendens
ENSMMMP00000004422	ENSMMMG00000004016	Marmota_marmota_marmota
ENSSFOP00015016689	ENSSFOG00015010761	Scleropages_formosus
ENSCCNP00000022940	ENSCCNG00000022567	Castor_canadensis
MGP_PahariEiJ_P0087388	MGP_PahariEiJ_G0031071	Mus_pahari_strain_PAHARI_EIJ
ENSEEEP00000044609	ENSEEEG00000021066	Electrophorus_electricus
