ENSMUGP00000013846	ENSMUGG00000011990	Meriones_unguiculatus
ENSTRUP00000034051	ENSTRUG00000013359	Takifugu_rubripes
ENSDCDP00000042964	ENSDCDG00000027565	Denticeps_clupeoides
ENSKMAP00000005312	ENSKMAG00000004026	Kryptolebias_marmoratus
ENSGWIP00000019585	ENSGWIG00000010694	Gouania_willdenowi
ENSCCEP00000003258	ENSCCEG00000003654	Cyanistes_caeruleus
ENSPLAP00000005148	ENSPLAG00000007004	Poecilia_latipinna
ENSHHUP00000080278	ENSHHUG00000046748	Hucho_hucho
ENSSFOP00015033356	ENSSFOG00015021284	Scleropages_formosus
ENSSDUP00000012572	ENSSDUG00000009157	Seriola_dumerili
ENSPKIP00000029655	ENSPKIG00000010818	Paramormyrops_kingsleyae
ENSLCRP00005025091	ENSLCRG00005010045	Larimichthys_crocea
ENSCPGP00000026171	ENSCPGG00000018050	Calidris_pygmaea
ENSSSCP00000058002	ENSSSCG00000027076	Sus_scrofa_strain_reference
ENSJHYP00000004731	ENSJHYG00000003903	Junco_hyemalis
ENSPMEP00000012311	ENSPMEG00000014502	Poecilia_mexicana
ENSIPUP00000030414	ENSIPUG00000020546	Ictalurus_punctatus
ENSOPRP00000000746	ENSOPRG00000000819	Ochotona_princeps
ENSMPUP00000006177	ENSMPUG00000006230	Mustela_putorius_furo
ENSVVUP00000007655	ENSVVUG00000005800	Vulpes_vulpes
ENSVURP00010032350	ENSVURG00010024688	Vombatus_ursinus	ENSVURT00010036834
ENSHGLP00000022809	ENSHGLG00000016269	Heterocephalus_glaber_HetGla_female_1.0
ENSECAP00000054016	ENSECAG00000017872	Equus_caballus
ENSAPEP00000020120	ENSAPEG00000014374	Amphiprion_percula
ENSPNAP00000036245	ENSPNAG00000005034	Pygocentrus_nattereri
ENSMSIP00000029156	ENSMSIG00000024494	Mus_spicilegus
ENSOANP00000023585	ENSOANG00000014986	Ornithorhynchus_anatinus
ENSNBRP00000014087	ENSNBRG00000010900	Neolamprologus_brichardi
ENSSDAP00000014333	ENSSDAG00000012924	Spermophilus_dauricus
ENSHHUP00000024596	ENSHHUG00000015453	Hucho_hucho
ENSNLEP00000013098	ENSNLEG00000010782	Nomascus_leucogenys
ENSMMMP00000009087	ENSMMMG00000008123	Marmota_marmota_marmota
ENSBSLP00000042162	ENSBSLG00000020292	Betta_splendens
FBpp0072874	FBgn0266918	Drosophila_melanogaster
ENSXMAP00000031180	ENSXMAG00000002990	Xiphophorus_maculatus
ENSPFOP00000008005	ENSPFOG00000008037	Poecilia_formosa
ENSEEEP00000015642	ENSEEEG00000007751	Electrophorus_electricus
ENSBTAP00000010192	ENSBTAG00000035254	Bos_taurus
ENSCANP00000022874	ENSCANG00000034867	Colobus_angolensis_palliatus
ENSFCAP00000043491	ENSFCAG00000046222	Felis_catus
ENSMODP00000013672	ENSMODG00000010922	Monodelphis_domestica	ENSMODT00000013922
ENSCAFP00000050328	ENSCAFG00000001624	Canis_lupus_familiaris
ENSCSAP00000004589	ENSCSAG00000008341	Chlorocebus_sabaeus
ENSMALP00000022510	ENSMALG00000015718	Monopterus_albus
ENSEBUP00000003797	ENSEBUG00000002729	Eptatretus_burgeri
ENSSCAP00000009060	ENSSCAG00000006891	Serinus_canaria
ENSPCIP00000011154	ENSPCIG00000008992	Phascolarctos_cinereus	ENSPCIT00000013920
ENSAOCP00000000975	ENSAOCG00000003852	Amphiprion_ocellaris
ENSCGRP00015028968	ENSCGRG00015021919	Cricetulus_griseus_CriGri-PICR
ENSRROP00000031581	ENSRROG00000039487	Rhinopithecus_roxellana
ENSNSUP00000003490	ENSNSUG00000002826	Notechis_scutatus	ENSNSUT00000003754
ENSPTRP00000035418	ENSPTRG00000020704	Pan_troglodytes
ENSMUSP00000134739	ENSMUSG00000053929	Mus_musculus_strain_reference_(CL57BL6)
ENSPPRP00000028105	ENSPPRG00000020061	Panthera_pardus
ENSAMXP00000053799	ENSAMXG00000020589	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSACIP00000026238	ENSACIG00000020337	Amphilophus_citrinellus
ENSCMIP00000033277	ENSCMIG00000014204	Callorhinchus_milii
ENSCJAP00000039844	ENSCJAG00000021410	Callithrix_jacchus
ENSORLP00020033552	ENSORLG00020019592	Oryzias_latipes_ASM223471v1
ENSFALP00000000021	ENSFALG00000000019	Ficedula_albicollis
ENSMMOP00000026022	ENSMMOG00000019739	Mola_mola
ENSPPAP00000030972	ENSPPAG00000038431	Pan_paniscus
ENSAMXP00005044324	ENSAMXG00005020573	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSGAFP00000023060	ENSGAFG00000015569	Gambusia_affinis
MGP_PahariEiJ_P0042089	MGP_PahariEiJ_G0019949	Mus_pahari_strain_PAHARI_EIJ
ENSCGRP00001023428	ENSCGRG00001021654	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000021395	ENSMAUG00000019135	Mesocricetus_auratus
ENSPCAP00000011279	ENSPCAG00000012155	Procavia_capensis
ENSCAPP00000018146	ENSCAPG00000017623	Cavia_aperea
ENSPMAP00000001456	ENSPMAG00000001321	Petromyzon_marinus
ENSPSMP00000036426	ENSPSMG00000025054	Prolemur_simus
ENSCSAVP00000007412	ENSCSAVG00000004432	Ciona_savignyi
ENSCCAP00000006482	ENSCCAG00000020960	Cebus_capucinus_imitator
ENSJJAP00000008535	ENSJJAG00000012666	Jaculus_jaculus
ENSXCOP00000026969	ENSXCOG00000020145	Xiphophorus_couchianus
ENSSPUP00000009950	ENSSPUG00000007673	Sphenodon_punctatus
ENSPTIP00000022988	ENSPTIG00000019605	Panthera_tigris_altaica
ENSEASP00005015465	ENSEASG00005010794	Equus_asinus_asinus
ENSLACP00000007136	ENSLACG00000006331	Latimeria_chalumnae
ENSBMUP00000033161	ENSBMUG00000024768	Bos_mutus
ENSECRP00000025279	ENSECRG00000017073	Erpetoichthys_calabaricus
ENSCINP00000022659	ENSCING00000012017	Ciona_intestinalis
ENSHGLP00000022052	ENSHGLG00000015729	Heterocephalus_glaber_HetGla_female_1.0
ENSMLUP00000019603	ENSMLUG00000009491	Myotis_lucifugus
ENSACLP00000028050	ENSACLG00000019052	Astatotilapia_calliptera
ENSMMUP00000059801	ENSMMUG00000002659	Macaca_mulatta
ENSATEP00000022406	ENSATEG00000015544	Anabas_testudineus
ENSSBOP00000015351	ENSSBOG00000024398	Saimiri_boliviensis_boliviensis
MGP_CAROLIEiJ_P0038718	MGP_CAROLIEiJ_G0019939	Mus_caroli_strain_CAROLI_EIJ
ENSCHIP00000005633	ENSCHIG00000009689	Capra_hircus
ENSCGRP00000006057	ENSCGRG00000004438	Cricetulus_griseus_CriGri_1.0
ENSPNYP00000012959	ENSPNYG00000009822	Pundamilia_nyererei
ENSTBEP00000015416	ENSTBEG00000017723	Tupaia_belangeri
ENSOCUP00000003613	ENSOCUG00000004179	Oryctolagus_cuniculus
ENSGAGP00000012414	ENSGAGG00000009502	Gopherus_agassizii
ENSPREP00000007871	ENSPREG00000005377	Poecilia_reticulata
ENSLBEP00000003558	ENSLBEG00000002750	Labrus_bergylta
ENSELUP00000026590	ENSELUG00000002515	Esox_lucius
ENSANAP00000011794	ENSANAG00000023836	Aotus_nancymaae
ENSPRNP00000005139	ENSPRNG00000003023	Parambassis_ranga
ENSDNOP00000031617	ENSDNOG00000039967	Dasypus_novemcinctus
ENSHCOP00000003675	ENSHCOG00000005045	Hippocampus_comes
ENSCAFP00020026631	ENSCAFG00020020927	Canis_lupus_dingo
ENSPANP00000026028	ENSPANG00000024707	Papio_anubis
ENSHBUP00000032321	ENSHBUG00000018564	Haplochromis_burtoni
ENSACAP00000007369	ENSACAG00000007538	Anolis_carolinensis
ENSCSEP00000025468	ENSCSEG00000016245	Cynoglossus_semilaevis
ENSNVIP00000031400	ENSNVIG00000024141	Neovison_vison
ENSARWP00000016808	ENSARWG00000011599	Apteryx_rowi
ENSAHAP00000018599	ENSAHAG00000013189	Apteryx_haastii
ENSTNIP00000020100	ENSTNIG00000016977	Tetraodon_nigroviridis
ENSMLEP00000013803	ENSMLEG00000031064	Mandrillus_leucophaeus
ENSMFAP00000035789	ENSMFAG00000034263	Macaca_fascicularis
ENSSMRP00000011554	ENSSMRG00000009088	Salvator_merianae	ENSSMRT00000013462
ENSEBUP00000014495	ENSEBUG00000009136	Eptatretus_burgeri
ENSTSYP00000021174	ENSTSYG00000033355	Carlito_syrichta
ENSMAMP00000017324	ENSMAMG00000011735	Mastacembelus_armatus
ENSLAFP00000005312	ENSLAFG00000006330	Loxodonta_africana
ENSCLAP00000020449	ENSCLAG00000014013	Chinchilla_lanigera
ENSMNEP00000039395	ENSMNEG00000042634	Macaca_nemestrina
ENSOARP00000014139	ENSOARG00000013192	Ovis_aries
ENSUMAP00000026761	ENSUMAG00000019479	Ursus_maritimus
ENSGMOP00000011161	ENSGMOG00000010429	Gadus_morhua
ENSRBIP00000040939	ENSRBIG00000043851	Rhinopithecus_bieti
ENSSTOP00000026963	ENSSTOG00000030890	Ictidomys_tridecemlineatus
ENSOMEP00000027245	ENSOMEG00000009594	Oryzias_melastigma
ENSSPAP00000022287	ENSSPAG00000016837	Stegastes_partitus
ENSSHAP00000009193	ENSSHAG00000007957	Sarcophilus_harrisii
ENSSMAP00000017569	ENSSMAG00000010771	Scophthalmus_maximus
ENSSLDP00000012557	ENSSLDG00000009992	Seriola_lalandi_dorsalis
ENSETEP00000004316	ENSETEG00000005308	Echinops_telfairi
ENSMOCP00000011938	ENSMOCG00000012195	Microtus_ochrogaster
ENSBIXP00005004157	ENSBIXG00005010166	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPTEP00000022510	ENSPTEG00000023448	Piliocolobus_tephrosceles
ENSBBBP00000004293	ENSBBBG00000013238	Bison_bison_bison
ENSPVIP00000019429	ENSPVIG00000014825	Pogona_vitticeps
ENSTGUP00000017321	ENSTGUG00000017044	Taeniopygia_guttata
ENSPPYP00000021283	ENSPPYG00000018977	Pongo_abelii
ENSFDAP00000015149	ENSFDAG00000002835	Fukomys_damarensis
ENSLCOP00000003422	ENSLCOG00000002585	Lepidothrix_coronata
ENSORLP00000014531	ENSORLG00000011594	Oryzias_latipes_ASM223467v1
ENSUPAP00010029977	ENSUPAG00010023557	Urocitellus_parryii
ENSCVAP00000023641	ENSCVAG00000007158	Cyprinodon_variegatus
ENSDARP00000081094	ENSDARG00000061057	Danio_rerio
ENSCPUP00000011840	ENSCPUG00000008394	Calidris_pugnax
ENSPVAP00000006386	ENSPVAG00000006767	Pteropus_vampyrus
MGP_SPRETEiJ_P0040529	MGP_SPRETEiJ_G0020842	Mus_spretus_strain_SPRET/EiJ
ENSUAMP00000007539	ENSUAMG00000006522	Ursus_americanus
ENSCPBP00000026728	ENSCPBG00000018977	Chrysemys_picta_bellii
ENSFHEP00000006827	ENSFHEG00000007922	Fundulus_heteroclitus
ENSCHAP00000051522	ENSCHAG00000023599	Clupea_harengus
