ENSPREP00000012065	ENSPREG00000008204	Poecilia_reticulata
ENSCAPP00000013680	ENSCAPG00000014256	Cavia_aperea
ENSCLAP00000021969	ENSCLAG00000015055	Chinchilla_lanigera
ENSMOCP00000000828	ENSMOCG00000000648	Microtus_ochrogaster
ENSMOCP00000005145	ENSMOCG00000004581	Microtus_ochrogaster
ENSMAUP00000014194	ENSMAUG00000014028	Mesocricetus_auratus
ENSMUGP00000016812	ENSMUGG00000014372	Meriones_unguiculatus
ENSMSIP00000034828	ENSMSIG00000029062	Mus_spicilegus
ENSNGAP00000015342	ENSNGAG00000016385	Nannospalax_galili
ENSCANP00000017290	ENSCANG00000032092	Colobus_angolensis_palliatus
ENSCSAP00000019012	ENSCSAG00000019508	Chlorocebus_sabaeus
ENSCATP00000031420	ENSCATG00000038834	Cercocebus_atys
ENSPANP00000028215	ENSPANG00000010235	Papio_anubis
ENSMFAP00000020749	ENSMFAG00000033318	Macaca_fascicularis
ENSMLEP00000028434	ENSMLEG00000038432	Mandrillus_leucophaeus
ENSMNEP00000001309	ENSMNEG00000005892	Macaca_nemestrina
ENSCAFP00020005044	ENSCAFG00020004144	Canis_lupus_dingo
ENSCAFP00000051517	ENSCAFG00000042364	Canis_lupus_familiaris
ENSCHIP00000026982	ENSCHIG00000023100	Capra_hircus
ENSNVIP00000029313	ENSNVIG00000022586	Neovison_vison
ENSEASP00005018260	ENSEASG00005012593	Equus_asinus_asinus
ENSMOCP00000025006	ENSMOCG00000021255	Microtus_ochrogaster
ENSPEMP00000032958	ENSPEMG00000028045	Peromyscus_maniculatus_bairdii
ENSJJAP00000022112	ENSJJAG00000022270	Jaculus_jaculus
ENSRROP00000030997	ENSRROG00000039209	Rhinopithecus_roxellana
ENSCSAP00000017079	ENSCSAG00000000929	Chlorocebus_sabaeus
ENSMSIP00000025895	ENSMSIG00000021859	Mus_spicilegus
ENSCGRP00015014670	ENSCGRG00015011302	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001005825	ENSCGRG00001007720	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000010120	ENSCGRG00000007382	Cricetulus_griseus_CriGri_1.0
ENSCGRP00000022054	ENSCGRG00000015986	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001012291	ENSCGRG00001013740	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000024017	ENSMOCG00000020573	Microtus_ochrogaster
ENSMOCP00000002985	ENSMOCG00000002378	Microtus_ochrogaster
ENSODEP00000013599	ENSODEG00000010047	Octodon_degus
ENSODEP00000022685	ENSODEG00000016649	Octodon_degus
ENSCGRP00000025728	ENSCGRG00000018726	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001007713	ENSCGRG00001010099	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015031879	ENSCGRG00015024047	Cricetulus_griseus_CriGri-PICR
ENSNGAP00000012254	ENSNGAG00000014180	Nannospalax_galili
ENSNGAP00000009202	ENSNGAG00000011953	Nannospalax_galili
ENSTSYP00000023879	ENSTSYG00000026668	Carlito_syrichta
ENSDNOP00000008710	ENSDNOG00000011230	Dasypus_novemcinctus
ENSETEP00000012014	ENSETEG00000014825	Echinops_telfairi
ENSP00000496250	ENSG00000142676	Homo_sapiens
ENSPTRP00000089839	ENSPTRG00000000334	Pan_troglodytes
ENSTGEP00000004827	ENSTGEG00000004039	Theropithecus_gelada
ENSPANP00000023211	ENSPANG00000033920	Papio_anubis
ENSCJAP00000038979	ENSCJAG00000020953	Callithrix_jacchus
ENSCCAP00000018970	ENSCCAG00000027290	Cebus_capucinus_imitator
ENSTSYP00000001252	ENSTSYG00000001349	Carlito_syrichta
ENSNGAP00000017795	ENSNGAG00000018109	Nannospalax_galili
ENSMUGP00000024744	ENSMUGG00000020668	Meriones_unguiculatus
ENSMMMP00000021311	ENSMMMG00000018781	Marmota_marmota_marmota
ENSPPAP00000019520	ENSPPAG00000032945	Pan_paniscus
ENSPPYP00000002010	ENSPPYG00000001736	Pongo_abelii
ENSNLEP00000032343	ENSNLEG00000028203	Nomascus_leucogenys
ENSMFAP00000011850	ENSMFAG00000017384	Macaca_fascicularis
ENSMNEP00000009792	ENSMNEG00000029303	Macaca_nemestrina
ENSMLEP00000016699	ENSMLEG00000032521	Mandrillus_leucophaeus
ENSCANP00000002939	ENSCANG00000010609	Colobus_angolensis_palliatus
ENSPCOP00000026229	ENSPCOG00000025449	Propithecus_coquereli
ENSMUSP00000099595	ENSMUSG00000059291	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0080311	MGP_PahariEiJ_G0028987	Mus_pahari_strain_PAHARI_EIJ
ENSJJAP00000013194	ENSJJAG00000016031	Jaculus_jaculus
ENSSDAP00000022300	ENSSDAG00000020278	Spermophilus_dauricus
ENSUPAP00010026525	ENSUPAG00010020974	Urocitellus_parryii
ENSCATP00000007378	ENSCATG00000021760	Cercocebus_atys
ENSCATP00000000291	ENSCATG00000001301	Cercocebus_atys
ENSANAP00000040984	ENSANAG00000037822	Aotus_nancymaae
MGP_CAROLIEiJ_P0065231	MGP_CAROLIEiJ_G0026654	Mus_caroli_strain_CAROLI_EIJ
ENSDORP00000018375	ENSDORG00000025287	Dipodomys_ordii
ENSCHIP00000022668	ENSCHIG00000020543	Capra_hircus
ENSCHIP00000027467	ENSCHIG00000023371	Capra_hircus
ENSBIXP00005022996	ENSBIXG00005004399	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSEEUP00000010642	ENSEEUG00000011673	Erinaceus_europaeus
ENSPVAP00000004054	ENSPVAG00000004282	Pteropus_vampyrus
ENSPPRP00000014898	ENSPPRG00000007647	Panthera_pardus
ENSPTIP00000001685	ENSPTIG00000004366	Panthera_tigris_altaica
ENSNVIP00000029844	ENSNVIG00000023007	Neovison_vison
ENSECAP00000026018	ENSECAG00000038599	Equus_caballus
ENSMSIP00000006961	ENSMSIG00000006173	Mus_spicilegus
ENSMSIP00000004988	ENSMSIG00000004514	Mus_spicilegus
MGP_SPRETEiJ_P0067772	MGP_SPRETEiJ_G0027634	Mus_spretus_strain_SPRET/EiJ
ENSCCNP00000022771	ENSCCNG00000022401	Castor_canadensis
ENSPTEP00000011320	ENSPTEG00000012761	Piliocolobus_tephrosceles
ENSPTEP00000017618	ENSPTEG00000019146	Piliocolobus_tephrosceles
ENSRBIP00000007510	ENSRBIG00000027604	Rhinopithecus_bieti
ENSGGOP00000020115	ENSGGOG00000014628	Gorilla_gorilla
ENSCSAP00000017716	ENSCSAG00000000280	Chlorocebus_sabaeus
ENSSBOP00000038206	ENSSBOG00000035179	Saimiri_boliviensis_boliviensis
ENSMAUP00000002980	ENSMAUG00000002975	Mesocricetus_auratus
ENSMOCP00000009394	ENSMOCG00000009548	Microtus_ochrogaster
ENSMPUP00000020014	ENSMPUG00000020149	Mustela_putorius_furo
ENSNVIP00000003720	ENSNVIG00000002970	Neovison_vison
ENSBBBP00000021189	ENSBBBG00000001179	Bison_bison_bison
ENSPCAP00000004182	ENSPCAG00000004489	Procavia_capensis
ENSTBEP00000006776	ENSTBEG00000007838	Tupaia_belangeri
ENSNGAP00000000379	ENSNGAG00000000298	Nannospalax_galili
ENSSBOP00000007553	ENSSBOG00000020669	Saimiri_boliviensis_boliviensis
ENSLAFP00000028656	ENSLAFG00000030853	Loxodonta_africana
ENSCGRP00000000439	ENSCGRG00000000391	Cricetulus_griseus_CriGri_1.0
ENSRNOP00000005511	ENSRNOG00000004163	Rattus_norvegicus
ENSJJAP00000019513	ENSJJAG00000020450	Jaculus_jaculus
ENSCCAP00000000592	ENSCCAG00000002920	Cebus_capucinus_imitator
ENSCJAP00000072852	ENSCJAG00000063689	Callithrix_jacchus
ENSPTRP00000091393	ENSPTRG00000045554	Pan_troglodytes
ENSPPAP00000002561	ENSPPAG00000011196	Pan_paniscus
ENSGGOP00000049787	ENSGGOG00000022399	Gorilla_gorilla
ENSNLEP00000035415	ENSNLEG00000028212	Nomascus_leucogenys
ENSTSYP00000023407	ENSTSYG00000027649	Carlito_syrichta
ENSPTIP00000005427	ENSPTIG00000007650	Panthera_tigris_altaica
ENSRBIP00000000335	ENSRBIG00000001691	Rhinopithecus_bieti
ENSRROP00000005265	ENSRROG00000021726	Rhinopithecus_roxellana
ENSPCIP00000053723	ENSPCIG00000037262	Phascolarctos_cinereus
ENSPCIP00000051773	ENSPCIG00000032320	Phascolarctos_cinereus
ENSVURP00010027456	ENSVURG00010021019	Vombatus_ursinus
ENSODEP00000001306	ENSODEG00000001032	Octodon_degus
ENSODEP00000002960	ENSODEG00000002269	Octodon_degus
ENSHGLP00000007305	ENSHGLG00000005322	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000008300	ENSHGLG00000006006	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003510	ENSHGLG00100002671	Heterocephalus_glaber_HetGla_1.0
ENSMAUP00000009414	ENSMAUG00000010575	Mesocricetus_auratus
ENSMAUP00000004629	ENSMAUG00000006096	Mesocricetus_auratus
ENSMAUP00000002592	ENSMAUG00000002256	Mesocricetus_auratus
ENSMSIP00000034012	ENSMSIG00000028405	Mus_spicilegus
ENSBIXP00000037072	ENSBIXG00000003811	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPCIP00000034388	ENSPCIG00000033328	Phascolarctos_cinereus
ENSMAUP00000012550	ENSMAUG00000012828	Mesocricetus_auratus
ENSCHAP00000032673	ENSCHAG00000015580	Clupea_harengus
ENSNBRP00000012608	ENSNBRG00000009835	Neolamprologus_brichardi
ENSCAFP00000031345	ENSCAFG00000023440	Canis_lupus_familiaris
ENSCAFP00020030997	ENSCAFG00020024210	Canis_lupus_dingo
ENSVVUP00000025385	ENSVVUG00000018614	Vulpes_vulpes
ENSPPRP00000018530	ENSPPRG00000010164	Panthera_pardus
ENSSSCP00000032950	ENSSSCG00000036398	Sus_scrofa_strain_reference
ENSOMEP00000005871	ENSOMEG00000006909	Oryzias_melastigma
ENSSLDP00000011095	ENSSLDG00000008766	Seriola_lalandi_dorsalis
ENSCGRP00015025742	ENSCGRG00015019547	Cricetulus_griseus_CriGri-PICR
ENSCMIP00000003815	ENSCMIG00000002282	Callorhinchus_milii	ENSCMIT00000003960
ENSLOCP00000001062	ENSLOCG00000000953	Lepisosteus_oculatus
ENSECRP00000018282	ENSECRG00000012214	Erpetoichthys_calabaricus
ENSFHEP00000030016	ENSFHEG00000015082	Fundulus_heteroclitus
ENSDARP00000063869	ENSDARG00000043509	Danio_rerio
ENSPLAP00000002940	ENSPLAG00000004334	Poecilia_latipinna
ENSPFOP00000003616	ENSPFOG00000003710	Poecilia_formosa
ENSGAFP00000021718	ENSGAFG00000014635	Gambusia_affinis
ENSXMAP00000016360	ENSXMAG00000016325	Xiphophorus_maculatus
ENSCVAP00000016432	ENSCVAG00000019408	Cyprinodon_variegatus
ENSAPLP00000030505	ENSAPLG00000029453	Anas_platyrhynchos_platyrhynchos
ENSPMJP00000000896	ENSPMJG00000000731	Parus_major
ENSNPEP00000015064	ENSNPEG00000011247	Nothoprocta_perdicaria
MGP_PahariEiJ_P0066422	MGP_PahariEiJ_G0025966	Mus_pahari_strain_PAHARI_EIJ
MGP_CAROLIEiJ_P0045011	MGP_CAROLIEiJ_G0021671	Mus_caroli_strain_CAROLI_EIJ
ENSOPRP00000013674	ENSOPRG00000014983	Ochotona_princeps
ENSMICP00000008711	ENSMICG00000009582	Microcebus_murinus
ENSPCOP00000023556	ENSPCOG00000023926	Propithecus_coquereli
ENSMMUP00000073605	ENSMMUG00000061630	Macaca_mulatta
ENSCAPP00000014849	ENSCAPG00000015125	Cavia_aperea
ENSMUNP00000002518	ENSMUNG00000002224	Melopsittacus_undulatus
ENSTNIP00000005169	ENSTNIG00000002616	Tetraodon_nigroviridis
ENSTRUP00000055933	ENSTRUG00000020944	Takifugu_rubripes
ENSMMOP00000001298	ENSMMOG00000001098	Mola_mola
ENSLBEP00000003874	ENSLBEG00000002984	Labrus_bergylta
ENSELUP00000024589	ENSELUG00000023364	Esox_lucius
ENSGWIP00000009138	ENSGWIG00000005442	Gouania_willdenowi
ENSSPAP00000002188	ENSSPAG00000001672	Stegastes_partitus
ENSMALP00000015013	ENSMALG00000010547	Monopterus_albus
ENSSLDP00000024430	ENSSLDG00000019043	Seriola_lalandi_dorsalis
ENSSDUP00000011312	ENSSDUG00000008255	Seriola_dumerili
ENSCGOP00000038297	ENSCGOG00000017530	Cottoperca_gobio
ENSOMEP00000032647	ENSOMEG00000018186	Oryzias_melastigma
ENSORLP00015001636	ENSORLG00015002266	Oryzias_latipes_ASM223469v1
ENSSMAP00000030066	ENSSMAG00000018435	Scophthalmus_maximus
ENSGACP00000002780	ENSGACG00000002118	Gasterosteus_aculeatus
ENSATEP00000004548	ENSATEG00000003155	Anabas_testudineus
ENSKMAP00000000458	ENSKMAG00000000381	Kryptolebias_marmoratus
ENSLCAP00010026882	ENSLCAG00010012589	Lates_calcarifer
ENSCSEP00000012318	ENSCSEG00000007952	Cynoglossus_semilaevis
ENSAPOP00000003247	ENSAPOG00000004725	Acanthochromis_polyacanthus
ENSACLP00000033185	ENSACLG00000022487	Astatotilapia_calliptera
ENSMZEP00005034907	ENSMZEG00005026109	Maylandia_zebra
ENSPNYP00000009677	ENSPNYG00000007331	Pundamilia_nyererei
ENSONIP00000022383	ENSONIG00000017753	Oreochromis_niloticus
ENSHCOP00000006666	ENSHCOG00000008500	Hippocampus_comes
ENSGMOP00000012827	ENSGMOG00000011990	Gadus_morhua
ENSMAMP00000011477	ENSMAMG00000007767	Mastacembelus_armatus
ENSBSLP00000037777	ENSBSLG00000018421	Betta_splendens
ENSPRNP00000001385	ENSPRNG00000000911	Parambassis_ranga
ENSHHUP00000034518	ENSHHUG00000021625	Hucho_hucho
ENSAMXP00005051309	ENSAMXG00005023194	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000050523	ENSAMXG00000034710	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000035802	ENSPNAG00000026061	Pygocentrus_nattereri
ENSEEEP00000018108	ENSEEEG00000008901	Electrophorus_electricus
ENSIPUP00000029352	ENSIPUG00000019795	Ictalurus_punctatus
ENSSFOP00015035255	ENSSFOG00015022461	Scleropages_formosus
ENSORLP00020011020	ENSORLG00020011962	Oryzias_latipes_ASM223471v1
ENSORLP00000030736	ENSORLG00000007578	Oryzias_latipes_ASM223467v1
ENSAOCP00000017066	ENSAOCG00000002035	Amphiprion_ocellaris
ENSLCRP00005001999	ENSLCRG00005000999	Larimichthys_crocea
ENSPMGP00000029687	ENSPMGG00000023894	Periophthalmus_magnuspinnatus
ENSHBUP00000015124	ENSHBUG00000017027	Haplochromis_burtoni
ENSACIP00000001420	ENSACIG00000001176	Amphilophus_citrinellus
ENSAPEP00000023013	ENSAPEG00000016389	Amphiprion_percula
ENSHHUP00000019209	ENSHHUG00000011940	Hucho_hucho
ENSDCDP00000035772	ENSDCDG00000023931	Denticeps_clupeoides
ENSPKIP00000006743	ENSPKIG00000022899	Paramormyrops_kingsleyae
ENSXETP00000043874	ENSXETG00000010148	Xenopus_tropicalis
ENSCMIP00000039748	ENSCMIG00000016623	Callorhinchus_milii
ENSPKIP00000006788	ENSPKIG00000022926	Paramormyrops_kingsleyae
ENSNBRP00000022678	ENSNBRG00000017377	Neolamprologus_brichardi
ENSPMAP00000010426	ENSPMAG00000009481	Petromyzon_marinus
ENSEBUP00000003143	ENSEBUG00000002312	Eptatretus_burgeri
ENSCINP00000006833	ENSCING00000003326	Ciona_intestinalis
ENSCSAVP00000001143	ENSCSAVG00000000639	Ciona_savignyi
FBpp0309436	FBgn0013325	Drosophila_melanogaster
YDR237W_mRNA	YDR237W	Saccharomyces_cerevisiae_strain_S288C
YPR102C_mRNA	YPR102C	Saccharomyces_cerevisiae_strain_S288C
YGR085C_mRNA	YGR085C	Saccharomyces_cerevisiae_strain_S288C
ENSSLDP00000001888	ENSSLDG00000001556	Seriola_lalandi_dorsalis
F07D10.1.1	WBGene00004423	Caenorhabditis_elegans_strain_N2
T22F3.4a.1	WBGene00004422	Caenorhabditis_elegans_strain_N2
