ENSMEUP00000014176	ENSMEUG00000015523	Notamacropus_eugenii
ENSPTRP00000069692	ENSPTRG00000000038	Pan_troglodytes
ENSPPYP00000002308	ENSPPYG00000001994	Pongo_abelii
ENSNLEP00000000161	ENSNLEG00000000139	Nomascus_leucogenys
ENSTGEP00000014763	ENSTGEG00000011994	Theropithecus_gelada
ENSCSAP00000017307	ENSCSAG00000000700	Chlorocebus_sabaeus
ENSCATP00000011305	ENSCATG00000029870	Cercocebus_atys
ENSMLEP00000020578	ENSMLEG00000034493	Mandrillus_leucophaeus
ENSMFAP00000008268	ENSMFAG00000001320	Macaca_fascicularis
ENSMNEP00000010838	ENSMNEG00000029809	Macaca_nemestrina
ENSMMUP00000064823	ENSMMUG00000010879	Macaca_mulatta
ENSPANP00000044085	ENSPANG00000005057	Papio_anubis
ENSPTEP00000015974	ENSPTEG00000017603	Piliocolobus_tephrosceles
ENSCANP00000024860	ENSCANG00000035835	Colobus_angolensis_palliatus
ENSRBIP00000042848	ENSRBIG00000044649	Rhinopithecus_bieti
ENSRROP00000040662	ENSRROG00000043567	Rhinopithecus_roxellana
ENSSBOP00000007799	ENSSBOG00000020813	Saimiri_boliviensis_boliviensis
ENSCCAP00000023112	ENSCCAG00000029324	Cebus_capucinus_imitator
ENSCJAP00000020028	ENSCJAG00000010843	Callithrix_jacchus
ENSANAP00000016451	ENSANAG00000026098	Aotus_nancymaae
ENSTSYP00000028757	ENSTSYG00000027580	Carlito_syrichta
ENSMICP00000013805	ENSMICG00000015125	Microcebus_murinus
ENSPSMP00000020199	ENSPSMG00000014270	Prolemur_simus
ENSPCOP00000001886	ENSPCOG00000005806	Propithecus_coquereli
ENSOGAP00000004263	ENSOGAG00000004765	Otolemur_garnettii
ENSTBEP00000004333	ENSTBEG00000004981	Tupaia_belangeri
ENSSTOP00000027005	ENSSTOG00000012783	Ictidomys_tridecemlineatus
ENSSDAP00000003157	ENSSDAG00000002985	Spermophilus_dauricus
ENSUPAP00010023003	ENSUPAG00010018243	Urocitellus_parryii
ENSMMMP00000021771	ENSMMMG00000019153	Marmota_marmota_marmota
ENSSTOP00000031124	ENSSTOG00000012187	Ictidomys_tridecemlineatus
ENSCLAP00000008705	ENSCLAG00000006095	Chinchilla_lanigera
ENSODEP00000013425	ENSODEG00000009926	Octodon_degus
ENSCAPP00000005234	ENSCAPG00000007588	Cavia_aperea
ENSCPOP00000031059	ENSCPOG00000035655	Cavia_porcellus
ENSHGLP00000021967	ENSHGLG00000015679	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016250	ENSHGLG00100012000	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000009709	ENSHGLG00000006966	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100000485	ENSHGLG00100000407	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000019930	ENSFDAG00000008808	Fukomys_damarensis
ENSCCNP00000002839	ENSCCNG00000003085	Castor_canadensis
ENSDORP00000010382	ENSDORG00000011044	Dipodomys_ordii
ENSMUSP00000101238	ENSMUSG00000029063	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000017000	ENSMSIG00000014535	Mus_spicilegus
MGP_SPRETEiJ_P0068887	MGP_SPRETEiJ_G0027885	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0066300	MGP_CAROLIEiJ_G0026892	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0081405	MGP_PahariEiJ_G0029240	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000022900	ENSRNOG00000016936	Rattus_norvegicus
ENSMUGP00000002982	ENSMUGG00000002790	Meriones_unguiculatus
ENSCGRP00015018893	ENSCGRG00015014529	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000021164	ENSCGRG00000015374	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001009676	ENSCGRG00001011736	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000015940	ENSPEMG00000015315	Peromyscus_maniculatus_bairdii
ENSMOCP00000025605	ENSMOCG00000021667	Microtus_ochrogaster
ENSNGAP00000025306	ENSNGAG00000023303	Nannospalax_galili
ENSJJAP00000018462	ENSJJAG00000019714	Jaculus_jaculus
ENSJJAP00000021254	ENSJJAG00000021681	Jaculus_jaculus
ENSOCUP00000016318	ENSOCUG00000021568	Oryctolagus_cuniculus
ENSOPRP00000012323	ENSOPRG00000013496	Ochotona_princeps
ENSDNOP00000016182	ENSDNOG00000025171	Dasypus_novemcinctus
ENSLAFP00000009476	ENSLAFG00000011337	Loxodonta_africana
ENSPCAP00000006681	ENSPCAG00000007137	Procavia_capensis
ENSETEP00000004858	ENSETEG00000005982	Echinops_telfairi
ENSOANP00000010183	ENSOANG00000006377	Ornithorhynchus_anatinus
ENSPVIP00000000283	ENSPVIG00000000252	Pogona_vitticeps
ENSACAP00000014129	ENSACAG00000014371	Anolis_carolinensis
ENSNSUP00000016625	ENSNSUG00000012258	Notechis_scutatus
ENSSMRP00000011536	ENSSMRG00000009073	Salvator_merianae
ENSSPUP00000011782	ENSSPUG00000009043	Sphenodon_punctatus
ENSGAGP00000007300	ENSGAGG00000005865	Gopherus_agassizii
ENSCABP00000001028	ENSCABG00000000865	Chelonoidis_abingdonii
ENSCPBP00000032745	ENSCPBG00000022956	Chrysemys_picta_bellii
ENSPSIP00000008758	ENSPSIG00000007896	Pelodiscus_sinensis
ENSCJPP00005011819	ENSCJPG00005010110	Coturnix_japonica
ENSMGAP00000002115	ENSMGAG00000002486	Meleagris_gallopavo
ENSGALP00000057065	ENSGALG00000032413	Gallus_gallus
ENSNMEP00000006092	ENSNMEG00000006247	Numida_meleagris
ENSABRP00000007415	ENSABRG00000006829	Anser_brachyrhynchus
ENSAPLP00000011099	ENSAPLG00000011328	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000017899	ENSCPGG00000012513	Calidris_pygmaea
ENSCPUP00000008241	ENSCPUG00000005935	Calidris_pugnax
ENSMUNP00000020632	ENSMUNG00000015690	Melopsittacus_undulatus
ENSLCOP00000003766	ENSLCOG00000002844	Lepidothrix_coronata
ENSLCOP00000003220	ENSLCOG00000002394	Lepidothrix_coronata
ENSMVIP00005015564	ENSMVIG00005011193	Manacus_vitellinus
ENSTGUP00000002912	ENSTGUG00000002824	Taeniopygia_guttata
ENSTGUP00000016870	ENSTGUG00000016566	Taeniopygia_guttata
ENSLSDP00000007661	ENSLSDG00000005756	Lonchura_striata_domestica
ENSPMJP00000017790	ENSPMJG00000013355	Parus_major
ENSCCEP00000019735	ENSCCEG00000017906	Cyanistes_caeruleus
ENSFALP00000009823	ENSFALG00000009411	Ficedula_albicollis
ENSSCAP00000024218	ENSSCAG00000017336	Serinus_canaria
ENSJHYP00000014508	ENSJHYG00000011237	Junco_hyemalis
ENSAOWP00000011462	ENSAOWG00000007859	Apteryx_owenii
ENSAHAP00000022631	ENSAHAG00000015829	Apteryx_haastii
ENSARWP00000010170	ENSARWG00000007039	Apteryx_rowi
ENSDNVP00000025468	ENSDNVG00000017719	Dromaius_novaehollandiae
ENSNPEP00000008474	ENSNPEG00000006356	Nothoprocta_perdicaria
ENSZALP00000010903	ENSZALG00000009192	Zonotrichia_albicollis
ENSCPRP00005018521	ENSCPRG00005012956	Crocodylus_porosus
ENSXETP00000005220	ENSXETG00000009927	Xenopus_tropicalis
ENSLACP00000021769	ENSLACG00000019131	Latimeria_chalumnae
ENSDARP00000137944	ENSDARG00000098313	Danio_rerio
ENSDARP00000117144	ENSDARG00000006577	Danio_rerio
ENSAMXP00005052192	ENSAMXG00005023146	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000029108	ENSAMXG00000038095	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000031688	ENSPNAG00000019184	Pygocentrus_nattereri
ENSIPUP00000036039	ENSIPUG00000024154	Ictalurus_punctatus
ENSEEEP00000003442	ENSEEEG00000001700	Electrophorus_electricus
ENSDCDP00000056562	ENSDCDG00000033222	Denticeps_clupeoides
ENSMAMP00000021840	ENSMAMG00000014659	Mastacembelus_armatus
ENSCSEP00000005971	ENSCSEG00000003849	Cynoglossus_semilaevis
ENSCVAP00000026593	ENSCVAG00000012296	Cyprinodon_variegatus
ENSFHEP00000028857	ENSFHEG00000013249	Fundulus_heteroclitus
ENSXMAP00000019437	ENSXMAG00000019390	Xiphophorus_maculatus
ENSXCOP00000003540	ENSXCOG00000002783	Xiphophorus_couchianus
ENSGAFP00000023206	ENSGAFG00000015670	Gambusia_affinis
ENSPFOP00000001352	ENSPFOG00000001297	Poecilia_formosa
ENSPMEP00000013417	ENSPMEG00000015738	Poecilia_mexicana
ENSPLAP00000031472	ENSPLAG00000023476	Poecilia_latipinna
ENSPREP00000015673	ENSPREG00000010566	Poecilia_reticulata
ENSGWIP00000011927	ENSGWIG00000006378	Gouania_willdenowi
ENSTNIP00000004526	ENSTNIG00000002092	Tetraodon_nigroviridis
ENSTNIP00000004527	ENSTNIG00000002093	Tetraodon_nigroviridis
ENSTNIP00000013840	ENSTNIG00000010910	Tetraodon_nigroviridis
ENSTRUP00000001844	ENSTRUG00000000769	Takifugu_rubripes
ENSCGOP00000014089	ENSCGOG00000006525	Cottoperca_gobio
ENSSMAP00000015999	ENSSMAG00000009794	Scophthalmus_maximus
ENSMZEP00005028742	ENSMZEG00005021438	Maylandia_zebra
ENSACLP00000025287	ENSACLG00000017188	Astatotilapia_calliptera
ENSHBUP00000033737	ENSHBUG00000020815	Haplochromis_burtoni
ENSPNYP00000016074	ENSPNYG00000012160	Pundamilia_nyererei
ENSONIP00000008318	ENSONIG00000006592	Oreochromis_niloticus
ENSAOCP00000026254	ENSAOCG00000014378	Amphiprion_ocellaris
ENSAPEP00000014646	ENSAPEG00000010444	Amphiprion_percula
ENSAPOP00000031961	ENSAPOG00000019552	Acanthochromis_polyacanthus
ENSSPAP00000020944	ENSSPAG00000015770	Stegastes_partitus
ENSSDUP00000020420	ENSSDUG00000014861	Seriola_dumerili
ENSSLDP00000015884	ENSSLDG00000012606	Seriola_lalandi_dorsalis
ENSLCRP00005057547	ENSLCRG00005021194	Larimichthys_crocea
ENSLBEP00000014566	ENSLBEG00000011328	Labrus_bergylta
ENSMMOP00000022435	ENSMMOG00000017048	Mola_mola
ENSATEP00000008342	ENSATEG00000005831	Anabas_testudineus
ENSMALP00000012357	ENSMALG00000008760	Monopterus_albus
ENSORLP00015020792	ENSORLG00015021954	Oryzias_latipes_ASM223469v1
ENSORLP00000030640	ENSORLG00000020149	Oryzias_latipes_ASM223467v1
ENSOMEP00000006756	ENSOMEG00000000825	Oryzias_melastigma
ENSLCAP00010001078	ENSLCAG00010000460	Lates_calcarifer
ENSLCAP00010013129	ENSLCAG00010006216	Lates_calcarifer
ENSBSLP00000051842	ENSBSLG00000024382	Betta_splendens
ENSNBRP00000029164	ENSNBRG00000022199	Neolamprologus_brichardi
ENSACIP00000019810	ENSACIG00000015386	Amphilophus_citrinellus
ENSPRNP00000023089	ENSPRNG00000010383	Parambassis_ranga
ENSKMAP00000004884	ENSKMAG00000003688	Kryptolebias_marmoratus
ENSGACP00000007195	ENSGACG00000005446	Gasterosteus_aculeatus
ENSHCOP00000004636	ENSHCOG00000006135	Hippocampus_comes
ENSPMGP00000027001	ENSPMGG00000021790	Periophthalmus_magnuspinnatus
ENSGMOP00000009006	ENSGMOG00000008413	Gadus_morhua
ENSHHUP00000019572	ENSHHUG00000011828	Hucho_hucho
ENSHHUP00000035213	ENSHHUG00000022124	Hucho_hucho
ENSELUP00000017105	ENSELUG00000016870	Esox_lucius
ENSPKIP00000032378	ENSPKIG00000012495	Paramormyrops_kingsleyae
ENSSFOP00015018936	ENSSFOG00015012157	Scleropages_formosus
ENSLOCP00000007461	ENSLOCG00000006173	Lepisosteus_oculatus
ENSECRP00000009730	ENSECRG00000006520	Erpetoichthys_calabaricus
ENSCMIP00000017305	ENSCMIG00000008171	Callorhinchus_milii
