ENSBBBP00000016292	ENSBBBG00000024247	Bison_bison_bison
ENSTTRP00000006695	ENSTTRG00000007082	Tursiops_truncatus
ENSLAFP00000026028	ENSLAFG00000025665	Loxodonta_africana	ENSLAFT00000032416
ENSNVIP00000018981	ENSNVIG00000014886	Neovison_vison
ENSCLAP00000025327	ENSCLAG00000017401	Chinchilla_lanigera
ENSP00000403226	ENSG00000198908	Homo_sapiens
ENSCJAP00000066931	ENSCJAG00000048365	Callithrix_jacchus
ENSCCAP00000012389	ENSCCAG00000023969	Cebus_capucinus_imitator
ENSPTEP00000023691	ENSPTEG00000024356	Piliocolobus_tephrosceles
ENSUMAP00000000889	ENSUMAG00000000922	Ursus_maritimus
ENSNGAP00000010894	ENSNGAG00000013197	Nannospalax_galili
ENSTBEP00000003366	ENSTBEG00000003878	Tupaia_belangeri
ENSMUGP00000005337	ENSMUGG00000004921	Meriones_unguiculatus
ENSRROP00000006047	ENSRROG00000024342	Rhinopithecus_roxellana
ENSSSCP00000035928	ENSSSCG00000012520	Sus_scrofa_strain_reference
ENSSTOP00000020041	ENSSTOG00000005719	Ictidomys_tridecemlineatus
ENSETEP00000009281	ENSETEG00000011445	Echinops_telfairi
ENSCANP00000003756	ENSCANG00000013260	Colobus_angolensis_palliatus
ENSLAFP00000027971	ENSLAFG00000031251	Loxodonta_africana
MGP_CAROLIEiJ_P0092738	MGP_CAROLIEiJ_G0033411	Mus_caroli_strain_CAROLI_EIJ
ENSLAFP00000023727	ENSLAFG00000031679	Loxodonta_africana
ENSCAFP00020008861	ENSCAFG00020007187	Canis_lupus_dingo
ENSCGRP00015003106	ENSCGRG00015002487	Cricetulus_griseus_CriGri-PICR
ENSRNOP00000042638	ENSRNOG00000003191	Rattus_norvegicus
ENSMLEP00000006365	ENSMLEG00000026550	Mandrillus_leucophaeus
ENSAMEP00000020195	ENSAMEG00000019140	Ailuropoda_melanoleuca
ENSMOCP00000013167	ENSMOCG00000013051	Microtus_ochrogaster
ENSMLUP00000019882	ENSMLUG00000008257	Myotis_lucifugus
ENSPPYP00000023026	ENSPPYG00000020570	Pongo_abelii
ENSDNOP00000010964	ENSDNOG00000014132	Dasypus_novemcinctus
ENSPANP00000017315	ENSPANG00000024795	Papio_anubis
ENSMPUP00000019564	ENSMPUG00000019692	Mustela_putorius_furo
ENSMFAP00000015046	ENSMFAG00000030744	Macaca_fascicularis
ENSFCAP00000023463	ENSFCAG00000026397	Felis_catus
ENSBMUP00000014833	ENSBMUG00000011275	Bos_mutus
MGP_SPRETEiJ_P0096500	MGP_SPRETEiJ_G0034580	Mus_spretus_strain_SPRET/EiJ
ENSCPOP00000007878	ENSCPOG00000008776	Cavia_porcellus
ENSDORP00000003808	ENSDORG00000004078	Dipodomys_ordii
ENSMUSP00000068067	ENSMUSG00000072964	Mus_musculus_strain_reference_(CL57BL6)
ENSCSAP00000017672	ENSCSAG00000000325	Chlorocebus_sabaeus
ENSMSIP00000019449	ENSMSIG00000016557	Mus_spicilegus
ENSPTIP00000006418	ENSPTIG00000008354	Panthera_tigris_altaica
ENSEASP00005018959	ENSEASG00005013054	Equus_asinus_asinus
ENSEEUP00000001177	ENSEEUG00000001316	Erinaceus_europaeus
MGP_PahariEiJ_P0090348	MGP_PahariEiJ_G0031951	Mus_pahari_strain_PAHARI_EIJ
ENSOGAP00000007867	ENSOGAG00000008773	Otolemur_garnettii	ENSOGAT00000008775
