ENSOCUP00000006641	ENSOCUG00000007669	Oryctolagus_cuniculus
ENSPNYP00000026925	ENSPNYG00000020231	Pundamilia_nyererei
ENSCATP00000011739	ENSCATG00000029795	Cercocebus_atys
ENSXCOP00000024323	ENSXCOG00000018167	Xiphophorus_couchianus
ENSGAFP00000003700	ENSGAFG00000002375	Gambusia_affinis
ENSNVIP00000011921	ENSNVIG00000009201	Neovison_vison
ENSAMXP00005002586	ENSAMXG00005001487	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSRROP00000036914	ENSRROG00000041419	Rhinopithecus_roxellana
ENSPCOP00000019007	ENSPCOG00000021403	Propithecus_coquereli
ENSAPLP00000020268	ENSAPLG00000003054	Anas_platyrhynchos_platyrhynchos
ENSSPAP00000030801	ENSSPAG00000023110	Stegastes_partitus
ENSORLP00020021597	ENSORLG00020001480	Oryzias_latipes_ASM223471v1
ENSCHOP00000006491	ENSCHOG00000007297	Choloepus_hoffmanni
ENSELUP00000028072	ENSELUG00000004529	Esox_lucius
ENSMMOP00000000029	ENSMMOG00000000019	Mola_mola
ENSPVAP00000003795	ENSPVAG00000004006	Pteropus_vampyrus
ENSAPOP00000018558	ENSAPOG00000021978	Acanthochromis_polyacanthus
ENSAOCP00000000470	ENSAOCG00000003321	Amphiprion_ocellaris
ENSLAFP00000000636	ENSLAFG00000000750	Loxodonta_africana
ENSXMAP00000031686	ENSXMAG00000029443	Xiphophorus_maculatus
ENSPSMP00000025207	ENSPSMG00000017017	Prolemur_simus
ENSPMGP00000013085	ENSPMGG00000010788	Periophthalmus_magnuspinnatus
ENSUAMP00000015119	ENSUAMG00000012141	Ursus_americanus
ENSOMEP00000012903	ENSOMEG00000014377	Oryzias_melastigma
ENSHGLP00100019840	ENSHGLG00100014623	Heterocephalus_glaber_HetGla_1.0
ENSPSIP00000011708	ENSPSIG00000010531	Pelodiscus_sinensis
ENSPVIP00000034420	ENSPVIG00000024979	Pogona_vitticeps	ENSPVIT00000042103
ENSPKIP00000004422	ENSPKIG00000021499	Paramormyrops_kingsleyae
ENSTRUP00000047883	ENSTRUG00000023624	Takifugu_rubripes
ENSCAFP00000050462	ENSCAFG00000015800	Canis_lupus_familiaris
ENSCPUP00000013190	ENSCPUG00000009370	Calidris_pugnax
ENSEBUP00000011117	ENSEBUG00000007089	Eptatretus_burgeri	ENSEBUT00000011677
ENSGMOP00000004302	ENSGMOG00000003963	Gadus_morhua
ENSTGEP00000019988	ENSTGEG00000015472	Theropithecus_gelada
ENSHCOP00000027211	ENSHCOG00000018869	Hippocampus_comes
ENSODEP00000011050	ENSODEG00000008230	Octodon_degus
ENSPNAP00000022935	ENSPNAG00000000241	Pygocentrus_nattereri
ENSCANP00000025209	ENSCANG00000035590	Colobus_angolensis_palliatus
ENSGALP00000021156	ENSGALG00000012984	Gallus_gallus
ENSCCEP00000021123	ENSCCEG00000014138	Cyanistes_caeruleus
ENSCAFP00020023585	ENSCAFG00020013142	Canis_lupus_dingo
ENSACAP00000011118	ENSACAG00000010982	Anolis_carolinensis	ENSACAT00000011348
ENSELUP00000003524	ENSELUG00000004749	Esox_lucius
ENSTNIP00000016708	ENSTNIG00000013708	Tetraodon_nigroviridis
ENSOMEP00000031337	ENSOMEG00000016128	Oryzias_melastigma
ENSCHIP00000022934	ENSCHIG00000020656	Capra_hircus
ENSCSEP00000018610	ENSCSEG00000010297	Cynoglossus_semilaevis
ENSXMAP00000030800	ENSXMAG00000028436	Xiphophorus_maculatus
ENSPMAP00000003305	ENSPMAG00000003035	Petromyzon_marinus	ENSPMAT00000003320
ENSCPGP00000017486	ENSCPGG00000012275	Calidris_pygmaea
ENSBSLP00000011562	ENSBSLG00000005035	Betta_splendens
ENSANAP00000015315	ENSANAG00000025383	Aotus_nancymaae
ENSPMGP00000017974	ENSPMGG00000014706	Periophthalmus_magnuspinnatus
ENSKMAP00000022484	ENSKMAG00000016450	Kryptolebias_marmoratus
ENSACLP00000012078	ENSACLG00000008215	Astatotilapia_calliptera
ENSHHUP00000063922	ENSHHUG00000036588	Hucho_hucho
ENSPANP00000030420	ENSPANG00000017406	Papio_anubis
ENSPLAP00000007500	ENSPLAG00000009869	Poecilia_latipinna
ENSSDUP00000006315	ENSSDUG00000004605	Seriola_dumerili
ENSECRP00000028386	ENSECRG00000018582	Erpetoichthys_calabaricus
ENSACIP00000021455	ENSACIG00000016603	Amphilophus_citrinellus
ENSFCAP00000051234	ENSFCAG00000012577	Felis_catus
ENSXCOP00000022342	ENSXCOG00000016683	Xiphophorus_couchianus
ENSPCIP00000005930	ENSPCIG00000004992	Phascolarctos_cinereus
ENSLSDP00000020342	ENSLSDG00000014408	Lonchura_striata_domestica
ENSPREP00000021815	ENSPREG00000014737	Poecilia_reticulata
ENSMUNP00000021938	ENSMUNG00000016209	Melopsittacus_undulatus
ENSCHAP00000026664	ENSCHAG00000004081	Clupea_harengus
ENSHHUP00000036833	ENSHHUG00000022215	Hucho_hucho
ENSLCOP00000022674	ENSLCOG00000015944	Lepidothrix_coronata
ENSCVAP00000013414	ENSCVAG00000015925	Cyprinodon_variegatus
ENSUPAP00010009134	ENSUPAG00010007094	Urocitellus_parryii
ENSPMJP00000025225	ENSPMJG00000018488	Parus_major
ENSDNVP00000014564	ENSDNVG00000007432	Dromaius_novaehollandiae	ENSDNVT00000017501
ENSDORP00000003330	ENSDORG00000003560	Dipodomys_ordii
ENSTRUP00000020072	ENSTRUG00000008050	Takifugu_rubripes
ENSIPUP00000014062	ENSIPUG00000009522	Ictalurus_punctatus
ENSVPAP00000010943	ENSVPAG00000011761	Vicugna_pacos
ENSMAMP00000002996	ENSMAMG00000001983	Mastacembelus_armatus
ENSETEP00000012605	ENSETEG00000015542	Echinops_telfairi
ENSNGAP00000006751	ENSNGAG00000009621	Nannospalax_galili
ENSIPUP00000024787	ENSIPUG00000016577	Ictalurus_punctatus
ENSLBEP00000012169	ENSLBEG00000009284	Labrus_bergylta
ENSGALP00000049670	ENSGALG00000031987	Gallus_gallus
ENSRNOP00000073223	ENSRNOG00000058866	Rattus_norvegicus
ENSAPLP00000011876	ENSAPLG00000012041	Anas_platyrhynchos_platyrhynchos
ENSORLP00015034715	ENSORLG00015020851	Oryzias_latipes_ASM223469v1
ENSAOCP00000000487	ENSAOCG00000003335	Amphiprion_ocellaris
ENSAPLP00000018272	ENSAPLG00000019763	Anas_platyrhynchos_platyrhynchos
ENSCPOP00000024648	ENSCPOG00000007886	Cavia_porcellus
ENSHBUP00000001239	ENSHBUG00000002459	Haplochromis_burtoni
ENSNPEP00000013398	ENSNPEG00000010019	Nothoprocta_perdicaria
ENSDARP00000123905	ENSDARG00000061635	Danio_rerio
ENSOANP00000006604	ENSOANG00000004162	Ornithorhynchus_anatinus
ENSGWIP00000054664	ENSGWIG00000025146	Gouania_willdenowi
ENSLCAP00010049634	ENSLCAG00010021053	Lates_calcarifer
ENSAOWP00000010353	ENSAOWG00000005120	Apteryx_owenii	ENSAOWT00000011771
ENSMGAP00000010404	ENSMGAG00000010059	Meleagris_gallopavo
ENSAPEP00000033429	ENSAPEG00000023689	Amphiprion_percula
ENSABRP00000003835	ENSABRG00000003602	Anser_brachyrhynchus
ENSCLAP00000011680	ENSCLAG00000008057	Chinchilla_lanigera
ENSEEEP00000012724	ENSEEEG00000006394	Electrophorus_electricus
ENSPTIP00000009646	ENSPTIG00000010474	Panthera_tigris_altaica
ENSGAFP00000003762	ENSGAFG00000002563	Gambusia_affinis
ENSPMEP00000030646	ENSPMEG00000017304	Poecilia_mexicana
ENSSLDP00000002883	ENSSLDG00000002206	Seriola_lalandi_dorsalis
ENSCGRP00015019986	ENSCGRG00015015101	Cricetulus_griseus_CriGri-PICR
ENSOARP00000022507	ENSOARG00000020941	Ovis_aries
ENSNSUP00000027176	ENSNSUG00000019460	Notechis_scutatus	ENSNSUT00000028859
ENSMZEP00005037113	ENSMZEG00005027649	Maylandia_zebra
ENSMODP00000033779	ENSMODG00000001873	Monodelphis_domestica
ENSCGOP00000031036	ENSCGOG00000014416	Cottoperca_gobio
ENSMSIP00000035845	ENSMSIG00000029745	Mus_spicilegus
ENSHHUP00000038286	ENSHHUG00000021849	Hucho_hucho
ENSCSEP00000020414	ENSCSEG00000012985	Cynoglossus_semilaevis
ENSPTEP00000011263	ENSPTEG00000012535	Piliocolobus_tephrosceles
ENSPRNP00000055654	ENSPRNG00000023493	Parambassis_ranga
ENSTNIP00000013132	ENSTNIG00000010232	Tetraodon_nigroviridis
ENSEEEP00000022816	ENSEEEG00000010493	Electrophorus_electricus
ENSTGUP00000006913	ENSTGUG00000006654	Taeniopygia_guttata
ENSMFAP00000030795	ENSMFAG00000044339	Macaca_fascicularis
ENSFHEP00000012769	ENSFHEG00000014329	Fundulus_heteroclitus
ENSPPYP00000007352	ENSPPYG00000006486	Pongo_abelii
ENSVVUP00000000023	ENSVVUG00000000011	Vulpes_vulpes
ENSAMXP00005010854	ENSAMXG00005004976	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAHAP00000006457	ENSAHAG00000004850	Apteryx_haastii
ENSHBUP00000009872	ENSHBUG00000011499	Haplochromis_burtoni
ENSAPEP00000000869	ENSAPEG00000000564	Amphiprion_percula
ENSAPLP00000013573	ENSAPLG00000013765	Anas_platyrhynchos_platyrhynchos
ENSDNOP00000012958	ENSDNOG00000016721	Dasypus_novemcinctus
ENSMMUP00000009856	ENSMMUG00000007509	Macaca_mulatta
ENSBIXP00000015327	ENSBIXG00000007392	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCPGP00000012516	ENSCPGG00000008846	Calidris_pygmaea
ENSMMMP00000017639	ENSMMMG00000015509	Marmota_marmota_marmota
ENSMVIP00005023073	ENSMVIG00005016188	Manacus_vitellinus
ENSCJAP00000001558	ENSCJAG00000000894	Callithrix_jacchus
ENSMAMP00000003552	ENSMAMG00000002336	Mastacembelus_armatus
ENSFDAP00000023045	ENSFDAG00000021289	Fukomys_damarensis
ENSJJAP00000009004	ENSJJAG00000012973	Jaculus_jaculus
ENSHCOP00000027229	ENSHCOG00000018932	Hippocampus_comes
ENSONIP00000003312	ENSONIG00000002644	Oreochromis_niloticus
ENSCGRP00000020596	ENSCGRG00000014988	Cricetulus_griseus_CriGri_1.0
ENSORLP00000016118	ENSORLG00000023064	Oryzias_latipes_ASM223467v1
ENSDNVP00000021453	ENSDNVG00000015014	Dromaius_novaehollandiae	ENSDNVT00000025929
ENSPSIP00000011000	ENSPSIG00000009964	Pelodiscus_sinensis
ENSGGOP00000006259	ENSGGOG00000006379	Gorilla_gorilla
ENSXMAP00000018331	ENSXMAG00000018243	Xiphophorus_maculatus
ENSMOCP00000022996	ENSMOCG00000019814	Microtus_ochrogaster
ENSPFOP00000016950	ENSPFOG00000016730	Poecilia_formosa
ENSPCAP00000008778	ENSPCAG00000009250	Procavia_capensis
ENSCABP00000016203	ENSCABG00000012022	Chelonoidis_abingdonii
ENSSMAP00000019619	ENSSMAG00000011986	Scophthalmus_maximus
ENSCVAP00000019358	ENSCVAG00000022699	Cyprinodon_variegatus
ENSACIP00000019147	ENSACIG00000014852	Amphilophus_citrinellus
ENSPPRP00000019676	ENSPPRG00000011516	Panthera_pardus
ENSATEP00000001804	ENSATEG00000001171	Anabas_testudineus
ENSMUGP00000028419	ENSMUGG00000023410	Meriones_unguiculatus
ENSHGLP00000019311	ENSHGLG00000013836	Heterocephalus_glaber_HetGla_female_1.0
ENSPFOP00000003309	ENSPFOG00000002550	Poecilia_formosa
ENSORLP00015023743	ENSORLG00015003883	Oryzias_latipes_ASM223469v1
ENSCPUP00000023847	ENSCPUG00000016177	Calidris_pugnax
ENSSTOP00000006386	ENSSTOG00000007106	Ictidomys_tridecemlineatus
ENSPMEP00000031110	ENSPMEG00000000575	Poecilia_mexicana
ENSTTRP00000004524	ENSTTRG00000004770	Tursiops_truncatus
ENSGMOP00000016925	ENSGMOG00000015730	Gadus_morhua
ENSPNYP00000001717	ENSPNYG00000001288	Pundamilia_nyererei
ENSNBRP00000016052	ENSNBRG00000012333	Neolamprologus_brichardi
ENSECAP00000026611	ENSECAG00000021742	Equus_caballus
ENSAHAP00000004340	ENSAHAG00000003384	Apteryx_haastii	ENSAHAT00000004870
ENSFHEP00000027574	ENSFHEG00000011180	Fundulus_heteroclitus
ENSSMRP00000029012	ENSSMRG00000022329	Salvator_merianae	ENSSMRT00000033855
ENSSFOP00015037907	ENSSFOG00015024130	Scleropages_formosus
ENSMUSP00000116028	ENSMUSG00000034593	Mus_musculus_strain_reference_(CL57BL6)
ENSAMEP00000007764	ENSAMEG00000007239	Ailuropoda_melanoleuca
ENSSARP00000001062	ENSSARG00000001133	Sorex_araneus
ENSMPUP00000007515	ENSMPUG00000007571	Mustela_putorius_furo
ENSMNEP00000006237	ENSMNEG00000026852	Macaca_nemestrina
ENSCAPP00000005103	ENSCAPG00000007494	Cavia_aperea
ENSCJPP00005011309	ENSCJPG00005009716	Coturnix_japonica
ENSMMOP00000016744	ENSMMOG00000012755	Mola_mola
ENSLCAP00010018922	ENSLCAG00010008938	Lates_calcarifer
ENSSSCP00000004979	ENSSSCG00000004620	Sus_scrofa_strain_reference
ENSCPRP00005017113	ENSCPRG00005011921	Crocodylus_porosus
ENSCVAP00000028722	ENSCVAG00000015953	Cyprinodon_variegatus
ENSCGRP00001015995	ENSCGRG00001016350	Cricetulus_griseus_CHOK1GS_HDv1
ENSAMXP00000028322	ENSAMXG00000042588	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMALP00000016902	ENSMALG00000011775	Monopterus_albus
ENSCCAP00000001106	ENSCCAG00000001972	Cebus_capucinus_imitator
ENSP00000382177	ENSG00000197535	Homo_sapiens
ENSLCRP00005064119	ENSLCRG00005022869	Larimichthys_crocea
ENSCSAVP00000019754	ENSCSAVG00000011586	Ciona_savignyi
ENSTNIP00000004257	ENSTNIG00000001881	Tetraodon_nigroviridis
ENSPNAP00000016863	ENSPNAG00000023340	Pygocentrus_nattereri
ENSGACP00000008003	ENSGACG00000006025	Gasterosteus_aculeatus
ENSPMEP00000020772	ENSPMEG00000023987	Poecilia_mexicana
ENSCHAP00000027817	ENSCHAG00000009176	Clupea_harengus
ENSGAFP00000001506	ENSGAFG00000001041	Gambusia_affinis
ENSPLAP00000013274	ENSPLAG00000016750	Poecilia_latipinna
ENSARWP00000018310	ENSARWG00000012598	Apteryx_rowi	ENSARWT00000020816
ENSPEMP00000012717	ENSPEMG00000012848	Peromyscus_maniculatus_bairdii
ENSORLP00015003187	ENSORLG00015003899	Oryzias_latipes_ASM223469v1
ENSSPAP00000029055	ENSSPAG00000021833	Stegastes_partitus
ENSNMEP00000008005	ENSNMEG00000007915	Numida_meleagris
ENSMGAP00000019402	ENSMGAG00000006197	Meleagris_gallopavo
ENSCSAP00000007716	ENSCSAG00000011520	Chlorocebus_sabaeus
ENSAMXP00000018048	ENSAMXG00000017247	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSXMAP00000006740	ENSXMAG00000006730	Xiphophorus_maculatus
ENSOPRP00000009442	ENSOPRG00000010288	Ochotona_princeps
ENSNBRP00000014995	ENSNBRG00000011530	Neolamprologus_brichardi
ENSSDAP00000018827	ENSSDAG00000017007	Spermophilus_dauricus
ENSUAMP00000004134	ENSUAMG00000003627	Ursus_americanus
ENSOGAP00000003285	ENSOGAG00000003696	Otolemur_garnettii
ENSMICP00000021284	ENSMICG00000013517	Microcebus_murinus
ENSCJPP00005022145	ENSCJPG00005016709	Coturnix_japonica
ENSMZEP00005010584	ENSMZEG00005007876	Maylandia_zebra
ENSORLP00020010109	ENSORLG00020011018	Oryzias_latipes_ASM223471v1
ENSBBBP00000006822	ENSBBBG00000015441	Bison_bison_bison
ENSCCNP00000009125	ENSCCNG00000009572	Castor_canadensis
ENSBIXP00005035592	ENSBIXG00005016849	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLCRP00005059894	ENSLCRG00005017629	Larimichthys_crocea
ENSNLEP00000047147	ENSNLEG00000006513	Nomascus_leucogenys
ENSACLP00000021393	ENSACLG00000014476	Astatotilapia_calliptera
ENSORLP00000016120	ENSORLG00000012865	Oryzias_latipes_ASM223467v1
ENSABRP00000026132	ENSABRG00000021587	Anser_brachyrhynchus
ENSPKIP00000041201	ENSPKIG00000017814	Paramormyrops_kingsleyae
ENSPPAP00000009953	ENSPPAG00000028091	Pan_paniscus
ENSPTRP00000079651	ENSPTRG00000023562	Pan_troglodytes
ENSHCOP00000028004	ENSHCOG00000020348	Hippocampus_comes
ENSSDUP00000028979	ENSSDUG00000020856	Seriola_dumerili
ENSPMGP00000013766	ENSPMGG00000011318	Periophthalmus_magnuspinnatus
ENSGAGP00000034031	ENSGAGG00000024176	Gopherus_agassizii
ENSBMUP00000033321	ENSBMUG00000024863	Bos_mutus
MGP_CAROLIEiJ_P0088710	MGP_CAROLIEiJ_G0032437	Mus_caroli_strain_CAROLI_EIJ
ENSNPEP00000020328	ENSNPEG00000015110	Nothoprocta_perdicaria	ENSNPET00000020844
ENSMALP00000010070	ENSMALG00000007121	Monopterus_albus
ENSOMEP00000031295	ENSOMEG00000016067	Oryzias_melastigma
ENSCGOP00000038664	ENSCGOG00000017037	Cottoperca_gobio
ENSMLEP00000026069	ENSMLEG00000036957	Mandrillus_leucophaeus
ENSEEUP00000010622	ENSEEUG00000011527	Erinaceus_europaeus
ENSLBEP00000021047	ENSLBEG00000016151	Labrus_bergylta
ENSSHAP00000020809	ENSSHAG00000017648	Sarcophilus_harrisii
ENSGAFP00000001474	ENSGAFG00000001007	Gambusia_affinis
ENSLACP00000005945	ENSLACG00000005276	Latimeria_chalumnae
ENSAOCP00000010681	ENSAOCG00000015070	Amphiprion_ocellaris
ENSBSLP00000032351	ENSBSLG00000014595	Betta_splendens
ENSDARP00000083467	ENSDARG00000025218	Danio_rerio
ENSZALP00000006843	ENSZALG00000006156	Zonotrichia_albicollis
ENSTBEP00000004507	ENSTBEG00000005144	Tupaia_belangeri
ENSSBOP00000037290	ENSSBOG00000033216	Saimiri_boliviensis_boliviensis
