ENSPMAP00000006078	ENSPMAG00000005513	Petromyzon_marinus	ENSPMAT00000006107
ENSEBUP00000015605	ENSEBUG00000009804	Eptatretus_burgeri	ENSEBUT00000016181
ENSSLDP00000005981	ENSSLDG00000004788	Seriola_lalandi_dorsalis
ENSCHAP00000057379	ENSCHAG00000025911	Clupea_harengus
ENSDCDP00000015163	ENSDCDG00000011745	Denticeps_clupeoides
ENSSFOP00015023565	ENSSFOG00015015150	Scleropages_formosus
ENSPKIP00000002099	ENSPKIG00000020129	Paramormyrops_kingsleyae
ENSLOCP00000013782	ENSLOCG00000011220	Lepisosteus_oculatus
ENSLACP00000003111	ENSLACG00000002787	Latimeria_chalumnae
ENSVURP00010001949	ENSVURG00010001625	Vombatus_ursinus
ENSPCIP00000038986	ENSPCIG00000028650	Phascolarctos_cinereus
ENSSHAP00000016418	ENSSHAG00000013969	Sarcophilus_harrisii
ENSMODP00000025396	ENSMODG00000020301	Monodelphis_domestica
ENSOANP00000007708	ENSOANG00000004863	Ornithorhynchus_anatinus
ENSFALP00000002087	ENSFALG00000002006	Ficedula_albicollis
ENSMVIP00005012307	ENSMVIG00005008975	Manacus_vitellinus
ENSMUNP00000018110	ENSMUNG00000013857	Melopsittacus_undulatus
ENSCPUP00000022368	ENSCPUG00000015191	Calidris_pugnax
ENSSCAP00000011152	ENSSCAG00000008409	Serinus_canaria
ENSTGUP00000002263	ENSTGUG00000002186	Taeniopygia_guttata
ENSCCEP00000017058	ENSCCEG00000015842	Cyanistes_caeruleus
ENSCPGP00000027771	ENSCPGG00000019157	Calidris_pygmaea
ENSCPGP00000019451	ENSCPGG00000013612	Calidris_pygmaea
ENSSCAP00000003103	ENSSCAG00000002648	Serinus_canaria
ENSAPLP00000025511	ENSAPLG00000024574	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000012419	ENSAOWG00000008500	Apteryx_owenii
ENSAHAP00000026327	ENSAHAG00000018336	Apteryx_haastii
ENSARWP00000011364	ENSARWG00000007890	Apteryx_rowi
ENSPSIP00000015937	ENSPSIG00000014221	Pelodiscus_sinensis
ENSLSDP00000012740	ENSLSDG00000009299	Lonchura_striata_domestica
ENSPMJP00000021347	ENSPMJG00000015847	Parus_major
ENSLCOP00000015899	ENSLCOG00000011355	Lepidothrix_coronata
ENSGALP00000023898	ENSGALG00000014833	Gallus_gallus
ENSCJPP00005008940	ENSCJPG00005007923	Coturnix_japonica
ENSNMEP00000005933	ENSNMEG00000006112	Numida_meleagris
ENSABRP00000006774	ENSABRG00000006230	Anser_brachyrhynchus
ENSDNVP00000018809	ENSDNVG00000013147	Dromaius_novaehollandiae
ENSCPRP00005022887	ENSCPRG00005015947	Crocodylus_porosus
ENSACAP00000010092	ENSACAG00000010291	Anolis_carolinensis
ENSPVIP00000014948	ENSPVIG00000011512	Pogona_vitticeps
ENSNSUP00000023162	ENSNSUG00000016784	Notechis_scutatus
ENSSPUP00000019835	ENSSPUG00000015267	Sphenodon_punctatus
ENSCPBP00000009340	ENSCPBG00000007225	Chrysemys_picta_bellii
ENSGAGP00000029692	ENSGAGG00000021435	Gopherus_agassizii
ENSGAGP00000003586	ENSGAGG00000002890	Gopherus_agassizii
ENSCABP00000017017	ENSCABG00000012634	Chelonoidis_abingdonii
ENSSBOP00000003199	ENSSBOG00000015947	Saimiri_boliviensis_boliviensis
ENSPSMP00000025492	ENSPSMG00000017913	Prolemur_simus
ENSTGEP00000029320	ENSTGEG00000023594	Theropithecus_gelada
ENSCHIP00000013020	ENSCHIG00000014585	Capra_hircus
ENSPPRP00000026431	ENSPPRG00000017150	Panthera_pardus
ENSEASP00005029651	ENSEASG00005020167	Equus_asinus_asinus
ENSECAP00000032066	ENSECAG00000034847	Equus_caballus
ENSBIXP00000032553	ENSBIXG00000015163	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMICP00000040986	ENSMICG00000045468	Microcebus_murinus
ENSPSMP00000001205	ENSPSMG00000000888	Prolemur_simus
ENSMLEP00000031111	ENSMLEG00000039761	Mandrillus_leucophaeus
ENSCGRP00015000366	ENSCGRG00015000401	Cricetulus_griseus_CriGri-PICR
ENSPCOP00000031118	ENSPCOG00000028314	Propithecus_coquereli
ENSVVUP00000042439	ENSVVUG00000030128	Vulpes_vulpes
ENSCAFP00020026648	ENSCAFG00020020946	Canis_lupus_dingo
ENSCAFP00020008143	ENSCAFG00020006590	Canis_lupus_dingo
ENSNVIP00000025665	ENSNVIG00000019853	Neovison_vison
ENSPPRP00000025361	ENSPPRG00000015609	Panthera_pardus
ENSFCAP00000042999	ENSFCAG00000046681	Felis_catus
ENSVVUP00000014604	ENSVVUG00000010702	Vulpes_vulpes
ENSVVUP00000017951	ENSVVUG00000013215	Vulpes_vulpes
ENSNVIP00000014230	ENSNVIG00000011199	Neovison_vison
ENSBBBP00000028632	ENSBBBG00000025384	Bison_bison_bison
ENSSTOP00000024835	ENSSTOG00000033844	Ictidomys_tridecemlineatus
ENSMUGP00000005197	ENSMUGG00000004791	Meriones_unguiculatus
ENSRBIP00000011599	ENSRBIG00000029686	Rhinopithecus_bieti
ENSRROP00000016268	ENSRROG00000032291	Rhinopithecus_roxellana
ENSTGEP00000032723	ENSTGEG00000026138	Theropithecus_gelada
ENSPTIP00000017240	ENSPTIG00000015735	Panthera_tigris_altaica
ENSCAFP00020025104	ENSCAFG00020019735	Canis_lupus_dingo
ENSBMUP00000025363	ENSBMUG00000019035	Bos_mutus
ENSEASP00005020218	ENSEASG00005013925	Equus_asinus_asinus
ENSCAFP00000025721	ENSCAFG00000017459	Canis_lupus_familiaris
ENSCJAP00000041482	ENSCJAG00000022921	Callithrix_jacchus
ENSOGAP00000021412	ENSOGAG00000028600	Otolemur_garnettii
ENSRBIP00000018488	ENSRBIG00000033228	Rhinopithecus_bieti
ENSRROP00000045318	ENSRROG00000045571	Rhinopithecus_roxellana
ENSMICP00000036186	ENSMICG00000029946	Microcebus_murinus
ENSHGLP00000028803	ENSHGLG00000021196	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100027945	ENSHGLG00100021135	Heterocephalus_glaber_HetGla_1.0
ENSRNOP00000073741	ENSRNOG00000033278	Rattus_norvegicus
ENSODEP00000026898	ENSODEG00000020393	Octodon_degus
ENSRNOP00000056331	ENSRNOG00000048958	Rattus_norvegicus
ENSMAUP00000017615	ENSMAUG00000016442	Mesocricetus_auratus
ENSDNOP00000027276	ENSDNOG00000046373	Dasypus_novemcinctus
ENSVURP00010001067	ENSVURG00010000926	Vombatus_ursinus
ENSNLEP00000035764	ENSNLEG00000034217	Nomascus_leucogenys
ENSCCAP00000008172	ENSCCAG00000021830	Cebus_capucinus_imitator
ENSCAPP00000002482	ENSCAPG00000005475	Cavia_aperea
ENSMAUP00000000203	ENSMAUG00000000193	Mesocricetus_auratus
ENSCHIP00000012805	ENSCHIG00000014444	Capra_hircus
ENSBIXP00005003140	ENSBIXG00005009336	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSSCP00000060117	ENSSSCG00000033326	Sus_scrofa_strain_reference
ENSUAMP00000032878	ENSUAMG00000025066	Ursus_americanus
ENSOGAP00000016158	ENSOGAG00000034300	Otolemur_garnettii
ENSLAFP00000022325	ENSLAFG00000030052	Loxodonta_africana
ENSBBBP00000028419	ENSBBBG00000007752	Bison_bison_bison
ENSPPAP00000014052	ENSPPAG00000030179	Pan_paniscus
MGP_SPRETEiJ_P0039505	MGP_SPRETEiJ_G0020532	Mus_spretus_strain_SPRET/EiJ
ENSECAP00000051430	ENSECAG00000026905	Equus_caballus
ENSCCNP00000023580	ENSCCNG00000023155	Castor_canadensis
ENSBIXP00000010224	ENSBIXG00000002388	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSDNOP00000024334	ENSDNOG00000040203	Dasypus_novemcinctus
ENSMFAP00000010299	ENSMFAG00000006894	Macaca_fascicularis
ENSMNEP00000024678	ENSMNEG00000035875	Macaca_nemestrina
ENSPANP00000028714	ENSPANG00000036182	Papio_anubis
ENSMLEP00000006603	ENSMLEG00000026982	Mandrillus_leucophaeus
ENSRROP00000000783	ENSRROG00000002911	Rhinopithecus_roxellana
ENSCCAP00000003115	ENSCCAG00000017579	Cebus_capucinus_imitator
ENSMOCP00000001879	ENSMOCG00000001471	Microtus_ochrogaster
ENSMLEP00000001379	ENSMLEG00000005454	Mandrillus_leucophaeus
ENSCATP00000005849	ENSCATG00000018676	Cercocebus_atys
ENSNLEP00000026646	ENSNLEG00000035960	Nomascus_leucogenys
ENSANAP00000003094	ENSANAG00000019451	Aotus_nancymaae
ENSCGRP00000009900	ENSCGRG00000007248	Cricetulus_griseus_CriGri_1.0
ENSODEP00000026573	ENSODEG00000020021	Octodon_degus
ENSMOCP00000004896	ENSMOCG00000004266	Microtus_ochrogaster
ENSCGRP00000017495	ENSCGRG00000012730	Cricetulus_griseus_CriGri_1.0
ENSRNOP00000054474	ENSRNOG00000045963	Rattus_norvegicus
ENSRNOP00000044116	ENSRNOG00000045968	Rattus_norvegicus
ENSFDAP00000014384	ENSFDAG00000001584	Fukomys_damarensis
ENSODEP00000026949	ENSODEG00000020451	Octodon_degus
ENSHGLP00100016305	ENSHGLG00100012044	Heterocephalus_glaber_HetGla_1.0
ENSCGRP00001023319	ENSCGRG00001021591	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000011212	ENSCGRG00000008166	Cricetulus_griseus_CriGri_1.0
ENSCCAP00000040142	ENSCCAG00000037878	Cebus_capucinus_imitator
ENSRROP00000009081	ENSRROG00000028965	Rhinopithecus_roxellana
ENSRBIP00000024913	ENSRBIG00000036356	Rhinopithecus_bieti
ENSMLEP00000005565	ENSMLEG00000024387	Mandrillus_leucophaeus
ENSNGAP00000000915	ENSNGAG00000000693	Nannospalax_galili
ENSMAUP00000016693	ENSMAUG00000015752	Mesocricetus_auratus
ENSODEP00000026977	ENSODEG00000020488	Octodon_degus
ENSCAFP00000004112	ENSCAFG00000030477	Canis_lupus_familiaris
ENSCAFP00020006479	ENSCAFG00020005258	Canis_lupus_dingo
ENSCAFP00000032831	ENSCAFG00000024130	Canis_lupus_familiaris
ENSCAFP00020006283	ENSCAFG00020005112	Canis_lupus_dingo
ENSBTAP00000049176	ENSBTAG00000016391	Bos_taurus
ENSMFAP00000008315	ENSMFAG00000001318	Macaca_fascicularis
ENSMNEP00000003876	ENSMNEG00000018118	Macaca_nemestrina
ENSCJAP00000041383	ENSCJAG00000022800	Callithrix_jacchus
ENSMOCP00000009943	ENSMOCG00000010136	Microtus_ochrogaster
ENSODEP00000026211	ENSODEG00000019600	Octodon_degus
ENSHGLP00000023740	ENSHGLG00000016935	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003385	ENSHGLG00100002572	Heterocephalus_glaber_HetGla_1.0
ENSMSIP00000025357	ENSMSIG00000021437	Mus_spicilegus
ENSPTRP00000077618	ENSPTRG00000049128	Pan_troglodytes
ENSPPAP00000037810	ENSPPAG00000041647	Pan_paniscus
ENSGGOP00000040572	ENSGGOG00000038140	Gorilla_gorilla
ENSPTEP00000022666	ENSPTEG00000023559	Piliocolobus_tephrosceles
ENSDNOP00000034858	ENSDNOG00000042221	Dasypus_novemcinctus
ENSRBIP00000036956	ENSRBIG00000042072	Rhinopithecus_bieti
ENSRBIP00000040282	ENSRBIG00000043568	Rhinopithecus_bieti
ENSGGOP00000043009	ENSGGOG00000038633	Gorilla_gorilla
ENSPTRP00000091025	ENSPTRG00000044434	Pan_troglodytes
ENSCCAP00000001955	ENSCCAG00000012342	Cebus_capucinus_imitator
ENSCCAP00000001963	ENSCCAG00000012432	Cebus_capucinus_imitator
ENSSBOP00000002989	ENSSBOG00000015128	Saimiri_boliviensis_boliviensis
ENSDORP00000025772	ENSDORG00000029700	Dipodomys_ordii
ENSPANP00000026227	ENSPANG00000032682	Papio_anubis
ENSMNEP00000003875	ENSMNEG00000018129	Macaca_nemestrina
ENSPANP00000039541	ENSPANG00000033748	Papio_anubis
ENSCATP00000005566	ENSCATG00000018132	Cercocebus_atys
ENSMLEP00000007950	ENSMLEG00000028115	Mandrillus_leucophaeus
ENSTGEP00000010033	ENSTGEG00000008250	Theropithecus_gelada
ENSCATP00000007014	ENSCATG00000021335	Cercocebus_atys
ENSPANP00000034882	ENSPANG00000029622	Papio_anubis
ENSCPOP00000023589	ENSCPOG00000037761	Cavia_porcellus
ENSCAPP00000002171	ENSCAPG00000004791	Cavia_aperea
ENSCAFP00020002087	ENSCAFG00020001801	Canis_lupus_dingo
ENSJJAP00000010788	ENSJJAG00000014290	Jaculus_jaculus
ENSJJAP00000001571	ENSJJAG00000002005	Jaculus_jaculus
ENSCAFP00000048014	ENSCAFG00000048619	Canis_lupus_familiaris
ENSCAFP00000011529	ENSCAFG00000031324	Canis_lupus_familiaris
ENSBMUP00000035287	ENSBMUG00000026237	Bos_mutus
ENSANAP00000026900	ENSANAG00000031221	Aotus_nancymaae
ENSODEP00000003845	ENSODEG00000002946	Octodon_degus
ENSCANP00000031070	ENSCANG00000039205	Colobus_angolensis_palliatus
ENSMNEP00000040523	ENSMNEG00000043146	Macaca_nemestrina
ENSFCAP00000050845	ENSFCAG00000035948	Felis_catus
ENSRNOP00000039155	ENSRNOG00000034180	Rattus_norvegicus
ENSCAFP00000033081	ENSCAFG00000024307	Canis_lupus_familiaris
ENSBTAP00000006781	ENSBTAG00000005142	Bos_taurus
ENSMLEP00000033982	ENSMLEG00000041172	Mandrillus_leucophaeus
ENSHGLP00100026046	ENSHGLG00100019105	Heterocephalus_glaber_HetGla_1.0
ENSTGEP00000011999	ENSTGEG00000009782	Theropithecus_gelada
ENSMOCP00000004564	ENSMOCG00000003835	Microtus_ochrogaster
ENSPTEP00000020523	ENSPTEG00000021759	Piliocolobus_tephrosceles
ENSSDAP00000006230	ENSSDAG00000005763	Spermophilus_dauricus
ENSMFAP00000022732	ENSMFAG00000043057	Macaca_fascicularis
ENSRNOP00000049205	ENSRNOG00000033803	Rattus_norvegicus
ENSMSIP00000038178	ENSMSIG00000031828	Mus_spicilegus
ENSRBIP00000029252	ENSRBIG00000038518	Rhinopithecus_bieti
ENSCJAP00000037873	ENSCJAG00000020377	Callithrix_jacchus
ENSPSMP00000010907	ENSPSMG00000007885	Prolemur_simus
ENSPTRP00000083352	ENSPTRG00000050195	Pan_troglodytes
ENSSBOP00000023044	ENSSBOG00000028031	Saimiri_boliviensis_boliviensis
ENSODEP00000026706	ENSODEG00000020167	Octodon_degus
ENSMUSP00000046506	ENSMUSG00000041841	Mus_musculus_strain_reference_(CL57BL6)
ENSP00000274242	ENSG00000145592	Homo_sapiens
ENSGGOP00000027558	ENSGGOG00000003241	Gorilla_gorilla
ENSPCOP00000026771	ENSPCOG00000025802	Propithecus_coquereli
ENSMMMP00000020123	ENSMMMG00000017779	Marmota_marmota_marmota
MGP_CAROLIEiJ_P0037744	MGP_CAROLIEiJ_G0019635	Mus_caroli_strain_CAROLI_EIJ
ENSDORP00000007786	ENSDORG00000008300	Dipodomys_ordii
ENSCLAP00000012749	ENSCLAG00000008803	Chinchilla_lanigera
ENSOARP00000006349	ENSOARG00000005925	Ovis_aries
ENSCAFP00000033571	ENSCAFG00000024581	Canis_lupus_familiaris
ENSPANP00000043141	ENSPANG00000030362	Papio_anubis
ENSCATP00000015680	ENSCATG00000031816	Cercocebus_atys
ENSRROP00000014263	ENSRROG00000031347	Rhinopithecus_roxellana
ENSPPYP00000017229	ENSPPYG00000015422	Pongo_abelii
ENSHGLP00000013277	ENSHGLG00000009486	Heterocephalus_glaber_HetGla_female_1.0
ENSCPOP00000029927	ENSCPOG00000040164	Cavia_porcellus
ENSUPAP00010008035	ENSUPAG00010006476	Urocitellus_parryii
MGP_PahariEiJ_P0027258	MGP_PahariEiJ_G0016016	Mus_pahari_strain_PAHARI_EIJ
ENSPEMP00000015897	ENSPEMG00000015291	Peromyscus_maniculatus_bairdii
ENSMLUP00000001437	ENSMLUG00000001565	Myotis_lucifugus
ENSCSAP00000017506	ENSCSAG00000000498	Chlorocebus_sabaeus
ENSOCUP00000028035	ENSOCUG00000029674	Oryctolagus_cuniculus
ENSPPRP00000013619	ENSPPRG00000006766	Panthera_pardus
ENSOARP00000005224	ENSOARG00000004877	Ovis_aries
ENSCAFP00000004660	ENSCAFG00000003126	Canis_lupus_familiaris
ENSDNOP00000020461	ENSDNOG00000041572	Dasypus_novemcinctus
ENSDORP00000021225	ENSDORG00000027604	Dipodomys_ordii
ENSODEP00000025355	ENSODEG00000018586	Octodon_degus
ENSNGAP00000007699	ENSNGAG00000010899	Nannospalax_galili
ENSPEMP00000002069	ENSPEMG00000028579	Peromyscus_maniculatus_bairdii
ENSMAUP00000016895	ENSMAUG00000015912	Mesocricetus_auratus
ENSCJAP00000040688	ENSCJAG00000022018	Callithrix_jacchus
ENSVVUP00000007203	ENSVVUG00000005479	Vulpes_vulpes
ENSPPRP00000007803	ENSPPRG00000002859	Panthera_pardus
ENSVURP00010001964	ENSVURG00010001638	Vombatus_ursinus
ENSMFAP00000012525	ENSMFAG00000024955	Macaca_fascicularis
ENSNLEP00000041301	ENSNLEG00000030264	Nomascus_leucogenys
ENSCAPP00000002504	ENSCAPG00000005494	Cavia_aperea
ENSCPOP00000012210	ENSCPOG00000013562	Cavia_porcellus
ENSCLAP00000011254	ENSCLAG00000007768	Chinchilla_lanigera
ENSPTRP00000081681	ENSPTRG00000049372	Pan_troglodytes
ENSPPAP00000008762	ENSPPAG00000027622	Pan_paniscus
ENSRNOP00000045761	ENSRNOG00000031098	Rattus_norvegicus
ENSJJAP00000022546	ENSJJAG00000022581	Jaculus_jaculus
ENSLAFP00000028980	ENSLAFG00000027732	Loxodonta_africana
ENSBIXP00000017508	ENSBIXG00000021508	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000005294	ENSBMUG00000004161	Bos_mutus
ENSBTAP00000052386	ENSBTAG00000038027	Bos_taurus
ENSBBBP00000005100	ENSBBBG00000013896	Bison_bison_bison
ENSCHIP00000011196	ENSCHIG00000013454	Capra_hircus
ENSCHIP00000013492	ENSCHIG00000014894	Capra_hircus
ENSNVIP00000012606	ENSNVIG00000009991	Neovison_vison
ENSDNOP00000020577	ENSDNOG00000047850	Dasypus_novemcinctus
ENSDNOP00000003362	ENSDNOG00000004354	Dasypus_novemcinctus
ENSCJAP00000077302	ENSCJAG00000067324	Callithrix_jacchus
ENSPEMP00000035143	ENSPEMG00000024652	Peromyscus_maniculatus_bairdii
ENSVURP00010013645	ENSVURG00010010499	Vombatus_ursinus
ENSPANP00000024540	ENSPANG00000033094	Papio_anubis
ENSODEP00000017468	ENSODEG00000012878	Octodon_degus
ENSCJAP00000072482	ENSCJAG00000061090	Callithrix_jacchus
ENSSSCP00000036658	ENSSSCG00000037233	Sus_scrofa_strain_reference
ENSFCAP00000030082	ENSFCAG00000036878	Felis_catus
ENSUAMP00000033625	ENSUAMG00000025619	Ursus_americanus
ENSUMAP00000021090	ENSUMAG00000015413	Ursus_maritimus
ENSNVIP00000007963	ENSNVIG00000006318	Neovison_vison
ENSCAFP00020006249	ENSCAFG00020005089	Canis_lupus_dingo
ENSVVUP00000031012	ENSVVUG00000022626	Vulpes_vulpes
ENSVVUP00000011814	ENSVVUG00000008710	Vulpes_vulpes
ENSPPRP00000025157	ENSPPRG00000015375	Panthera_pardus
ENSPPRP00000002295	ENSPPRG00000023548	Panthera_pardus
ENSBIXP00005009737	ENSBIXG00005014540	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005019644	ENSBIXG00005022807	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSRROP00000021063	ENSRROG00000034457	Rhinopithecus_roxellana
ENSMFAP00000009293	ENSMFAG00000000899	Macaca_fascicularis
ENSPPAP00000035188	ENSPPAG00000040415	Pan_paniscus
ENSPTRP00000073976	ENSPTRG00000049159	Pan_troglodytes
ENSPPAP00000009422	ENSPPAG00000027946	Pan_paniscus
ENSNLEP00000037461	ENSNLEG00000029194	Nomascus_leucogenys
ENSNLEP00000024984	ENSNLEG00000032674	Nomascus_leucogenys
ENSRBIP00000010955	ENSRBIG00000029339	Rhinopithecus_bieti
ENSPTEP00000021853	ENSPTEG00000022851	Piliocolobus_tephrosceles
ENSMNEP00000029843	ENSMNEG00000038395	Macaca_nemestrina
ENSPPAP00000005959	ENSPPAG00000024025	Pan_paniscus
ENSPTRP00000069426	ENSPTRG00000046329	Pan_troglodytes
ENSGGOP00000030730	ENSGGOG00000042262	Gorilla_gorilla
ENSANAP00000009488	ENSANAG00000022735	Aotus_nancymaae
ENSSBOP00000027872	ENSSBOG00000030326	Saimiri_boliviensis_boliviensis
ENSCCAP00000023477	ENSCCAG00000029524	Cebus_capucinus_imitator
ENSCCAP00000012720	ENSCCAG00000024159	Cebus_capucinus_imitator
ENSSBOP00000014272	ENSSBOG00000023904	Saimiri_boliviensis_boliviensis
ENSCCAP00000015221	ENSCCAG00000025401	Cebus_capucinus_imitator
ENSSBOP00000013440	ENSSBOG00000023479	Saimiri_boliviensis_boliviensis
ENSANAP00000014279	ENSANAG00000025046	Aotus_nancymaae
ENSCGRP00001018855	ENSCGRG00001018471	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000015756	ENSCGRG00000011423	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001013651	ENSCGRG00001014726	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000018366	ENSCGRG00000013365	Cricetulus_griseus_CriGri_1.0
ENSOCUP00000034461	ENSOCUG00000037037	Oryctolagus_cuniculus
ENSPANP00000033410	ENSPANG00000034467	Papio_anubis
ENSANAP00000024537	ENSANAG00000029993	Aotus_nancymaae
ENSTSYP00000024267	ENSTSYG00000025588	Carlito_syrichta
ENSCGRP00001025592	ENSCGRG00001023147	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005685	ENSCGRG00000004163	Cricetulus_griseus_CriGri_1.0
ENSMSIP00000028697	ENSMSIG00000024119	Mus_spicilegus
ENSMSIP00000029505	ENSMSIG00000024781	Mus_spicilegus
ENSMSIP00000037008	ENSMSIG00000030837	Mus_spicilegus
ENSMSIP00000007659	ENSMSIG00000006828	Mus_spicilegus
ENSPEMP00000015908	ENSPEMG00000015302	Peromyscus_maniculatus_bairdii
ENSPEMP00000010564	ENSPEMG00000011512	Peromyscus_maniculatus_bairdii
ENSCCNP00000021167	ENSCCNG00000021024	Castor_canadensis
ENSVURP00010027195	ENSVURG00010020821	Vombatus_ursinus
ENSVURP00010000469	ENSVURG00010000441	Vombatus_ursinus
ENSVURP00010022437	ENSVURG00010017174	Vombatus_ursinus
ENSVURP00010024343	ENSVURG00010018656	Vombatus_ursinus
ENSVURP00010020867	ENSVURG00010015966	Vombatus_ursinus
ENSPCIP00000047849	ENSPCIG00000034430	Phascolarctos_cinereus
ENSMODP00000033359	ENSMODG00000009039	Monodelphis_domestica
ENSPCIP00000024439	ENSPCIG00000018428	Phascolarctos_cinereus
ENSCGRP00015014724	ENSCGRG00015011341	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000026239	ENSCGRG00000019295	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001001278	ENSCGRG00001000994	Cricetulus_griseus_CHOK1GS_HDv1
ENSCANP00000018950	ENSCANG00000032923	Colobus_angolensis_palliatus
ENSXETP00000037172	ENSXETG00000013054	Xenopus_tropicalis
ENSLACP00000016795	ENSLACG00000014792	Latimeria_chalumnae
ENSECRP00000008530	ENSECRG00000005718	Erpetoichthys_calabaricus
ENSCSEP00000001900	ENSCSEG00000001286	Cynoglossus_semilaevis
ENSLCRP00005000632	ENSLCRG00005000370	Larimichthys_crocea
ENSAMXP00000047317	ENSAMXG00000040983	Astyanax_mexicanus_Astyanax_mexicanus-2.0
