ENSCCEP00000001769	ENSCCEG00000002066	Cyanistes_caeruleus
ENSTTRP00000015109	ENSTTRG00000015942	Tursiops_truncatus
ENSPMGP00000010061	ENSPMGG00000008346	Periophthalmus_magnuspinnatus
ENSUMAP00000025188	ENSUMAG00000018348	Ursus_maritimus
ENSCGRP00000016722	ENSCGRG00000012145	Cricetulus_griseus_CriGri_1.0
ENSACLP00000029488	ENSACLG00000019958	Astatotilapia_calliptera
ENSMOCP00000004682	ENSMOCG00000004002	Microtus_ochrogaster
ENSPANP00000013599	ENSPANG00000022434	Papio_anubis
ENSUPAP00010019918	ENSUPAG00010015593	Urocitellus_parryii
ENSJHYP00000021253	ENSJHYG00000016089	Junco_hyemalis
ENSEEUP00000009700	ENSEEUG00000010645	Erinaceus_europaeus
ENSBBBP00000004584	ENSBBBG00000013490	Bison_bison_bison
ENSMVIP00005020019	ENSMVIG00005014165	Manacus_vitellinus
ENSCABP00000002714	ENSCABG00000002113	Chelonoidis_abingdonii
ENSCVAP00000001280	ENSCVAG00000002246	Cyprinodon_variegatus
ENSCPRP00005002189	ENSCPRG00005001612	Crocodylus_porosus
ENSCHOP00000001943	ENSCHOG00000002184	Choloepus_hoffmanni
ENSPMJP00000024937	ENSPMJG00000018310	Parus_major
ENSDARP00000116609	ENSDARG00000009342	Danio_rerio
ENSCGOP00000009698	ENSCGOG00000004715	Cottoperca_gobio
ENSCPBP00000005210	ENSCPBG00000004194	Chrysemys_picta_bellii
ENSAHAP00000023422	ENSAHAG00000016386	Apteryx_haastii
ENSSSCP00000046853	ENSSSCG00000034131	Sus_scrofa_strain_reference
ENSPCAP00000016058	ENSPCAG00000013491	Procavia_capensis
ENSPTRP00000039310	ENSPTRG00000017708	Pan_troglodytes
ENSEBUP00000023399	ENSEBUG00000014412	Eptatretus_burgeri
ENSMAUP00000004925	ENSMAUG00000006635	Mesocricetus_auratus
ENSPMAP00000002735	ENSPMAG00000002498	Petromyzon_marinus
ENSPPYP00000018134	ENSPPYG00000016212	Pongo_abelii
ENSCCNP00000018564	ENSCCNG00000018797	Castor_canadensis
ENSNVIP00000014011	ENSNVIG00000011025	Neovison_vison
ENSTNIP00000008404	ENSTNIG00000005694	Tetraodon_nigroviridis
ENSGAFP00000007689	ENSGAFG00000005220	Gambusia_affinis
ENSECAP00000000114	ENSECAG00000000106	Equus_caballus
ENSHCOP00000019708	ENSHCOG00000005213	Hippocampus_comes
ENSSLDP00000007762	ENSSLDG00000006159	Seriola_lalandi_dorsalis
ENSCPBP00000011238	ENSCPBG00000008571	Chrysemys_picta_bellii
ENSOGAP00000003828	ENSOGAG00000004292	Otolemur_garnettii
ENSPNAP00000019080	ENSPNAG00000025620	Pygocentrus_nattereri
ENSPMEP00000009692	ENSPMEG00000011584	Poecilia_mexicana
ENSMLUP00000000735	ENSMLUG00000000805	Myotis_lucifugus
ENSMGAP00000003484	ENSMGAG00000003730	Meleagris_gallopavo
ENSDCDP00000004952	ENSDCDG00000002400	Denticeps_clupeoides	ENSDCDT00000005416
ENSNBRP00000007314	ENSNBRG00000005710	Neolamprologus_brichardi
ENSCSAVP00000010820	ENSCSAVG00000006347	Ciona_savignyi
ENSHGLP00100010064	ENSHGLG00100007470	Heterocephalus_glaber_HetGla_1.0
ENSNLEP00000014223	ENSNLEG00000011683	Nomascus_leucogenys
ENSLCOP00000005447	ENSLCOG00000004057	Lepidothrix_coronata
ENSMODP00000053794	ENSMODG00000010022	Monodelphis_domestica
ENSCCAP00000010001	ENSCCAG00000022735	Cebus_capucinus_imitator
ENSMNEP00000016469	ENSMNEG00000032269	Macaca_nemestrina
ENSECRP00000026262	ENSECRG00000017748	Erpetoichthys_calabaricus
ENSOCUP00000016918	ENSOCUG00000023055	Oryctolagus_cuniculus
ENSMSIP00000003050	ENSMSIG00000002766	Mus_spicilegus
ENSAOWP00000008367	ENSAOWG00000005725	Apteryx_owenii
ENSAMXP00000038773	ENSAMXG00000032573	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLCRP00005034505	ENSLCRG00005013541	Larimichthys_crocea
ENSPSIP00000005851	ENSPSIG00000005381	Pelodiscus_sinensis
ENSVVUP00000005654	ENSVVUG00000004401	Vulpes_vulpes
ENSCHIP00000029700	ENSCHIG00000024737	Capra_hircus
ENSSBOP00000008301	ENSSBOG00000021066	Saimiri_boliviensis_boliviensis
ENSXCOP00000006886	ENSXCOG00000005325	Xiphophorus_couchianus
ENSDNVP00000000797	ENSDNVG00000000591	Dromaius_novaehollandiae
ENSANAP00000012991	ENSANAG00000024409	Aotus_nancymaae
ENSAMEP00000018308	ENSAMEG00000017328	Ailuropoda_melanoleuca
ENSMEUP00000015068	ENSMEUG00000016478	Notamacropus_eugenii
ENSCPGP00000013146	ENSCPGG00000009327	Calidris_pygmaea
ENSSHAP00000015251	ENSSHAG00000013005	Sarcophilus_harrisii
ENSMLEP00000035388	ENSMLEG00000041843	Mandrillus_leucophaeus
ENSUAMP00000022039	ENSUAMG00000017356	Ursus_americanus
ENSATEP00000024444	ENSATEG00000016955	Anabas_testudineus
ENSTGEP00000019155	ENSTGEG00000015406	Theropithecus_gelada
ENSABRP00000005612	ENSABRG00000005259	Anser_brachyrhynchus
ENSPTIP00000006664	ENSPTIG00000008525	Panthera_tigris_altaica
ENSZALP00000000705	ENSZALG00000000838	Zonotrichia_albicollis
ENSMAMP00000032696	ENSMAMG00000021997	Mastacembelus_armatus
ENSCPUP00000002734	ENSCPUG00000002069	Calidris_pugnax
ENSNSUP00000007142	ENSNSUG00000005639	Notechis_scutatus
ENSARWP00000027113	ENSARWG00000018336	Apteryx_rowi
ENSGAGP00000022003	ENSGAGG00000016140	Gopherus_agassizii
ENSNPEP00000009789	ENSNPEG00000007329	Nothoprocta_perdicaria
ENSSPAP00000011014	ENSSPAG00000008387	Stegastes_partitus
ENSJJAP00000022264	ENSJJAG00000022365	Jaculus_jaculus
ENSDNOP00000004657	ENSDNOG00000006017	Dasypus_novemcinctus
ENSHHUP00000068007	ENSHHUG00000040069	Hucho_hucho
ENSAMXP00005037343	ENSAMXG00005017701	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSOANP00000011421	ENSOANG00000007178	Ornithorhynchus_anatinus
ENSLBEP00000033409	ENSLBEG00000025155	Labrus_bergylta
ENSSCAP00000001250	ENSSCAG00000001043	Serinus_canaria
ENSPVIP00000021404	ENSPVIG00000016263	Pogona_vitticeps
ENSMMMP00000016766	ENSMMMG00000014905	Marmota_marmota_marmota
ENSPREP00000025807	ENSPREG00000017433	Poecilia_reticulata
ENSBIXP00005024427	ENSBIXG00005027169	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSDAP00000008282	ENSSDAG00000007452	Spermophilus_dauricus
ENSTBEP00000003006	ENSTBEG00000003459	Tupaia_belangeri
ENSSDUP00000006949	ENSSDUG00000005061	Seriola_dumerili
MGP_SPRETEiJ_P0035749	MGP_SPRETEiJ_G0019323	Mus_spretus_strain_SPRET/EiJ
ENSPRNP00000005579	ENSPRNG00000003246	Parambassis_ranga
ENSPPAP00000031402	ENSPPAG00000038633	Pan_paniscus
MGP_CAROLIEiJ_P0034137	MGP_CAROLIEiJ_G0018443	Mus_caroli_strain_CAROLI_EIJ
ENSCPOP00000013134	ENSCPOG00000014577	Cavia_porcellus
ENSFCAP00000039038	ENSFCAG00000033619	Felis_catus
ENSELUP00000040079	ENSELUG00000020440	Esox_lucius
ENSMPUP00000000580	ENSMPUG00000000586	Mustela_putorius_furo
ENSTRUP00000051090	ENSTRUG00000019980	Takifugu_rubripes
ENSOARP00000018378	ENSOARG00000017127	Ovis_aries
ENSLSDP00000002249	ENSLSDG00000001786	Lonchura_striata_domestica
ENSRNOP00000018310	ENSRNOG00000013469	Rattus_norvegicus
ENSORLP00020003207	ENSORLG00020000678	Oryzias_latipes_ASM223471v1
ENSCAFP00020016454	ENSCAFG00020013200	Canis_lupus_dingo
ENSONIP00000018314	ENSONIG00000014554	Oreochromis_niloticus
ENSCGRP00001024807	ENSCGRG00001022611	Cricetulus_griseus_CHOK1GS_HDv1
ENSPNYP00000028614	ENSPNYG00000021550	Pundamilia_nyererei
ENSNMEP00000001734	ENSNMEG00000002215	Numida_meleagris
ENSHHUP00000049079	ENSHHUG00000029711	Hucho_hucho
