ENSSTOP00000011372	ENSSTOG00000012685	Ictidomys_tridecemlineatus
ENSDCDP00000033303	ENSDCDG00000022744	Denticeps_clupeoides
ENSPMJP00000011820	ENSPMJG00000009121	Parus_major
ENSUAMP00000001375	ENSUAMG00000001313	Ursus_americanus
ENSCANP00000017064	ENSCANG00000031980	Colobus_angolensis_palliatus
ENSSLDP00000014299	ENSSLDG00000011421	Seriola_lalandi_dorsalis
ENSEBUP00000007192	ENSEBUG00000004713	Eptatretus_burgeri	ENSEBUT00000007666
ENSGWIP00000023541	ENSGWIG00000012557	Gouania_willdenowi
ENSRNOP00000051656	ENSRNOG00000014891	Rattus_norvegicus
ENSORLP00000036635	ENSORLG00000020189	Oryzias_latipes_ASM223467v1
ENSTGEP00000030448	ENSTGEG00000024433	Theropithecus_gelada
ENSNLEP00000038163	ENSNLEG00000028197	Nomascus_leucogenys
ENSPVAP00000016871	ENSPVAG00000017882	Pteropus_vampyrus
ENSLBEP00000012900	ENSLBEG00000009890	Labrus_bergylta
ENSPFOP00000004403	ENSPFOG00000004467	Poecilia_formosa
ENSMLUP00000007107	ENSMLUG00000007791	Myotis_lucifugus
ENSMFAP00000007295	ENSMFAG00000039090	Macaca_fascicularis
ENSCJPP00005008667	ENSCJPG00005007729	Coturnix_japonica
ENSMAMP00000027431	ENSMAMG00000018436	Mastacembelus_armatus
MGP_CAROLIEiJ_P0048406	MGP_CAROLIEiJ_G0022824	Mus_caroli_strain_CAROLI_EIJ
ENSDNVP00000005667	ENSDNVG00000004073	Dromaius_novaehollandiae
ENSPSMP00000037516	ENSPSMG00000025771	Prolemur_simus
ENSCHOP00000006309	ENSCHOG00000007123	Choloepus_hoffmanni
ENSONIP00000017504	ENSONIG00000013924	Oreochromis_niloticus
ENSPSIP00000012063	ENSPSIG00000010871	Pelodiscus_sinensis
MGP_PahariEiJ_P0021378	MGP_PahariEiJ_G0014318	Mus_pahari_strain_PAHARI_EIJ
ENSCSEP00000013901	ENSCSEG00000008942	Cynoglossus_semilaevis
ENSMUSP00000157782	ENSMUSG00000074925	Mus_musculus_strain_reference_(CL57BL6)
ENSEEUP00000010667	ENSEEUG00000011698	Erinaceus_europaeus
ENSFHEP00000011212	ENSFHEG00000012613	Fundulus_heteroclitus
ENSSMRP00000020654	ENSSMRG00000016066	Salvator_merianae
ENSCMIP00000023280	ENSCMIG00000010431	Callorhinchus_milii
ENSSSCP00000005644	ENSSSCG00000005252	Sus_scrofa_strain_reference
ENSDNOP00000020268	ENSDNOG00000031390	Dasypus_novemcinctus
ENSAPEP00000018006	ENSAPEG00000012867	Amphiprion_percula
ENSCCEP00000009528	ENSCCEG00000009652	Cyanistes_caeruleus
ENSSPUP00000009598	ENSSPUG00000007450	Sphenodon_punctatus
ENSACIP00000001211	ENSACIG00000001010	Amphilophus_citrinellus
ENSPMAP00000007453	ENSPMAG00000006759	Petromyzon_marinus	ENSPMAT00000007487
ENSP00000344299	ENSG00000188647	Homo_sapiens
ENSCJAP00000064890	ENSCJAG00000001663	Callithrix_jacchus
ENSDNOP00000023184	ENSDNOG00000040003	Dasypus_novemcinctus
ENSOCUP00000044709	ENSOCUG00000012575	Oryctolagus_cuniculus
ENSSDUP00000011912	ENSSDUG00000008654	Seriola_dumerili
ENSMMUP00000070797	ENSMMUG00000003132	Macaca_mulatta
ENSAMEP00000007381	ENSAMEG00000007011	Ailuropoda_melanoleuca
ENSPNYP00000008275	ENSPNYG00000006345	Pundamilia_nyererei
ENSNGAP00000020289	ENSNGAG00000019835	Nannospalax_galili
ENSNVIP00000013254	ENSNVIG00000010455	Neovison_vison
ENSFALP00000004952	ENSFALG00000004755	Ficedula_albicollis
ENSGGOP00000037363	ENSGGOG00000008891	Gorilla_gorilla
ENSMALP00000010870	ENSMALG00000007743	Monopterus_albus
ENSETEP00000000321	ENSETEG00000000410	Echinops_telfairi
ENSHHUP00000014818	ENSHHUG00000009159	Hucho_hucho
ENSMNEP00000033005	ENSMNEG00000039790	Macaca_nemestrina
ENSCVAP00000014241	ENSCVAG00000016844	Cyprinodon_variegatus
ENSARWP00000012691	ENSARWG00000008784	Apteryx_rowi
ENSPCAP00000002213	ENSPCAG00000002386	Procavia_capensis
ENSCCNP00000009660	ENSCCNG00000010201	Castor_canadensis
ENSOANP00000007977	ENSOANG00000005028	Ornithorhynchus_anatinus
ENSMMMP00000012361	ENSMMMG00000011070	Marmota_marmota_marmota
ENSEASP00005013746	ENSEASG00005009602	Equus_asinus_asinus
ENSLACP00000005359	ENSLACG00000004764	Latimeria_chalumnae
ENSMICP00000048299	ENSMICG00000001040	Microcebus_murinus
ENSLAFP00000001089	ENSLAFG00000001293	Loxodonta_africana
ENSMPUP00000009482	ENSMPUG00000009559	Mustela_putorius_furo
ENSACAP00000018554	ENSACAG00000027513	Anolis_carolinensis
ENSCPUP00000007141	ENSCPUG00000005150	Calidris_pugnax
ENSSDAP00000021625	ENSSDAG00000019664	Spermophilus_dauricus
ENSUPAP00010029885	ENSUPAG00010023497	Urocitellus_parryii
ENSAOWP00000003653	ENSAOWG00000002583	Apteryx_owenii
ENSKMAP00000026435	ENSKMAG00000019609	Kryptolebias_marmoratus
ENSMAUP00000007218	ENSMAUG00000008946	Mesocricetus_auratus
ENSCPRP00005007980	ENSCPRG00005005647	Crocodylus_porosus
ENSXETP00000037728	ENSXETG00000012835	Xenopus_tropicalis
ENSCAFP00000040529	ENSCAFG00000001895	Canis_lupus_familiaris
ENSHHUP00000041651	ENSHHUG00000025724	Hucho_hucho
ENSLCAP00010051324	ENSLCAG00010023903	Lates_calcarifer
ENSAPOP00000031218	ENSAPOG00000018283	Acanthochromis_polyacanthus
ENSOPRP00000000879	ENSOPRG00000000966	Ochotona_princeps
ENSMLEP00000023711	ENSMLEG00000036036	Mandrillus_leucophaeus
ENSMZEP00005024689	ENSMZEG00005018445	Maylandia_zebra
ENSOGAP00000008726	ENSOGAG00000009760	Otolemur_garnettii
ENSSMAP00000028090	ENSSMAG00000017170	Scophthalmus_maximus
ENSPTIP00000017178	ENSPTIG00000015696	Panthera_tigris_altaica
ENSHGLP00100023342	ENSHGLG00100017154	Heterocephalus_glaber_HetGla_1.0
ENSZALP00000013200	ENSZALG00000011015	Zonotrichia_albicollis
ENSTSYP00000031871	ENSTSYG00000012942	Carlito_syrichta
ENSMOCP00000025111	ENSMOCG00000021324	Microtus_ochrogaster
ENSXCOP00000015999	ENSXCOG00000012084	Xiphophorus_couchianus
ENSSARP00000002955	ENSSARG00000003298	Sorex_araneus
ENSODEP00000005447	ENSODEG00000004112	Octodon_degus
ENSEEEP00000026955	ENSEEEG00000013012	Electrophorus_electricus
ENSBMUP00000002684	ENSBMUG00000002111	Bos_mutus
ENSOARP00000013886	ENSOARG00000012964	Ovis_aries
ENSACLP00000025856	ENSACLG00000017605	Astatotilapia_calliptera
ENSPPRP00000015838	ENSPPRG00000008339	Panthera_pardus
ENSDARP00000133028	ENSDARG00000102338	Danio_rerio
ENSGALP00000067888	ENSGALG00000015113	Gallus_gallus
ENSMMOP00000016503	ENSMMOG00000012581	Mola_mola
ENSPREP00000018413	ENSPREG00000012481	Poecilia_reticulata
ENSCCAP00000001186	ENSCCAG00000007749	Cebus_capucinus_imitator
ENSRROP00000034040	ENSRROG00000040581	Rhinopithecus_roxellana
ENSCGRP00000009739	ENSCGRG00000007120	Cricetulus_griseus_CriGri_1.0
ENSPTRP00000063708	ENSPTRG00000052727	Pan_troglodytes
ENSXMAP00000018220	ENSXMAG00000018186	Xiphophorus_maculatus
ENSNMEP00000012688	ENSNMEG00000011703	Numida_meleagris
ENSSCAP00000000290	ENSSCAG00000000265	Serinus_canaria
ENSECRP00000002845	ENSECRG00000001939	Erpetoichthys_calabaricus
ENSCGRP00015002588	ENSCGRG00015002094	Cricetulus_griseus_CriGri-PICR
ENSELUP00000005287	ENSELUG00000006311	Esox_lucius
ENSLSDP00000016231	ENSLSDG00000011698	Lonchura_striata_domestica
ENSMSIP00000013059	ENSMSIG00000011314	Mus_spicilegus
ENSVVUP00000005151	ENSVVUG00000004054	Vulpes_vulpes
MGP_SPRETEiJ_P0050398	MGP_SPRETEiJ_G0023743	Mus_spretus_strain_SPRET/EiJ
ENSMODP00000003433	ENSMODG00000002821	Monodelphis_domestica
ENSANAP00000006342	ENSANAG00000021244	Aotus_nancymaae
ENSOMEP00000021630	ENSOMEG00000023532	Oryzias_melastigma
ENSPEMP00000019905	ENSPEMG00000018036	Peromyscus_maniculatus_bairdii
ENSCABP00000023533	ENSCABG00000017344	Chelonoidis_abingdonii	ENSCABT00000025790
ENSNSUP00000024711	ENSNSUG00000017852	Notechis_scutatus
ENSHCOP00000000646	ENSHCOG00000001485	Hippocampus_comes
ENSLOCP00000011553	ENSLOCG00000009461	Lepisosteus_oculatus
ENSBIXP00005034760	ENSBIXG00005015792	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCHIP00000003312	ENSCHIG00000007358	Capra_hircus
ENSCGRP00001003561	ENSCGRG00001004346	Cricetulus_griseus_CHOK1GS_HDv1
ENSAOCP00000011877	ENSAOCG00000001116	Amphiprion_ocellaris
ENSCAPP00000000052	ENSCAPG00000000049	Cavia_aperea
ENSAMXP00000008796	ENSAMXG00000008559	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSBIXP00000016295	ENSBIXG00000020517	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCLAP00000012791	ENSCLAG00000008830	Chinchilla_lanigera
ENSJJAP00000016003	ENSJJAG00000017996	Jaculus_jaculus
ENSVURP00010009343	ENSVURG00010007243	Vombatus_ursinus
ENSBTAP00000007663	ENSBTAG00000005826	Bos_taurus
ENSCPOP00000014943	ENSCPOG00000008368	Cavia_porcellus
ENSPPAP00000009367	ENSPPAG00000027910	Pan_paniscus
ENSHGLP00000015947	ENSHGLG00000011396	Heterocephalus_glaber_HetGla_female_1.0
ENSVPAP00000009349	ENSVPAG00000010050	Vicugna_pacos
ENSPRNP00000034130	ENSPRNG00000017163	Parambassis_ranga
ENSFDAP00000012047	ENSFDAG00000019459	Fukomys_damarensis
ENSPCOP00000002544	ENSPCOG00000007700	Propithecus_coquereli
ENSRBIP00000043674	ENSRBIG00000044994	Rhinopithecus_bieti
ENSMVIP00005028162	ENSMVIG00005019619	Manacus_vitellinus
ENSTNIP00000022039	ENSTNIG00000018854	Tetraodon_nigroviridis
ENSTRUP00000042488	ENSTRUG00000016611	Takifugu_rubripes
ENSCSAP00000004669	ENSCSAG00000008413	Chlorocebus_sabaeus
ENSTTRP00000002968	ENSTTRG00000003166	Tursiops_truncatus
ENSMGAP00000005682	ENSMGAG00000005752	Meleagris_gallopavo
ENSCAFP00020034251	ENSCAFG00020026567	Canis_lupus_dingo
ENSPTEP00000043275	ENSPTEG00000039432	Piliocolobus_tephrosceles
ENSBSLP00000048452	ENSBSLG00000023079	Betta_splendens
ENSHBUP00000009823	ENSHBUG00000011381	Haplochromis_burtoni
ENSMUNP00000017106	ENSMUNG00000013151	Melopsittacus_undulatus
ENSCATP00000042847	ENSCATG00000044016	Cercocebus_atys
ENSFCAP00000056535	ENSFCAG00000014624	Felis_catus
ENSNPEP00000006211	ENSNPEG00000004683	Nothoprocta_perdicaria
ENSCHAP00000053791	ENSCHAG00000024431	Clupea_harengus
ENSSFOP00015018791	ENSSFOG00015012078	Scleropages_formosus
ENSIPUP00000024187	ENSIPUG00000016335	Ictalurus_punctatus
ENSMICP00000028868	ENSMICG00000028075	Microcebus_murinus
ENSGMOP00000016803	ENSGMOG00000015611	Gadus_morhua
