ENSLCAP00010030156	ENSLCAG00010014171	Lates_calcarifer
ENSCGRP00001026307	ENSCGRG00001023662	Cricetulus_griseus_CHOK1GS_HDv1
ENSDNOP00000020562	ENSDNOG00000045956	Dasypus_novemcinctus
ENSGMOP00000019219	ENSGMOG00000017879	Gadus_morhua
ENSPVAP00000013997	ENSPVAG00000014851	Pteropus_vampyrus
ENSDARP00000112450	ENSDARG00000089390	Danio_rerio
ENSLOCP00000000253	ENSLOCG00000000228	Lepisosteus_oculatus
ENSCLAP00000003279	ENSCLAG00000002353	Chinchilla_lanigera
ENSCATP00000011934	ENSCATG00000030158	Cercocebus_atys
ENSLBEP00000025221	ENSLBEG00000019243	Labrus_bergylta
ENSAMXP00000048528	ENSAMXG00000037594	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSCAP00000020180	ENSSCAG00000014542	Serinus_canaria
ENSLBEP00000013181	ENSLBEG00000010101	Labrus_bergylta
ENSSPAP00000019428	ENSSPAG00000014667	Stegastes_partitus
ENSMGAP00000009327	ENSMGAG00000009027	Meleagris_gallopavo
ENSBBBP00000024609	ENSBBBG00000005318	Bison_bison_bison
ENSFALP00000010930	ENSFALG00000010479	Ficedula_albicollis
ENSBIXP00000002041	ENSBIXG00000000128	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSANAP00000042040	ENSANAG00000038297	Aotus_nancymaae
ENSCANP00000038697	ENSCANG00000043031	Colobus_angolensis_palliatus
ENSPCIP00000010152	ENSPCIG00000008261	Phascolarctos_cinereus
ENSPNYP00000020527	ENSPNYG00000015520	Pundamilia_nyererei
ENSLSDP00000022072	ENSLSDG00000015586	Lonchura_striata_domestica
ENSFHEP00000023489	ENSFHEG00000004522	Fundulus_heteroclitus
ENSPSMP00000011295	ENSPSMG00000008119	Prolemur_simus
ENSMSIP00000000089	ENSMSIG00000000092	Mus_spicilegus
ENSMAUP00000022177	ENSMAUG00000019683	Mesocricetus_auratus
ENSPNAP00000022492	ENSPNAG00000029877	Pygocentrus_nattereri
ENSPSIP00000011944	ENSPSIG00000010653	Pelodiscus_sinensis
ENSECRP00000008118	ENSECRG00000005401	Erpetoichthys_calabaricus
ENSCGOP00000048865	ENSCGOG00000021776	Cottoperca_gobio
ENSUMAP00000007555	ENSUMAG00000005824	Ursus_maritimus
ENSAPEP00000031294	ENSAPEG00000022221	Amphiprion_percula
ENSSDAP00000001571	ENSSDAG00000001551	Spermophilus_dauricus
ENSMAMP00000007384	ENSMAMG00000005025	Mastacembelus_armatus
ENSPPRP00000005313	ENSPPRG00000001128	Panthera_pardus
ENSAMEP00000007295	ENSAMEG00000006919	Ailuropoda_melanoleuca
MGP_PahariEiJ_P0020034	MGP_PahariEiJ_G0013898	Mus_pahari_strain_PAHARI_EIJ
ENSMLEP00000036215	ENSMLEG00000042225	Mandrillus_leucophaeus
ENSOARP00000005887	ENSOARG00000005483	Ovis_aries
ENSNBRP00000018432	ENSNBRG00000014209	Neolamprologus_brichardi
ENSKMAP00000028158	ENSKMAG00000020882	Kryptolebias_marmoratus
ENSGAFP00000030854	ENSGAFG00000020799	Gambusia_affinis
ENSGACP00000007315	ENSGACG00000005521	Gasterosteus_aculeatus
ENSPVIP00000030176	ENSPVIG00000022234	Pogona_vitticeps
ENSOANP00000028901	ENSOANG00000022628	Ornithorhynchus_anatinus
ENSMFAP00000027582	ENSMFAG00000045142	Macaca_fascicularis
ENSZALP00000005562	ENSZALG00000005177	Zonotrichia_albicollis
ENSAMXP00005000919	ENSAMXG00005000574	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAOCP00000000553	ENSAOCG00000003415	Amphiprion_ocellaris
ENSDCDP00000043026	ENSDCDG00000027587	Denticeps_clupeoides
ENSMMOP00000001217	ENSMMOG00000001037	Mola_mola
ENSACAP00000015129	ENSACAG00000015353	Anolis_carolinensis
ENSMUGP00000014649	ENSMUGG00000012679	Meriones_unguiculatus
ENSLCRP00005016709	ENSLCRG00005006936	Larimichthys_crocea
ENSACIP00000006754	ENSACIG00000005273	Amphilophus_citrinellus
ENSHCOP00000016787	ENSHCOG00000020575	Hippocampus_comes
ENSODEP00000020000	ENSODEG00000014759	Octodon_degus
ENSOGAP00000014591	ENSOGAG00000016299	Otolemur_garnettii
ENSPRNP00000006182	ENSPRNG00000003698	Parambassis_ranga
ENSXCOP00000026479	ENSXCOG00000019771	Xiphophorus_couchianus
ENSTRUP00000017351	ENSTRUG00000007064	Takifugu_rubripes
MGP_CAROLIEiJ_P0083261	MGP_CAROLIEiJ_G0030699	Mus_caroli_strain_CAROLI_EIJ
ENSHBUP00000016992	ENSHBUG00000019007	Haplochromis_burtoni
ENSEBUP00000020799	ENSEBUG00000012852	Eptatretus_burgeri
ENSAOWP00000010543	ENSAOWG00000007263	Apteryx_owenii
ENSTGEP00000029992	ENSTGEG00000024083	Theropithecus_gelada
ENSLCOP00000019363	ENSLCOG00000013699	Lepidothrix_coronata
ENSACLP00000018550	ENSACLG00000012639	Astatotilapia_calliptera
ENSCSEP00000012160	ENSCSEG00000007838	Cynoglossus_semilaevis
ENSHHUP00000026794	ENSHHUG00000016968	Hucho_hucho
ENSPLAP00000020193	ENSPLAG00000002931	Poecilia_latipinna
ENSMMMP00000006534	ENSMMMG00000005848	Marmota_marmota_marmota
ENSTNIP00000019170	ENSTNIG00000016079	Tetraodon_nigroviridis
ENSJJAP00000005583	ENSJJAG00000010468	Jaculus_jaculus
ENSBIXP00005025819	ENSBIXG00005028254	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCSAP00000006771	ENSCSAG00000010547	Chlorocebus_sabaeus
ENSVURP00010006738	ENSVURG00010005222	Vombatus_ursinus
ENSDNVP00000017268	ENSDNVG00000012085	Dromaius_novaehollandiae
ENSORLP00000007881	ENSORLG00000006274	Oryzias_latipes_ASM223467v1
ENSCAPP00000003669	ENSCAPG00000006367	Cavia_aperea
ENSPTRP00000005535	ENSPTRG00000003138	Pan_troglodytes
ENSNSUP00000022890	ENSNSUG00000016577	Notechis_scutatus
ENSRNOP00000025319	ENSRNOG00000018736	Rattus_norvegicus
ENSHHUP00000033958	ENSHHUG00000021416	Hucho_hucho
ENSPANP00000007193	ENSPANG00000020607	Papio_anubis
ENSP00000337701	ENSG00000177666	Homo_sapiens
ENSGGOP00000010527	ENSGGOG00000010797	Gorilla_gorilla
ENSMVIP00005010909	ENSMVIG00005008023	Manacus_vitellinus
ENSHGLP00000012232	ENSHGLG00000008747	Heterocephalus_glaber_HetGla_female_1.0
