ENSOPRP00000011986	ENSOPRG00000013149	Ochotona_princeps
ENSCJAP00000074962	ENSCJAG00000069180	Callithrix_jacchus
ENSCPRP00005010289	ENSCPRG00005007332	Crocodylus_porosus
ENSFALP00000012774	ENSFALG00000012233	Ficedula_albicollis
ENSGAGP00000031019	ENSGAGG00000022285	Gopherus_agassizii
ENSNLEP00000021711	ENSNLEG00000017869	Nomascus_leucogenys
ENSMLUP00000014173	ENSMLUG00000015565	Myotis_lucifugus
ENSNPEP00000011578	ENSNPEG00000008687	Nothoprocta_perdicaria
ENSCSAP00000001550	ENSCSAG00000005235	Chlorocebus_sabaeus
ENSABRP00000021217	ENSABRG00000018027	Anser_brachyrhynchus
MGP_SPRETEiJ_P0055634	MGP_SPRETEiJ_G0024956	Mus_spretus_strain_SPRET/EiJ
ENSMOCP00000022780	ENSMOCG00000019709	Microtus_ochrogaster
ENSLSDP00000013053	ENSLSDG00000009508	Lonchura_striata_domestica
ENSMUNP00000005423	ENSMUNG00000004466	Melopsittacus_undulatus	ENSMUNT00000006296
ENSMMMP00000007844	ENSMMMG00000007033	Marmota_marmota_marmota
ENSMGAP00000001122	ENSMGAG00000001649	Meleagris_gallopavo
ENSCHOP00000001677	ENSCHOG00000001905	Choloepus_hoffmanni
ENSNMEP00000008846	ENSNMEG00000008632	Numida_meleagris
ENSPEMP00000017576	ENSPEMG00000016453	Peromyscus_maniculatus_bairdii
ENSJJAP00000007576	ENSJJAG00000011959	Jaculus_jaculus
ENSCPBP00000015817	ENSCPBG00000011683	Chrysemys_picta_bellii
ENSHGLP00100011618	ENSHGLG00100008616	Heterocephalus_glaber_HetGla_1.0
ENSMUGP00000019523	ENSMUGG00000016550	Meriones_unguiculatus
ENSMNEP00000002152	ENSMNEG00000009932	Macaca_nemestrina
ENSETEP00000005751	ENSETEG00000007087	Echinops_telfairi
ENSPPRP00000007361	ENSPPRG00000002537	Panthera_pardus
ENSSDAP00000003172	ENSSDAG00000003039	Spermophilus_dauricus
ENSECRP00000031828	ENSECRG00000021502	Erpetoichthys_calabaricus
ENSECAP00000016576	ENSECAG00000019113	Equus_caballus
ENSNVIP00000006806	ENSNVIG00000005394	Neovison_vison
ENSMLEP00000025935	ENSMLEG00000037161	Mandrillus_leucophaeus
MGP_CAROLIEiJ_P0053540	MGP_CAROLIEiJ_G0024043	Mus_caroli_strain_CAROLI_EIJ
ENSPSMP00000019946	ENSPSMG00000014098	Prolemur_simus
ENSTTRP00000008035	ENSTTRG00000008500	Tursiops_truncatus
ENSDORP00000013955	ENSDORG00000014836	Dipodomys_ordii
ENSSSCP00000014160	ENSSSCG00000013328	Sus_scrofa_strain_reference
ENSCMIP00000039434	ENSCMIG00000016529	Callorhinchus_milii
ENSUAMP00000015195	ENSUAMG00000012197	Ursus_americanus
ENSSARP00000010262	ENSSARG00000011357	Sorex_araneus
ENSUPAP00010023403	ENSUPAG00010018558	Urocitellus_parryii
ENSOARP00000016540	ENSOARG00000015419	Ovis_aries
ENSOARP00000016546	ENSOARG00000015425	Ovis_aries
ENSRBIP00000028375	ENSRBIG00000038067	Rhinopithecus_bieti
ENSCATP00000029484	ENSCATG00000037981	Cercocebus_atys
ENSDNOP00000010971	ENSDNOG00000014139	Dasypus_novemcinctus
ENSBIXP00000011156	ENSBIXG00000016486	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00000011154	ENSBIXG00000016484	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCPUP00000025317	ENSCPUG00000017118	Calidris_pugnax	ENSCPUT00000029851
ENSNSUP00000015882	ENSNSUG00000011750	Notechis_scutatus	ENSNSUT00000016909
ENSPCAP00000001027	ENSPCAG00000001140	Procavia_capensis
ENSMUSP00000028533	ENSMUSG00000027120	Mus_musculus_strain_reference_(CL57BL6)
ENSZALP00000014248	ENSZALG00000011817	Zonotrichia_albicollis
ENSVPAP00000005344	ENSVPAG00000005756	Vicugna_pacos
ENSMSIP00000017724	ENSMSIG00000015133	Mus_spicilegus
ENSPTRP00000006017	ENSPTRG00000003463	Pan_troglodytes
ENSUMAP00000027054	ENSUMAG00000019657	Ursus_maritimus
ENSSBOP00000037534	ENSSBOG00000034865	Saimiri_boliviensis_boliviensis
ENSRNOP00000006512	ENSRNOG00000004898	Rattus_norvegicus
ENSMMUP00000057162	ENSMMUG00000042298	Macaca_mulatta
ENSCCEP00000017568	ENSCCEG00000016242	Cyanistes_caeruleus	ENSCCET00000027039
ENSAOWP00000020013	ENSAOWG00000013537	Apteryx_owenii
ENSSHAP00000011015	ENSSHAG00000009491	Sarcophilus_harrisii
ENSECAP00000016667	ENSECAG00000019116	Equus_caballus
ENSPVIP00000014139	ENSPVIG00000010918	Pogona_vitticeps	ENSPVIT00000017686
ENSBIXP00005032276	ENSBIXG00005012758	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPSMP00000019967	ENSPSMG00000014111	Prolemur_simus
ENSTBEP00000005328	ENSTBEG00000006207	Tupaia_belangeri
ENSCAPP00000012032	ENSCAPG00000012978	Cavia_aperea
ENSCGRP00015011001	ENSCGRG00015008475	Cricetulus_griseus_CriGri-PICR
ENSSMRP00000002062	ENSSMRG00000001765	Salvator_merianae	ENSSMRT00000002459
ENSCLAP00000001532	ENSCLAG00000001148	Chinchilla_lanigera
ENSPTEP00000022095	ENSPTEG00000023049	Piliocolobus_tephrosceles
ENSCPGP00000019285	ENSCPGG00000013502	Calidris_pygmaea	ENSCPGT00000021104
ENSPPYP00000003899	ENSPPYG00000003397	Pongo_abelii
ENSEASP00005019527	ENSEASG00005013426	Equus_asinus_asinus
ENSLCOP00000019493	ENSLCOG00000013791	Lepidothrix_coronata
ENSCPOP00000006961	ENSCPOG00000007723	Cavia_porcellus
ENSCAFP00020000148	ENSCAFG00020000136	Canis_lupus_dingo
ENSOGAP00000012135	ENSOGAG00000013541	Otolemur_garnettii
ENSPPAP00000031762	ENSPPAG00000038796	Pan_paniscus
ENSCGRP00000014666	ENSCGRG00000010616	Cricetulus_griseus_CriGri_1.0
ENSMODP00000011901	ENSMODG00000009526	Monodelphis_domestica
ENSPCOP00000013447	ENSPCOG00000018340	Propithecus_coquereli
ENSAPLP00000032303	ENSAPLG00000024439	Anas_platyrhynchos_platyrhynchos
ENSCAFP00000015157	ENSCAFG00000010282	Canis_lupus_familiaris
ENSLAFP00000025274	ENSLAFG00000013498	Loxodonta_africana
ENSACAP00000001902	ENSACAG00000001952	Anolis_carolinensis	ENSACAT00000001948
ENSGALP00000019805	ENSGALG00000012140	Gallus_gallus
ENSTGUP00000004916	ENSTGUG00000004782	Taeniopygia_guttata
ENSNGAP00000003716	ENSNGAG00000004419	Nannospalax_galili
ENSODEP00000002172	ENSODEG00000001696	Octodon_degus
ENSPSIP00000013067	ENSPSIG00000011760	Pelodiscus_sinensis
ENSAHAP00000022866	ENSAHAG00000016002	Apteryx_haastii
ENSMEUP00000004969	ENSMEUG00000005446	Notamacropus_eugenii
