ENSMUNP00000008536	ENSMUNG00000006754	Melopsittacus_undulatus
ENSOANP00000030765	ENSOANG00000030176	Ornithorhynchus_anatinus	ENSOANT00000040004
ENSCLAP00000000964	ENSCLAG00000000748	Chinchilla_lanigera
ENSMZEP00005025917	ENSMZEG00005019318	Maylandia_zebra
ENSIPUP00000030646	ENSIPUG00000020641	Ictalurus_punctatus
ENSLCOP00000014521	ENSLCOG00000010414	Lepidothrix_coronata
ENSSPUP00000017217	ENSSPUG00000013332	Sphenodon_punctatus
ENSRROP00000018344	ENSRROG00000033217	Rhinopithecus_roxellana
ENSJJAP00000023668	ENSJJAG00000023357	Jaculus_jaculus
ENSGAFP00000008585	ENSGAFG00000005833	Gambusia_affinis
ENSCGRP00015003724	ENSCGRG00015002930	Cricetulus_griseus_CriGri-PICR
ENSBBBP00000016635	ENSBBBG00000024955	Bison_bison_bison
ENSNPEP00000004433	ENSNPEG00000003395	Nothoprocta_perdicaria
ENSNLEP00000023238	ENSNLEG00000005668	Nomascus_leucogenys
ENSPNYP00000020434	ENSPNYG00000015446	Pundamilia_nyererei
ENSSPAP00000025319	ENSSPAG00000019118	Stegastes_partitus
ENSACAP00000012845	ENSACAG00000013056	Anolis_carolinensis
ENSMUGP00000026824	ENSMUGG00000022274	Meriones_unguiculatus
ENSCCEP00000012394	ENSCCEG00000011434	Cyanistes_caeruleus
ENSNMEP00000001579	ENSNMEG00000001465	Numida_meleagris
ENSMGAP00000014117	ENSMGAG00000013358	Meleagris_gallopavo
ENSECAP00000006636	ENSECAG00000008569	Equus_caballus
ENSPMAP00000007506	ENSPMAG00000006804	Petromyzon_marinus
ENSSBOP00000019565	ENSSBOG00000026298	Saimiri_boliviensis_boliviensis
ENSORLP00015017356	ENSORLG00015018409	Oryzias_latipes_ASM223469v1
ENSEEEP00000008563	ENSEEEG00000004440	Electrophorus_electricus
ENSPREP00000018644	ENSPREG00000012606	Poecilia_reticulata
ENSDARP00000086446	ENSDARG00000063149	Danio_rerio
ENSGAFP00000008563	ENSGAFG00000005821	Gambusia_affinis
ENSUAMP00000007571	ENSUAMG00000006546	Ursus_americanus
ENSLOCP00000018594	ENSLOCG00000015106	Lepisosteus_oculatus
ENSMLEP00000015035	ENSMLEG00000031630	Mandrillus_leucophaeus
MGP_PahariEiJ_P0053281	MGP_PahariEiJ_G0022832	Mus_pahari_strain_PAHARI_EIJ
ENSDCDP00000033329	ENSDCDG00000022598	Denticeps_clupeoides
ENSPMJP00000011568	ENSPMJG00000008945	Parus_major
ENSP00000442046	ENSG00000133687	Homo_sapiens
ENSCSEP00000005101	ENSCSEG00000003289	Cynoglossus_semilaevis
ENSACLP00000022510	ENSACLG00000015247	Astatotilapia_calliptera
ENSNPEP00000004428	ENSNPEG00000003392	Nothoprocta_perdicaria
ENSBIXP00000024346	ENSBIXG00000026543	Bos_indicus_x_Bos_taurus_UOA_Angus_1
MGP_SPRETEiJ_P0080208	MGP_SPRETEiJ_G0030126	Mus_spretus_strain_SPRET/EiJ
ENSMICP00000041295	ENSMICG00000013263	Microcebus_murinus
ENSNBRP00000000709	ENSNBRG00000000473	Neolamprologus_brichardi
ENSPCOP00000023336	ENSPCOG00000023799	Propithecus_coquereli
ENSPNAP00000003962	ENSPNAG00000010454	Pygocentrus_nattereri
ENSOANP00000032604	ENSOANG00000031518	Ornithorhynchus_anatinus	ENSOANT00000041852
ENSTNIP00000008250	ENSTNIG00000005551	Tetraodon_nigroviridis
ENSOMEP00000018032	ENSOMEG00000019721	Oryzias_melastigma
ENSAMXP00000052117	ENSAMXG00000037911	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSBTAP00000007064	ENSBTAG00000005370	Bos_taurus
ENSPSIP00000019397	ENSPSIG00000017167	Pelodiscus_sinensis
ENSZALP00000018918	ENSZALG00000015084	Zonotrichia_albicollis
ENSPPAP00000018780	ENSPPAG00000032529	Pan_paniscus
ENSCAFP00020017027	ENSCAFG00020013614	Canis_lupus_dingo
ENSMEUP00000002652	ENSMEUG00000002894	Notamacropus_eugenii	ENSMEUT00000002911
ENSSMAP00000026723	ENSSMAG00000016333	Scophthalmus_maximus
ENSTTRP00000014449	ENSTTRG00000015242	Tursiops_truncatus
ENSCPOP00000013416	ENSCPOG00000014889	Cavia_porcellus
ENSPTEP00000028399	ENSPTEG00000028052	Piliocolobus_tephrosceles
ENSPMGP00000010313	ENSPMGG00000008542	Periophthalmus_magnuspinnatus
ENSPMEP00000020441	ENSPMEG00000023576	Poecilia_mexicana
ENSBSLP00000003551	ENSBSLG00000001881	Betta_splendens
ENSVVUP00000009578	ENSVVUG00000007025	Vulpes_vulpes
ENSCCAP00000016791	ENSCCAG00000026205	Cebus_capucinus_imitator
ENSOANP00000032748	ENSOANG00000030413	Ornithorhynchus_anatinus	ENSOANT00000041995
ENSLACP00000003532	ENSLACG00000003148	Latimeria_chalumnae
ENSORLP00020018985	ENSORLG00020019985	Oryzias_latipes_ASM223471v1
ENSCAFP00000015936	ENSCAFG00000010821	Canis_lupus_familiaris
ENSMVIP00005023076	ENSMVIG00005016191	Manacus_vitellinus
ENSMPUP00000010894	ENSMPUG00000010983	Mustela_putorius_furo
ENSAPEP00000003547	ENSAPEG00000002517	Amphiprion_percula
ENSSDAP00000004155	ENSSDAG00000003644	Spermophilus_dauricus
ENSHHUP00000051658	ENSHHUG00000031077	Hucho_hucho
ENSLCAP00010042187	ENSLCAG00010019709	Lates_calcarifer
ENSELUP00000023841	ENSELUG00000022667	Esox_lucius
ENSAOWP00000020044	ENSAOWG00000013560	Apteryx_owenii
ENSANAP00000022690	ENSANAG00000029078	Aotus_nancymaae
ENSECRP00000002049	ENSECRG00000001409	Erpetoichthys_calabaricus
ENSOGAP00000010211	ENSOGAG00000011400	Otolemur_garnettii
ENSCCNP00000030551	ENSCCNG00000029233	Castor_canadensis
ENSPKIP00000016873	ENSPKIG00000003001	Paramormyrops_kingsleyae
ENSCINP00000022153	ENSCING00000011634	Ciona_intestinalis
ENSNSUP00000020759	ENSNSUG00000015103	Notechis_scutatus
ENSMODP00000012544	ENSMODG00000014377	Monodelphis_domestica	ENSMODT00000012772
ENSUPAP00010010306	ENSUPAG00010008306	Urocitellus_parryii
ENSCABP00000029296	ENSCABG00000021502	Chelonoidis_abingdonii
ENSCABP00000029297	ENSCABG00000021504	Chelonoidis_abingdonii
ENSGACP00000025431	ENSGACG00000019240	Gasterosteus_aculeatus
ENSCGOP00000014947	ENSCGOG00000007167	Cottoperca_gobio
ENSSPUP00000017233	ENSSPUG00000013336	Sphenodon_punctatus
ENSGMOP00000009179	ENSGMOG00000008576	Gadus_morhua
ENSMSIP00000015491	ENSMSIG00000013316	Mus_spicilegus
ENSMFAP00000020631	ENSMFAG00000033192	Macaca_fascicularis
ENSOANP00000016770	ENSOANG00000010584	Ornithorhynchus_anatinus	ENSOANT00000016773
ENSJHYP00000003204	ENSJHYG00000002467	Junco_hyemalis
ENSODEP00000010151	ENSODEG00000007589	Octodon_degus
ENSAHAP00000012001	ENSAHAG00000008683	Apteryx_haastii
ENSCPRP00005025352	ENSCPRG00005017546	Crocodylus_porosus
MGP_CAROLIEiJ_P0076938	MGP_CAROLIEiJ_G0029071	Mus_caroli_strain_CAROLI_EIJ
ENSAMEP00000006281	ENSAMEG00000005960	Ailuropoda_melanoleuca
ENSMNEP00000025376	ENSMNEG00000036129	Macaca_nemestrina
ENSRBIP00000024216	ENSRBIG00000036005	Rhinopithecus_bieti
ENSMUSP00000056353	ENSMUSG00000030306	Mus_musculus_strain_reference_(CL57BL6)
ENSCMIP00000002615	ENSCMIG00000001550	Callorhinchus_milii
ENSSTOP00000026136	ENSSTOG00000015769	Ictidomys_tridecemlineatus
ENSTRUP00000005403	ENSTRUG00000002348	Takifugu_rubripes
ENSDCDP00000054377	ENSDCDG00000032381	Denticeps_clupeoides
ENSPSMP00000018242	ENSPSMG00000012945	Prolemur_simus
ENSMALP00000030573	ENSMALG00000021079	Monopterus_albus
ENSCGRP00001011001	ENSCGRG00001012731	Cricetulus_griseus_CHOK1GS_HDv1
ENSFALP00000009429	ENSFALG00000009042	Ficedula_albicollis
ENSGWIP00000047875	ENSGWIG00000023526	Gouania_willdenowi
ENSGALP00000021103	ENSGALG00000012956	Gallus_gallus
ENSHHUP00000069132	ENSHHUG00000040736	Hucho_hucho
ENSCHAP00000044070	ENSCHAG00000020489	Clupea_harengus
ENSORLP00000016238	ENSORLG00000012959	Oryzias_latipes_ASM223467v1
ENSBIXP00005044943	ENSBIXG00005005022	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSARWP00000019499	ENSARWG00000013354	Apteryx_rowi
ENSARWP00000019498	ENSARWG00000013353	Apteryx_rowi
ENSGAGP00000000032	ENSGAGG00000000019	Gopherus_agassizii
ENSABRP00000020089	ENSABRG00000017163	Anser_brachyrhynchus
ENSDNVP00000005628	ENSDNVG00000004013	Dromaius_novaehollandiae
ENSSCAP00000013662	ENSSCAG00000010112	Serinus_canaria
ENSMAMP00000034688	ENSMAMG00000023300	Mastacembelus_armatus
ENSMOCP00000016551	ENSMOCG00000015405	Microtus_ochrogaster
ENSTGUP00000011791	ENSTGUG00000011441	Taeniopygia_guttata
ENSTSYP00000030806	ENSTSYG00000000399	Carlito_syrichta
ENSGGOP00000033786	ENSGGOG00000009789	Gorilla_gorilla
ENSTGEP00000035224	ENSTGEG00000028068	Theropithecus_gelada
ENSCPUP00000029268	ENSCPUG00000019613	Calidris_pugnax
ENSAMXP00005044524	ENSAMXG00005020662	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPVIP00000015435	ENSPVIG00000011891	Pogona_vitticeps
ENSPVAP00000016669	ENSPVAG00000017669	Pteropus_vampyrus
ENSAHAP00000011992	ENSAHAG00000008667	Apteryx_haastii
ENSCJPP00005025872	ENSCJPG00005020216	Coturnix_japonica
ENSHGLP00100009743	ENSHGLG00100007223	Heterocephalus_glaber_HetGla_1.0
ENSUMAP00000001985	ENSUMAG00000001756	Ursus_maritimus
ENSEASP00005009257	ENSEASG00005006627	Equus_asinus_asinus
ENSBMUP00000011996	ENSBMUG00000009025	Bos_mutus
ENSHGLP00000020246	ENSHGLG00000014482	Heterocephalus_glaber_HetGla_female_1.0
ENSPLAP00000010272	ENSPLAG00000013162	Poecilia_latipinna
ENSRNOP00000061944	ENSRNOG00000001854	Rattus_norvegicus
ENSCHOP00000005868	ENSCHOG00000006614	Choloepus_hoffmanni
ENSCSAP00000003729	ENSCSAG00000007466	Chlorocebus_sabaeus
ENSHHUP00000007041	ENSHHUG00000004354	Hucho_hucho
ENSSFOP00015035696	ENSSFOG00015022724	Scleropages_formosus
ENSSMRP00000000142	ENSSMRG00000000038	Salvator_merianae
ENSCATP00000025474	ENSCATG00000036194	Cercocebus_atys
ENSPPRP00000000159	ENSPPRG00000024999	Panthera_pardus
ENSVPAP00000008043	ENSVPAG00000008637	Vicugna_pacos
ENSPRNP00000049774	ENSPRNG00000023729	Parambassis_ranga
ENSEEUP00000006402	ENSEEUG00000006967	Erinaceus_europaeus
ENSDORP00000022829	ENSDORG00000003472	Dipodomys_ordii
ENSFHEP00000023508	ENSFHEG00000004611	Fundulus_heteroclitus
ENSPPYP00000005013	ENSPPYG00000004392	Pongo_abelii
ENSSSCP00000041881	ENSSSCG00000027447	Sus_scrofa_strain_reference
ENSHCOP00000023958	ENSHCOG00000012935	Hippocampus_comes
