ENSOMEP00000029548	ENSOMEG00000013283	Oryzias_melastigma
ENSCSAVP00000019488	ENSCSAVG00000011421	Ciona_savignyi
ENSOCUP00000015075	ENSOCUG00000017555	Oryctolagus_cuniculus
ENSCCNP00000012809	ENSCCNG00000013306	Castor_canadensis
ENSVURP00010009666	ENSVURG00010007489	Vombatus_ursinus
ENSPREP00000031759	ENSPREG00000021510	Poecilia_reticulata
ENSDNOP00000016894	ENSDNOG00000023620	Dasypus_novemcinctus
ENSCPUP00000027842	ENSCPUG00000018745	Calidris_pugnax
ENSNBRP00000010789	ENSNBRG00000008396	Neolamprologus_brichardi
ENSPTIP00000022446	ENSPTIG00000019253	Panthera_tigris_altaica
ENSNGAP00000004550	ENSNGAG00000006108	Nannospalax_galili
ENSP00000497509	ENSG00000173867	Homo_sapiens
ENSTGEP00000010076	ENSTGEG00000008273	Theropithecus_gelada
ENSLAFP00000015634	ENSLAFG00000018651	Loxodonta_africana
ENSCVAP00000011591	ENSCVAG00000013904	Cyprinodon_variegatus
ENSPTRP00000072715	ENSPTRG00000007421	Pan_troglodytes
ENSACAP00000005236	ENSACAG00000005362	Anolis_carolinensis
ENSAPEP00000033689	ENSAPEG00000023930	Amphiprion_percula
ENSEEUP00000001428	ENSEEUG00000001579	Erinaceus_europaeus
ENSPCIP00000007622	ENSPCIG00000006396	Phascolarctos_cinereus
ENSECAP00000047263	ENSECAG00000021247	Equus_caballus
ENSMLUP00000008782	ENSMLUG00000009651	Myotis_lucifugus
ENSPPAP00000039775	ENSPPAG00000042560	Pan_paniscus
ENSCGRP00001014211	ENSCGRG00001015151	Cricetulus_griseus_CHOK1GS_HDv1
ENSRBIP00000042800	ENSRBIG00000044629	Rhinopithecus_bieti
ENSLCOP00000021005	ENSLCOG00000014865	Lepidothrix_coronata
ENSPFOP00000007155	ENSPFOG00000007169	Poecilia_formosa
ENSAPLP00000031152	ENSAPLG00000012795	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000007120	ENSAHAG00000005347	Apteryx_haastii
ENSDORP00000002838	ENSDORG00000003023	Dipodomys_ordii
ENSCCEP00000004443	ENSCCEG00000004921	Cyanistes_caeruleus
ENSCGOP00000002965	ENSCGOG00000001512	Cottoperca_gobio
ENSXETP00000051207	ENSXETG00000017280	Xenopus_tropicalis
ENSBIXP00000008729	ENSBIXG00000014504	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCABP00000002564	ENSCABG00000001995	Chelonoidis_abingdonii
ENSEEEP00000011962	ENSEEEG00000006026	Electrophorus_electricus
ENSNSUP00000014595	ENSNSUG00000010810	Notechis_scutatus
ENSMALP00000009011	ENSMALG00000006400	Monopterus_albus
ENSFCAP00000034094	ENSFCAG00000014968	Felis_catus
ENSPSMP00000007452	ENSPSMG00000005536	Prolemur_simus
ENSLOCP00000017892	ENSLOCG00000014536	Lepisosteus_oculatus
ENSSSCP00000027780	ENSSSCG00000005103	Sus_scrofa_strain_reference
ENSOGAP00000004238	ENSOGAG00000004741	Otolemur_garnettii
ENSCLAP00000011517	ENSCLAG00000007938	Chinchilla_lanigera
ENSAOCP00000001561	ENSAOCG00000004602	Amphiprion_ocellaris
ENSMMMP00000023065	ENSMMMG00000020204	Marmota_marmota_marmota
ENSMOCP00000016745	ENSMOCG00000015559	Microtus_ochrogaster
ENSHHUP00000056110	ENSHHUG00000033488	Hucho_hucho
ENSAOWP00000004110	ENSAOWG00000002879	Apteryx_owenii
ENSMPUP00000015714	ENSMPUG00000015822	Mustela_putorius_furo
ENSDARP00000141939	ENSDARG00000098247	Danio_rerio
ENSTNIP00000006451	ENSTNIG00000003849	Tetraodon_nigroviridis
ENSATEP00000013851	ENSATEG00000009641	Anabas_testudineus
ENSSPUP00000015591	ENSSPUG00000012045	Sphenodon_punctatus
ENSCMIP00000025907	ENSCMIG00000011369	Callorhinchus_milii
ENSKMAP00000022377	ENSKMAG00000016604	Kryptolebias_marmoratus
ENSPCOP00000023431	ENSPCOG00000023851	Propithecus_coquereli
ENSNPEP00000018417	ENSNPEG00000013698	Nothoprocta_perdicaria
ENSMICP00000014429	ENSMICG00000015841	Microcebus_murinus
ENSGACP00000004129	ENSGACG00000003152	Gasterosteus_aculeatus
ENSARWP00000002762	ENSARWG00000002075	Apteryx_rowi
ENSCGRP00015000705	ENSCGRG00015000677	Cricetulus_griseus_CriGri-PICR
ENSTRUP00000014240	ENSTRUG00000005842	Takifugu_rubripes
ENSMSIP00000021944	ENSMSIG00000018625	Mus_spicilegus
ENSCHOP00000006777	ENSCHOG00000007656	Choloepus_hoffmanni
ENSMUSP00000032839	ENSMUSG00000030610	Mus_musculus_strain_reference_(CL57BL6)
ENSSCAP00000007470	ENSSCAG00000005774	Serinus_canaria
ENSP00000456340	ENSG00000140543	Homo_sapiens
ENSSLDP00000017624	ENSSLDG00000013901	Seriola_lalandi_dorsalis
ENSABRP00000026171	ENSABRG00000021888	Anser_brachyrhynchus
ENSGAFP00000021921	ENSGAFG00000014792	Gambusia_affinis
ENSMODP00000024438	ENSMODG00000019587	Monodelphis_domestica
ENSMLEP00000021535	ENSMLEG00000034955	Mandrillus_leucophaeus
ENSSDAP00000023259	ENSSDAG00000021191	Spermophilus_dauricus	ENSSDAT00000026618
ENSMMOP00000026019	ENSMMOG00000019734	Mola_mola
ENSANAP00000027324	ENSANAG00000031474	Aotus_nancymaae
ENSCJPP00005026135	ENSCJPG00005020392	Coturnix_japonica
ENSUMAP00000008182	ENSUMAG00000006268	Ursus_maritimus
ENSSMRP00000028966	ENSSMRG00000022296	Salvator_merianae
ENSSTOP00000026420	ENSSTOG00000030722	Ictidomys_tridecemlineatus
ENSECRP00000030310	ENSECRG00000020568	Erpetoichthys_calabaricus
ENSXCOP00000010126	ENSXCOG00000007681	Xiphophorus_couchianus
ENSGAGP00000018311	ENSGAGG00000013551	Gopherus_agassizii
ENSPLAP00000012202	ENSPLAG00000015465	Poecilia_latipinna
ENSDNVP00000008214	ENSDNVG00000005842	Dromaius_novaehollandiae
ENSGGOP00000042145	ENSGGOG00000015157	Gorilla_gorilla
ENSBTAP00000001281	ENSBTAG00000000967	Bos_taurus
ENSPMAP00000008950	ENSPMAG00000008129	Petromyzon_marinus
MGP_CAROLIEiJ_P0080183	MGP_CAROLIEiJ_G0029871	Mus_caroli_strain_CAROLI_EIJ
ENSODEP00000020443	ENSODEG00000015080	Octodon_degus
ENSGMOP00000001159	ENSGMOG00000001109	Gadus_morhua
ENSSTOP00000019127	ENSSTOG00000021107	Ictidomys_tridecemlineatus
ENSPKIP00000035937	ENSPKIG00000014666	Paramormyrops_kingsleyae
ENSUPAP00010020699	ENSUPAG00010016389	Urocitellus_parryii
ENSBBBP00000008001	ENSBBBG00000016014	Bison_bison_bison
ENSETEP00000011879	ENSETEG00000014654	Echinops_telfairi
ENSMNEP00000027932	ENSMNEG00000037342	Macaca_nemestrina
ENSHGLP00000011710	ENSHGLG00000008396	Heterocephalus_glaber_HetGla_female_1.0
ENSJJAP00000017326	ENSJJAG00000018927	Jaculus_jaculus
ENSLBEP00000011749	ENSLBEG00000009041	Labrus_bergylta
ENSCANP00000015039	ENSCANG00000030941	Colobus_angolensis_palliatus
ENSCPBP00000025153	ENSCPBG00000017891	Chrysemys_picta_bellii
ENSXMAP00000005829	ENSXMAG00000005810	Xiphophorus_maculatus
ENSPNAP00000025954	ENSPNAG00000001613	Pygocentrus_nattereri
ENSPMEP00000004257	ENSPMEG00000005472	Poecilia_mexicana
ENSCJAP00000055560	ENSCJAG00000012996	Callithrix_jacchus
ENSCCAP00000023873	ENSCCAG00000029690	Cebus_capucinus_imitator
ENSMMUP00000060690	ENSMMUG00000005758	Macaca_mulatta
ENSCINP00000032666	ENSCING00000022852	Ciona_intestinalis
ENSAMXP00005002939	ENSAMXG00005001794	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCPRP00005024449	ENSCPRG00005017001	Crocodylus_porosus
ENSSPAP00000022369	ENSSPAG00000016886	Stegastes_partitus
ENSGWIP00000000509	ENSGWIG00000000337	Gouania_willdenowi
ENSCPGP00000014416	ENSCPGG00000010201	Calidris_pygmaea
ENSONIP00000013978	ENSONIG00000011104	Oreochromis_niloticus
ENSPEMP00000034938	ENSPEMG00000029922	Peromyscus_maniculatus_bairdii
ENSSPUP00000015572	ENSSPUG00000012030	Sphenodon_punctatus
ENSFDAP00000010587	ENSFDAG00000018304	Fukomys_damarensis
ENSFHEP00000023566	ENSFHEG00000004657	Fundulus_heteroclitus
ENSJHYP00000013552	ENSJHYG00000010502	Junco_hyemalis
ENSRNOP00000058942	ENSRNOG00000018515	Rattus_norvegicus
ENSTBEP00000013597	ENSTBEG00000015681	Tupaia_belangeri
ENSLCRP00005013134	ENSLCRG00005005689	Larimichthys_crocea
ENSBSLP00000031411	ENSBSLG00000015224	Betta_splendens
ENSMODP00000051388	ENSMODG00000045340	Monodelphis_domestica
ENSPANP00000030178	ENSPANG00000011752	Papio_anubis
ENSSBOP00000010523	ENSSBOG00000022107	Saimiri_boliviensis_boliviensis
ENSORLP00020017304	ENSORLG00020018345	Oryzias_latipes_ASM223471v1
ENSOANP00000019317	ENSOANG00000012203	Ornithorhynchus_anatinus
ENSDCDP00000034495	ENSDCDG00000023247	Denticeps_clupeoides
ENSPPYP00000007661	ENSPPYG00000006753	Pongo_abelii
ENSLCAP00010031360	ENSLCAG00010014693	Lates_calcarifer
ENSEASP00005022487	ENSEASG00005015367	Equus_asinus_asinus
ENSCHIP00000006521	ENSCHIG00000010346	Capra_hircus
ENSCAFP00000016919	ENSCAFG00000011510	Canis_lupus_familiaris
ENSUPAP00010026746	ENSUPAG00010021158	Urocitellus_parryii
ENSVPAP00000004372	ENSVPAG00000004714	Vicugna_pacos
ENSUAMP00000024385	ENSUAMG00000019062	Ursus_americanus
ENSNMEP00000027564	ENSNMEG00000023057	Numida_meleagris
ENSVVUP00000016389	ENSVVUG00000012036	Vulpes_vulpes
ENSMUNP00000005472	ENSMUNG00000004506	Melopsittacus_undulatus
ENSTTRP00000008250	ENSTTRG00000008706	Tursiops_truncatus
ENSBIXP00005039048	ENSBIXG00005021388	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCSEP00000021948	ENSCSEG00000013998	Cynoglossus_semilaevis
ENSPNYP00000029278	ENSPNYG00000022060	Pundamilia_nyererei
ENSTGUP00000008590	ENSTGUG00000008339	Taeniopygia_guttata
ENSMAMP00000022822	ENSMAMG00000015339	Mastacembelus_armatus
ENSCHAP00000034006	ENSCHAG00000016149	Clupea_harengus
ENSMFAP00000024488	ENSMFAG00000043815	Macaca_fascicularis
ENSOPRP00000014001	ENSOPRG00000015335	Ochotona_princeps
ENSACIP00000015474	ENSACIG00000012017	Amphilophus_citrinellus
ENSMUGP00000022811	ENSMUGG00000019115	Meriones_unguiculatus
ENSORLP00015008529	ENSORLG00015009323	Oryzias_latipes_ASM223469v1
ENSORLP00000015881	ENSORLG00000012676	Oryzias_latipes_ASM223467v1
ENSCLAP00000020514	ENSCLAG00000014057	Chinchilla_lanigera
ENSHHUP00000042585	ENSHHUG00000026210	Hucho_hucho
ENSCPOP00000022243	ENSCPOG00000032192	Cavia_porcellus
ENSPVIP00000005226	ENSPVIG00000004253	Pogona_vitticeps
ENSPCAP00000012817	ENSPCAG00000013749	Procavia_capensis
ENSMVIP00005019479	ENSMVIG00005013789	Manacus_vitellinus
ENSCATP00000034514	ENSCATG00000040161	Cercocebus_atys
ENSACLP00000030950	ENSACLG00000020968	Astatotilapia_calliptera
ENSCGRP00000006400	ENSCGRG00000004685	Cricetulus_griseus_CriGri_1.0
ENSPPRP00000005342	ENSPPRG00000001140	Panthera_pardus
ENSPTEP00000000968	ENSPTEG00000001068	Piliocolobus_tephrosceles
ENSCCNP00000032706	ENSCCNG00000031002	Castor_canadensis
ENSAMXP00000000386	ENSAMXG00000000376	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMZEP00005013573	ENSMZEG00005010201	Maylandia_zebra
ENSMEUP00000014757	ENSMEUG00000016149	Notamacropus_eugenii
ENSGALP00000010895	ENSGALG00000006750	Gallus_gallus
ENSMAUP00000009170	ENSMAUG00000010416	Mesocricetus_auratus
ENSPSIP00000016335	ENSPSIG00000014572	Pelodiscus_sinensis
ENSPRNP00000049123	ENSPRNG00000023439	Parambassis_ranga
ENSSHAP00000000648	ENSSHAG00000000577	Sarcophilus_harrisii
ENSMGAP00000008992	ENSMGAG00000008753	Meleagris_gallopavo
ENSHCOP00000009699	ENSHCOG00000012183	Hippocampus_comes
FBpp0079757	FBgn0000018	Drosophila_melanogaster
ENSPMJP00000001509	ENSPMJG00000001238	Parus_major
ENSZALP00000001389	ENSZALG00000001606	Zonotrichia_albicollis
