ENSFHEP00000019744	ENSFHEG00000021646	Fundulus_heteroclitus
ENSUMAP00000031734	ENSUMAG00000022876	Ursus_maritimus
ENSPCIP00000016298	ENSPCIG00000012611	Phascolarctos_cinereus
ENSTGUP00000002128	ENSTGUG00000002049	Taeniopygia_guttata
ENSTRUP00000004410	ENSTRUG00000001916	Takifugu_rubripes
ENSRBIP00000030011	ENSRBIG00000038883	Rhinopithecus_bieti
ENSAMXP00000046394	ENSAMXG00000013548	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMVIP00005027487	ENSMVIG00005019160	Manacus_vitellinus
ENSBSLP00000028115	ENSBSLG00000013945	Betta_splendens
ENSECAP00000044784	ENSECAG00000011831	Equus_caballus
ENSNMEP00000013681	ENSNMEG00000012413	Numida_meleagris
ENSMEUP00000004269	ENSMEUG00000004674	Notamacropus_eugenii
ENSOGAP00000005139	ENSOGAG00000005743	Otolemur_garnettii
ENSCGRP00015034469	ENSCGRG00015025946	Cricetulus_griseus_CriGri-PICR
ENSMGAP00000004426	ENSMGAG00000004588	Meleagris_gallopavo
ENSLCAP00010021287	ENSLCAG00010010036	Lates_calcarifer
ENSCGRP00001018932	ENSCGRG00001018527	Cricetulus_griseus_CHOK1GS_HDv1
ENSCINP00000000855	ENSCING00000000469	Ciona_intestinalis
ENSHGLP00000026380	ENSHGLG00000018772	Heterocephalus_glaber_HetGla_female_1.0
ENSGMOP00000006214	ENSGMOG00000005821	Gadus_morhua
ENSMZEP00005028025	ENSMZEG00005020907	Maylandia_zebra
ENSSDUP00000010518	ENSSDUG00000007689	Seriola_dumerili
ENSSTOP00000028858	ENSSTOG00000014900	Ictidomys_tridecemlineatus
ENSPSIP00000011837	ENSPSIG00000010690	Pelodiscus_sinensis
ENSXMAP00000001879	ENSXMAG00000001874	Xiphophorus_maculatus
ENSNSUP00000011383	ENSNSUG00000008518	Notechis_scutatus
ENSRROP00000015544	ENSRROG00000031953	Rhinopithecus_roxellana
ENSELUP00000003084	ENSELUG00000004397	Esox_lucius
ENSPFOP00000005256	ENSPFOG00000004945	Poecilia_formosa
ENSDARP00000101586	ENSDARG00000077639	Danio_rerio
ENSACAP00000011773	ENSACAG00000011943	Anolis_carolinensis
ENSFCAP00000028443	ENSFCAG00000033699	Felis_catus
ENSAPOP00000024664	ENSAPOG00000007291	Acanthochromis_polyacanthus
MGP_SPRETEiJ_P0059722	MGP_SPRETEiJ_G0025890	Mus_spretus_strain_SPRET/EiJ
ENSAOCP00000029071	ENSAOCG00000019137	Amphiprion_ocellaris
ENSRNOP00000065417	ENSRNOG00000010556	Rattus_norvegicus
ENSCCEP00000000395	ENSCCEG00000000244	Cyanistes_caeruleus
ENSPPAP00000020068	ENSPPAG00000033240	Pan_paniscus
ENSPMJP00000009870	ENSPMJG00000007850	Parus_major
ENSMLUP00000002756	ENSMLUG00000003030	Myotis_lucifugus
ENSMPUP00000017271	ENSMPUG00000017381	Mustela_putorius_furo
ENSHHUP00000062495	ENSHHUG00000036961	Hucho_hucho
ENSCPBP00000026904	ENSCPBG00000019091	Chrysemys_picta_bellii
ENSFALP00000008492	ENSFALG00000008142	Ficedula_albicollis
ENSODEP00000000500	ENSODEG00000000423	Octodon_degus
ENSUPAP00010027166	ENSUPAG00010021438	Urocitellus_parryii
ENSECRP00000016831	ENSECRG00000011168	Erpetoichthys_calabaricus
ENSABRP00000024298	ENSABRG00000020405	Anser_brachyrhynchus
ENSSFOP00015033432	ENSSFOG00015021338	Scleropages_formosus
ENSMMMP00000016133	ENSMMMG00000014334	Marmota_marmota_marmota
ENSSHAP00000014914	ENSSHAG00000012726	Sarcophilus_harrisii
ENSCSAP00000014430	ENSCSAG00000003622	Chlorocebus_sabaeus
ENSCCAP00000019094	ENSCCAG00000027390	Cebus_capucinus_imitator
ENSPNYP00000028627	ENSPNYG00000021552	Pundamilia_nyererei
ENSPREP00000004730	ENSPREG00000003313	Poecilia_reticulata
ENSCPUP00000017922	ENSCPUG00000012348	Calidris_pugnax	ENSCPUT00000021258
ENSLSDP00000007662	ENSLSDG00000005757	Lonchura_striata_domestica
ENSGAGP00000008145	ENSGAGG00000006468	Gopherus_agassizii
ENSLOCP00000015683	ENSLOCG00000012742	Lepisosteus_oculatus
ENSPSIP00000011896	ENSPSIG00000010751	Pelodiscus_sinensis
ENSPPYP00000016817	ENSPPYG00000015054	Pongo_abelii
ENSEEEP00000034791	ENSEEEG00000016545	Electrophorus_electricus
ENSETEP00000000863	ENSETEG00000001066	Echinops_telfairi
ENSCJPP00005006458	ENSCJPG00005006043	Coturnix_japonica
ENSGGOP00000002923	ENSGGOG00000002972	Gorilla_gorilla
ENSHHUP00000062489	ENSHHUG00000036954	Hucho_hucho
MGP_PahariEiJ_P0068418	MGP_PahariEiJ_G0026396	Mus_pahari_strain_PAHARI_EIJ
FBpp0077841	FBgn0001259	Drosophila_melanogaster
ENSP00000334003	ENSG00000164066	Homo_sapiens
ENSPANP00000017840	ENSPANG00000011246	Papio_anubis
ENSAMEP00000002708	ENSAMEG00000002570	Ailuropoda_melanoleuca
ENSEASP00005026627	ENSEASG00005018165	Equus_asinus_asinus
ENSAHAP00000021408	ENSAHAG00000015037	Apteryx_haastii
ENSMICP00000013433	ENSMICG00000014722	Microcebus_murinus
ENSPMEP00000010617	ENSPMEG00000012590	Poecilia_mexicana
ENSVPAP00000006707	ENSVPAG00000007208	Vicugna_pacos
ENSCPRP00005006659	ENSCPRG00005004747	Crocodylus_porosus
ENSAPEP00000005048	ENSAPEG00000003612	Amphiprion_percula
ENSANAP00000024720	ENSANAG00000030077	Aotus_nancymaae
ENSDORP00000007147	ENSDORG00000007623	Dipodomys_ordii
ENSCATP00000004030	ENSCATG00000014849	Cercocebus_atys
ENSMUNP00000018688	ENSMUNG00000014292	Melopsittacus_undulatus
ENSZALP00000023038	ENSZALG00000017842	Zonotrichia_albicollis
ENSCHIP00000027941	ENSCHIG00000023650	Capra_hircus
ENSORLP00020024434	ENSORLG00020005818	Oryzias_latipes_ASM223471v1
ENSLCOP00000002350	ENSLCOG00000001836	Lepidothrix_coronata
ENSPRNP00000009733	ENSPRNG00000005645	Parambassis_ranga
ENSCPGP00000025301	ENSCPGG00000017440	Calidris_pygmaea
ENSPNAP00000014650	ENSPNAG00000020590	Pygocentrus_nattereri
ENSOMEP00000014989	ENSOMEG00000016554	Oryzias_melastigma
ENSVVUP00000015584	ENSVVUG00000011410	Vulpes_vulpes
ENSXCOP00000011927	ENSXCOG00000009030	Xiphophorus_couchianus
ENSFDAP00000018494	ENSFDAG00000009802	Fukomys_damarensis
ENSMUGP00000021236	ENSMUGG00000017874	Meriones_unguiculatus
ENSCAFP00020023302	ENSCAFG00020018394	Canis_lupus_dingo
ENSACIP00000027925	ENSACIG00000021621	Amphilophus_citrinellus
ENSCANP00000010605	ENSCANG00000028713	Colobus_angolensis_palliatus
ENSSMRP00000019961	ENSSMRG00000015558	Salvator_merianae
ENSORLP00015002507	ENSORLG00015003197	Oryzias_latipes_ASM223469v1
ENSGACP00000025224	ENSGACG00000019072	Gasterosteus_aculeatus
ENSPMGP00000015987	ENSPMGG00000013115	Periophthalmus_magnuspinnatus
ENSNGAP00000012873	ENSNGAG00000014611	Nannospalax_galili
ENSCGRP00000007049	ENSCGRG00000005125	Cricetulus_griseus_CriGri_1.0
ENSXETP00000035534	ENSXETG00000014114	Xenopus_tropicalis
ENSHHUP00000073355	ENSHHUG00000043065	Hucho_hucho
ENSSPUP00000013500	ENSSPUG00000010340	Sphenodon_punctatus
ENSONIP00000016345	ENSONIG00000012997	Oreochromis_niloticus
ENSPTEP00000040568	ENSPTEG00000037358	Piliocolobus_tephrosceles
ENSOPRP00000003804	ENSOPRG00000004112	Ochotona_princeps
ENSVURP00010010701	ENSVURG00010008147	Vombatus_ursinus
ENSACLP00000020278	ENSACLG00000013757	Astatotilapia_calliptera
ENSPSMP00000025569	ENSPSMG00000017953	Prolemur_simus
ENSSMAP00000022978	ENSSMAG00000013969	Scophthalmus_maximus
ENSCHAP00000004522	ENSCHAG00000002911	Clupea_harengus
ENSMMUP00000019979	ENSMMUG00000015241	Macaca_mulatta
ENSOCUP00000001104	ENSOCUG00000001278	Oryctolagus_cuniculus
ENSGWIP00000051472	ENSGWIG00000024938	Gouania_willdenowi
ENSPLAP00000021009	ENSPLAG00000004420	Poecilia_latipinna
ENSATEP00000003952	ENSATEG00000002680	Anabas_testudineus
ENSNBRP00000004690	ENSNBRG00000003693	Neolamprologus_brichardi
ENSSPAP00000006004	ENSSPAG00000004613	Stegastes_partitus
ENSNLEP00000039028	ENSNLEG00000013556	Nomascus_leucogenys
ENSOARP00000017503	ENSOARG00000016297	Ovis_aries
ENSMALP00000022564	ENSMALG00000015757	Monopterus_albus
ENSMNEP00000024163	ENSMNEG00000035641	Macaca_nemestrina
ENSMLEP00000010793	ENSMLEG00000029588	Mandrillus_leucophaeus
ENSHBUP00000027010	ENSHBUG00000009963	Haplochromis_burtoni
ENSUAMP00000026186	ENSUAMG00000020318	Ursus_americanus
ENSEBUP00000000682	ENSEBUG00000000774	Eptatretus_burgeri	ENSEBUT00000000988
ENSCAFP00000005864	ENSCAFG00000003934	Canis_lupus_familiaris
ENSPTRP00000028215	ENSPTRG00000016431	Pan_troglodytes
ENSLCRP00005009019	ENSLCRG00005004258	Larimichthys_crocea
ENSNVIP00000011945	ENSNVIG00000009443	Neovison_vison
ENSPMAP00000009200	ENSPMAG00000008339	Petromyzon_marinus	ENSPMAT00000009240
ENSBBBP00000000732	ENSBBBG00000009883	Bison_bison_bison
ENSHCOP00000009801	ENSHCOG00000012317	Hippocampus_comes
ENSCSEP00000006119	ENSCSEG00000003941	Cynoglossus_semilaevis
ENSMFAP00000045606	ENSMFAG00000000529	Macaca_fascicularis
ENSPEMP00000016458	ENSPEMG00000015674	Peromyscus_maniculatus_bairdii
ENSSSCP00000056694	ENSSSCG00000009079	Sus_scrofa_strain_reference
ENSGAFP00000003455	ENSGAFG00000002363	Gambusia_affinis
ENSPCOP00000010380	ENSPCOG00000016655	Propithecus_coquereli
ENSCLAP00000007038	ENSCLAG00000004954	Chinchilla_lanigera
ENSTBEP00000000400	ENSTBEG00000000462	Tupaia_belangeri
ENSCJAP00000006435	ENSCJAG00000003524	Callithrix_jacchus
ENSSDAP00000013392	ENSSDAG00000012076	Spermophilus_dauricus
ENSMMOP00000016924	ENSMMOG00000012893	Mola_mola
ENSBIXP00005031075	ENSBIXG00005011331	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMSIP00000010140	ENSMSIG00000008893	Mus_spicilegus
ENSTNIP00000005832	ENSTNIG00000003249	Tetraodon_nigroviridis
ENSMODP00000054540	ENSMODG00000012120	Monodelphis_domestica
ENSLAFP00000000343	ENSLAFG00000000404	Loxodonta_africana
ENSCABP00000023308	ENSCABG00000017140	Chelonoidis_abingdonii
ENSJJAP00000001113	ENSJJAG00000000989	Jaculus_jaculus
MGP_CAROLIEiJ_P0057462	MGP_CAROLIEiJ_G0024956	Mus_caroli_strain_CAROLI_EIJ
ENSTSYP00000003318	ENSTSYG00000003626	Carlito_syrichta
ENSCCNP00000029437	ENSCCNG00000028225	Castor_canadensis
