ENSPMGP00000019297	ENSPMGG00000015672	Periophthalmus_magnuspinnatus
ENSNPEP00000019837	ENSNPEG00000014760	Nothoprocta_perdicaria
ENSPTEP00000037693	ENSPTEG00000035207	Piliocolobus_tephrosceles
ENSPCAP00000007436	ENSPCAG00000007879	Procavia_capensis
ENSPANP00000013588	ENSPANG00000017496	Papio_anubis
ENSHGLP00000002620	ENSHGLG00000001969	Heterocephalus_glaber_HetGla_female_1.0
ENSAMXP00005054532	ENSAMXG00005024344	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTGEP00000005730	ENSTGEG00000004737	Theropithecus_gelada
ENSORLP00015002255	ENSORLG00015002950	Oryzias_latipes_ASM223469v1
ENSRBIP00000015527	ENSRBIG00000031863	Rhinopithecus_bieti
ENSCPGP00000024725	ENSCPGG00000017036	Calidris_pygmaea
ENSMPUP00000015508	ENSMPUG00000015618	Mustela_putorius_furo
ENSPNYP00000022214	ENSPNYG00000016751	Pundamilia_nyererei
ENSAOWP00000019892	ENSAOWG00000013472	Apteryx_owenii
ENSMMMP00000017536	ENSMMMG00000015511	Marmota_marmota_marmota
ENSPREP00000020742	ENSPREG00000014002	Poecilia_reticulata
ENSCPBP00000033406	ENSCPBG00000023356	Chrysemys_picta_bellii
ENSCHIP00000001165	ENSCHIG00000001484	Capra_hircus	ENSCHIT00000002956
ENSJJAP00000018252	ENSJJAG00000019556	Jaculus_jaculus
ENSGWIP00000009374	ENSGWIG00000005589	Gouania_willdenowi
ENSAPEP00000021907	ENSAPEG00000015527	Amphiprion_percula
ENSARWP00000024536	ENSARWG00000016716	Apteryx_rowi
ENSFHEP00000018635	ENSFHEG00000020520	Fundulus_heteroclitus
ENSJHYP00000000773	ENSJHYG00000000722	Junco_hyemalis
ENSMEUP00000005427	ENSMEUG00000005933	Notamacropus_eugenii	ENSMEUT00000005955
ENSONIP00000024410	ENSONIG00000019393	Oreochromis_niloticus
ENSVVUP00000014796	ENSVVUG00000010820	Vulpes_vulpes
ENSMUNP00000006002	ENSMUNG00000004815	Melopsittacus_undulatus
ENSCGRP00015020971	ENSCGRG00015016008	Cricetulus_griseus_CriGri-PICR
ENSMLUP00000000657	ENSMLUG00000000709	Myotis_lucifugus
ENSCJPP00005022616	ENSCJPG00005017886	Coturnix_japonica
ENSAPLP00000029400	ENSAPLG00000011339	Anas_platyrhynchos_platyrhynchos
ENSSBOP00000033575	ENSSBOG00000032950	Saimiri_boliviensis_boliviensis
ENSNVIP00000024906	ENSNVIG00000019268	Neovison_vison
ENSSFOP00015027421	ENSSFOG00015017473	Scleropages_formosus
ENSMICP00000016350	ENSMICG00000014094	Microcebus_murinus
ENSLCOP00000010002	ENSLCOG00000007147	Lepidothrix_coronata
ENSUAMP00000016751	ENSUAMG00000013313	Ursus_americanus
ENSLACP00000003726	ENSLACG00000003318	Latimeria_chalumnae
ENSOGAP00000001126	ENSOGAG00000001253	Otolemur_garnettii
ENSORLP00000039514	ENSORLG00000011587	Oryzias_latipes_ASM223467v1
ENSMMUP00000001314	ENSMMUG00000000978	Macaca_mulatta
ENSPKIP00000026083	ENSPKIG00000008706	Paramormyrops_kingsleyae
ENSACLP00000010923	ENSACLG00000007480	Astatotilapia_calliptera
ENSCCNP00000032997	ENSCCNG00000031264	Castor_canadensis
ENSHBUP00000033990	ENSHBUG00000021335	Haplochromis_burtoni
ENSP00000399780	ENSG00000261732	Homo_sapiens	ENST00000454337
ENSDCDP00000049153	ENSDCDG00000030204	Denticeps_clupeoides
ENSATEP00000007414	ENSATEG00000005090	Anabas_testudineus
ENSABRP00000005026	ENSABRG00000004606	Anser_brachyrhynchus
ENSCAFP00020001200	ENSCAFG00020000788	Canis_lupus_dingo
ENSMNEP00000016577	ENSMNEG00000032283	Macaca_nemestrina
ENSUMAP00000029977	ENSUMAG00000021635	Ursus_maritimus
ENSECRP00000020248	ENSECRG00000013588	Erpetoichthys_calabaricus
ENSZALP00000000090	ENSZALG00000000079	Zonotrichia_albicollis
ENSSMAP00000016219	ENSSMAG00000009909	Scophthalmus_maximus
ENSGAGP00000013797	ENSGAGG00000010491	Gopherus_agassizii
ENSAOCP00000026538	ENSAOCG00000014823	Amphiprion_ocellaris
ENSHCOP00000024851	ENSHCOG00000014566	Hippocampus_comes
ENSODEP00000019592	ENSODEG00000014456	Octodon_degus
ENSCINP00000032700	ENSCING00000020983	Ciona_intestinalis	ENSCINT00000034826
FBpp0070472	FBgn0000376	Drosophila_melanogaster	FBtr0070495
ENSSHAP00000014171	ENSSHAG00000012114	Sarcophilus_harrisii	ENSSHAT00000014289
ENSKMAP00000012856	ENSKMAG00000009624	Kryptolebias_marmoratus
ENSSDAP00000018308	ENSSDAG00000016668	Spermophilus_dauricus
ENSPPRP00000009479	ENSPPRG00000003952	Panthera_pardus
ENSMFAP00000032867	ENSMFAG00000002985	Macaca_fascicularis
ENSPEMP00000004709	ENSPEMG00000007023	Peromyscus_maniculatus_bairdii
ENSPLAP00000014413	ENSPLAG00000018143	Poecilia_latipinna
ENSCPOP00000004799	ENSCPOG00000005336	Cavia_porcellus
ENSAMEP00000008647	ENSAMEG00000008213	Ailuropoda_melanoleuca
ENSMOCP00000016769	ENSMOCG00000015569	Microtus_ochrogaster
ENSCAFP00000021068	ENSCAFG00000014270	Canis_lupus_familiaris
ENSCATP00000033354	ENSCATG00000039680	Cercocebus_atys
ENSPMJP00000010380	ENSPMJG00000008175	Parus_major
ENSGACP00000017201	ENSGACG00000012998	Gasterosteus_aculeatus
ENSHHUP00000078926	ENSHHUG00000046050	Hucho_hucho
ENSCINP00000036152	ENSCING00000023400	Ciona_intestinalis	ENSCINT00000036145
ENSLCRP00005037022	ENSLCRG00005014413	Larimichthys_crocea
ENSPMEP00000014576	ENSPMEG00000017016	Poecilia_mexicana
ENSMODP00000020182	ENSMODG00000016154	Monodelphis_domestica	ENSMODT00000020539
ENSLBEP00000031669	ENSLBEG00000023879	Labrus_bergylta
ENSBIXP00005045252	ENSBIXG00005029023	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMUGP00000019330	ENSMUGG00000016367	Meriones_unguiculatus
ENSMUSP00000156906	ENSMUSG00000038002	Mus_musculus_strain_reference_(CL57BL6)
ENSGGOP00000006057	ENSGGOG00000006181	Gorilla_gorilla
ENSSARP00000011226	ENSSARG00000012374	Sorex_araneus
ENSCGOP00000019191	ENSCGOG00000009185	Cottoperca_gobio
ENSEASP00005002233	ENSEASG00005001568	Equus_asinus_asinus
ENSMVIP00005013658	ENSMVIG00005009882	Manacus_vitellinus
ENSSPAP00000013386	ENSSPAG00000010052	Stegastes_partitus
ENSMLEP00000031792	ENSMLEG00000040080	Mandrillus_leucophaeus
ENSNMEP00000025645	ENSNMEG00000021695	Numida_meleagris
ENSSPUP00000021376	ENSSPUG00000016386	Sphenodon_punctatus
ENSOARP00000017227	ENSOARG00000016037	Ovis_aries	ENSOART00000017469
ENSBTAP00000002854	ENSBTAG00000002202	Bos_taurus
ENSETEP00000005073	ENSETEG00000006250	Echinops_telfairi
ENSELUP00000009115	ENSELUG00000009700	Esox_lucius
MGP_PahariEiJ_P0055496	MGP_PahariEiJ_G0023535	Mus_pahari_strain_PAHARI_EIJ
ENSPCOP00000001527	ENSPCOG00000004847	Propithecus_coquereli
ENSCCEP00000023132	ENSCCEG00000020774	Cyanistes_caeruleus
ENSCSAP00000007715	ENSCSAG00000011519	Chlorocebus_sabaeus
ENSACIP00000009348	ENSACIG00000007303	Amphilophus_citrinellus
ENSOPRP00000001259	ENSOPRG00000001343	Ochotona_princeps
ENSOMEP00000015493	ENSOMEG00000017162	Oryzias_melastigma
ENSDARP00000113117	ENSDARG00000079616	Danio_rerio
ENSNLEP00000010347	ENSNLEG00000008491	Nomascus_leucogenys
ENSXETP00000021298	ENSXETG00000006547	Xenopus_tropicalis
ENSTTRP00000010786	ENSTTRG00000011376	Tursiops_truncatus
ENSPPYP00000007877	ENSPPYG00000006958	Pongo_abelii
ENSMGAP00000010612	ENSMGAG00000010243	Meleagris_gallopavo
ENSSCAP00000003283	ENSSCAG00000002771	Serinus_canaria
ENSCPUP00000016346	ENSCPUG00000011323	Calidris_pugnax
ENSCAPP00000002642	ENSCAPG00000005580	Cavia_aperea
ENSCABP00000005987	ENSCABG00000004498	Chelonoidis_abingdonii
ENSPCIP00000022759	ENSPCIG00000017274	Phascolarctos_cinereus	ENSPCIT00000028093
ENSPRNP00000005893	ENSPRNG00000003530	Parambassis_ranga
ENSMALP00000029096	ENSMALG00000020100	Monopterus_albus
ENSCMIP00000019842	ENSCMIG00000009227	Callorhinchus_milii
ENSHHUP00000012831	ENSHHUG00000007867	Hucho_hucho
R151.8.1	WBGene00020111	Caenorhabditis_elegans_strain_N2	R151.8.1
ENSOCUP00000049161	ENSOCUG00000004975	Oryctolagus_cuniculus
ENSCGRP00000017758	ENSCGRG00000012907	Cricetulus_griseus_CriGri_1.0
ENSRROP00000040393	ENSRROG00000043453	Rhinopithecus_roxellana
ENSOANP00000025578	ENSOANG00000020140	Ornithorhynchus_anatinus	ENSOANT00000029382
ENSTNIP00000005216	ENSTNIG00000002662	Tetraodon_nigroviridis
ENSTSYP00000002671	ENSTSYG00000002901	Carlito_syrichta
ENSEEUP00000002174	ENSEEUG00000002376	Erinaceus_europaeus
ENSECAP00000020840	ENSECAG00000023299	Equus_caballus
ENSPVAP00000015733	ENSPVAG00000016669	Pteropus_vampyrus
ENSPNAP00000027337	ENSPNAG00000012883	Pygocentrus_nattereri
ENSSSCP00000008571	ENSSSCG00000008026	Sus_scrofa_strain_reference
ENSACAP00000003094	ENSACAG00000003178	Anolis_carolinensis
ENSMAMP00000003178	ENSMAMG00000002123	Mastacembelus_armatus
ENSORLP00020012351	ENSORLG00020000352	Oryzias_latipes_ASM223471v1
ENSCSEP00000021823	ENSCSEG00000013899	Cynoglossus_semilaevis
ENSAPOP00000028325	ENSAPOG00000013559	Acanthochromis_polyacanthus
ENSLOCP00000002438	ENSLOCG00000002093	Lepisosteus_oculatus
ENSSTOP00000003323	ENSSTOG00000003675	Ictidomys_tridecemlineatus
