ENSPMAP00000009155	ENSPMAG00000008283	Petromyzon_marinus	ENSPMAT00000009195
ENSPMAP00000005313	ENSPMAG00000004776	Petromyzon_marinus	ENSPMAT00000005333
ENSEBUP00000027460	ENSEBUG00000016825	Eptatretus_burgeri	ENSEBUT00000028036
ENSMICP00000010816	ENSMICG00000011865	Microcebus_murinus
ENSUAMP00000032191	ENSUAMG00000024612	Ursus_americanus
ENSUMAP00000031651	ENSUMAG00000022569	Ursus_maritimus
ENSAMEP00000006186	ENSAMEG00000005809	Ailuropoda_melanoleuca
ENSNVIP00000015075	ENSNVIG00000011741	Neovison_vison
ENSMPUP00000010572	ENSMPUG00000010652	Mustela_putorius_furo
ENSCAFP00020022702	ENSCAFG00020014153	Canis_lupus_dingo
ENSCAFP00000023291	ENSCAFG00000015818	Canis_lupus_familiaris
ENSVVUP00000026024	ENSVVUG00000019109	Vulpes_vulpes
ENSPPRP00000006420	ENSPPRG00000001884	Panthera_pardus
ENSPTIP00000003709	ENSPTIG00000006131	Panthera_tigris_altaica
ENSFCAP00000001979	ENSFCAG00000002140	Felis_catus
ENSEEUP00000003923	ENSEEUG00000004259	Erinaceus_europaeus
ENSBIXP00005046786	ENSBIXG00005031496	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000033730	ENSBIXG00000016548	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000059914	ENSBTAG00000016740	Bos_taurus
ENSBMUP00000022582	ENSBMUG00000016958	Bos_mutus
ENSBBBP00000001222	ENSBBBG00000010403	Bison_bison_bison
ENSCHIP00000027213	ENSCHIG00000023185	Capra_hircus
ENSOARP00000019140	ENSOARG00000017829	Ovis_aries
ENSTTRP00000006251	ENSTTRG00000006605	Tursiops_truncatus
ENSSSCP00000018460	ENSSSCG00000017421	Sus_scrofa_strain_reference
ENSVPAP00000011099	ENSVPAG00000011926	Vicugna_pacos
ENSTSYP00000009703	ENSTSYG00000010520	Carlito_syrichta
ENSOCUP00000029663	ENSOCUG00000013212	Oryctolagus_cuniculus
ENSOPRP00000007367	ENSOPRG00000008041	Ochotona_princeps
ENSETEP00000009117	ENSETEG00000011235	Echinops_telfairi
ENSSARP00000006839	ENSSARG00000007500	Sorex_araneus
ENSCLAP00000021316	ENSCLAG00000014600	Chinchilla_lanigera
ENSODEP00000024805	ENSODEG00000018143	Octodon_degus
ENSHGLP00000019877	ENSHGLG00000014233	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020479	ENSHGLG00100015087	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000005457	ENSFDAG00000014525	Fukomys_damarensis
ENSCPOP00000026570	ENSCPOG00000010813	Cavia_porcellus
ENSCAPP00000011743	ENSCAPG00000012713	Cavia_aperea
ENSOANP00000009222	ENSOANG00000005788	Ornithorhynchus_anatinus
ENSVURP00010028717	ENSVURG00010021975	Vombatus_ursinus
ENSPCIP00000020253	ENSPCIG00000015427	Phascolarctos_cinereus
ENSMEUP00000009844	ENSMEUG00000010774	Notamacropus_eugenii
ENSSHAP00000000962	ENSSHAG00000000861	Sarcophilus_harrisii
ENSMODP00000018423	ENSMODG00000014738	Monodelphis_domestica
ENSOANP00000029343	ENSOANG00000028757	Ornithorhynchus_anatinus
ENSACAP00000016810	ENSACAG00000017013	Anolis_carolinensis
ENSPVIP00000029394	ENSPVIG00000020644	Pogona_vitticeps
ENSNSUP00000013915	ENSNSUG00000010324	Notechis_scutatus
ENSSMRP00000009042	ENSSMRG00000007231	Salvator_merianae
ENSSPUP00000017289	ENSSPUG00000013260	Sphenodon_punctatus
ENSGALP00000055831	ENSGALG00000003475	Gallus_gallus
ENSCJPP00005004927	ENSCJPG00005004772	Coturnix_japonica
ENSMGAP00000002889	ENSMGAG00000003163	Meleagris_gallopavo
ENSNMEP00000007137	ENSNMEG00000007216	Numida_meleagris
ENSAPLP00000016003	ENSAPLG00000016067	Anas_platyrhynchos_platyrhynchos
ENSAPLP00000020921	ENSAPLG00000020285	Anas_platyrhynchos_platyrhynchos
ENSABRP00000010427	ENSABRG00000009396	Anser_brachyrhynchus
ENSZALP00000005518	ENSZALG00000005145	Zonotrichia_albicollis
ENSJHYP00000019995	ENSJHYG00000012420	Junco_hyemalis
ENSSCAP00000009813	ENSSCAG00000007470	Serinus_canaria
ENSFALP00000000652	ENSFALG00000000631	Ficedula_albicollis
ENSLSDP00000009784	ENSLSDG00000007230	Lonchura_striata_domestica
ENSTGUP00000002543	ENSTGUG00000002447	Taeniopygia_guttata
ENSCCEP00000024363	ENSCCEG00000021670	Cyanistes_caeruleus
ENSPMJP00000001219	ENSPMJG00000001014	Parus_major
ENSMVIP00005008136	ENSMVIG00005006101	Manacus_vitellinus
ENSLCOP00000004299	ENSLCOG00000003274	Lepidothrix_coronata
ENSLCOP00000017007	ENSLCOG00000011530	Lepidothrix_coronata
ENSMUNP00000014176	ENSMUNG00000011039	Melopsittacus_undulatus
ENSCPGP00000006682	ENSCPGG00000004784	Calidris_pygmaea
ENSCPUP00000021449	ENSCPUG00000014623	Calidris_pugnax
ENSAHAP00000018799	ENSAHAG00000011470	Apteryx_haastii
ENSAOWP00000013884	ENSAOWG00000008760	Apteryx_owenii
ENSARWP00000022456	ENSARWG00000014742	Apteryx_rowi
ENSDNVP00000027265	ENSDNVG00000018932	Dromaius_novaehollandiae
ENSNPEP00000003498	ENSNPEG00000002665	Nothoprocta_perdicaria
ENSCPRP00005007365	ENSCPRG00005003731	Crocodylus_porosus
ENSGAGP00000000761	ENSGAGG00000000607	Gopherus_agassizii
ENSCABP00000018092	ENSCABG00000011752	Chelonoidis_abingdonii
ENSCPBP00000008582	ENSCPBG00000006669	Chrysemys_picta_bellii
ENSPSIP00000012029	ENSPSIG00000010856	Pelodiscus_sinensis
ENSXETP00000002693	ENSXETG00000005147	Xenopus_tropicalis
ENSLACP00000003491	ENSLACG00000003114	Latimeria_chalumnae
ENSDCDP00000005304	ENSDCDG00000002587	Denticeps_clupeoides
ENSCHAP00000000013	ENSCHAG00000000004	Clupea_harengus
ENSAMXP00000027489	ENSAMXG00000021373	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005040246	ENSAMXG00005018695	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000027097	ENSPNAG00000002299	Pygocentrus_nattereri
ENSEEEP00000036055	ENSEEEG00000017066	Electrophorus_electricus
ENSIPUP00000032274	ENSIPUG00000021591	Ictalurus_punctatus
ENSDARP00000127003	ENSDARG00000055652	Danio_rerio
ENSAMXP00000031272	ENSAMXG00000000394	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005048704	ENSAMXG00005021986	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000021802	ENSPNAG00000029072	Pygocentrus_nattereri
ENSIPUP00000025587	ENSIPUG00000017257	Ictalurus_punctatus
ENSEEEP00000029054	ENSEEEG00000012606	Electrophorus_electricus
ENSDARP00000131909	ENSDARG00000099079	Danio_rerio
ENSFHEP00000026078	ENSFHEG00000000210	Fundulus_heteroclitus
ENSFHEP00000026888	ENSFHEG00000010019	Fundulus_heteroclitus
ENSCVAP00000002297	ENSCVAG00000003435	Cyprinodon_variegatus
ENSXMAP00000010257	ENSXMAG00000010204	Xiphophorus_maculatus
ENSXCOP00000008221	ENSXCOG00000006307	Xiphophorus_couchianus
ENSGAFP00000005247	ENSGAFG00000003557	Gambusia_affinis
ENSPFOP00000006699	ENSPFOG00000006060	Poecilia_formosa
ENSPMEP00000027751	ENSPMEG00000012500	Poecilia_mexicana
ENSPLAP00000012787	ENSPLAG00000016224	Poecilia_latipinna
ENSPREP00000032858	ENSPREG00000022254	Poecilia_reticulata
ENSKMAP00000023890	ENSKMAG00000017661	Kryptolebias_marmoratus
ENSORLP00015017315	ENSORLG00015018355	Oryzias_latipes_ASM223469v1
ENSORLP00015033104	ENSORLG00015018332	Oryzias_latipes_ASM223469v1
ENSORLP00020019241	ENSORLG00020020264	Oryzias_latipes_ASM223471v1
ENSORLP00020001735	ENSORLG00020002437	Oryzias_latipes_ASM223471v1
ENSORLP00000030457	ENSORLG00000013878	Oryzias_latipes_ASM223467v1
ENSOMEP00000003807	ENSOMEG00000004730	Oryzias_melastigma
ENSGWIP00000021078	ENSGWIG00000011352	Gouania_willdenowi
ENSAOCP00000031499	ENSAOCG00000023253	Amphiprion_ocellaris
ENSAPEP00000022112	ENSAPEG00000015683	Amphiprion_percula
ENSAPOP00000017301	ENSAPOG00000020602	Acanthochromis_polyacanthus
ENSSPAP00000018728	ENSSPAG00000014074	Stegastes_partitus
ENSPRNP00000005022	ENSPRNG00000002777	Parambassis_ranga
ENSMZEP00005028316	ENSMZEG00005021110	Maylandia_zebra
ENSACLP00000013081	ENSACLG00000008857	Astatotilapia_calliptera
ENSHBUP00000002835	ENSHBUG00000004172	Haplochromis_burtoni
ENSPNYP00000021287	ENSPNYG00000015957	Pundamilia_nyererei
ENSNBRP00000022254	ENSNBRG00000017039	Neolamprologus_brichardi
ENSONIP00000020504	ENSONIG00000016287	Oreochromis_niloticus
ENSACIP00000011974	ENSACIG00000009283	Amphilophus_citrinellus
ENSSDUP00000029679	ENSSDUG00000021378	Seriola_dumerili
ENSSLDP00000024548	ENSSLDG00000019058	Seriola_lalandi_dorsalis
ENSLCAP00010001502	ENSLCAG00010000632	Lates_calcarifer
ENSSMAP00000032543	ENSSMAG00000019919	Scophthalmus_maximus
ENSMAMP00000023973	ENSMAMG00000016122	Mastacembelus_armatus
ENSMALP00000032396	ENSMALG00000022308	Monopterus_albus
ENSATEP00000032253	ENSATEG00000022150	Anabas_testudineus
ENSBSLP00000028726	ENSBSLG00000014123	Betta_splendens
ENSCGOP00000023045	ENSCGOG00000007187	Cottoperca_gobio
ENSGACP00000008249	ENSGACG00000006221	Gasterosteus_aculeatus
ENSLCRP00005061119	ENSLCRG00005022542	Larimichthys_crocea
ENSLBEP00000028613	ENSLBEG00000021543	Labrus_bergylta
ENSTRUP00000026930	ENSTRUG00000010668	Takifugu_rubripes
ENSTNIP00000009397	ENSTNIG00000006620	Tetraodon_nigroviridis
ENSMMOP00000018482	ENSMMOG00000013993	Mola_mola
ENSCSEP00000011552	ENSCSEG00000007410	Cynoglossus_semilaevis
ENSPMGP00000023676	ENSPMGG00000019147	Periophthalmus_magnuspinnatus
ENSHCOP00000016545	ENSHCOG00000020343	Hippocampus_comes
ENSGMOP00000000770	ENSGMOG00000000755	Gadus_morhua
ENSHHUP00000088872	ENSHHUG00000051310	Hucho_hucho
ENSLCRP00005041062	ENSLCRG00005015816	Larimichthys_crocea
ENSMMOP00000027411	ENSMMOG00000020725	Mola_mola
ENSGACP00000011639	ENSGACG00000008812	Gasterosteus_aculeatus
ENSCGOP00000042007	ENSCGOG00000018014	Cottoperca_gobio
ENSLBEP00000005883	ENSLBEG00000004457	Labrus_bergylta
ENSAOCP00000019962	ENSAOCG00000003734	Amphiprion_ocellaris
ENSSDUP00000031920	ENSSDUG00000022924	Seriola_dumerili
ENSSLDP00000022343	ENSSLDG00000017393	Seriola_lalandi_dorsalis
ENSSMAP00000012544	ENSSMAG00000007675	Scophthalmus_maximus
ENSLCAP00010016206	ENSLCAG00010007705	Lates_calcarifer
ENSMAMP00000033135	ENSMAMG00000022295	Mastacembelus_armatus
ENSMALP00000009864	ENSMALG00000006942	Monopterus_albus
ENSATEP00000002174	ENSATEG00000001410	Anabas_testudineus
ENSBSLP00000011914	ENSBSLG00000006117	Betta_splendens
ENSCVAP00000007624	ENSCVAG00000009296	Cyprinodon_variegatus
ENSCVAP00000024914	ENSCVAG00000009321	Cyprinodon_variegatus
ENSPFOP00000011471	ENSPFOG00000011339	Poecilia_formosa
ENSPLAP00000017416	ENSPLAG00000021850	Poecilia_latipinna
ENSPMEP00000027268	ENSPMEG00000011607	Poecilia_mexicana
ENSPREP00000015778	ENSPREG00000010604	Poecilia_reticulata
ENSXMAP00000008856	ENSXMAG00000008800	Xiphophorus_maculatus
ENSGAFP00000001678	ENSGAFG00000001108	Gambusia_affinis
ENSFHEP00000028290	ENSFHEG00000012377	Fundulus_heteroclitus
ENSKMAP00000027364	ENSKMAG00000020258	Kryptolebias_marmoratus
ENSOMEP00000035560	ENSOMEG00000022898	Oryzias_melastigma
ENSOMEP00000020969	ENSOMEG00000000615	Oryzias_melastigma
ENSORLP00000004629	ENSORLG00000003711	Oryzias_latipes_ASM223467v1
ENSORLP00020026309	ENSORLG00020008773	Oryzias_latipes_ASM223471v1
ENSORLP00015022358	ENSORLG00015001725	Oryzias_latipes_ASM223469v1
ENSGWIP00000001382	ENSGWIG00000000803	Gouania_willdenowi
ENSAPEP00000006398	ENSAPEG00000004521	Amphiprion_percula
ENSAOCP00000024874	ENSAOCG00000002779	Amphiprion_ocellaris
ENSAPOP00000032467	ENSAPOG00000020493	Acanthochromis_polyacanthus
ENSSPAP00000008983	ENSSPAG00000006748	Stegastes_partitus
ENSACLP00000003648	ENSACLG00000002426	Astatotilapia_calliptera
ENSMZEP00005030552	ENSMZEG00005022758	Maylandia_zebra
ENSPNYP00000014992	ENSPNYG00000011330	Pundamilia_nyererei
ENSHBUP00000000683	ENSHBUG00000001889	Haplochromis_burtoni
ENSNBRP00000024926	ENSNBRG00000019018	Neolamprologus_brichardi
ENSONIP00000001352	ENSONIG00000001066	Oreochromis_niloticus
ENSACIP00000013275	ENSACIG00000010293	Amphilophus_citrinellus
ENSTNIP00000009599	ENSTNIG00000006807	Tetraodon_nigroviridis
ENSTNIP00000014289	ENSTNIG00000011345	Tetraodon_nigroviridis
ENSTNIP00000009535	ENSTNIG00000006750	Tetraodon_nigroviridis
ENSTNIP00000009543	ENSTNIG00000006758	Tetraodon_nigroviridis
ENSTRUP00000040598	ENSTRUG00000015879	Takifugu_rubripes
ENSCSEP00000025525	ENSCSEG00000016271	Cynoglossus_semilaevis
ENSPMGP00000011714	ENSPMGG00000009683	Periophthalmus_magnuspinnatus
ENSHCOP00000019591	ENSHCOG00000005058	Hippocampus_comes
ENSGMOP00000000081	ENSGMOG00000000077	Gadus_morhua
ENSHHUP00000046757	ENSHHUG00000028431	Hucho_hucho
ENSHHUP00000081091	ENSHHUG00000047150	Hucho_hucho
ENSELUP00000038394	ENSELUG00000018295	Esox_lucius
ENSPKIP00000014655	ENSPKIG00000001569	Paramormyrops_kingsleyae
ENSSFOP00015016023	ENSSFOG00015010256	Scleropages_formosus
ENSSFOP00015036439	ENSSFOG00015023171	Scleropages_formosus
ENSPKIP00000002597	ENSPKIG00000020389	Paramormyrops_kingsleyae
ENSLOCP00000015566	ENSLOCG00000012637	Lepisosteus_oculatus
ENSECRP00000028448	ENSECRG00000019183	Erpetoichthys_calabaricus
ENSCMIP00000037921	ENSCMIG00000015922	Callorhinchus_milii
ENSCINP00000034718	ENSCING00000020645	Ciona_intestinalis
ENSCINP00000032586	ENSCING00000018247	Ciona_intestinalis
ENSCINP00000030747	ENSCING00000024567	Ciona_intestinalis
ENSCINP00000023291	ENSCING00000008942	Ciona_intestinalis
ENSCSAVP00000019377	ENSCSAVG00000011368	Ciona_savignyi
D1005.1.1	WBGene00016995	Caenorhabditis_elegans_strain_N2
B0365.1.1	WBGene00007150	Caenorhabditis_elegans_strain_N2
FBpp0289824	FBgn0020236	Drosophila_melanogaster
