ENSOANP00000004801	ENSOANG00000003029	Ornithorhynchus_anatinus	ENSOANT00000004802
ENSOANP00000018107	ENSOANG00000011429	Ornithorhynchus_anatinus	ENSOANT00000018110
MGP_SPRETEiJ_P0037626	MGP_SPRETEiJ_G0019925	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0037626
ENSMUSP00000153023	ENSMUSG00000046753	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000223689
ENSMSIP00000033463	ENSMSIG00000027991	Mus_spicilegus	ENSMSIT00000042170
MGP_CAROLIEiJ_P0035927	MGP_CAROLIEiJ_G0019040	Mus_caroli_strain_CAROLI_EIJ
ENSMICP00000004618	ENSMICG00000005065	Microcebus_murinus
ENSOGAP00000006962	ENSOGAG00000007774	Otolemur_garnettii
ENSTBEP00000014369	ENSTBEG00000016513	Tupaia_belangeri
ENSMLUP00000008190	ENSMLUG00000008973	Myotis_lucifugus
ENSPVAP00000012582	ENSPVAG00000013338	Pteropus_vampyrus
ENSUMAP00000027347	ENSUMAG00000019862	Ursus_maritimus
ENSUAMP00000034985	ENSUAMG00000026581	Ursus_americanus
ENSAMEP00000012211	ENSAMEG00000011601	Ailuropoda_melanoleuca
ENSNVIP00000029263	ENSNVIG00000022550	Neovison_vison
ENSMPUP00000016738	ENSMPUG00000016843	Mustela_putorius_furo
ENSCAFP00000011951	ENSCAFG00000008112	Canis_lupus_familiaris
ENSCAFP00020006803	ENSCAFG00020005515	Canis_lupus_dingo
ENSVVUP00000028291	ENSVVUG00000020712	Vulpes_vulpes
ENSPTIP00000003250	ENSPTIG00000006034	Panthera_tigris_altaica
ENSPPRP00000016261	ENSPPRG00000008621	Panthera_pardus
ENSFCAP00000002953	ENSFCAG00000003201	Felis_catus
ENSBIXP00005027926	ENSBIXG00005029816	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000000222	ENSBIXG00000030089	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000053266	ENSBTAG00000019746	Bos_taurus
ENSBMUP00000017675	ENSBMUG00000013371	Bos_mutus
ENSBBBP00000010361	ENSBBBG00000018503	Bison_bison_bison
ENSCHIP00000030543	ENSCHIG00000025264	Capra_hircus
ENSOARP00000016391	ENSOARG00000015275	Ovis_aries
ENSTTRP00000002902	ENSTTRG00000003097	Tursiops_truncatus
ENSSSCP00000059130	ENSSSCG00000021439	Sus_scrofa_strain_reference
ENSVPAP00000009889	ENSVPAG00000010623	Vicugna_pacos
ENSEASP00005022925	ENSEASG00005015612	Equus_asinus_asinus
ENSECAP00000045595	ENSECAG00000018662	Equus_caballus
ENSSARP00000003246	ENSSARG00000003572	Sorex_araneus
ENSEEUP00000009645	ENSEEUG00000010533	Erinaceus_europaeus
ENSCHOP00000004291	ENSCHOG00000004835	Choloepus_hoffmanni
ENSDNOP00000006549	ENSDNOG00000008456	Dasypus_novemcinctus
ENSLAFP00000009289	ENSLAFG00000011093	Loxodonta_africana
ENSPCAP00000003816	ENSPCAG00000004047	Procavia_capensis
ENSETEP00000010253	ENSETEG00000012646	Echinops_telfairi
ENSVURP00010015721	ENSVURG00010012028	Vombatus_ursinus
ENSPCIP00000045833	ENSPCIG00000019725	Phascolarctos_cinereus
ENSMEUP00000009607	ENSMEUG00000010517	Notamacropus_eugenii
ENSSHAP00000010440	ENSSHAG00000009011	Sarcophilus_harrisii
ENSMODP00000033007	ENSMODG00000012377	Monodelphis_domestica
ENSAHAP00000013890	ENSAHAG00000009989	Apteryx_haastii
ENSARWP00000015484	ENSARWG00000010693	Apteryx_rowi
ENSAOWP00000018831	ENSAOWG00000012809	Apteryx_owenii
ENSDNVP00000017783	ENSDNVG00000012431	Dromaius_novaehollandiae
ENSDNVP00000017786	ENSDNVG00000012434	Dromaius_novaehollandiae
ENSNPEP00000015759	ENSNPEG00000011759	Nothoprocta_perdicaria
ENSCCEP00000027785	ENSCCEG00000024184	Cyanistes_caeruleus
ENSPMJP00000016654	ENSPMJG00000012579	Parus_major
ENSFALP00000008890	ENSFALG00000008526	Ficedula_albicollis
ENSTGUP00000007311	ENSTGUG00000007093	Taeniopygia_guttata
ENSLSDP00000014107	ENSLSDG00000010194	Lonchura_striata_domestica
ENSSCAP00000002847	ENSSCAG00000002465	Serinus_canaria
ENSZALP00000021861	ENSZALG00000017060	Zonotrichia_albicollis
ENSJHYP00000016872	ENSJHYG00000012855	Junco_hyemalis
ENSMVIP00005002666	ENSMVIG00005002083	Manacus_vitellinus
ENSMUNP00000018423	ENSMUNG00000014094	Melopsittacus_undulatus
ENSLCOP00000011787	ENSLCOG00000008545	Lepidothrix_coronata
ENSTGUP00000018298	ENSTGUG00000018540	Taeniopygia_guttata
ENSCPGP00000028000	ENSCPGG00000019301	Calidris_pygmaea
ENSCPUP00000024286	ENSCPUG00000016488	Calidris_pugnax
ENSAPLP00000003123	ENSAPLG00000003610	Anas_platyrhynchos_platyrhynchos
ENSABRP00000004915	ENSABRG00000004512	Anser_brachyrhynchus
ENSMGAP00000006111	ENSMGAG00000006106	Meleagris_gallopavo
ENSCJPP00005016121	ENSCJPG00005013274	Coturnix_japonica
ENSGALP00000070638	ENSGALG00000005450	Gallus_gallus
ENSNMEP00000020193	ENSNMEG00000017354	Numida_meleagris
ENSCPRP00005027391	ENSCPRG00005018965	Crocodylus_porosus
ENSCABP00000000213	ENSCABG00000000183	Chelonoidis_abingdonii
ENSGAGP00000012104	ENSGAGG00000009316	Gopherus_agassizii
ENSCPBP00000013616	ENSCPBG00000010169	Chrysemys_picta_bellii
ENSPSIP00000010249	ENSPSIG00000009306	Pelodiscus_sinensis
ENSACAP00000020536	ENSACAG00000005884	Anolis_carolinensis
ENSNSUP00000028368	ENSNSUG00000020216	Notechis_scutatus
ENSSMRP00000027265	ENSSMRG00000021022	Salvator_merianae
ENSPVIP00000021899	ENSPVIG00000016592	Pogona_vitticeps
ENSNSUP00000028367	ENSNSUG00000020215	Notechis_scutatus
ENSSMRP00000027264	ENSSMRG00000021021	Salvator_merianae
ENSSPUP00000005241	ENSSPUG00000003838	Sphenodon_punctatus
ENSXETP00000033113	ENSXETG00000016484	Xenopus_tropicalis
ENSLACP00000005377	ENSLACG00000004781	Latimeria_chalumnae
ENSAMXP00000030052	ENSAMXG00000004073	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005024769	ENSAMXG00005012586	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000037674	ENSPNAG00000029685	Pygocentrus_nattereri
ENSIPUP00000011189	ENSIPUG00000007623	Ictalurus_punctatus
ENSCHAP00000004673	ENSCHAG00000003104	Clupea_harengus
ENSHHUP00000069654	ENSHHUG00000041023	Hucho_hucho
ENSELUP00000020717	ENSELUG00000019898	Esox_lucius
ENSGACP00000005093	ENSGACG00000003884	Gasterosteus_aculeatus
ENSTRUP00000050873	ENSTRUG00000020276	Takifugu_rubripes
ENSAOCP00000011859	ENSAOCG00000016224	Amphiprion_ocellaris
ENSAPEP00000000733	ENSAPEG00000000576	Amphiprion_percula
ENSLCRP00005018457	ENSLCRG00005007604	Larimichthys_crocea
ENSMAMP00000021182	ENSMAMG00000014242	Mastacembelus_armatus
ENSCGOP00000022176	ENSCGOG00000010668	Cottoperca_gobio
ENSLBEP00000035946	ENSLBEG00000026942	Labrus_bergylta
ENSATEP00000004749	ENSATEG00000003358	Anabas_testudineus
ENSLCAP00010000891	ENSLCAG00010000545	Lates_calcarifer
ENSCSEP00000028878	ENSCSEG00000018494	Cynoglossus_semilaevis
ENSSMAP00000001411	ENSSMAG00000000908	Scophthalmus_maximus
ENSSDUP00000028823	ENSSDUG00000020794	Seriola_dumerili
ENSPFOP00000012141	ENSPFOG00000012134	Poecilia_formosa
ENSPMEP00000018777	ENSPMEG00000021746	Poecilia_mexicana
ENSPLAP00000014848	ENSPLAG00000018630	Poecilia_latipinna
ENSGAFP00000002819	ENSGAFG00000001941	Gambusia_affinis
ENSXMAP00000000953	ENSXMAG00000000966	Xiphophorus_maculatus
ENSFHEP00000005255	ENSFHEG00000006202	Fundulus_heteroclitus
ENSKMAP00000024777	ENSKMAG00000018377	Kryptolebias_marmoratus
ENSPRNP00000004876	ENSPRNG00000002741	Parambassis_ranga
ENSMZEP00005021557	ENSMZEG00005016189	Maylandia_zebra
ENSACLP00000014748	ENSACLG00000010030	Astatotilapia_calliptera
ENSPNYP00000017320	ENSPNYG00000013125	Pundamilia_nyererei
ENSONIP00000005428	ENSONIG00000004307	Oreochromis_niloticus
ENSHCOP00000025255	ENSHCOG00000015271	Hippocampus_comes
ENSPKIP00000029549	ENSPKIG00000010727	Paramormyrops_kingsleyae
ENSSFOP00015032664	ENSSFOG00015020887	Scleropages_formosus
ENSLOCP00000016449	ENSLOCG00000013348	Lepisosteus_oculatus
ENSECRP00000025161	ENSECRG00000017030	Erpetoichthys_calabaricus
ENSCMIP00000008760	ENSCMIG00000004690	Callorhinchus_milii
ENSPMJP00000016653	ENSPMJG00000012578	Parus_major
ENSPMAP00000008849	ENSPMAG00000008044	Petromyzon_marinus
ENSCINP00000002700	ENSCING00000001389	Ciona_intestinalis
FBpp0077901	FBgn0037014	Drosophila_melanogaster
