ENSHGLP00100004417	ENSHGLG00100003342	Heterocephalus_glaber_HetGla_1.0
ENSACLP00000002223	ENSACLG00000001541	Astatotilapia_calliptera
ENSNBRP00000004963	ENSNBRG00000003962	Neolamprologus_brichardi
ENSFHEP00000028533	ENSFHEG00000012701	Fundulus_heteroclitus
ENSOMEP00000010269	ENSOMEG00000011558	Oryzias_melastigma
ENSLBEP00000023876	ENSLBEG00000018303	Labrus_bergylta
ENSCSEP00000006587	ENSCSEG00000004259	Cynoglossus_semilaevis
ENSCGOP00000053788	ENSCGOG00000023577	Cottoperca_gobio
ENSCHAP00000003157	ENSCHAG00000001941	Clupea_harengus
ENSAMXP00005054571	ENSAMXG00005024396	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000049704	ENSAMXG00000034436	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000024968	ENSPNAG00000009826	Pygocentrus_nattereri
ENSDARP00000128831	ENSDARG00000097160	Danio_rerio
ENSSFOP00015000598	ENSSFOG00015000430	Scleropages_formosus
ENSPKIP00000030033	ENSPKIG00000011021	Paramormyrops_kingsleyae
ENSLOCP00000001731	ENSLOCG00000001520	Lepisosteus_oculatus
ENSAPLP00000028389	ENSAPLG00000012423	Anas_platyrhynchos_platyrhynchos
ENSABRP00000002891	ENSABRG00000002791	Anser_brachyrhynchus
ENSCJPP00005023817	ENSCJPG00005018827	Coturnix_japonica
ENSMGAP00000007859	ENSMGAG00000007712	Meleagris_gallopavo
ENSGALP00000069884	ENSGALG00000045350	Gallus_gallus
ENSNMEP00000001366	ENSNMEG00000001753	Numida_meleagris
ENSLCOP00000000236	ENSLCOG00000000226	Lepidothrix_coronata
ENSMVIP00005008035	ENSMVIG00005006035	Manacus_vitellinus
ENSJHYP00000019424	ENSJHYG00000014764	Junco_hyemalis
ENSZALP00000023575	ENSZALG00000018223	Zonotrichia_albicollis
ENSSCAP00000023759	ENSSCAG00000017004	Serinus_canaria
ENSTGUP00000003409	ENSTGUG00000003312	Taeniopygia_guttata
ENSPMJP00000014981	ENSPMJG00000011364	Parus_major
ENSCCEP00000003960	ENSCCEG00000004396	Cyanistes_caeruleus
ENSFALP00000001696	ENSFALG00000001632	Ficedula_albicollis
ENSMUNP00000018099	ENSMUNG00000013853	Melopsittacus_undulatus
ENSCPUP00000001957	ENSCPUG00000001508	Calidris_pugnax
ENSCPGP00000015556	ENSCPGG00000010965	Calidris_pygmaea
ENSAOWP00000012301	ENSAOWG00000008421	Apteryx_owenii
ENSARWP00000002055	ENSARWG00000001581	Apteryx_rowi
ENSAHAP00000017295	ENSAHAG00000012327	Apteryx_haastii
ENSDNVP00000014079	ENSDNVG00000009895	Dromaius_novaehollandiae
ENSCPRP00005008463	ENSCPRG00005006043	Crocodylus_porosus
ENSCPBP00000029388	ENSCPBG00000020719	Chrysemys_picta_bellii
ENSGAGP00000021491	ENSGAGG00000015781	Gopherus_agassizii
ENSPSIP00000019535	ENSPSIG00000017337	Pelodiscus_sinensis
ENSSPUP00000017120	ENSSPUG00000013256	Sphenodon_punctatus
ENSSMRP00000022933	ENSSMRG00000017796	Salvator_merianae	ENSSMRT00000026817
ENSOANP00000030153	ENSOANG00000028308	Ornithorhynchus_anatinus
ENSXETP00000044265	ENSXETG00000018868	Xenopus_tropicalis
ENSLACP00000013651	ENSLACG00000012015	Latimeria_chalumnae
ENSIPUP00000021858	ENSIPUG00000014794	Ictalurus_punctatus
ENSEEEP00000035678	ENSEEEG00000016990	Electrophorus_electricus
ENSAMXP00005020431	ENSAMXG00005010565	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000030151	ENSAMXG00000000404	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000035135	ENSPNAG00000004963	Pygocentrus_nattereri
ENSDARP00000155944	ENSDARG00000071697	Danio_rerio
ENSDCDP00000041271	ENSDCDG00000026940	Denticeps_clupeoides
ENSHHUP00000052307	ENSHHUG00000031428	Hucho_hucho
ENSHHUP00000025400	ENSHHUG00000015998	Hucho_hucho
ENSELUP00000013374	ENSELUG00000013531	Esox_lucius
ENSAPEP00000021288	ENSAPEG00000015206	Amphiprion_percula
ENSAOCP00000007678	ENSAOCG00000011494	Amphiprion_ocellaris
ENSAPOP00000011358	ENSAPOG00000013899	Acanthochromis_polyacanthus
ENSSPAP00000004274	ENSSPAG00000003297	Stegastes_partitus
ENSPRNP00000040194	ENSPRNG00000019753	Parambassis_ranga
ENSACLP00000032129	ENSACLG00000021734	Astatotilapia_calliptera
ENSMZEP00005007220	ENSMZEG00005005559	Maylandia_zebra
ENSPNYP00000000059	ENSPNYG00000000049	Pundamilia_nyererei
ENSHBUP00000010773	ENSHBUG00000012334	Haplochromis_burtoni
ENSNBRP00000028945	ENSNBRG00000022057	Neolamprologus_brichardi
ENSONIP00000019896	ENSONIG00000015804	Oreochromis_niloticus
ENSGWIP00000003688	ENSGWIG00000002001	Gouania_willdenowi
ENSFHEP00000034342	ENSFHEG00000000874	Fundulus_heteroclitus
ENSCVAP00000018339	ENSCVAG00000021566	Cyprinodon_variegatus
ENSPFOP00000027280	ENSPFOG00000004983	Poecilia_formosa
ENSPLAP00000021310	ENSPLAG00000004948	Poecilia_latipinna
ENSPMEP00000023771	ENSPMEG00000005587	Poecilia_mexicana
ENSXMAP00000025796	ENSXMAG00000015791	Xiphophorus_maculatus
ENSGAFP00000023025	ENSGAFG00000015544	Gambusia_affinis
ENSKMAP00000008416	ENSKMAG00000006338	Kryptolebias_marmoratus
ENSORLP00020019125	ENSORLG00020020127	Oryzias_latipes_ASM223471v1
ENSORLP00015014251	ENSORLG00015015173	Oryzias_latipes_ASM223469v1
ENSORLP00000035701	ENSORLG00000022533	Oryzias_latipes_ASM223467v1
ENSOMEP00000015505	ENSOMEG00000017101	Oryzias_melastigma
ENSLCRP00005011192	ENSLCRG00005005079	Larimichthys_crocea
ENSLBEP00000018371	ENSLBEG00000014153	Labrus_bergylta
ENSGACP00000024769	ENSGACG00000018733	Gasterosteus_aculeatus
ENSATEP00000025772	ENSATEG00000017886	Anabas_testudineus
ENSBSLP00000023485	ENSBSLG00000011942	Betta_splendens
ENSSDUP00000018931	ENSSDUG00000013825	Seriola_dumerili
ENSSLDP00000028988	ENSSLDG00000022386	Seriola_lalandi_dorsalis
ENSLCAP00010054527	ENSLCAG00010025416	Lates_calcarifer
ENSCSEP00000026466	ENSCSEG00000016912	Cynoglossus_semilaevis
ENSSMAP00000022203	ENSSMAG00000013564	Scophthalmus_maximus
ENSMMOP00000013007	ENSMMOG00000009976	Mola_mola
ENSCGOP00000025288	ENSCGOG00000011955	Cottoperca_gobio
ENSMAMP00000000854	ENSMAMG00000000623	Mastacembelus_armatus
ENSHCOP00000003537	ENSHCOG00000004894	Hippocampus_comes
ENSGMOP00000006373	ENSGMOG00000005980	Gadus_morhua
ENSSFOP00015005851	ENSSFOG00015003809	Scleropages_formosus
ENSPKIP00000014349	ENSPKIG00000001440	Paramormyrops_kingsleyae
ENSECRP00000017044	ENSECRG00000011338	Erpetoichthys_calabaricus
ENSCMIP00000030055	ENSCMIG00000012966	Callorhinchus_milii
