ENSFCAP00000051712	ENSFCAG00000044625	Felis_catus
ENSCGOP00000039120	ENSCGOG00000017895	Cottoperca_gobio
ENSMMMP00000020914	ENSMMMG00000018454	Marmota_marmota_marmota
ENSPPYP00000021946	ENSPPYG00000019585	Pongo_abelii
ENSLBEP00000031993	ENSLBEG00000024130	Labrus_bergylta
ENSMNEP00000007596	ENSMNEG00000028386	Macaca_nemestrina
ENSPRNP00000043130	ENSPRNG00000021061	Parambassis_ranga
ENSJJAP00000001879	ENSJJAG00000002859	Jaculus_jaculus
ENSLSDP00000005347	ENSLSDG00000004187	Lonchura_striata_domestica
ENSPNAP00000019306	ENSPNAG00000025830	Pygocentrus_nattereri
ENSAPLP00000001287	ENSAPLG00000001864	Anas_platyrhynchos_platyrhynchos
ENSMOCP00000006182	ENSMOCG00000005785	Microtus_ochrogaster
ENSCHIP00000001443	ENSCHIG00000002998	Capra_hircus
ENSOPRP00000012155	ENSOPRG00000013334	Ochotona_princeps
ENSMVIP00005014228	ENSMVIG00005010275	Manacus_vitellinus
ENSCGOP00000039231	ENSCGOG00000017933	Cottoperca_gobio
ENSXETP00000048331	ENSXETG00000017486	Xenopus_tropicalis
ENSCANP00000002820	ENSCANG00000010405	Colobus_angolensis_palliatus
ENSCGRP00000020366	ENSCGRG00000014822	Cricetulus_griseus_CriGri_1.0
ENSP00000362760	ENSG00000171448	Homo_sapiens
ENSMUGP00000008076	ENSMUGG00000007329	Meriones_unguiculatus
ENSAMXP00005010140	ENSAMXG00005005700	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSFDAP00000006743	ENSFDAG00000015428	Fukomys_damarensis
ENSNGAP00000002044	ENSNGAG00000001562	Nannospalax_galili
ENSGALP00000043764	ENSGALG00000042762	Gallus_gallus
ENSPVAP00000016595	ENSPVAG00000017595	Pteropus_vampyrus
ENSBBBP00000000307	ENSBBBG00000001511	Bison_bison_bison
ENSHGLP00000016309	ENSHGLG00000011691	Heterocephalus_glaber_HetGla_female_1.0
ENSPREP00000024498	ENSPREG00000016555	Poecilia_reticulata
ENSHHUP00000043111	ENSHHUG00000026507	Hucho_hucho
ENSIPUP00000026329	ENSIPUG00000017831	Ictalurus_punctatus
ENSLCRP00005062711	ENSLCRG00005023022	Larimichthys_crocea
ENSLOCP00000021973	ENSLOCG00000017870	Lepisosteus_oculatus
ENSPLAP00000004100	ENSPLAG00000005721	Poecilia_latipinna
ENSMSIP00000001009	ENSMSIG00000001038	Mus_spicilegus
ENSCMIP00000007157	ENSCMIG00000003984	Callorhinchus_milii
ENSMUSP00000070071	ENSMUSG00000050714	Mus_musculus_strain_reference_(CL57BL6)
ENSCCAP00000000527	ENSCCAG00000003111	Cebus_capucinus_imitator
ENSORLP00015010393	ENSORLG00015011199	Oryzias_latipes_ASM223469v1
ENSPCIP00000034534	ENSPCIG00000025565	Phascolarctos_cinereus
ENSPEMP00000031994	ENSPEMG00000029320	Peromyscus_maniculatus_bairdii
ENSORLP00000019654	ENSORLG00000015695	Oryzias_latipes_ASM223467v1
ENSUMAP00000003801	ENSUMAG00000003128	Ursus_maritimus
ENSPSMP00000033199	ENSPSMG00000022920	Prolemur_simus
ENSZALP00000013430	ENSZALG00000011182	Zonotrichia_albicollis
ENSBIXP00000016465	ENSBIXG00000020644	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCATP00000006509	ENSCATG00000020299	Cercocebus_atys
ENSCGOP00000039225	ENSCGOG00000017927	Cottoperca_gobio
ENSGAGP00000025017	ENSGAGG00000018291	Gopherus_agassizii
ENSCGOP00000039228	ENSCGOG00000017930	Cottoperca_gobio
ENSMMUP00000000676	ENSMMUG00000000495	Macaca_mulatta
ENSPVIP00000003789	ENSPVIG00000003125	Pogona_vitticeps
ENSSFOP00015010655	ENSSFOG00015006928	Scleropages_formosus	ENSSFOT00015010801
ENSDCDP00000005710	ENSDCDG00000002769	Denticeps_clupeoides
ENSDNOP00000025703	ENSDNOG00000045813	Dasypus_novemcinctus
ENSMZEP00005002551	ENSMZEG00005002025	Maylandia_zebra
ENSAMEP00000011510	ENSAMEG00000010944	Ailuropoda_melanoleuca
ENSCLAP00000024386	ENSCLAG00000016744	Chinchilla_lanigera
ENSLBEP00000000540	ENSLBEG00000000418	Labrus_bergylta
ENSACAP00000007798	ENSACAG00000007975	Anolis_carolinensis
ENSAOCP00000024194	ENSAOCG00000010836	Amphiprion_ocellaris
ENSPTIP00000003219	ENSPTIG00000006045	Panthera_tigris_altaica
ENSXMAP00000019622	ENSXMAG00000019575	Xiphophorus_maculatus
ENSNLEP00000020903	ENSNLEG00000017215	Nomascus_leucogenys
ENSOANP00000013014	ENSOANG00000008192	Ornithorhynchus_anatinus
ENSPEMP00000035220	ENSPEMG00000031240	Peromyscus_maniculatus_bairdii
ENSSCAP00000022528	ENSSCAG00000016184	Serinus_canaria
ENSUAMP00000019434	ENSUAMG00000015363	Ursus_americanus
ENSLCAP00010032790	ENSLCAG00010015462	Lates_calcarifer
ENSMICP00000023593	ENSMICG00000037770	Microcebus_murinus
ENSBSLP00000024821	ENSBSLG00000012563	Betta_splendens
ENSNBRP00000013340	ENSNBRG00000010364	Neolamprologus_brichardi
ENSRBIP00000027621	ENSRBIG00000037685	Rhinopithecus_bieti
ENSCSAP00000019208	ENSCSAG00000019712	Chlorocebus_sabaeus
ENSGMOP00000017919	ENSGMOG00000016684	Gadus_morhua
MGP_PahariEiJ_P0062522	MGP_PahariEiJ_G0024971	Mus_pahari_strain_PAHARI_EIJ
ENSPPAP00000001168	ENSPPAG00000005083	Pan_paniscus
ENSHCOP00000004130	ENSHCOG00000005521	Hippocampus_comes
ENSPCOP00000013891	ENSPCOG00000018602	Propithecus_coquereli
ENSXMAP00000003464	ENSXMAG00000003457	Xiphophorus_maculatus
ENSSMAP00000032752	ENSSMAG00000020069	Scophthalmus_maximus
ENSPMEP00000032808	ENSPMEG00000020926	Poecilia_mexicana
ENSOCUP00000035331	ENSOCUG00000008815	Oryctolagus_cuniculus
ENSFHEP00000024368	ENSFHEG00000005871	Fundulus_heteroclitus
ENSCABP00000002052	ENSCABG00000001626	Chelonoidis_abingdonii
ENSNBRP00000011944	ENSNBRG00000009318	Neolamprologus_brichardi
ENSVURP00010011747	ENSVURG00010009091	Vombatus_ursinus
ENSPCOP00000006188	ENSPCOG00000014220	Propithecus_coquereli
ENSELUP00000000613	ENSELUG00000002173	Esox_lucius
ENSPTRP00000036465	ENSPTRG00000021341	Pan_troglodytes
ENSPCAP00000009569	ENSPCAG00000010332	Procavia_capensis
ENSCPBP00000013039	ENSCPBG00000009793	Chrysemys_picta_bellii
ENSOGAP00000021192	ENSOGAG00000010685	Otolemur_garnettii
ENSDNVP00000019349	ENSDNVG00000013557	Dromaius_novaehollandiae
ENSAHAP00000018347	ENSAHAG00000013004	Apteryx_haastii
ENSPVIP00000035145	ENSPVIG00000025702	Pogona_vitticeps
ENSANAP00000037890	ENSANAG00000036419	Aotus_nancymaae
ENSMLUP00000018672	ENSMLUG00000014009	Myotis_lucifugus
ENSSLDP00000020619	ENSSLDG00000016126	Seriola_lalandi_dorsalis
ENSXCOP00000006505	ENSXCOG00000005039	Xiphophorus_couchianus
ENSTTRP00000016075	ENSTTRG00000016957	Tursiops_truncatus
ENSARWP00000015127	ENSARWG00000010459	Apteryx_rowi
ENSMUNP00000012266	ENSMUNG00000009648	Melopsittacus_undulatus
ENSDARP00000043396	ENSDARG00000028949	Danio_rerio
ENSSTOP00000004245	ENSSTOG00000004739	Ictidomys_tridecemlineatus
ENSDCDP00000005767	ENSDCDG00000002809	Denticeps_clupeoides
ENSHHUP00000000693	ENSHHUG00000000459	Hucho_hucho
ENSCVAP00000010142	ENSCVAG00000012217	Cyprinodon_variegatus
ENSTSYP00000020585	ENSTSYG00000033343	Carlito_syrichta
ENSXCOP00000011731	ENSXCOG00000008861	Xiphophorus_couchianus
ENSCPRP00005015188	ENSCPRG00005010664	Crocodylus_porosus
ENSCSEP00000015795	ENSCSEG00000010150	Cynoglossus_semilaevis
ENSORLP00020034485	ENSORLG00020020973	Oryzias_latipes_ASM223471v1
ENSSBOP00000004000	ENSSBOG00000018243	Saimiri_boliviensis_boliviensis
ENSMMOP00000019772	ENSMMOG00000015008	Mola_mola
ENSLOCP00000003419	ENSLOCG00000002911	Lepisosteus_oculatus
ENSLACP00000005058	ENSLACG00000004499	Latimeria_chalumnae
ENSMALP00000003482	ENSMALG00000002506	Monopterus_albus	ENSMALT00000003496
ENSMEUP00000014273	ENSMEUG00000015636	Notamacropus_eugenii
ENSONIP00000025962	ENSONIG00000020657	Oreochromis_niloticus
ENSFALP00000014956	ENSFALG00000014341	Ficedula_albicollis
ENSSDUP00000005093	ENSSDUG00000003767	Seriola_dumerili
ENSGACP00000022948	ENSGACG00000017368	Gasterosteus_aculeatus
ENSPRNP00000051863	ENSPRNG00000024527	Parambassis_ranga
ENSPNYP00000010749	ENSPNYG00000008162	Pundamilia_nyererei
ENSAPEP00000003154	ENSAPEG00000002302	Amphiprion_percula
ENSCAFP00020019293	ENSCAFG00020015344	Canis_lupus_dingo
ENSMFAP00000010677	ENSMFAG00000009076	Macaca_fascicularis
ENSCCEP00000001895	ENSCCEG00000002207	Cyanistes_caeruleus
ENSRROP00000004022	ENSRROG00000016225	Rhinopithecus_roxellana
ENSTGEP00000031274	ENSTGEG00000025055	Theropithecus_gelada
ENSCGRP00015033133	ENSCGRG00015024979	Cricetulus_griseus_CriGri-PICR
ENSCJPP00005012784	ENSCJPG00005010863	Coturnix_japonica
ENSCGOP00000018848	ENSCGOG00000009040	Cottoperca_gobio
ENSNVIP00000004477	ENSNVIG00000003603	Neovison_vison
ENSTGUP00000018121	ENSTGUG00000018200	Taeniopygia_guttata
ENSCGRP00001007082	ENSCGRG00001009545	Cricetulus_griseus_CHOK1GS_HDv1
ENSRNOP00000012433	ENSRNOG00000009346	Rattus_norvegicus
ENSPMJP00000000363	ENSPMJG00000000339	Parus_major
ENSGAFP00000017107	ENSGAFG00000011563	Gambusia_affinis
ENSLAFP00000017800	ENSLAFG00000012394	Loxodonta_africana
ENSSHAP00000009465	ENSSHAG00000008190	Sarcophilus_harrisii
ENSPPRP00000026531	ENSPPRG00000017315	Panthera_pardus
ENSHBUP00000000519	ENSHBUG00000001692	Haplochromis_burtoni
ENSPANP00000018904	ENSPANG00000025839	Papio_anubis
ENSATEP00000020580	ENSATEG00000014361	Anabas_testudineus	ENSATET00000020935
ENSHHUP00000078044	ENSHHUG00000045562	Hucho_hucho
ENSACIP00000013193	ENSACIG00000010275	Amphilophus_citrinellus
ENSEASP00005030667	ENSEASG00005020877	Equus_asinus_asinus
ENSOMEP00000036019	ENSOMEG00000023570	Oryzias_melastigma
ENSCPUP00000023704	ENSCPUG00000016092	Calidris_pugnax
ENSCABP00000005666	ENSCABG00000004267	Chelonoidis_abingdonii
ENSORLP00015000943	ENSORLG00015001543	Oryzias_latipes_ASM223469v1
ENSTRUP00000056103	ENSTRUG00000024078	Takifugu_rubripes
ENSECRP00000017590	ENSECRG00000011741	Erpetoichthys_calabaricus
ENSPKIP00000035573	ENSPKIG00000014483	Paramormyrops_kingsleyae	ENSPKIT00000016506
ENSGGOP00000014767	ENSGGOG00000015134	Gorilla_gorilla
ENSECRP00000017599	ENSECRG00000011752	Erpetoichthys_calabaricus
ENSPLAP00000006314	ENSPLAG00000008402	Poecilia_latipinna
ENSTNIP00000014384	ENSTNIG00000011438	Tetraodon_nigroviridis
ENSSMRP00000014751	ENSSMRG00000011482	Salvator_merianae
ENSORLP00000023987	ENSORLG00000019255	Oryzias_latipes_ASM223467v1
ENSDORP00000005993	ENSDORG00000006402	Dipodomys_ordii
ENSCPGP00000018030	ENSCPGG00000012630	Calidris_pygmaea
ENSSMRP00000007507	ENSSMRG00000006026	Salvator_merianae
ENSACIP00000006603	ENSACIG00000005197	Amphilophus_citrinellus
ENSMODP00000030396	ENSMODG00000023552	Monodelphis_domestica
ENSACLP00000002459	ENSACLG00000001703	Astatotilapia_calliptera
ENSORLP00020029346	ENSORLG00020000351	Oryzias_latipes_ASM223471v1
ENSODEP00000007895	ENSODEG00000005887	Octodon_degus
ENSAPOP00000034568	ENSAPOG00000023896	Acanthochromis_polyacanthus
ENSBTAP00000040938	ENSBTAG00000038610	Bos_taurus
ENSCPOP00000025489	ENSCPOG00000032601	Cavia_porcellus
ENSSPAP00000006843	ENSSPAG00000005254	Stegastes_partitus
ENSNPEP00000017448	ENSNPEG00000012979	Nothoprocta_perdicaria
ENSNSUP00000013208	ENSNSUG00000009882	Notechis_scutatus
ENSGAGP00000004300	ENSGAGG00000003560	Gopherus_agassizii
ENSOARP00000020578	ENSOARG00000019156	Ovis_aries
ENSOMEP00000019517	ENSOMEG00000021329	Oryzias_melastigma
ENSGWIP00000041078	ENSGWIG00000020691	Gouania_willdenowi
ENSAMXP00000039171	ENSAMXG00000034454	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSDUP00000022060	ENSSDUG00000016049	Seriola_dumerili
ENSETEP00000008012	ENSETEG00000009868	Echinops_telfairi
