ENSRNOP00000016859	ENSRNOG00000012108	Rattus_norvegicus
ENSIPUP00000005319	ENSIPUG00000003716	Ictalurus_punctatus
ENSHGLP00100014702	ENSHGLG00100010887	Heterocephalus_glaber_HetGla_1.0
ENSPLAP00000026567	ENSPLAG00000014476	Poecilia_latipinna
ENSOCUP00000013313	ENSOCUG00000015496	Oryctolagus_cuniculus
ENSPREP00000021673	ENSPREG00000014639	Poecilia_reticulata
ENSOPRP00000013534	ENSOPRG00000014826	Ochotona_princeps
ENSCINP00000030906	ENSCING00000019842	Ciona_intestinalis
ENSOARP00000010075	ENSOARG00000009388	Ovis_aries
ENSMICP00000042598	ENSMICG00000006799	Microcebus_murinus
ENSAPOP00000003618	ENSAPOG00000005134	Acanthochromis_polyacanthus
ENSCINP00000005795	ENSCING00000012531	Ciona_intestinalis
ENSPVAP00000007397	ENSPVAG00000007837	Pteropus_vampyrus
ENSCHAP00000048101	ENSCHAG00000022137	Clupea_harengus
ENSETEP00000004804	ENSETEG00000005916	Echinops_telfairi
ENSFCAP00000032670	ENSFCAG00000010015	Felis_catus
ENSAHAP00000019648	ENSAHAG00000013865	Apteryx_haastii
ENSTGEP00000010060	ENSTGEG00000008267	Theropithecus_gelada
ENSCABP00000031099	ENSCABG00000022727	Chelonoidis_abingdonii
ENSAOCP00000012350	ENSAOCG00000016827	Amphiprion_ocellaris
ENSPKIP00000004491	ENSPKIG00000021573	Paramormyrops_kingsleyae
ENSLCOP00000010175	ENSLCOG00000007405	Lepidothrix_coronata
ENSUPAP00010005224	ENSUPAG00010004228	Urocitellus_parryii
ENSMZEP00005025995	ENSMZEG00005019385	Maylandia_zebra
ENSECRP00000009091	ENSECRG00000006101	Erpetoichthys_calabaricus
ENSSBOP00000027224	ENSSBOG00000030038	Saimiri_boliviensis_boliviensis
ENSSHAP00000010767	ENSSHAG00000009283	Sarcophilus_harrisii
ENSSPAP00000005377	ENSSPAG00000004166	Stegastes_partitus
ENSPVIP00000002302	ENSPVIG00000001984	Pogona_vitticeps
ENSCMIP00000044579	ENSCMIG00000018425	Callorhinchus_milii	ENSCMIT00000045218
ENSMLEP00000023499	ENSMLEG00000035949	Mandrillus_leucophaeus
ENSPEMP00000003842	ENSPEMG00000005674	Peromyscus_maniculatus_bairdii
ENSUAMP00000029100	ENSUAMG00000022439	Ursus_americanus
ENSDORP00000003305	ENSDORG00000003531	Dipodomys_ordii
ENSZALP00000003870	ENSZALG00000003746	Zonotrichia_albicollis
ENSMOCP00000026888	ENSMOCG00000022554	Microtus_ochrogaster
ENSHGLP00000013967	ENSHGLG00000009975	Heterocephalus_glaber_HetGla_female_1.0
ENSCAPP00000002438	ENSCAPG00000005427	Cavia_aperea
ENSGAGP00000017585	ENSGAGG00000013060	Gopherus_agassizii
ENSPMGP00000009275	ENSPMGG00000007692	Periophthalmus_magnuspinnatus
ENSCSAP00000013686	ENSCSAG00000017662	Chlorocebus_sabaeus
ENSAPEP00000031633	ENSAPEG00000022453	Amphiprion_percula
ENSCGRP00000017723	ENSCGRG00000012886	Cricetulus_griseus_CriGri_1.0
ENSOGAP00000010840	ENSOGAG00000012110	Otolemur_garnettii
ENSPSMP00000012547	ENSPSMG00000009046	Prolemur_simus
ENSPFOP00000017910	ENSPFOG00000017825	Poecilia_formosa
MGP_CAROLIEiJ_P0083943	MGP_CAROLIEiJ_G0030896	Mus_caroli_strain_CAROLI_EIJ
ENSGWIP00000011108	ENSGWIG00000006515	Gouania_willdenowi
ENSPTEP00000034379	ENSPTEG00000032635	Piliocolobus_tephrosceles
ENSLCAP00010022667	ENSLCAG00010010630	Lates_calcarifer
ENSSPUP00000003994	ENSSPUG00000003016	Sphenodon_punctatus
ENSNPEP00000009918	ENSNPEG00000007306	Nothoprocta_perdicaria	ENSNPET00000010162
ENSSFOP00015010647	ENSSFOG00015006917	Scleropages_formosus
ENSCVAP00000017634	ENSCVAG00000020766	Cyprinodon_variegatus
ENSODEP00000001066	ENSODEG00000000849	Octodon_degus
ENSOANP00000027278	ENSOANG00000021426	Ornithorhynchus_anatinus
ENSCJPP00005025283	ENSCJPG00005019862	Coturnix_japonica
ENSACIP00000015694	ENSACIG00000012175	Amphilophus_citrinellus
ENSGMOP00000001790	ENSGMOG00000001659	Gadus_morhua
ENSPCAP00000006894	ENSPCAG00000007389	Procavia_capensis
ENSDARP00000130454	ENSDARG00000075273	Danio_rerio
ENSBMUP00000023595	ENSBMUG00000017687	Bos_mutus
ENSSMRP00000007091	ENSSMRG00000005724	Salvator_merianae
ENSSDAP00000014902	ENSSDAG00000013421	Spermophilus_dauricus
ENSPNYP00000001117	ENSPNYG00000000904	Pundamilia_nyererei
ENSDNVP00000019964	ENSDNVG00000013972	Dromaius_novaehollandiae	ENSDNVT00000024066
ENSATEP00000032139	ENSATEG00000022112	Anabas_testudineus
ENSSCAP00000017771	ENSSCAG00000012895	Serinus_canaria
ENSBIXP00000027312	ENSBIXG00000000008	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSFDAP00000009821	ENSFDAG00000017719	Fukomys_damarensis
ENSPRNP00000032674	ENSPRNG00000016473	Parambassis_ranga
ENSPCIP00000008629	ENSPCIG00000007135	Phascolarctos_cinereus
ENSSARP00000004246	ENSSARG00000004688	Sorex_araneus
ENSABRP00000005293	ENSABRG00000004937	Anser_brachyrhynchus
ENSONIP00000005998	ENSONIG00000004767	Oreochromis_niloticus
ENSPNAP00000019649	ENSPNAG00000026310	Pygocentrus_nattereri
ENSCHOP00000007903	ENSCHOG00000008932	Choloepus_hoffmanni
MGP_PahariEiJ_P0046829	MGP_PahariEiJ_G0021361	Mus_pahari_strain_PAHARI_EIJ
ENSHBUP00000007796	ENSHBUG00000009331	Haplochromis_burtoni
ENSDNOP00000020678	ENSDNOG00000041698	Dasypus_novemcinctus
ENSMAMP00000028440	ENSMAMG00000019133	Mastacembelus_armatus
ENSCANP00000031896	ENSCANG00000039619	Colobus_angolensis_palliatus
ENSCCNP00000024284	ENSCCNG00000023789	Castor_canadensis
ENSPTRP00000053487	ENSPTRG00000005901	Pan_troglodytes
ENSRROP00000045814	ENSRROG00000045780	Rhinopithecus_roxellana
ENSAMXP00000046448	ENSAMXG00000036415	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMSIP00000026673	ENSMSIG00000022496	Mus_spicilegus
ENSNSUP00000004026	ENSNSUG00000003204	Notechis_scutatus
ENSDARP00000103048	ENSDARG00000112294	Danio_rerio
ENSDCDP00000013888	ENSDCDG00000009939	Denticeps_clupeoides
ENSCCEP00000010838	ENSCCEG00000010660	Cyanistes_caeruleus
ENSCSEP00000014258	ENSCSEG00000009174	Cynoglossus_semilaevis
ENSCLAP00000005218	ENSCLAG00000003704	Chinchilla_lanigera
ENSCPBP00000000630	ENSCPBG00000000532	Chrysemys_picta_bellii
MGP_SPRETEiJ_P0087397	MGP_SPRETEiJ_G0032009	Mus_spretus_strain_SPRET/EiJ
ENSPPRP00000018054	ENSPPRG00000009826	Panthera_pardus
ENSBIXP00005015492	ENSBIXG00005019305	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSARWP00000017120	ENSARWG00000011774	Apteryx_rowi
ENSJHYP00000021169	ENSJHYG00000016015	Junco_hyemalis
ENSTNIP00000012852	ENSTNIG00000009959	Tetraodon_nigroviridis
ENSELUP00000019532	ENSELUG00000018866	Esox_lucius
ENSCPOP00000007474	ENSCPOG00000008316	Cavia_porcellus
ENSACAP00000016478	ENSACAG00000016751	Anolis_carolinensis
ENSCPRP00005004639	ENSCPRG00005003365	Crocodylus_porosus
ENSCAFP00020027036	ENSCAFG00020021215	Canis_lupus_dingo
ENSGAFP00000024324	ENSGAFG00000016412	Gambusia_affinis
ENSLACP00000007393	ENSLACG00000006555	Latimeria_chalumnae	ENSLACT00000007454
ENSLCRP00005003343	ENSLCRG00005001672	Larimichthys_crocea
ENSTBEP00000000129	ENSTBEG00000000153	Tupaia_belangeri
ENSMMMP00000026057	ENSMMMG00000022818	Marmota_marmota_marmota
ENSMAUP00000000494	ENSMAUG00000000410	Mesocricetus_auratus
ENSAOWP00000007573	ENSAOWG00000005167	Apteryx_owenii
ENSPKIP00000004477	ENSPKIG00000021565	Paramormyrops_kingsleyae
ENSSTOP00000022627	ENSSTOG00000027808	Ictidomys_tridecemlineatus
ENSPTIP00000005887	ENSPTIG00000007972	Panthera_tigris_altaica
ENSPCOP00000000130	ENSPCOG00000000299	Propithecus_coquereli
ENSFHEP00000016674	ENSFHEG00000018384	Fundulus_heteroclitus
ENSORLP00000038391	ENSORLG00000004672	Oryzias_latipes_ASM223467v1
ENSAMXP00005055924	ENSAMXG00005024866	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCPGP00000024066	ENSCPGG00000016630	Calidris_pygmaea	ENSCPGT00000026296
ENSNMEP00000009039	ENSNMEG00000008783	Numida_meleagris
ENSMODP00000013042	ENSMODG00000010405	Monodelphis_domestica
ENSORLP00015032294	ENSORLG00015017025	Oryzias_latipes_ASM223469v1
ENSHCOP00000014972	ENSHCOG00000018485	Hippocampus_comes
ENSRBIP00000009264	ENSRBIG00000028511	Rhinopithecus_bieti
ENSNVIP00000015986	ENSNVIG00000012520	Neovison_vison
ENSCGRP00015029640	ENSCGRG00015022365	Cricetulus_griseus_CriGri-PICR
ENSDNOP00000019971	ENSDNOG00000040886	Dasypus_novemcinctus
ENSPPAP00000037380	ENSPPAG00000041454	Pan_paniscus
ENSJJAP00000006239	ENSJJAG00000010963	Jaculus_jaculus
ENSBTAP00000027155	ENSBTAG00000020374	Bos_taurus
ENSMGAP00000015940	ENSMGAG00000015034	Meleagris_gallopavo
ENSTRUP00000057117	ENSTRUG00000011176	Takifugu_rubripes
ENSPMJP00000020047	ENSPMJG00000014968	Parus_major
ENSOANP00000024443	ENSOANG00000015518	Ornithorhynchus_anatinus
ENSMFAP00000029463	ENSMFAG00000042000	Macaca_fascicularis
ENSMALP00000012613	ENSMALG00000008952	Monopterus_albus
ENSOMEP00000014248	ENSOMEG00000015725	Oryzias_melastigma
ENSFALP00000008926	ENSFALG00000008562	Ficedula_albicollis
ENSBBBP00000021925	ENSBBBG00000015668	Bison_bison_bison
ENSAPLP00000004379	ENSAPLG00000004848	Anas_platyrhynchos_platyrhynchos
ENSLSDP00000016254	ENSLSDG00000011718	Lonchura_striata_domestica
ENSLOCP00000010640	ENSLOCG00000008731	Lepisosteus_oculatus
ENSCCAP00000015627	ENSCCAG00000025608	Cebus_capucinus_imitator
ENSMEUP00000007795	ENSMEUG00000008532	Notamacropus_eugenii
