ENSAMEP00000003503	ENSAMEG00000003314	Ailuropoda_melanoleuca
ENSECAP00000043544	ENSECAG00000017829	Equus_caballus
ENSAMXP00000031823	ENSAMXG00000015545	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCPRP00005019093	ENSCPRG00005013360	Crocodylus_porosus
ENSBBBP00000015773	ENSBBBG00000023566	Bison_bison_bison
ENSHGLP00100009549	ENSHGLG00100007079	Heterocephalus_glaber_HetGla_1.0
ENSXCOP00000002910	ENSXCOG00000002316	Xiphophorus_couchianus
ENSOPRP00000015665	ENSOPRG00000017162	Ochotona_princeps
ENSGAGP00000003052	ENSGAGG00000002448	Gopherus_agassizii
ENSACLP00000004594	ENSACLG00000003084	Astatotilapia_calliptera
ENSACAP00000012100	ENSACAG00000012252	Anolis_carolinensis
W02G9.2b.1	WBGene00020952	Caenorhabditis_elegans_strain_N2
MGP_PahariEiJ_P0032558	MGP_PahariEiJ_G0017248	Mus_pahari_strain_PAHARI_EIJ
ENSCPUP00000015566	ENSCPUG00000010811	Calidris_pugnax
ENSPVIP00000004513	ENSPVIG00000003674	Pogona_vitticeps
ENSCCAP00000004578	ENSCCAG00000019808	Cebus_capucinus_imitator
ENSFDAP00000007854	ENSFDAG00000016257	Fukomys_damarensis
ENSPTRP00000027924	ENSPTRG00000016256	Pan_troglodytes
ENSAHAP00000026830	ENSAHAG00000018690	Apteryx_haastii
ENSLCAP00010008531	ENSLCAG00010004117	Lates_calcarifer
ENSMVIP00005008674	ENSMVIG00005006445	Manacus_vitellinus
ENSCPOP00000001347	ENSCPOG00000001491	Cavia_porcellus
ENSNSUP00000019123	ENSNSUG00000013855	Notechis_scutatus
ENSOCUP00000001821	ENSOCUG00000002115	Oryctolagus_cuniculus
ENSECRP00000018965	ENSECRG00000012687	Erpetoichthys_calabaricus
ENSNVIP00000032264	ENSNVIG00000024877	Neovison_vison
ENSVPAP00000003725	ENSVPAG00000004009	Vicugna_pacos
ENSSDAP00000021420	ENSSDAG00000019468	Spermophilus_dauricus
ENSCGRP00000008697	ENSCGRG00000006350	Cricetulus_griseus_CriGri_1.0
ENSMEUP00000002011	ENSMEUG00000002203	Notamacropus_eugenii	ENSMEUT00000002209
ENSJHYP00000005908	ENSJHYG00000004809	Junco_hyemalis
ENSPCOP00000014575	ENSPCOG00000018983	Propithecus_coquereli
ENSBIXP00000020911	ENSBIXG00000024143	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSRROP00000044778	ENSRROG00000045332	Rhinopithecus_roxellana
ENSNLEP00000027770	ENSNLEG00000009463	Nomascus_leucogenys
ENSCSEP00000001416	ENSCSEG00000000965	Cynoglossus_semilaevis
ENSSPUP00000002094	ENSSPUG00000001588	Sphenodon_punctatus
ENSPSIP00000015466	ENSPSIG00000013743	Pelodiscus_sinensis
ENSORLP00015009405	ENSORLG00015010203	Oryzias_latipes_ASM223469v1
ENSDNOP00000009516	ENSDNOG00000012256	Dasypus_novemcinctus
ENSAPLP00000003118	ENSAPLG00000003622	Anas_platyrhynchos_platyrhynchos
ENSCAFP00000013957	ENSCAFG00000009490	Canis_lupus_familiaris
ENSATEP00000022709	ENSATEG00000015760	Anabas_testudineus
ENSPPRP00000003619	ENSPPRG00000022636	Panthera_pardus
ENSMMOP00000002439	ENSMMOG00000001963	Mola_mola
ENSMUSP00000031254	ENSMUSG00000029312	Mus_musculus_strain_reference_(CL57BL6)
ENSCHAP00000062014	ENSCHAG00000027600	Clupea_harengus
ENSETEP00000012085	ENSETEG00000014910	Echinops_telfairi
ENSOARP00000004966	ENSOARG00000004639	Ovis_aries
ENSAPOP00000034312	ENSAPOG00000023461	Acanthochromis_polyacanthus
ENSCGRP00001018869	ENSCGRG00001018481	Cricetulus_griseus_CHOK1GS_HDv1
ENSEEEP00000034449	ENSEEEG00000016398	Electrophorus_electricus
ENSCJPP00005011697	ENSCJPG00005010034	Coturnix_japonica
ENSODEP00000009287	ENSODEG00000006945	Octodon_degus	ENSODET00000009425
ENSPCAP00000012796	ENSPCAG00000013688	Procavia_capensis
ENSBMUP00000033747	ENSBMUG00000025163	Bos_mutus
ENSGALP00000017930	ENSGALG00000011017	Gallus_gallus
ENSNPEP00000013185	ENSNPEG00000009836	Nothoprocta_perdicaria
ENSSMAP00000011355	ENSSMAG00000006984	Scophthalmus_maximus
ENSPANP00000006733	ENSPANG00000011211	Papio_anubis
ENSPNYP00000008929	ENSPNYG00000006780	Pundamilia_nyererei
ENSUMAP00000035404	ENSUMAG00000025441	Ursus_maritimus
ENSCATP00000033486	ENSCATG00000039730	Cercocebus_atys
ENSVURP00010027851	ENSVURG00010021319	Vombatus_ursinus	ENSVURT00010031737
ENSPVAP00000015288	ENSPVAG00000016202	Pteropus_vampyrus
ENSLCRP00005014683	ENSLCRG00005006272	Larimichthys_crocea
MGP_SPRETEiJ_P0072068	MGP_SPRETEiJ_G0028467	Mus_spretus_strain_SPRET/EiJ
ENSSMRP00000016590	ENSSMRG00000012931	Salvator_merianae
ENSBSLP00000020614	ENSBSLG00000010517	Betta_splendens
ENSSDUP00000024118	ENSSDUG00000017411	Seriola_dumerili
ENSTBEP00000007260	ENSTBEG00000008372	Tupaia_belangeri
ENSBTAP00000072934	ENSBTAG00000002455	Bos_taurus
ENSLOCP00000004943	ENSLOCG00000004119	Lepisosteus_oculatus
ENSMPUP00000002242	ENSMPUG00000002266	Mustela_putorius_furo
ENSPPAP00000013791	ENSPPAG00000030051	Pan_paniscus
ENSCPBP00000006804	ENSCPBG00000005370	Chrysemys_picta_bellii
ENSMGAP00000007772	ENSMGAG00000007610	Meleagris_gallopavo
ENSNMEP00000017716	ENSNMEG00000015451	Numida_meleagris
ENSOGAP00000008616	ENSOGAG00000009630	Otolemur_garnettii
ENSLBEP00000021668	ENSLBEG00000016642	Labrus_bergylta
ENSLAFP00000013331	ENSLAFG00000015896	Loxodonta_africana
ENSGWIP00000019801	ENSGWIG00000010512	Gouania_willdenowi
