ENSNMEP00000009740	ENSNMEG00000009356	Numida_meleagris
ENSCPOP00000018198	ENSCPOG00000024481	Cavia_porcellus
ENSOMEP00000031258	ENSOMEG00000001050	Oryzias_melastigma
ENSSFOP00015018978	ENSSFOG00015012197	Scleropages_formosus
ENSBMUP00000017217	ENSBMUG00000013029	Bos_mutus
ENSCJPP00005007720	ENSCJPG00005007040	Coturnix_japonica
ENSATEP00000024525	ENSATEG00000017031	Anabas_testudineus
ENSTSYP00000016668	ENSTSYG00000026254	Carlito_syrichta
ENSBBBP00000025881	ENSBBBG00000021350	Bison_bison_bison
ENSCHIP00000003849	ENSCHIG00000008009	Capra_hircus
ENSPRNP00000053778	ENSPRNG00000025306	Parambassis_ranga
ENSVVUP00000003785	ENSVVUG00000002972	Vulpes_vulpes
ENSAHAP00000000138	ENSAHAG00000000133	Apteryx_haastii
ENSOANP00000016097	ENSOANG00000010156	Ornithorhynchus_anatinus
ENSCMIP00000048783	ENSCMIG00000019923	Callorhinchus_milii
ENSCAPP00000011148	ENSCAPG00000012266	Cavia_aperea
ENSTGUP00000008984	ENSTGUG00000008718	Taeniopygia_guttata
ENSOARP00000021714	ENSOARG00000020223	Ovis_aries
MGP_PahariEiJ_P0026560	MGP_PahariEiJ_G0015799	Mus_pahari_strain_PAHARI_EIJ
ENSONIP00000018334	ENSONIG00000014570	Oreochromis_niloticus
ENSORLP00020023320	ENSORLG00020004065	Oryzias_latipes_ASM223471v1
ENSCPRP00005019806	ENSCPRG00005013819	Crocodylus_porosus
ENSMSIP00000018319	ENSMSIG00000015609	Mus_spicilegus
ENSBSLP00000011483	ENSBSLG00000005980	Betta_splendens
ENSBIXP00000011761	ENSBIXG00000016944	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSGWIP00000032543	ENSGWIG00000016700	Gouania_willdenowi
ENSHHUP00000048953	ENSHHUG00000029623	Hucho_hucho
ENSVVUP00000030161	ENSVVUG00000022002	Vulpes_vulpes
ENSPPRP00000007871	ENSPPRG00000002870	Panthera_pardus
ENSCGOP00000009956	ENSCGOG00000005034	Cottoperca_gobio
ENSPCOP00000005979	ENSPCOG00000014048	Propithecus_coquereli
ENSMZEP00005023085	ENSMZEG00005017293	Maylandia_zebra
ENSDORP00000019743	ENSDORG00000029717	Dipodomys_ordii
ENSMLEP00000030296	ENSMLEG00000039347	Mandrillus_leucophaeus
ENSCGRP00000012387	ENSCGRG00000009035	Cricetulus_griseus_CriGri_1.0
ENSMMOP00000006731	ENSMMOG00000005256	Mola_mola
ENSRNOP00000019735	ENSRNOG00000014485	Rattus_norvegicus
ENSFCAP00000040840	ENSFCAG00000041352	Felis_catus
ENSSLDP00000005132	ENSSLDG00000004100	Seriola_lalandi_dorsalis
ENSORLP00000027348	ENSORLG00000006481	Oryzias_latipes_ASM223467v1
ENSRROP00000044560	ENSRROG00000045240	Rhinopithecus_roxellana
ENSSPAP00000011108	ENSSPAG00000008451	Stegastes_partitus
ENSABRP00000022744	ENSABRG00000019255	Anser_brachyrhynchus
ENSMAUP00000006499	ENSMAUG00000008435	Mesocricetus_auratus
ENSCATP00000042418	ENSCATG00000043812	Cercocebus_atys
ENSPCIP00000022384	ENSPCIG00000016981	Phascolarctos_cinereus
ENSSTOP00000026996	ENSSTOG00000028872	Ictidomys_tridecemlineatus
ENSUMAP00000030694	ENSUMAG00000022171	Ursus_maritimus
ENSPLAP00000029952	ENSPLAG00000020602	Poecilia_latipinna
ENSMAUP00000007918	ENSMAUG00000009467	Mesocricetus_auratus
ENSAOWP00000026527	ENSAOWG00000017884	Apteryx_owenii
ENSEBUP00000010466	ENSEBUG00000006741	Eptatretus_burgeri
ENSPPYP00000017091	ENSPPYG00000015299	Pongo_abelii
ENSAPOP00000028964	ENSAPOG00000014580	Acanthochromis_polyacanthus
M04F3.4b.1	WBGene00019770	Caenorhabditis_elegans_strain_N2
ENSACAP00000022765	ENSACAG00000028414	Anolis_carolinensis
ENSCPGP00000003450	ENSCPGG00000002551	Calidris_pygmaea
ENSFALP00000005085	ENSFALG00000004890	Ficedula_albicollis
ENSXCOP00000006867	ENSXCOG00000005242	Xiphophorus_couchianus
ENSAPLP00000013262	ENSAPLG00000013444	Anas_platyrhynchos_platyrhynchos
ENSCVAP00000020714	ENSCVAG00000002263	Cyprinodon_variegatus
ENSNBRP00000007436	ENSNBRG00000005807	Neolamprologus_brichardi
ENSODEP00000024968	ENSODEG00000018264	Octodon_degus
ENSCPUP00000008685	ENSCPUG00000006219	Calidris_pugnax
ENSMICP00000030666	ENSMICG00000026451	Microcebus_murinus
ENSPEMP00000006346	ENSPEMG00000008592	Peromyscus_maniculatus_bairdii
ENSGACP00000002988	ENSGACG00000002286	Gasterosteus_aculeatus
ENSBTAP00000070508	ENSBTAG00000046493	Bos_taurus
ENSCAFP00020029596	ENSCAFG00020023071	Canis_lupus_dingo
ENSCGRP00015012705	ENSCGRG00015009743	Cricetulus_griseus_CriGri-PICR
ENSMVIP00005002759	ENSMVIG00005002166	Manacus_vitellinus
ENSCSAVP00000016888	ENSCSAVG00000009931	Ciona_savignyi
ENSMUNP00000003296	ENSMUNG00000002808	Melopsittacus_undulatus
ENSJJAP00000017415	ENSJJAG00000018975	Jaculus_jaculus
ENSCHAP00000062088	ENSCHAG00000027635	Clupea_harengus
ENSCPBP00000002140	ENSCPBG00000001714	Chrysemys_picta_bellii
ENSSSCP00000044625	ENSSSCG00000032090	Sus_scrofa_strain_reference
ENSPTIP00000004417	ENSPTIG00000006915	Panthera_tigris_altaica
ENSACLP00000029293	ENSACLG00000019856	Astatotilapia_calliptera
ENSMODP00000000754	ENSMODG00000000631	Monodelphis_domestica
ENSSPUP00000017323	ENSSPUG00000013399	Sphenodon_punctatus
ENSCLAP00000004601	ENSCLAG00000003275	Chinchilla_lanigera
ENSFDAP00000010586	ENSFDAG00000018298	Fukomys_damarensis
ENSECRP00000002532	ENSECRG00000001725	Erpetoichthys_calabaricus
ENSOCUP00000020767	ENSOCUG00000022971	Oryctolagus_cuniculus
ENSLSDP00000024229	ENSLSDG00000017016	Lonchura_striata_domestica
ENSCJAP00000055760	ENSCJAG00000017613	Callithrix_jacchus
ENSNSUP00000007252	ENSNSUG00000005727	Notechis_scutatus
ENSMPUP00000010201	ENSMPUG00000010275	Mustela_putorius_furo
ENSHGLP00100003989	ENSHGLG00100003042	Heterocephalus_glaber_HetGla_1.0
ENSCSAP00000013467	ENSCSAG00000017437	Chlorocebus_sabaeus
ENSAMEP00000008915	ENSAMEG00000008464	Ailuropoda_melanoleuca
ENSAPEP00000002781	ENSAPEG00000002014	Amphiprion_percula
ENSELUP00000021408	ENSELUG00000000897	Esox_lucius
ENSPREP00000025956	ENSPREG00000017534	Poecilia_reticulata
ENSSMRP00000012714	ENSSMRG00000009919	Salvator_merianae
ENSPMJP00000018693	ENSPMJG00000014033	Parus_major
ENSIPUP00000001606	ENSIPUG00000001129	Ictalurus_punctatus
ENSANAP00000023669	ENSANAG00000029582	Aotus_nancymaae
ENSHGLP00000006464	ENSHGLG00000004728	Heterocephalus_glaber_HetGla_female_1.0
ENSUAMP00000028800	ENSUAMG00000022231	Ursus_americanus
ENSPFOP00000009110	ENSPFOG00000009130	Poecilia_formosa
ENSCCEP00000013501	ENSCCEG00000012990	Cyanistes_caeruleus
ENSVURP00010028521	ENSVURG00010021822	Vombatus_ursinus
ENSCCAP00000023083	ENSCCAG00000029319	Cebus_capucinus_imitator
ENSLAFP00000025336	ENSLAFG00000028295	Loxodonta_africana
ENSGALP00000021816	ENSGALG00000013400	Gallus_gallus
MGP_CAROLIEiJ_P0034895	MGP_CAROLIEiJ_G0018719	Mus_caroli_strain_CAROLI_EIJ
ENSCAFP00000016267	ENSCAFG00000011044	Canis_lupus_familiaris
ENSKMAP00000006026	ENSKMAG00000004582	Kryptolebias_marmoratus
ENSAMXP00000047919	ENSAMXG00000038741	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSHHUP00000064800	ENSHHUG00000038263	Hucho_hucho
ENSCAFP00000050100	ENSCAFG00000049947	Canis_lupus_familiaris
ENSPKIP00000024683	ENSPKIG00000007834	Paramormyrops_kingsleyae
ENSPPAP00000042490	ENSPPAG00000043814	Pan_paniscus
ENSBIXP00005042831	ENSBIXG00005007641	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCHIP00000029391	ENSCHIG00000024535	Capra_hircus
ENSNVIP00000028998	ENSNVIG00000022350	Neovison_vison
ENSAOCP00000019262	ENSAOCG00000024517	Amphiprion_ocellaris
ENSMOCP00000023529	ENSMOCG00000020217	Microtus_ochrogaster
ENSPNYP00000028551	ENSPNYG00000021510	Pundamilia_nyererei
ENSCGRP00000017067	ENSCGRG00000012415	Cricetulus_griseus_CriGri_1.0
ENSMOCP00000002568	ENSMOCG00000002018	Microtus_ochrogaster
ENSPMGP00000010051	ENSPMGG00000008335	Periophthalmus_magnuspinnatus
ENSACIP00000005327	ENSACIG00000004086	Amphilophus_citrinellus
ENSNGAP00000003817	ENSNGAG00000004643	Nannospalax_galili
ENSOGAP00000020862	ENSOGAG00000032623	Otolemur_garnettii
ENSGAFP00000008139	ENSGAFG00000005539	Gambusia_affinis
ENSXETP00000036246	ENSXETG00000013628	Xenopus_tropicalis
ENSPMEP00000028209	ENSPMEG00000013153	Poecilia_mexicana
ENSPSMP00000004894	ENSPSMG00000003813	Prolemur_simus
ENSLCOP00000015330	ENSLCOG00000010943	Lepidothrix_coronata
ENSCGRP00001012744	ENSCGRG00001014067	Cricetulus_griseus_CHOK1GS_HDv1
ENSMUGP00000019913	ENSMUGG00000016824	Meriones_unguiculatus
ENSCGRP00001006857	ENSCGRG00001009329	Cricetulus_griseus_CHOK1GS_HDv1
ENSCSEP00000014895	ENSCSEG00000009582	Cynoglossus_semilaevis
ENSGAGP00000017464	ENSGAGG00000012975	Gopherus_agassizii	ENSGAGT00000019915
ENSSFOP00015022352	ENSSFOG00015014260	Scleropages_formosus
ENSMAUP00000009084	ENSMAUG00000010341	Mesocricetus_auratus
ENSXMAP00000038940	ENSXMAG00000025368	Xiphophorus_maculatus
ENSCINP00000014672	ENSCING00000007142	Ciona_intestinalis
ENSSCAP00000009415	ENSSCAG00000007167	Serinus_canaria
ENSEEEP00000033402	ENSEEEG00000015864	Electrophorus_electricus
ENSCABP00000000468	ENSCABG00000000436	Chelonoidis_abingdonii	ENSCABT00000000518
ENSCCNP00000029951	ENSCCNG00000028725	Castor_canadensis
ENSORLP00015020494	ENSORLG00015021635	Oryzias_latipes_ASM223469v1
ENSPVIP00000000713	ENSPVIG00000000668	Pogona_vitticeps
ENSJHYP00000018707	ENSJHYG00000014228	Junco_hyemalis
ENSLACP00000008274	ENSLACG00000007323	Latimeria_chalumnae
ENSPPRP00000017073	ENSPPRG00000009167	Panthera_pardus
ENSHCOP00000003284	ENSHCOG00000004594	Hippocampus_comes
ENSPKIP00000024526	ENSPKIG00000007739	Paramormyrops_kingsleyae
ENSMMMP00000018077	ENSMMMG00000016043	Marmota_marmota_marmota
ENSDNVP00000017742	ENSDNVG00000012399	Dromaius_novaehollandiae
