ENSAPEP00000027246	ENSAPEG00000019374	Amphiprion_percula
ENSPMGP00000026990	ENSPMGG00000021778	Periophthalmus_magnuspinnatus
ENSGMOP00000020533	ENSGMOG00000019094	Gadus_morhua
ENSCHAP00000060343	ENSCHAG00000026992	Clupea_harengus
ENSDCDP00000034723	ENSDCDG00000023356	Denticeps_clupeoides
ENSAMXP00000041528	ENSAMXG00000030900	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005038837	ENSAMXG00005018397	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000034486	ENSPNAG00000005339	Pygocentrus_nattereri
ENSIPUP00000014767	ENSIPUG00000010058	Ictalurus_punctatus
ENSEEEP00000014508	ENSEEEG00000007220	Electrophorus_electricus
ENSDARP00000037632	ENSDARG00000023927	Danio_rerio
ENSHHUP00000009202	ENSHHUG00000005607	Hucho_hucho
ENSHHUP00000054512	ENSHHUG00000032694	Hucho_hucho
ENSELUP00000016853	ENSELUG00000016623	Esox_lucius
ENSSFOP00015035206	ENSSFOG00015022427	Scleropages_formosus
ENSLOCP00000005574	ENSLOCG00000004654	Lepisosteus_oculatus
ENSECRP00000006280	ENSECRG00000004182	Erpetoichthys_calabaricus
ENSAOWP00000020055	ENSAOWG00000013570	Apteryx_owenii
ENSAHAP00000001621	ENSAHAG00000001370	Apteryx_haastii
ENSDNVP00000014366	ENSDNVG00000010093	Dromaius_novaehollandiae
ENSNPEP00000011552	ENSNPEG00000008680	Nothoprocta_perdicaria
ENSAPLP00000027667	ENSAPLG00000023854	Anas_platyrhynchos_platyrhynchos
ENSABRP00000021171	ENSABRG00000017973	Anser_brachyrhynchus
ENSGALP00000059259	ENSGALG00000012130	Gallus_gallus
ENSCJPP00005018933	ENSCJPG00005015385	Coturnix_japonica
ENSMGAP00000001075	ENSMGAG00000001602	Meleagris_gallopavo
ENSNMEP00000008894	ENSNMEG00000008671	Numida_meleagris
ENSLSDP00000013070	ENSLSDG00000009522	Lonchura_striata_domestica
ENSTGUP00000004941	ENSTGUG00000004808	Taeniopygia_guttata
ENSZALP00000001721	ENSZALG00000002050	Zonotrichia_albicollis
ENSJHYP00000004556	ENSJHYG00000003754	Junco_hyemalis
ENSSCAP00000010321	ENSSCAG00000007831	Serinus_canaria
ENSFALP00000011363	ENSFALG00000010888	Ficedula_albicollis
ENSCCEP00000016938	ENSCCEG00000015762	Cyanistes_caeruleus
ENSPMJP00000002743	ENSPMJG00000002385	Parus_major
ENSLCOP00000019488	ENSLCOG00000013787	Lepidothrix_coronata
ENSMVIP00005001128	ENSMVIG00005000888	Manacus_vitellinus
ENSCPUP00000025327	ENSCPUG00000017127	Calidris_pugnax
ENSCPGP00000019311	ENSCPGG00000013523	Calidris_pygmaea
ENSMUNP00000005436	ENSMUNG00000004478	Melopsittacus_undulatus
ENSARWP00000027253	ENSARWG00000018419	Apteryx_rowi
ENSCPRP00005010202	ENSCPRG00005007276	Crocodylus_porosus
ENSCABP00000025211	ENSCABG00000018561	Chelonoidis_abingdonii
ENSGAGP00000014280	ENSGAGG00000010866	Gopherus_agassizii
ENSCPBP00000015898	ENSCPBG00000011734	Chrysemys_picta_bellii
ENSPSIP00000013921	ENSPSIG00000012487	Pelodiscus_sinensis
ENSSPUP00000006592	ENSSPUG00000005075	Sphenodon_punctatus
ENSPCIP00000016208	ENSPCIG00000012541	Phascolarctos_cinereus
ENSMEUP00000006983	ENSMEUG00000007652	Notamacropus_eugenii
ENSVURP00010018857	ENSVURG00010014357	Vombatus_ursinus
ENSSHAP00000017901	ENSSHAG00000015196	Sarcophilus_harrisii
ENSMODP00000011955	ENSMODG00000009567	Monodelphis_domestica
ENSCHOP00000002981	ENSCHOG00000003369	Choloepus_hoffmanni
ENSDNOP00000010473	ENSDNOG00000013512	Dasypus_novemcinctus
ENSPCAP00000010288	ENSPCAG00000011074	Procavia_capensis
ENSETEP00000002509	ENSETEG00000003054	Echinops_telfairi
ENSPCOP00000012036	ENSPCOG00000017556	Propithecus_coquereli
ENSMICP00000006868	ENSMICG00000035987	Microcebus_murinus
ENSPSMP00000020109	ENSPSMG00000014204	Prolemur_simus
ENSOGAP00000007030	ENSOGAG00000007848	Otolemur_garnettii
ENSPTRP00000006029	ENSPTRG00000003471	Pan_troglodytes
ENSPPAP00000017230	ENSPPAG00000031696	Pan_paniscus
ENSP00000417548	ENSG00000170946	Homo_sapiens
ENSGGOP00000019878	ENSGGOG00000022150	Gorilla_gorilla
ENSPPYP00000003892	ENSPPYG00000003390	Pongo_abelii
ENSNLEP00000044032	ENSNLEG00000033486	Nomascus_leucogenys
ENSRROP00000018032	ENSRROG00000033095	Rhinopithecus_roxellana
ENSRBIP00000012462	ENSRBIG00000030191	Rhinopithecus_bieti
ENSCANP00000021267	ENSCANG00000034068	Colobus_angolensis_palliatus
ENSMNEP00000030611	ENSMNEG00000038746	Macaca_nemestrina
ENSMFAP00000010408	ENSMFAG00000007220	Macaca_fascicularis
ENSMLEP00000036191	ENSMLEG00000042215	Mandrillus_leucophaeus
ENSCCAP00000008978	ENSCCAG00000022237	Cebus_capucinus_imitator
ENSSBOP00000030122	ENSSBOG00000031346	Saimiri_boliviensis_boliviensis
ENSANAP00000025711	ENSANAG00000030586	Aotus_nancymaae
ENSPANP00000044270	ENSPANG00000031876	Papio_anubis
ENSTGEP00000007858	ENSTGEG00000006445	Theropithecus_gelada
ENSCATP00000030046	ENSCATG00000038226	Cercocebus_atys
ENSCSAP00000001561	ENSCSAG00000005245	Chlorocebus_sabaeus
ENSPTEP00000022316	ENSPTEG00000023271	Piliocolobus_tephrosceles
ENSCJAP00000074789	ENSCJAG00000067145	Callithrix_jacchus
ENSOPRP00000001503	ENSOPRG00000001638	Ochotona_princeps
ENSNGAP00000023033	ENSNGAG00000021710	Nannospalax_galili
ENSNGAP00000019636	ENSNGAG00000019388	Nannospalax_galili
ENSCGRP00015011175	ENSCGRG00015008615	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000011004	ENSCGRG00000008016	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001019030	ENSCGRG00001018592	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000002890	ENSMAUG00000002785	Mesocricetus_auratus
ENSPEMP00000007757	ENSPEMG00000009627	Peromyscus_maniculatus_bairdii
ENSMOCP00000004404	ENSMOCG00000003631	Microtus_ochrogaster
MGP_SPRETEiJ_P0055623	MGP_SPRETEiJ_G0024953	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000017393	ENSMSIG00000014856	Mus_spicilegus
ENSMUSP00000099615	ENSMUSG00000027166	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0053527	MGP_CAROLIEiJ_G0024040	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0064502	MGP_PahariEiJ_G0025478	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000006431	ENSRNOG00000004842	Rattus_norvegicus
ENSMUGP00000007145	ENSMUGG00000006562	Meriones_unguiculatus
ENSMUGP00000007113	ENSMUGG00000006543	Meriones_unguiculatus
ENSJJAP00000024356	ENSJJAG00000023854	Jaculus_jaculus
ENSHGLP00000011885	ENSHGLG00000008508	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013573	ENSHGLG00100010035	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000010431	ENSFDAG00000018190	Fukomys_damarensis
ENSCLAP00000001633	ENSCLAG00000001222	Chinchilla_lanigera
ENSODEP00000021433	ENSODEG00000015775	Octodon_degus
ENSCAPP00000004917	ENSCAPG00000007363	Cavia_aperea
ENSCPOP00000004640	ENSCPOG00000005159	Cavia_porcellus
ENSMMMP00000026547	ENSMMMG00000023255	Marmota_marmota_marmota
ENSMMMP00000007938	ENSMMMG00000007114	Marmota_marmota_marmota
ENSSDAP00000003058	ENSSDAG00000002936	Spermophilus_dauricus
ENSUPAP00010023490	ENSUPAG00010018627	Urocitellus_parryii
ENSSTOP00000002822	ENSSTOG00000003172	Ictidomys_tridecemlineatus
ENSOCUP00000023534	ENSOCUG00000027642	Oryctolagus_cuniculus
ENSTSYP00000008484	ENSTSYG00000009243	Carlito_syrichta
ENSEEUP00000001934	ENSEEUG00000002130	Erinaceus_europaeus
ENSBTAP00000069974	ENSBTAG00000050888	Bos_taurus
ENSVVUP00000017043	ENSVVUG00000012541	Vulpes_vulpes
ENSSDAP00000015898	ENSSDAG00000014375	Spermophilus_dauricus
ENSSDAP00000016261	ENSSDAG00000014716	Spermophilus_dauricus
ENSJJAP00000021129	ENSJJAG00000021587	Jaculus_jaculus
ENSOCUP00000007548	ENSOCUG00000008742	Oryctolagus_cuniculus
ENSMICP00000037566	ENSMICG00000007553	Microcebus_murinus
ENSMICP00000016542	ENSMICG00000032368	Microcebus_murinus
ENSNLEP00000048655	ENSNLEG00000031496	Nomascus_leucogenys
ENSDORP00000000226	ENSDORG00000000248	Dipodomys_ordii
ENSBIXP00000033590	ENSBIXG00000016412	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005032715	ENSBIXG00005013259	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000009828	ENSBMUG00000007624	Bos_mutus
ENSBBBP00000019452	ENSBBBG00000012813	Bison_bison_bison
ENSOARP00000017134	ENSOARG00000015956	Ovis_aries
ENSCHIP00000010830	ENSCHIG00000013207	Capra_hircus
ENSTTRP00000002243	ENSTTRG00000002394	Tursiops_truncatus
ENSVPAP00000001792	ENSVPAG00000001939	Vicugna_pacos
ENSSARP00000004815	ENSSARG00000005340	Sorex_araneus
ENSPVAP00000014648	ENSPVAG00000015534	Pteropus_vampyrus
ENSCAFP00020002455	ENSCAFG00020002081	Canis_lupus_dingo
ENSVVUP00000022541	ENSVVUG00000016533	Vulpes_vulpes
ENSUMAP00000027019	ENSUMAG00000019635	Ursus_maritimus
ENSNVIP00000006607	ENSNVIG00000005225	Neovison_vison
ENSMPUP00000011188	ENSMPUG00000011280	Mustela_putorius_furo
ENSPTIP00000000816	ENSPTIG00000002139	Panthera_tigris_altaica
ENSPPRP00000028139	ENSPPRG00000020110	Panthera_pardus
ENSFCAP00000029964	ENSFCAG00000024845	Felis_catus
ENSAMEP00000007237	ENSAMEG00000006875	Ailuropoda_melanoleuca
ENSUAMP00000033284	ENSUAMG00000025374	Ursus_americanus
ENSEASP00005019556	ENSEASG00005013443	Equus_asinus_asinus
ENSECAP00000033339	ENSECAG00000020499	Equus_caballus
ENSSSCP00000044614	ENSSSCG00000026083	Sus_scrofa_strain_reference
ENSMLUP00000005933	ENSMLUG00000006498	Myotis_lucifugus
ENSCCNP00000003701	ENSCCNG00000003946	Castor_canadensis
ENSOANP00000015686	ENSOANG00000009893	Ornithorhynchus_anatinus
ENSACAP00000002057	ENSACAG00000002152	Anolis_carolinensis
ENSACAP00000018227	ENSACAG00000012697	Anolis_carolinensis
ENSPVIP00000014114	ENSPVIG00000010901	Pogona_vitticeps
ENSNSUP00000015890	ENSNSUG00000011763	Notechis_scutatus
ENSSMRP00000001848	ENSSMRG00000001608	Salvator_merianae
ENSXETP00000025454	ENSXETG00000003724	Xenopus_tropicalis
ENSLACP00000015765	ENSLACG00000013886	Latimeria_chalumnae
ENSCMIP00000044267	ENSCMIG00000018333	Callorhinchus_milii
ENSEBUP00000015104	ENSEBUG00000009510	Eptatretus_burgeri
