ENSXMAP00000006323	ENSXMAG00000006311	Xiphophorus_maculatus
ENSCGRP00000019390	ENSCGRG00000014124	Cricetulus_griseus_CriGri_1.0
ENSPRNP00000040842	ENSPRNG00000020065	Parambassis_ranga
ENSCPOP00000012366	ENSCPOG00000013728	Cavia_porcellus
ENSGGOP00000049322	ENSGGOG00000041829	Gorilla_gorilla
ENSPKIP00000030350	ENSPKIG00000011236	Paramormyrops_kingsleyae
ENSBBBP00000003700	ENSBBBG00000012733	Bison_bison_bison
ENSMAMP00000011260	ENSMAMG00000007636	Mastacembelus_armatus
ENSOMEP00000005930	ENSOMEG00000006976	Oryzias_melastigma
ENSBMUP00000021204	ENSBMUG00000015947	Bos_mutus
ENSGMOP00000008138	ENSGMOG00000007610	Gadus_morhua
ENSBTAP00000013200	ENSBTAG00000010009	Bos_taurus
ENSPTRP00000002708	ENSPTRG00000001618	Pan_troglodytes
ENSUAMP00000017150	ENSUAMG00000013608	Ursus_americanus
ENSACLP00000039987	ENSACLG00000026955	Astatotilapia_calliptera
ENSHGLP00100000630	ENSHGLG00100000528	Heterocephalus_glaber_HetGla_1.0
ENSCCNP00000001295	ENSCCNG00000001415	Castor_canadensis
ENSUPAP00010029218	ENSUPAG00010023019	Urocitellus_parryii
ENSPEMP00000006232	ENSPEMG00000008521	Peromyscus_maniculatus_bairdii
ENSSSCP00000052551	ENSSSCG00000037314	Sus_scrofa_strain_reference
ENSCAFP00020002399	ENSCAFG00020002036	Canis_lupus_dingo
ENSRBIP00000007496	ENSRBIG00000027564	Rhinopithecus_bieti
ENSAPLP00000008220	ENSAPLG00000008558	Anas_platyrhynchos_platyrhynchos
ENSOGAP00000010545	ENSOGAG00000011784	Otolemur_garnettii
ENSPVAP00000007264	ENSPVAG00000007692	Pteropus_vampyrus
ENSMICP00000003974	ENSMICG00000004363	Microcebus_murinus
ENSCGRP00001027336	ENSCGRG00001024372	Cricetulus_griseus_CHOK1GS_HDv1
ENSLOCP00000007329	ENSLOCG00000006070	Lepisosteus_oculatus
ENSDNOP00000005437	ENSDNOG00000007020	Dasypus_novemcinctus
ENSOARP00000012355	ENSOARG00000011526	Ovis_aries
ENSJJAP00000009652	ENSJJAG00000013455	Jaculus_jaculus
ENSNMEP00000001140	ENSNMEG00000001048	Numida_meleagris
ENSNSUP00000022355	ENSNSUG00000016254	Notechis_scutatus
ENSPCAP00000012162	ENSPCAG00000013050	Procavia_capensis
ENSCGRP00015010164	ENSCGRG00015007837	Cricetulus_griseus_CriGri-PICR
ENSCPGP00000011260	ENSCPGG00000008016	Calidris_pygmaea
ENSEASP00005014981	ENSEASG00005010481	Equus_asinus_asinus
ENSEEEP00000013451	ENSEEEG00000006730	Electrophorus_electricus
ENSKMAP00000005661	ENSKMAG00000004276	Kryptolebias_marmoratus
ENSNBRP00000021519	ENSNBRG00000016513	Neolamprologus_brichardi
ENSPNAP00000020384	ENSPNAG00000004197	Pygocentrus_nattereri
ENSACAP00000013067	ENSACAG00000013299	Anolis_carolinensis
ENSMALP00000020341	ENSMALG00000014208	Monopterus_albus
ENSMLUP00000021973	ENSMLUG00000003842	Myotis_lucifugus
ENSCJAP00000008286	ENSCJAG00000004561	Callithrix_jacchus
ENSMZEP00005014503	ENSMZEG00005010913	Maylandia_zebra
ENSELUP00000042579	ENSELUG00000023886	Esox_lucius
ENSNLEP00000017926	ENSNLEG00000014731	Nomascus_leucogenys
ENSMUSP00000142042	ENSMUSG00000052428	Mus_musculus_strain_reference_(CL57BL6)
ENSATEP00000012311	ENSATEG00000008593	Anabas_testudineus
ENSNVIP00000021918	ENSNVIG00000017134	Neovison_vison
ENSAHAP00000005839	ENSAHAG00000004437	Apteryx_haastii
ENSPVIP00000013952	ENSPVIG00000010785	Pogona_vitticeps
ENSCHOP00000011515	ENSCHOG00000012997	Choloepus_hoffmanni
ENSPCIP00000011844	ENSPCIG00000009465	Phascolarctos_cinereus
ENSSARP00000006695	ENSSARG00000007397	Sorex_araneus
ENSSPAP00000011199	ENSSPAG00000008377	Stegastes_partitus
ENSDARP00000091049	ENSDARG00000069099	Danio_rerio
ENSAPEP00000033025	ENSAPEG00000023463	Amphiprion_percula
ENSPSIP00000019773	ENSPSIG00000017529	Pelodiscus_sinensis
ENSTBEP00000006059	ENSTBEG00000007014	Tupaia_belangeri
ENSSFOP00015035149	ENSSFOG00015022384	Scleropages_formosus
ENSPMJP00000013977	ENSPMJG00000010593	Parus_major
ENSJHYP00000013835	ENSJHYG00000010707	Junco_hyemalis
ENSMMUP00000007380	ENSMMUG00000005585	Macaca_mulatta
ENSCAFP00000019839	ENSCAFG00000013472	Canis_lupus_familiaris
ENSLACP00000010347	ENSLACG00000009112	Latimeria_chalumnae	ENSLACT00000010425
ENSORLP00020000646	ENSORLG00020001353	Oryzias_latipes_ASM223471v1
ENSOANP00000008725	ENSOANG00000005489	Ornithorhynchus_anatinus
ENSPCOP00000025989	ENSPCOG00000025294	Propithecus_coquereli
FBpp0080690	FBgn0032746	Drosophila_melanogaster
ENSMUNP00000016917	ENSMUNG00000013000	Melopsittacus_undulatus
ENSUMAP00000031451	ENSUMAG00000022711	Ursus_maritimus
ENSSPUP00000022913	ENSSPUG00000017581	Sphenodon_punctatus
ENSCATP00000016543	ENSCATG00000032184	Cercocebus_atys
ENSSMAP00000005933	ENSSMAG00000003525	Scophthalmus_maximus
ENSPFOP00000016255	ENSPFOG00000016184	Poecilia_formosa
ENSCANP00000017697	ENSCANG00000032280	Colobus_angolensis_palliatus
ENSMEUP00000010070	ENSMEUG00000011045	Notamacropus_eugenii
ENSCAPP00000013337	ENSCAPG00000013988	Cavia_aperea
ENSPREP00000020205	ENSPREG00000013552	Poecilia_reticulata
ENSOCUP00000048888	ENSOCUG00000038278	Oryctolagus_cuniculus
ENSSHAP00000019550	ENSSHAG00000016602	Sarcophilus_harrisii
ENSMPUP00000003830	ENSMPUG00000003860	Mustela_putorius_furo
MGP_PahariEiJ_P0076269	MGP_PahariEiJ_G0028060	Mus_pahari_strain_PAHARI_EIJ
ENSNPEP00000019800	ENSNPEG00000014736	Nothoprocta_perdicaria
ENSCSEP00000001080	ENSCSEG00000000709	Cynoglossus_semilaevis
ENSAOCP00000019072	ENSAOCG00000024303	Amphiprion_ocellaris
ENSCABP00000025267	ENSCABG00000018596	Chelonoidis_abingdonii	ENSCABT00000027693
ENSFDAP00000012735	ENSFDAG00000020048	Fukomys_damarensis
ENSMMMP00000023621	ENSMMMG00000020681	Marmota_marmota_marmota
ENSLCOP00000001230	ENSLCOG00000001027	Lepidothrix_coronata
ENSCVAP00000026717	ENSCVAG00000012493	Cyprinodon_variegatus
ENSARWP00000006495	ENSARWG00000004584	Apteryx_rowi
MGP_SPRETEiJ_P0022070	MGP_SPRETEiJ_G0015629	Mus_spretus_strain_SPRET/EiJ
ENSAMXP00005039897	ENSAMXG00005018770	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPPYP00000000661	ENSPPYG00000000565	Pongo_abelii
F22B5.10.1	WBGene00009045	Caenorhabditis_elegans_strain_N2
ENSLCRP00005017653	ENSLCRG00005007273	Larimichthys_crocea
ENSPPRP00000017814	ENSPPRG00000009653	Panthera_pardus
ENSEEUP00000012381	ENSEEUG00000013583	Erinaceus_europaeus
ENSFHEP00000012357	ENSFHEG00000014012	Fundulus_heteroclitus
ENSABRP00000027285	ENSABRG00000022722	Anser_brachyrhynchus
ENSSBOP00000033963	ENSSBOG00000033156	Saimiri_boliviensis_boliviensis
ENSSDAP00000005089	ENSSDAG00000004750	Spermophilus_dauricus
ENSCAFP00020018725	ENSCAFG00020014883	Canis_lupus_dingo
ENSMMOP00000019067	ENSMMOG00000014440	Mola_mola
ENSSMRP00000030680	ENSSMRG00000023507	Salvator_merianae
ENSCPBP00000020506	ENSCPBG00000014757	Chrysemys_picta_bellii
ENSPANP00000030431	ENSPANG00000032900	Papio_anubis
ENSDNVP00000022902	ENSDNVG00000015925	Dromaius_novaehollandiae
ENSCSAVP00000011549	ENSCSAVG00000006766	Ciona_savignyi
ENSMNEP00000010097	ENSMNEG00000029465	Macaca_nemestrina
ENSSCAP00000002509	ENSSCAG00000002183	Serinus_canaria
ENSPPAP00000021515	ENSPPAG00000033973	Pan_paniscus
ENSCLAP00000006990	ENSCLAG00000004923	Chinchilla_lanigera
ENSMLEP00000038864	ENSMLEG00000043477	Mandrillus_leucophaeus
ENSPLAP00000014011	ENSPLAG00000017595	Poecilia_latipinna
ENSCHIP00000032478	ENSCHIG00000026421	Capra_hircus
ENSNGAP00000008678	ENSNGAG00000011588	Nannospalax_galili
ENSZALP00000006762	ENSZALG00000006115	Zonotrichia_albicollis
ENSAMEP00000007088	ENSAMEG00000006712	Ailuropoda_melanoleuca
ENSBSLP00000023570	ENSBSLG00000011961	Betta_splendens
ENSAPOP00000013265	ENSAPOG00000016041	Acanthochromis_polyacanthus
MGP_CAROLIEiJ_P0021004	MGP_CAROLIEiJ_G0014823	Mus_caroli_strain_CAROLI_EIJ
ENSHCOP00000004718	ENSHCOG00000006209	Hippocampus_comes
ENSPNAP00000033822	ENSPNAG00000022723	Pygocentrus_nattereri
ENSMVIP00005020741	ENSMVIG00005014618	Manacus_vitellinus
ENSHGLP00000014953	ENSHGLG00000010695	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100014690	ENSHGLG00100010877	Heterocephalus_glaber_HetGla_1.0
ENSOPRP00000000491	ENSOPRG00000000543	Ochotona_princeps
ENSGAFP00000024295	ENSGAFG00000016391	Gambusia_affinis
ENSMUGP00000015064	ENSMUGG00000013001	Meriones_unguiculatus
ENSPSMP00000006040	ENSPSMG00000004579	Prolemur_simus
ENSORLP00000031099	ENSORLG00000025870	Oryzias_latipes_ASM223467v1
ENSSDUP00000031362	ENSSDUG00000022551	Seriola_dumerili
ENSMODP00000054705	ENSMODG00000001335	Monodelphis_domestica
